dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.005423,280.500001,0.008547,0.854701,42.735043,2136.752137,6.282875
0.020000,-0.004360,280.500001,0.009610,0.053130,-40.078568,-4140.680517,6.282936
0.020000,-0.001975,280.500000,0.011995,0.119253,3.306163,2169.236544,6.283072
0.020000,0.066291,280.500004,0.080260,3.413283,164.701490,8069.766350,0.000113
0.020000,0.251280,280.500054,0.265250,9.249492,291.810466,6355.448795,0.000428
0.020000,0.489060,280.500203,0.503029,11.888962,131.973507,-7991.847967,0.000828
0.020000,0.779581,280.500514,0.793551,14.526096,131.856693,-5.840706,0.001312
0.020000,1.122785,280.501062,1.136755,17.160177,131.704058,-7.631758,0.001876
0.020000,1.518600,280.501931,1.532571,19.790814,131.531871,-8.609325,0.002516
0.020000,1.966945,280.503220,1.980918,22.417363,131.327450,-10.221035,0.003228
0.020000,2.467735,280.505032,2.481711,25.039651,131.114393,-10.652887,0.004006
0.020000,3.020863,280.507480,3.034845,27.656684,130.851614,-13.138935,0.004844
0.020000,3.626218,280.510684,3.640208,30.268167,130.574170,-13.872208,0.005737
0.020000,4.283679,280.514766,4.297682,32.873699,130.276616,-14.877667,0.006677
0.020000,4.993115,280.519853,5.007136,35.472665,129.948304,-16.415626,0.007656
0.020000,5.754381,280.526069,5.768427,38.064584,129.595913,-17.619567,0.008668
0.020000,6.567326,280.533539,6.581407,40.648990,129.220309,-18.780172,0.009703
0.020000,7.431787,280.542384,7.445913,43.225291,128.815052,-20.262863,0.010751
0.020000,8.347592,280.552717,8.361777,45.793187,128.394799,-21.012643,0.011804
0.020000,9.314560,280.564644,9.328818,48.352042,127.942774,-22.601236,0.012851
0.020000,10.332499,280.578257,10.346848,50.901515,127.473628,-23.457307,0.013882
0.020000,11.401207,280.593636,11.415667,53.440960,126.972275,-25.067675,0.014884
0.020000,12.520477,280.610843,12.535069,55.970100,126.456988,-25.764337,0.015846
0.020000,13.690089,280.629920,13.704836,58.488357,125.912855,-27.206638,0.016756
0.020000,14.909813,280.650885,14.924741,60.995227,125.343493,-28.468128,0.017600
0.020000,16.179414,280.673731,16.194547,63.490325,124.754898,-29.429755,0.018365
0.020000,17.498644,280.698419,17.514009,65.973063,124.136914,-30.899165,0.019038
0.020000,18.867249,280.724880,18.882869,68.443022,123.497950,-31.948199,0.019603
0.020000,20.284964,280.753006,20.300863,70.899684,122.833063,-33.244345,0.020045
0.020000,21.751514,280.782649,21.767713,73.342494,122.140519,-34.627220,0.020348
0.020000,23.266616,280.813617,23.283131,75.770935,121.422028,-35.924563,0.020497
0.020000,24.829977,280.845670,24.846820,78.184454,120.675975,-37.302633,0.020473
0.020000,26.441291,280.878518,26.458470,80.582462,119.900393,-38.779120,0.020260
0.020000,28.100244,280.911811,28.117756,82.964339,119.093858,-40.326753,0.019838
0.020000,29.806507,280.945142,29.824345,85.329433,118.254690,-41.958386,0.019189
0.020000,31.559741,280.978036,31.577887,87.677122,117.384444,-43.512313,0.018292
0.020000,33.359590,281.009953,33.378019,90.006582,116.473011,-45.571631,0.017128
0.020000,35.205683,281.040273,35.224362,92.317127,115.527231,-47.288979,0.015673
0.020000,37.097633,281.068302,37.116519,94.607847,114.536008,-49.561179,0.013907
0.020000,39.026657,281.093158,39.045703,96.459218,92.568554,-1098.372674,0.011814
0.020000,40.975685,281.113877,40.994841,97.456912,49.884708,-2134.192307,0.009396
0.020000,42.927812,281.129603,42.947032,97.609540,7.631414,-2112.664715,0.006664
0.020000,44.874612,281.139670,44.893858,97.341285,-13.412748,-1052.208092,0.003625
0.020000,46.816024,281.143510,46.835273,97.070779,-13.525315,-5.628364,0.000278
0.020000,48.751979,281.140557,48.771231,96.797879,-13.645021,-5.985269,6.279803
0.020000,50.682398,281.130245,50.701677,96.522322,-13.777829,-6.640407,6.275829
0.020000,52.607190,281.112007,52.626556,96.243919,-13.920174,-7.117272,6.271536
0.020000,54.526255,281.085277,54.545806,95.962532,-14.069341,-7.458316,6.266922
0.020000,56.439480,281.049487,56.459366,95.678007,-14.226254,-7.845691,6.261983
0.020000,58.346743,281.004071,58.367170,95.390202,-14.390207,-8.197636,6.256715
0.020000,60.247910,280.948461,60.269150,95.098995,-14.560391,-8.509192,6.251114
