dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.004186,311.249999,0.005128,0.512821,25.641026,1282.051282,6.282869
0.020000,0.003703,311.249999,0.005611,0.024147,-24.433689,-2503.735731,6.282906
0.020000,0.002618,311.250000,0.006696,0.054251,1.505237,1296.946309,6.282988
0.020000,0.000695,311.250000,0.008620,0.096178,2.096333,29.554802,6.283133
0.020000,0.096199,311.250008,0.104124,4.775229,233.952552,11592.810927,0.000173
0.020000,0.271527,311.250066,0.279452,8.766365,199.556781,-1719.788525,0.000487
0.020000,0.496997,311.250221,0.504922,11.273514,125.357477,-3709.965231,0.000887
0.020000,0.772645,311.250533,0.780570,13.782419,125.445219,4.387117,0.001370
0.020000,1.098518,311.251071,1.106443,16.293654,125.561771,5.827617,0.001934
0.020000,1.474665,311.251919,1.482591,18.807398,125.687196,6.271234,0.002573
0.020000,1.901147,311.253168,1.909076,21.324232,125.841695,7.724975,0.003283
0.020000,2.378035,311.254920,2.385967,23.844540,126.015408,8.685648,0.004060
0.020000,2.905402,311.257282,2.913339,26.368601,126.203040,9.381595,0.004896
0.020000,3.483330,311.260371,3.491275,28.896817,126.410820,10.388961,0.005788
0.020000,4.111912,311.264306,4.119870,31.429737,126.645980,11.758012,0.006726
0.020000,4.791244,311.269209,4.799219,33.967458,126.886064,12.004229,0.007704
0.020000,5.521432,311.275206,5.529432,36.510637,127.158951,13.644336,0.008713
0.020000,6.302589,311.282419,6.310622,39.059536,127.444956,14.300219,0.009746
0.020000,7.134832,311.290969,7.142909,41.614308,127.738597,14.682054,0.010792
0.020000,8.018289,311.300973,8.026423,44.175722,128.070694,16.604846,0.011843
0.020000,8.953095,311.312539,8.961300,46.743866,128.407198,16.825210,0.012888
0.020000,9.939391,311.325764,9.947685,49.319209,128.767140,17.997123,0.013915
0.020000,10.977321,311.340734,10.985723,51.901927,129.135927,18.439328,0.014915
0.020000,12.067045,311.357519,12.075576,54.492644,129.535850,19.996162,0.015874
0.020000,13.208724,311.376171,13.217408,57.091589,129.947232,20.569093,0.016781
0.020000,14.402528,311.396720,14.411388,59.699012,130.371152,21.196015,0.017622
0.020000,15.648636,311.419169,15.657698,62.315510,130.824897,22.687257,0.018385
0.020000,16.947233,311.443494,16.956524,64.941273,131.288129,23.161565,0.019054
0.020000,18.298515,311.469639,18.308059,67.576748,131.773771,24.282109,0.019615
0.020000,19.702684,311.497511,19.712504,70.222282,132.276714,25.147167,0.020054
0.020000,21.159953,311.526977,21.170070,72.878307,132.801248,26.226674,0.020354
