dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,298.000000,0.004398,0.439815,21.990741,1099.537037,6.282868
0.020000,0.000000,298.000000,0.021991,1.319444,43.981481,1099.537037,6.282899
0.020000,0.000000,298.000000,0.061574,2.638889,65.972222,1099.537037,6.282970
0.020000,0.000000,298.000000,0.131944,4.398148,87.962963,1099.537037,6.283094
0.020000,0.058343,298.000003,0.241898,6.597222,109.953704,1099.537037,0.000103
0.020000,0.216677,298.000041,0.400231,9.236111,131.944444,1099.537037,0.000380
0.020000,0.432186,298.000164,0.615741,12.314815,153.935185,1099.537037,0.000755
0.020000,0.713668,298.000444,0.897222,15.833333,175.925926,1099.537037,0.001239
0.020000,1.069918,298.000994,1.253472,19.791667,197.916667,1099.537037,0.001843
0.020000,1.505333,298.001954,1.688889,23.750000,197.916667,-0.000000,0.002567
0.020000,2.019915,298.003491,2.203472,27.708333,197.916667,0.000000,0.003404
0.020000,2.613660,298.005793,2.797222,31.666667,197.916667,-0.000000,0.004345
0.020000,3.286569,298.009066,3.470139,35.625000,197.916667,0.000000,0.005378
0.020000,4.038640,298.013532,4.222222,39.583333,197.916667,0.000000,0.006491
0.020000,4.869867,298.019422,5.053472,43.541667,197.916667,-0.000000,0.007671
0.020000,5.780253,298.026971,5.963889,47.500000,197.916667,0.000000,0.008903
0.020000,6.769792,298.036415,6.953472,51.458333,197.916667,-0.000000,0.010171
0.020000,7.838479,298.047979,8.022222,55.416667,197.916667,0.000000,0.011456
0.020000,8.986312,298.061876,9.170139,59.375000,197.916667,-0.000000,0.012741
0.020000,10.213285,298.078296,10.397222,63.333333,197.916667,0.000000,0.014004
0.020000,11.519395,298.097399,11.703472,67.291667,197.916667,0.000000,0.015224
0.020000,12.904639,298.119307,13.088889,71.250000,197.916667,-0.000000,0.016380
0.020000,14.369013,298.144095,14.553472,75.208333,197.916667,0.000000,0.017445
0.020000,15.912514,298.171781,16.097222,79.166667,197.916667,0.000000,0.018396
0.020000,17.530747,298.202233,17.715741,82.685185,175.925926,-1099.537037,0.019203
0.020000,19.214916,298.235143,19.400231,85.763889,153.935185,-1099.537037,0.019838
0.020000,20.956232,298.270103,21.141898,88.402778,131.944444,-1099.537037,0.020274
0.020000,22.745906,298.306620,22.931944,90.601852,109.953704,-1099.537037,0.020489
0.020000,24.575152,298.344120,24.761574,92.361111,87.962963,-1099.537037,0.020465
0.020000,26.435183,298.381974,26.621991,93.680556,65.972222,-1099.537037,0.020189
0.020000,28.317217,298.419508,28.504398,94.560185,43.981481,-1099.537037,0.019649
0.020000,30.212467,298.456028,30.400000,95.000000,21.990741,-1099.537037,0.018841
0.020000,32.112148,298.490845,32.300000,95.000000,0.000000,-1099.537037,0.017765
0.020000,34.011870,298.523362,34.200000,95.000000,0.000000,0.000000,0.016421
0.020000,35.911638,298.553070,36.100000,95.000000,0.000000,0.000000,0.014807
0.020000,37.811454,298.579456,38.000000,95.000000,0.000000,0.000000,0.012924
0.020000,39.711321,298.602006,39.900000,95.000000,0.000000,0.000000,0.010768
0.020000,41.611233,298.620202,41.800000,95.000000,0.000000,0.000000,0.008339
0.020000,43.511185,298.633522,43.700000,95.000000,0.000000,0.000000,0.005635
0.020000,45.411170,298.641440,45.600000,95.000000,0.000000,0.000000,0.002653
0.020000,47.311167,298.643428,47.500000,95.000000,0.000000,0.000000,6.282577
0.020000,49.211161,298.638951,49.400000,95.000000,0.000000,0.000000,6.279034
0.020000,51.111126,298.627471,51.300000,95.000000,0.000000,0.000000,6.275205
0.020000,53.011029,298.608446,53.200000,95.000000,0.000000,0.000000,6.271089
0.020000,54.910834,298.581324,55.100000,95.000000,0.000000,0.000000,6.266683
0.020000,56.810496,298.545553,57.000000,95.000000,0.000000,0.000000,6.261983
0.020000,58.709960,298.500573,58.900000,95.000000,0.000000,0.000000,6.256986
