dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,26.001348,133.250000,0.001529,0.152941,7.647059,382.352941,6.283084
0.020000,26.001163,133.250000,0.001714,0.009229,-7.185631,-741.634486,6.283098
0.020000,26.000748,133.250000,0.002129,0.020772,0.577160,388.139547,6.283129
0.020000,26.000009,133.250000,0.002868,0.036953,0.809073,11.595656,6.283185
0.020000,26.036806,133.250002,0.039666,1.839866,90.145655,4466.829087,0.000087
0.020000,26.090197,133.250010,0.093057,2.669559,41.484616,-2433.051943,0.000212
0.020000,26.162863,133.250031,0.165723,3.633301,48.187131,335.125734,0.000384
0.020000,26.257764,133.250078,0.260624,4.745067,55.588280,370.057439,0.000609
0.020000,26.377859,133.250169,0.380719,6.004719,62.982611,369.716570,0.000895
0.020000,26.526100,133.250328,0.528960,7.412065,70.367280,369.233477,0.001250
0.020000,26.705437,133.250590,0.708297,8.966874,77.740460,368.658984,0.001682
0.020000,26.918814,133.251004,0.921675,10.668859,85.099274,367.940679,0.002199
0.020000,27.169167,133.251632,1.172028,12.517675,92.440805,367.076585,0.002812
0.020000,27.459424,133.252552,1.462287,14.512924,99.762426,366.081045,0.003529
0.020000,27.792504,133.253866,1.795369,16.654123,107.059930,364.875159,0.004362
0.020000,28.171314,133.255699,2.174184,18.940736,114.330661,363.536588,0.005322
0.020000,28.598749,133.258208,2.601626,21.372127,121.569578,361.945836,0.006420
0.020000,29.076211,133.261571,3.079101,23.873707,125.078965,175.469354,0.007668
0.020000,29.603613,133.265983,3.606521,26.371012,124.865289,-10.683816,0.009070
0.020000,30.180857,133.271669,4.183793,28.863588,124.628790,-11.824934,0.010634
0.020000,30.807835,133.278878,4.810812,31.350980,124.369587,-12.960151,0.012369
0.020000,31.484430,133.287892,5.487467,33.832729,124.087473,-14.105718,0.014281
0.020000,32.210512,133.299022,6.213634,36.308383,123.782702,-15.238546,0.016382
0.020000,32.985942,133.312614,6.989184,38.777473,123.454456,-16.412271,0.018680
0.020000,33.810569,133.329049,7.813975,41.239547,123.103702,-17.537725,0.021186
0.020000,34.682763,133.348713,8.686390,43.620742,119.059759,-202.197146,0.023908
0.020000,35.599420,133.371973,9.603342,45.847617,111.343773,-385.799317,0.026846
