dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,26.000000,120.000000,0.001521,0.152130,7.606491,380.324544,6.283084
0.020000,26.000000,120.000000,0.007606,0.456389,15.212982,380.324544,6.283097
0.020000,26.000000,120.000000,0.021298,0.912779,22.819473,380.324544,6.283129
0.020000,26.000000,120.000000,0.045639,1.521298,30.425963,380.324544,6.283184
0.020000,26.037507,120.000002,0.083671,2.281947,38.032454,380.324544,0.000086
0.020000,26.092274,120.000010,0.138438,3.194726,45.638945,380.324544,0.000211
0.020000,26.166818,120.000032,0.212982,4.259635,53.245436,380.324544,0.000382
0.020000,26.264181,120.000080,0.310345,5.476673,60.851927,380.324544,0.000605
0.020000,26.387406,120.000172,0.433570,6.845842,68.458418,380.324544,0.000890
0.020000,26.539535,120.000334,0.585700,8.367140,76.064909,380.324544,0.001242
0.020000,26.723612,120.000602,0.769777,10.040568,83.671400,380.324544,0.001672
0.020000,26.942679,120.001025,0.988844,11.866126,91.277890,380.324544,0.002187
0.020000,27.199777,120.001665,1.245943,13.843813,98.884381,380.324544,0.002796
0.020000,27.497950,120.002605,1.544118,15.973631,106.490872,380.324544,0.003509
0.020000,27.840240,120.003948,1.886410,18.255578,114.097363,380.324544,0.004338
0.020000,28.229688,120.005822,2.275862,20.689655,121.703854,380.324544,0.005292
0.020000,28.669335,120.008389,2.715517,23.275862,129.310345,380.324544,0.006384
0.020000,29.160703,120.011829,3.206897,25.862069,129.310345,0.000000,0.007624
0.020000,29.703787,120.016347,3.750000,28.448276,129.310345,0.000000,0.009018
0.020000,30.298586,120.022172,4.344828,31.034483,129.310345,0.000000,0.010573
0.020000,30.945096,120.029564,4.991379,33.620690,129.310345,-0.000000,0.012297
0.020000,31.643310,120.038811,5.689655,36.206897,129.310345,0.000000,0.014198
0.020000,32.393223,120.050239,6.439655,38.793103,129.310345,-0.000000,0.016285
0.020000,33.194825,120.064206,7.241379,41.379310,129.310345,0.000000,0.018569
0.020000,34.048106,120.081111,8.094828,43.965517,129.310345,-0.000000,0.021059
0.020000,34.953051,120.101391,9.000000,46.551724,129.310345,-0.000000,0.023767
0.020000,35.909642,120.125530,9.956897,49.137931,129.310345,0.000000,0.026704
0.020000,36.917859,120.154057,10.965517,51.724138,129.310345,-0.000000,0.029884
0.020000,37.977674,120.187552,12.025862,54.310345,129.310345,0.000000,0.033319
0.020000,39.087535,120.226591,13.136410,56.744422,121.703854,-380.324544,0.037018
0.020000,40.244362,120.271721,14.294118,59.026369,114.097363,-380.324544,0.040985
0.020000,41.445071,120.323496,15.495943,61.156187,106.490872,-380.324544,0.045222
0.020000,42.686571,120.382470,16.738844,63.133874,98.884381,-380.324544,0.049733
0.020000,43.965764,120.449193,18.019777,64.959432,91.277890,-380.324544,0.054517
0.020000,45.279545,120.524205,19.335700,66.632860,83.671400,-380.324544,0.059576
0.020000,46.624805,120.608028,20.683570,68.154158,76.064909,-380.324544,0.064908
0.020000,47.998424,120.701159,22.060345,69.523327,68.458418,-380.324544,0.070511
0.020000,49.397279,120.804067,23.462982,70.740365,60.851927,-380.324544,0.076383
0.020000,50.818238,120.917182,24.888438,71.805274,53.245436,-380.324544,0.082519
0.020000,52.258165,121.040887,26.333671,72.718053,45.638945,-380.324544,0.088911
0.020000,53.713918,121.175515,27.795639,73.478702,38.032454,-380.324544,0.095553
0.020000,55.182352,121.321337,29.271298,74.087221,30.425963,-380.324544,0.102436
0.020000,56.660318,121.478555,30.757606,74.543611,22.819473,-380.324544,0.109547
0.020000,58.144669,121.647300,32.251521,74.847870,15.212982,-380.324544,0.116876
0.020000,59.632255,121.827617,33.750000,75.000000,7.606491,-380.324544,0.124406
0.020000,61.119933,122.019464,35.250000,75.000000,0.000000,-380.324544,0.132123
0.020000,62.606067,122.222916,36.750000,75.000000,0.000000,0.000000,0.140016
0.020000,64.090530,122.438223,38.250000,75.000000,0.000000,0.000000,0.148084
0.020000,65.573188,122.665627,39.750000,75.000000,0.000000,0.000000,0.156324
0.020000,67.053901,122.905365,41.250000,75.000000,0.000000,0.000000,0.164733
0.020000,68.532525,123.157670,42.750000,75.000000,0.000000,0.000000,0.173309
0.020000,70.008909,123.422766,44.250000,75.000000,0.000000,0.000000,0.182047
0.020000,71.482898,123.700871,45.750000,75.000000,0.000000,0.000000,0.190945
0.020000,72.876378,123.982224,47.250000,75.000000,0.000000,0.000000,0.210354
0.020000,74.339408,124.313035,48.750000,75.000000,0.000000,0.000000,0.234243
0.020000,75.794290,124.678023,50.250000,75.000000,0.000000,0.000000,0.257191
0.020000,77.240615,125.075582,51.750000,75.000000,0.000000,0.000000,0.279138
0.020000,78.678094,125.504034,53.250000,75.000000,0.000000,0.000000,0.300032
0.020000,80.106559,125.961651,54.750000,75.000000,0.000000,0.000000,0.319834
0.020000,81.525957,126.446670,56.250000,75.000000,0.000000,0.000000,0.338512
0.020000,82.936343,126.957308,57.750000,75.000000,0.000000,0.000000,0.356044
0.020000,84.337874,127.491782,59.250000,75.000000,0.000000,0.000000,0.372413
0.020000,85.730797,128.048309,60.750000,75.000000,0.000000,0.000000,0.387609
0.020000,87.115443,128.625125,62.250000,75.000000,0.000000,0.000000,0.401629
0.020000,88.492220,129.220487,63.750000,75.000000,0.000000,0.000000,0.414472
0.020000,89.861598,129.832677,65.250000,75.000000,0.000000,0.000000,0.426140
0.020000,91.224109,130.460006,66.750000,75.000000,0.000000,0.000000,0.436639
0.020000,92.580333,131.100818,68.250000,75.000000,0.000000,0.000000,0.445976
0.020000,93.930894,131.753486,69.750000,75.000000,0.000000,0.000000,0.454159
0.020000,95.276449,132.416412,71.250000,75.000000,0.000000,0.000000,0.461196
0.020000,96.617691,133.088026,72.750000,75.000000,0.000000,0.000000,0.467095
0.020000,97.955332,133.766782,74.250000,75.000000,0.000000,0.000000,0.471862
0.020000,99.290109,134.451158,75.750000,75.000000,0.000000,0.000000,0.475505
0.020000,100.622770,135.139645,77.250000,75.000000,0.000000,0.000000,0.478028
0.020000,101.954075,135.830749,78.750000,75.000000,0.000000,0.000000,0.479436
0.020000,103.284793,136.522986,80.250000,75.000000,0.000000,0.000000,0.479729
0.020000,104.615692,137.214872,81.750000,75.000000,0.000000,0.000000,0.478909
0.020000,105.947543,137.904925,83.250000,75.000000,0.000000,0.000000,0.476975
0.020000,107.281109,138.591656,84.750000,75.000000,0.000000,0.000000,0.473923
0.020000,108.617147,139.273565,86.250000,75.000000,0.000000,0.000000,0.469750
0.020000,109.956400,139.949137,87.750000,75.000000,0.000000,0.000000,0.464448
0.020000,111.299592,140.616840,89.250000,75.000000,0.000000,0.000000,0.458013
0.020000,112.647260,141.275033,90.749813,74.981315,-0.934266,-46.713279,0.450437
0.020000,113.998534,141.921411,92.247731,74.810500,-8.540756,-380.324544,0.441722
0.020000,115.351270,142.553138,93.740712,74.487555,-16.147247,-380.324544,0.431888
0.020000,116.703224,143.167487,95.225712,74.012480,-23.753738,-380.324544,0.420960
0.020000,118.052039,143.761862,96.699690,73.385275,-31.360229,-380.324544,0.408978
0.020000,119.395227,144.333839,98.159602,72.605941,-38.966720,-380.324544,0.395991
0.020000,120.730163,144.881193,99.602406,71.674477,-46.573211,-380.324544,0.382061
