dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.998652,106.750000,0.001521,0.152130,7.606491,380.324544,6.283084
0.020000,25.998836,106.750000,0.001705,0.009180,-7.147511,-737.700105,6.283097
0.020000,25.999249,106.750000,0.002118,0.020662,0.574096,386.080347,6.283129
0.020000,25.999984,106.750000,0.002853,0.036757,0.804772,11.533814,6.283184
0.020000,26.038641,106.750002,0.041510,1.932857,94.805023,4700.012556,0.000086
0.020000,26.095067,106.750010,0.097936,2.821272,44.420744,-2519.213968,0.000211
0.020000,26.171873,106.750033,0.174743,3.840335,50.953149,326.620278,0.000382
0.020000,26.272202,106.750082,0.275071,5.016406,58.803531,392.519091,0.000605
0.020000,26.399194,106.750177,0.402063,6.349639,66.661651,392.906001,0.000890
0.020000,26.555998,106.750344,0.558868,7.840215,74.528787,393.356776,0.001242
0.020000,26.745766,106.750621,0.748635,9.488367,82.407609,393.941094,0.001672
0.020000,26.971653,106.751057,0.974523,11.294377,90.300513,394.645244,0.002187
0.020000,27.236824,106.751717,1.239694,13.258582,98.210234,395.486032,0.002796
0.020000,27.544450,106.752687,1.547322,15.381392,106.140529,396.514770,0.003509
0.020000,27.897712,106.754072,1.900587,17.663260,114.093396,397.643353,0.004338
0.020000,28.299803,106.756008,2.302682,20.104741,122.074039,399.032131,0.005292
0.020000,28.753924,106.758659,2.756811,22.706442,130.085052,400.550634,0.006384
0.020000,29.261720,106.762214,3.264620,25.390444,134.200088,205.751796,0.007624
0.020000,29.823274,106.766886,3.826193,28.078670,134.411287,10.559962,0.009018
0.020000,30.438676,106.772913,4.441625,30.771575,134.645260,11.698647,0.010573
0.020000,31.108024,106.780565,5.111017,33.469610,134.901743,12.824171,0.012297
0.020000,31.831426,106.790147,5.834481,36.173226,135.180795,13.952579,0.014198
0.020000,32.608993,106.801996,6.612139,38.882875,135.482467,15.083626,0.016285
0.020000,33.440847,106.816491,7.444119,41.599011,135.806805,16.216881,0.018569
0.020000,34.327115,106.834049,8.330561,44.322097,136.154318,17.375646,0.021059
0.020000,35.267930,106.855133,9.271613,47.052574,136.523834,18.475787,0.023767
0.020000,36.263431,106.880255,10.267431,49.790908,136.916713,19.643944,0.026704
0.020000,37.313762,106.909973,11.318182,52.537547,137.331951,20.761899,0.029884
0.020000,38.419069,106.944906,12.424041,55.292941,137.769676,21.886255,0.033319
0.020000,39.577913,106.985668,13.583602,57.978068,134.256366,-175.665477,0.037018
0.020000,40.787262,107.032848,14.793870,60.513409,126.767068,-374.464918,0.040985
0.020000,42.044065,107.087042,16.051841,62.898553,119.257196,-375.493579,0.045222
0.020000,43.345258,107.148852,17.354501,65.133000,111.722322,-376.743684,0.049733
0.020000,44.687756,107.218879,18.698825,67.216170,104.158530,-378.189639,0.054517
0.020000,46.068455,107.297712,20.081773,69.147409,96.561916,-379.830701,0.059576
0.020000,47.484229,107.385929,21.500292,70.925977,88.928394,-381.676092,0.064908
0.020000,48.931927,107.484084,22.951314,72.551078,81.255088,-383.665307,0.070511
0.020000,50.408374,107.592701,24.431751,74.021845,73.538338,-385.837486,0.076383
0.020000,51.910370,107.712268,25.938498,75.337354,65.775458,-388.143986,0.082519
0.020000,53.434687,107.843225,27.468430,76.496630,57.963802,-390.582798,0.088911
0.020000,54.978074,107.985958,29.018403,77.498653,50.101138,-393.133207,0.095553
0.020000,56.537252,108.140792,30.585251,78.342365,42.185615,-395.776165,0.102436
0.020000,58.108919,108.307980,32.165784,79.026682,34.215820,-398.489742,0.109547
0.020000,59.689746,108.487694,33.756794,79.550495,26.190639,-401.259075,0.116876
0.020000,61.276386,108.680019,35.355048,79.912690,18.109786,-404.042601,0.124406
0.020000,62.865470,108.884944,36.957291,80.112151,9.973009,-406.838897,0.132123
0.020000,64.455226,109.102584,38.561875,80.229203,5.852625,-206.019161,0.140016
0.020000,66.045481,109.333237,40.168770,80.344758,5.777741,-3.744227,0.148084
0.020000,67.636055,109.577194,41.777944,80.458688,5.696502,-4.061916,0.156324
0.020000,69.226756,109.834742,43.389360,80.570805,5.605853,-4.532477,0.164733
0.020000,70.817385,110.106160,45.002980,80.680991,5.509295,-4.827900,0.173309
0.020000,72.407732,110.391720,46.618761,80.789036,5.402236,-5.352954,0.182047
0.020000,73.997578,110.691687,48.236657,80.894819,5.289196,-5.651986,0.190945
0.020000,75.643054,111.024292,49.915412,83.937743,152.146157,7342.848059,0.210354
0.020000,77.414824,111.424889,51.731905,90.824660,344.345848,9609.984558,0.234243
0.020000,79.164630,111.863839,53.535928,90.201138,-31.176097,-18776.097292,0.257191
0.020000,80.891345,112.338444,55.326681,89.537648,-33.174462,-99.918232,0.279138
0.020000,82.594143,112.845951,57.103499,88.840923,-34.836250,-83.089400,0.300032
0.020000,84.272480,113.383590,58.865847,88.117381,-36.177114,-67.043180,0.319834
0.020000,85.926075,113.948611,60.613309,87.373123,-37.212906,-51.789602,0.338512
0.020000,87.554884,114.538308,62.345580,86.613535,-37.979391,-38.324263,0.356044
0.020000,89.159072,115.150042,64.062449,85.843424,-38.505583,-26.309601,0.372413
0.020000,90.738982,115.781257,65.763786,85.066876,-38.827395,-16.090598,0.387609
0.020000,92.295111,116.429489,67.449533,84.287342,-38.976696,-7.465062,0.401629
0.020000,93.828079,117.092375,69.119685,83.507603,-38.986932,-0.511815,0.414472
0.020000,95.338605,117.767649,70.774280,82.729744,-38.892941,4.699585,0.426140
0.020000,96.827486,118.453147,72.413388,81.955396,-38.717423,8.775868,0.436639
0.020000,98.295575,119.146802,74.037100,81.185615,-38.489034,11.419457,0.445976
0.020000,99.743762,119.846637,75.645520,80.420977,-38.231882,12.857619,0.454159
0.020000,101.172958,120.550760,77.238753,79.661664,-37.965696,13.309277,0.461196
0.020000,102.584086,121.257361,78.816905,78.907621,-37.702133,13.178183,0.467095
0.020000,103.978062,121.964696,80.380073,78.158395,-37.461294,12.041958,0.471862
0.020000,105.355791,122.671090,81.928340,77.413349,-37.252322,10.448588,0.475505
0.020000,106.718157,123.374920,83.461773,76.671660,-37.084445,8.393859,0.478028
0.020000,108.066014,124.074615,84.980421,75.932393,-36.963316,6.056435,0.479436
0.020000,109.400183,124.768646,86.484311,75.194507,-36.894343,3.448645,0.479729
0.020000,110.721444,125.455523,87.973449,74.456900,-36.880341,0.700125,0.478909
0.020000,112.030537,126.133787,89.447819,73.718471,-36.921438,-2.054877,0.476975
0.020000,113.328152,126.802009,90.907382,72.978153,-37.015915,-4.723858,0.473923
0.020000,114.614932,127.458783,92.352081,72.234950,-37.160139,-7.211205,0.469750
0.020000,115.891469,128.102727,93.781840,71.487945,-37.350241,-9.505104,0.464448
0.020000,117.158302,128.732480,95.196568,70.736409,-37.576798,-11.327841,0.458013
0.020000,118.415763,129.346627,96.595991,69.971136,-38.263640,-34.342090,0.450437
0.020000,119.662871,129.943190,97.978440,69.122448,-42.434413,-208.538663,0.441722
0.020000,120.897532,130.519790,99.341105,68.133253,-49.459726,-351.265644,0.431888
0.020000,122.117664,131.074251,100.681309,67.010235,-56.150934,-334.560405,0.420960
0.020000,123.321193,131.604621,101.996519,65.760470,-62.488250,-316.865797,0.408978
0.020000,124.506058,132.109195,103.284347,64.391394,-68.453793,-298.277124,0.395991
0.020000,125.670208,132.586542,104.542562,62.910741,-74.032670,-278.943856,0.382061
0.020000,126.811609,133.035514,105.769090,61.326421,-79.215952,-259.164099,0.367260
0.020000,127.928247,133.455267,106.962016,59.646318,-84.005194,-239.462099,0.351673
0.020000,129.018137,133.845259,108.119580,57.878171,-88.407340,-220.107315,0.335398
0.020000,130.079321,134.205260,109.240165,56.029280,-92.444547,-201.860330,0.318542
0.020000,131.109877,134.535339,110.322292,54.106335,-96.147227,-185.133993,0.301222
0.020000,132.107917,134.835857,111.364594,52.115122,-99.560649,-170.671148,0.283566
0.020000,133.071583,135.107452,112.365802,50.060353,-102.738456,-158.890330,0.265707
0.020000,133.999046,135.351013,113.324712,47.945540,-105.740682,-150.111290,0.247783
0.020000,134.888496,135.567658,114.240166,45.772698,-108.642062,-145.069020,0.229938
0.020000,135.738135,135.758704,115.111019,43.542657,-111.502086,-143.001187,0.212314
0.020000,136.546305,135.925667,115.936256,41.261835,-114.041104,-126.950886,0.195050
0.020000,137.312504,136.070395,116.716005,38.987422,-113.720651,16.022650,0.178257
0.020000,138.037207,136.194921,117.451328,36.766173,-111.062430,132.911045,0.162015
0.020000,138.720843,136.301203,118.143177,34.592436,-108.686835,118.779718,0.146395
0.020000,139.363793,136.391120,118.792384,32.460368,-106.603400,104.171787,0.131461
0.020000,139.966393,136.466461,119.399675,30.364534,-104.791701,90.584913,0.117266
0.020000,140.528929,136.528919,119.965668,28.299677,-103.242837,77.443232,0.103859
0.020000,141.051647,136.580087,120.490884,26.260801,-101.943826,64.950520,0.091277
0.020000,141.534754,136.621457,120.975759,24.243737,-100.853221,54.530279,0.079555
0.020000,141.978420,136.654412,121.420647,22.244406,-99.966533,44.334369,0.068719
0.020000,142.382781,136.680228,121.825832,20.259250,-99.257808,35.436284,0.058789
0.020000,142.747952,136.700073,122.191542,18.285474,-98.688782,28.451296,0.049784
0.020000,143.074160,136.715008,122.518091,16.327483,-97.899561,39.461068,0.041713
0.020000,143.362755,136.726019,122.806897,14.440278,-94.360245,176.965755,0.034555
0.020000,143.616080,136.733978,123.060346,12.672456,-88.391103,298.457108,0.028259
0.020000,143.836456,136.739602,123.280795,11.022429,-82.501334,294.488469,0.022773
0.020000,144.026196,136.743475,123.470573,9.488943,-76.674310,291.351204,0.018045
0.020000,144.187607,136.746064,123.632006,8.071615,-70.866390,290.395988,0.014019
0.020000,144.322986,136.747733,123.767395,6.769444,-65.108547,287.892143,0.010641
0.020000,144.434629,136.748765,123.879042,5.582373,-59.353570,287.748859,0.007854
0.020000,144.524824,136.749372,123.969240,4.509897,-53.623776,286.489678,0.005601
0.020000,144.595869,136.749707,124.040285,3.552240,-47.882847,287.046476,0.003826
0.020000,144.650047,136.749878,124.094464,2.708949,-42.164589,285.912881,0.002473
0.020000,144.689651,136.749956,124.134068,1.980186,-36.438116,286.323645,0.001483
0.020000,144.716956,136.749987,124.161373,1.365250,-30.746832,284.564240,0.000801
0.020000,144.734260,136.749997,124.178677,0.865220,-25.001471,287.268023,0.000368
0.020000,144.743846,136.750000,124.188263,0.479283,-19.296858,285.230652,0.000129
0.020000,144.747997,136.750000,124.192414,0.207567,-13.585810,285.552400,0.000025
0.020000,144.749000,136.750000,124.193417,0.050138,-7.871456,285.717688,6.283185
0.020000,144.749000,136.750000,124.193417,0.000000,-2.506887,268.228466,6.283185
