dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.223437,133.734972,0.001529,0.152941,7.647059,382.352941,6.283094
0.020000,25.223316,133.734972,0.001651,0.006056,-7.344258,-749.565865,6.283103
0.020000,25.223044,133.734972,0.001923,0.013607,0.377528,386.089318,6.283124
0.020000,25.222562,133.734972,0.002405,0.024123,0.525819,7.414567,6.283160
0.020000,25.243194,133.734973,0.023038,1.031632,50.375466,2492.482353,0.000032
0.020000,25.297180,133.734977,0.077023,2.699276,83.382192,1650.336263,0.000113
0.020000,25.370674,133.734989,0.150517,3.674706,48.771482,-1730.535480,0.000222
0.020000,25.466690,133.735017,0.246534,4.800823,56.305860,376.718885,0.000363
0.020000,25.588250,133.735072,0.368094,6.077991,63.858419,377.627990,0.000538
0.020000,25.738384,133.735168,0.518228,7.506701,71.435503,378.854174,0.000750
0.020000,25.920135,133.735327,0.699979,9.087558,79.042853,380.367488,0.000999
0.020000,26.136561,133.735575,0.916405,10.821290,86.686602,382.187446,0.001287
0.020000,26.390736,133.735944,1.170580,12.708778,94.374384,384.389125,0.001611
0.020000,26.685757,133.736472,1.465601,14.751058,102.113999,386.980743,0.001969
0.020000,27.024743,133.737206,1.804588,16.949348,109.914511,390.025581,0.002356
0.020000,27.410842,133.738196,2.190689,19.305036,117.784376,393.493277,0.002766
0.020000,27.847235,133.739497,2.627083,21.819718,125.734087,397.485526,0.003189
0.020000,28.335623,133.741160,3.115474,24.419538,129.991035,212.847396,0.003612
0.020000,28.876224,133.743226,3.656080,27.030275,130.536836,27.290081,0.004020
0.020000,29.469280,133.745724,4.249141,29.653067,131.139595,30.137916,0.004392
0.020000,30.115055,133.748668,4.894922,32.289064,131.799875,33.014011,0.004711
0.020000,30.813835,133.752051,5.593710,34.939405,132.517010,35.856750,0.004953
0.020000,31.565930,133.755838,6.345815,37.605240,133.291750,38.736990,0.005096
0.020000,32.371674,133.759961,7.151570,40.287718,134.123936,41.609329,0.005115
0.020000,33.231423,133.764312,8.011330,42.987999,135.014023,44.504326,0.004982
0.020000,34.144019,133.768730,8.923936,45.630328,132.116445,-144.878898,0.004670
0.020000,35.106768,133.772991,9.886695,48.137927,125.379963,-336.824088,0.004151
0.020000,36.116964,133.776822,10.896898,50.510172,118.612269,-338.384693,0.003398
0.020000,37.171885,133.779894,11.951823,52.746256,111.804164,-340.405272,0.002387
0.020000,38.268787,133.781826,13.048727,54.845196,104.947040,-342.856203,0.001094
0.020000,39.404904,133.782186,14.184844,56.805842,98.032289,-345.737521,6.282681
0.020000,40.577440,133.780494,15.357382,58.626897,91.052744,-348.977269,6.280758
0.020000,41.783571,133.776230,16.563520,60.306913,84.000801,-352.597126,6.278492
0.020000,43.020436,133.768833,17.800407,61.844323,76.870493,-356.515402,6.275868
0.020000,44.285135,133.757718,19.065155,63.237420,69.654879,-360.780715,6.272873
0.020000,45.574730,133.742276,20.354843,64.484383,62.348151,-365.336418,6.269496
0.020000,46.886238,133.721887,21.666509,65.583289,54.945292,-370.142939,6.265729
0.020000,48.216627,133.695931,22.997151,66.532104,47.440731,-375.228036,6.261570
0.020000,49.562818,133.663800,24.343725,67.328723,39.830936,-380.489772,6.257016
0.020000,50.921679,133.624908,25.703143,67.970904,32.109063,-386.093638,6.252070
0.020000,52.290027,133.578705,27.072271,68.456387,24.274168,-391.744723,6.246737
0.020000,53.664623,133.524691,28.447928,68.782834,16.322323,-397.592260,6.241027
0.020000,55.043798,133.462352,29.828511,69.029180,12.317314,-200.250454,6.234945
0.020000,56.427482,133.391114,31.214027,69.275811,12.331552,0.711885,6.228491
0.020000,57.815589,133.310404,32.604479,69.522586,12.338754,0.360108,6.221664
0.020000,59.208021,133.219640,33.999866,69.769337,12.337534,-0.060987,6.214465
0.020000,60.604662,133.118237,35.400183,70.015865,12.326392,-0.557129,6.206893
0.020000,62.005380,133.005609,36.805422,70.261929,12.303232,-1.157967,6.198951
0.020000,63.410024,132.881167,38.215567,70.507272,12.267156,-1.803810,6.190637
0.020000,64.818423,132.744320,39.630599,70.751596,12.216159,-2.549875,6.181955
0.020000,66.230386,132.594480,41.050490,70.994566,12.148501,-3.382859,6.172907
0.020000,67.645698,132.431058,42.475207,71.235808,12.062119,-4.319105,6.163494
0.020000,69.064123,132.253472,43.904705,71.474924,11.955779,-5.317024,6.153720
0.020000,70.485399,132.061144,45.338935,71.711475,11.827574,-6.410260,6.143589
0.020000,71.909238,131.853501,46.777834,71.944989,11.675706,-7.593372,6.133105
0.020000,73.335327,131.629984,48.221334,72.174961,11.498605,-8.855067,6.122275
0.020000,74.763325,131.390043,49.669350,72.400824,11.293110,-10.274752,6.111103
0.020000,76.192866,131.133143,51.121791,72.622061,11.061892,-11.560879,6.099597
0.020000,77.623555,130.858765,52.578553,72.838073,10.800573,-13.065981,6.087766
0.020000,79.054969,130.566410,54.039517,73.048235,10.508134,-14.621953,6.075617
0.020000,80.486659,130.255602,55.504555,73.251881,10.182267,-16.293343,6.063160
0.020000,81.918148,129.925890,56.973525,73.448488,9.830341,-17.596284,6.050407
0.020000,83.348935,129.576849,58.446271,73.637318,9.441541,-19.440027,6.037369
0.020000,84.778494,129.208086,59.922626,73.817738,9.020995,-21.027272,6.024058
0.020000,86.206276,128.819242,61.402410,73.989225,8.574328,-22.333337,6.010489
0.020000,87.631709,128.409991,62.885430,74.150974,8.087477,-24.342578,5.996675
0.020000,89.054207,127.980047,64.371482,74.302626,7.582556,-25.246020,5.982632
0.020000,90.473164,127.529166,65.860352,74.443480,7.042739,-26.990894,5.968377
0.020000,91.867007,127.064122,67.329727,73.468754,-48.736331,-2788.953496,5.952649
0.020000,93.429260,126.504295,68.989258,82.976533,475.388955,26206.264331,5.925511
0.020000,94.978127,125.901172,70.651408,83.107535,6.550123,-23441.941612,5.898175
0.020000,96.511341,125.255228,72.315136,83.186397,3.943091,-130.351587,5.870720
0.020000,98.026678,124.567198,73.979357,83.211024,1.231333,-135.587916,5.843227
0.020000,99.521985,123.838071,75.642958,83.180056,-1.548369,-138.985087,5.815782
0.020000,100.995231,123.069075,77.304827,83.093449,-4.330368,-139.099939,5.788467
0.020000,102.444530,122.261656,78.963861,82.951679,-7.088482,-137.905729,5.761366
0.020000,103.868178,121.417457,80.618988,82.756377,-9.765101,-133.830937,5.734560
0.020000,105.264678,120.538283,82.269188,82.509999,-12.318927,-127.691283,5.708127
0.020000,106.632755,119.626069,83.913501,82.215668,-14.716552,-119.881281,5.682137
0.020000,107.971369,118.682848,85.551047,81.877261,-16.920344,-110.189597,5.656659
0.020000,109.279723,117.710713,87.181028,81.499057,-18.910176,-99.491573,5.631751
0.020000,110.557257,116.711783,88.802741,81.085667,-20.669536,-87.968001,5.607468
0.020000,111.803643,115.688177,90.415579,80.641903,-22.188162,-75.931297,5.583855
0.020000,113.018770,114.641982,92.019031,80.172600,-23.465160,-63.849901,5.560950
0.020000,114.202731,113.575230,93.612681,79.682509,-24.504559,-51.969975,5.538785
0.020000,115.355800,112.489883,95.196205,79.176184,-25.316263,-40.585181,5.517385
0.020000,116.478415,111.387812,96.769363,78.657893,-25.914522,-29.912959,5.496767
0.020000,117.571157,110.270791,98.331995,78.131604,-26.314474,-19.997598,5.476944
0.020000,118.634722,109.140489,99.884012,77.600826,-26.538897,-11.221176,5.457922
0.020000,119.669911,107.998465,101.425386,77.068734,-26.604597,-3.284958,5.439704
0.020000,120.677602,106.846166,102.956148,76.538089,-26.532247,3.617453,5.422286
0.020000,121.658735,105.684934,104.476372,76.011219,-26.343494,9.437686,5.405664
0.020000,122.614298,104.516003,105.986174,75.490080,-26.056965,14.326430,5.389829
0.020000,123.545311,103.340507,107.485699,74.976241,-25.691943,18.251104,5.374769
0.020000,124.452814,102.159485,108.975120,74.471057,-25.259211,21.636600,5.360472
0.020000,125.337858,100.973888,110.454628,73.975401,-24.782792,23.820956,5.346924
0.020000,126.201494,99.784582,111.924429,73.490058,-24.267128,25.783217,5.334108
0.020000,127.006608,98.648442,113.316917,69.624401,-193.282869,-8450.787074,5.325085
0.020000,127.794284,97.521000,114.692257,68.766994,-42.870371,7520.624918,5.319398
0.020000,128.572001,96.394830,116.060871,68.430684,-16.815461,1302.745499,5.314220
0.020000,129.340362,95.270406,117.422747,68.093807,-16.843879,-1.420908,5.309550
0.020000,130.099970,94.148187,118.777878,67.756540,-16.863322,-0.972161,5.305389
0.020000,130.851425,93.028613,120.126258,67.419026,-16.875699,-0.618849,5.301738
0.020000,131.595329,91.912114,121.467886,67.081372,-16.882719,-0.351002,5.298596
0.020000,132.332278,90.799103,122.802759,66.743654,-16.885887,-0.158393,5.295964
0.020000,133.062863,89.689985,124.130877,66.405924,-16.886500,-0.030635,5.293842
0.020000,133.787670,88.585151,125.452241,66.068211,-16.885645,0.042755,5.292229
0.020000,134.507280,87.484986,126.766852,65.730527,-16.884199,0.072302,5.291127
0.020000,135.222265,86.389866,128.074709,65.392871,-16.882828,0.068545,5.290534
0.020000,135.933189,85.300160,129.375814,65.055231,-16.881987,0.042020,5.290450
0.020000,136.640609,84.216230,130.670166,64.717593,-16.881922,0.003255,5.290877
0.020000,137.345073,83.138435,131.957765,64.379939,-16.882667,-0.037231,5.291812
0.020000,138.047117,82.067128,133.238610,64.042258,-16.884045,-0.068917,5.293258
0.020000,138.747270,81.002660,134.512701,63.704545,-16.885671,-0.081279,5.295213
0.020000,139.446050,79.945377,135.780037,63.366806,-16.886946,-0.063781,5.297679
0.020000,140.143257,78.896681,137.039346,62.965462,-20.067220,-159.013673,5.300650
0.020000,140.837861,77.859162,138.287913,62.428362,-26.854975,-339.387758,5.304119
0.020000,141.528700,76.835502,139.522879,61.748270,-34.004628,-357.482667,5.308069
0.020000,142.139503,75.943377,140.604066,54.059382,-384.444388,-17521.987997,5.321136
0.020000,142.730496,75.111882,141.624192,51.006299,-152.654156,11589.511602,5.339517
0.020000,143.326866,74.304674,142.627807,50.180713,-41.279306,5568.742516,5.357907
0.020000,143.926603,73.523343,143.612775,49.248429,-46.614179,-266.743648,5.376236
0.020000,144.527575,72.769324,144.576991,48.210807,-51.881114,-263.346745,5.394432
0.020000,145.127536,72.043904,145.518366,47.068760,-57.102343,-261.061477,5.412422
0.020000,145.724129,71.348226,146.434821,45.822749,-62.300538,-259.909719,5.430132
0.020000,146.314895,70.683300,147.324277,44.472800,-67.497477,-259.846947,5.447488
0.020000,146.897286,70.050009,148.184647,43.018501,-72.714936,-260.872981,5.464417
0.020000,147.468668,69.449122,149.013829,41.459059,-77.972092,-262.857789,5.480847
0.020000,148.026333,68.881308,149.809696,39.793345,-83.285723,-265.681566,5.496706
0.020000,148.567513,68.347144,150.570095,38.019951,-88.669673,-269.197492,5.511928
0.020000,149.089388,67.847137,151.292840,36.137269,-94.134101,-273.221404,5.526445
0.020000,149.589099,67.381731,151.975711,34.143553,-99.685809,-277.585380,5.540195
0.020000,150.064535,66.950640,152.617489,32.088905,-102.732389,-152.328999,5.553138
0.020000,150.514514,66.552792,153.218126,30.031839,-102.853287,-6.044932,5.565261
0.020000,150.938050,66.187073,153.777709,27.979144,-102.634751,10.926847,5.576559
0.020000,151.334222,65.852437,154.296297,25.929395,-102.487481,7.363467,5.587026
0.020000,151.702182,65.547915,154.773925,23.881391,-102.400174,4.365347,5.596660
