dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,26.000000,120.000000,0.001521,0.152130,7.606491,380.324544,6.283007
0.020000,26.000000,120.000000,0.007606,0.456389,15.212982,380.324544,6.283024
0.020000,26.000000,120.000000,0.021298,0.912779,22.819473,380.324544,6.283064
0.020000,26.000000,120.000000,0.045639,1.521298,30.425963,380.324544,6.283135
0.020000,26.020649,120.000001,0.083671,2.281947,38.032454,380.324544,0.000060
0.020000,26.075416,120.000008,0.138438,3.194726,45.638945,380.324544,0.000218
0.020000,26.149959,120.000032,0.212982,4.259635,53.245436,380.324544,0.000432
0.020000,26.247323,120.000088,0.310345,5.476673,60.851927,380.324544,0.000708
0.020000,26.370548,120.000197,0.433570,6.845842,68.458418,380.324544,0.001055
0.020000,26.522677,120.000389,0.585700,8.367140,76.064909,380.324544,0.001477
0.020000,26.706754,120.000707,0.769777,10.040568,83.671400,380.324544,0.001978
0.020000,26.925821,120.001205,0.988844,11.866126,91.277890,380.324544,0.002563
0.020000,27.182919,120.001951,1.245943,13.843813,98.884381,380.324544,0.003232
0.020000,27.481091,120.003027,1.544118,15.973631,106.490872,380.324544,0.003985
0.020000,27.823380,120.004535,1.886410,18.255578,114.097363,380.324544,0.004819
0.020000,28.212827,120.006590,2.275862,20.689655,121.703854,380.324544,0.005727
0.020000,28.652474,120.009324,2.715517,23.275862,129.310345,380.324544,0.006702
0.020000,29.143840,120.012871,3.206897,25.862069,129.310345,0.000000,0.007727
0.020000,29.686925,120.017358,3.750000,28.448276,129.310345,0.000000,0.008782
0.020000,30.281727,120.022902,4.344828,31.034483,129.310345,0.000000,0.009842
0.020000,30.928244,120.029608,4.991379,33.620690,129.310345,-0.000000,0.010884
0.020000,31.626474,120.037563,5.689655,36.206897,129.310345,0.000000,0.011877
0.020000,32.376417,120.046824,6.439655,38.793103,129.310345,-0.000000,0.012794
0.020000,33.178071,120.057416,7.241379,41.379310,129.310345,0.000000,0.013601
0.020000,34.031436,120.069321,8.094828,43.965517,129.310345,-0.000000,0.014264
0.020000,34.936513,120.082467,9.000000,46.551724,129.310345,-0.000000,0.014746
0.020000,35.893304,120.096723,9.956897,49.137931,129.310345,0.000000,0.015009
0.020000,36.901811,120.111886,10.965517,51.724138,129.310345,-0.000000,0.015012
0.020000,37.962038,120.127670,12.025862,54.310345,129.310345,0.000000,0.014710
0.020000,39.072470,120.143677,13.136410,56.744422,121.703854,-380.324544,0.014060
0.020000,40.230071,120.159387,14.294118,59.026369,114.097363,-380.324544,0.013019
0.020000,41.431806,120.174187,15.495943,61.156187,106.490872,-380.324544,0.011544
0.020000,42.674636,120.187368,16.738844,63.133874,98.884381,-380.324544,0.009595
0.020000,43.955524,120.198133,18.019777,64.959432,91.277890,-380.324544,0.007137
0.020000,45.271425,120.205602,19.335700,66.632860,83.671400,-380.324544,0.004134
0.020000,46.619291,120.208821,20.683570,68.154158,76.064909,-380.324544,0.000556
0.020000,47.996063,120.206768,22.060345,69.523327,68.458418,-380.324544,6.279558
0.020000,49.398673,120.198372,23.462982,70.740365,60.851927,-380.324544,6.274748
0.020000,50.824040,120.182522,24.888438,71.805274,53.245436,-380.324544,6.269288
0.020000,52.269064,120.158084,26.333671,72.718053,45.638945,-380.324544,6.263163
0.020000,53.730630,120.123919,27.795639,73.478702,38.032454,-380.324544,6.256362
0.020000,55.205599,120.078898,29.271298,74.087221,30.425963,-380.324544,6.248877
0.020000,56.690811,120.021927,30.757606,74.543611,22.819473,-380.324544,6.240707
0.020000,58.183081,119.951962,32.251521,74.847870,15.212982,-380.324544,6.231856
0.020000,59.679202,119.868036,33.750000,75.000000,7.606491,-380.324544,6.222333
0.020000,61.175941,119.769276,35.250000,75.000000,0.000000,-380.324544,6.212154
0.020000,62.671559,119.654804,36.750000,75.000000,0.000000,0.000000,6.201330
0.020000,64.165808,119.523669,38.250000,75.000000,0.000000,0.000000,6.189863
0.020000,65.658406,119.374932,39.750000,75.000000,0.000000,0.000000,6.177758
0.020000,67.149041,119.207666,41.250000,75.000000,0.000000,0.000000,6.165020
0.020000,68.637364,119.020961,42.750000,75.000000,0.000000,0.000000,6.151657
0.020000,70.122995,118.813926,44.250000,75.000000,0.000000,0.000000,6.137679
0.020000,71.605517,118.585697,45.750000,75.000000,0.000000,0.000000,6.123097
0.020000,73.084479,118.335438,47.250000,75.000000,0.000000,0.000000,6.107928
0.020000,74.559394,118.062350,48.750000,75.000000,0.000000,0.000000,6.092186
0.020000,76.029746,117.765673,50.250000,75.000000,0.000000,0.000000,6.075894
0.020000,77.494982,117.444690,51.750000,75.000000,0.000000,0.000000,6.059073
0.020000,78.954523,117.098739,53.250000,75.000000,0.000000,0.000000,6.041751
0.020000,80.407763,116.727210,54.750000,75.000000,0.000000,0.000000,6.023955
0.020000,81.854072,116.329557,56.250000,75.000000,0.000000,0.000000,6.005718
0.020000,83.292800,115.905299,57.750000,75.000000,0.000000,0.000000,5.987074
0.020000,84.723283,115.454024,59.250000,75.000000,0.000000,0.000000,5.968061
0.020000,86.144847,114.975394,60.750000,75.000000,0.000000,0.000000,5.948718
0.020000,87.556813,114.469151,62.250000,75.000000,0.000000,0.000000,5.929087
0.020000,88.930070,113.945938,63.750000,75.000000,0.000000,0.000000,5.908419
0.020000,90.319533,113.380878,65.250000,75.000000,0.000000,0.000000,5.885668
0.020000,91.696171,112.785242,66.750000,75.000000,0.000000,0.000000,5.864220
0.020000,93.060144,112.161141,68.250000,75.000000,0.000000,0.000000,5.844135
0.020000,94.411768,111.510721,69.750000,75.000000,0.000000,0.000000,5.825463
0.020000,95.751503,110.836143,71.250000,75.000000,0.000000,0.000000,5.808239
0.020000,97.079936,110.139567,72.750000,75.000000,0.000000,0.000000,5.792491
0.020000,98.397773,109.423139,74.250000,75.000000,0.000000,0.000000,5.778237
0.020000,99.705818,108.688982,75.750000,75.000000,0.000000,0.000000,5.765488
0.020000,101.004968,107.939191,77.250000,75.000000,0.000000,0.000000,5.754252
0.020000,102.296190,107.175825,78.750000,75.000000,0.000000,0.000000,5.744530
0.020000,103.580518,106.400914,80.250000,75.000000,0.000000,0.000000,5.736321
0.020000,104.859037,105.616452,81.750000,75.000000,0.000000,0.000000,5.729624
0.020000,106.132873,104.824405,83.250000,75.000000,0.000000,0.000000,5.724436
0.020000,107.403184,104.026717,84.750000,75.000000,0.000000,0.000000,5.720753
0.020000,108.671152,103.225307,86.250000,75.000000,0.000000,0.000000,5.718573
0.020000,109.937973,102.422086,87.750000,75.000000,0.000000,0.000000,5.717894
0.020000,111.204852,101.618955,89.250000,75.000000,0.000000,0.000000,5.718716
0.020000,112.472991,100.817818,90.750000,75.000000,0.000000,0.000000,5.721039
0.020000,113.743587,100.020583,92.250000,75.000000,0.000000,0.000000,5.724865
0.020000,114.985275,99.248188,93.750000,75.000000,0.000000,0.000000,5.723857
0.020000,116.246631,98.436483,95.250000,75.000000,0.000000,0.000000,5.699073
0.020000,117.487928,97.594416,96.750000,75.000000,0.000000,0.000000,5.675351
0.020000,118.708237,96.724679,98.248563,74.856331,-7.183439,-359.171943,5.652794
0.020000,119.905667,95.831024,99.742732,74.560533,-14.789930,-380.324544,5.631510
0.020000,121.078561,94.917452,101.229463,74.112604,-22.396421,-380.324544,5.611584
0.020000,122.225544,93.988104,102.705715,73.512546,-30.002911,-380.324544,5.593077
0.020000,123.345474,93.047211,104.168444,72.760358,-37.609402,-380.324544,5.576032
0.020000,124.437410,92.099042,105.614608,71.856040,-45.215893,-380.324544,5.560466
