dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.221022,107.234972,0.001471,0.147059,7.352941,367.647059,6.283094
0.020000,25.221139,107.234972,0.001587,0.005823,-7.061780,-720.736040,6.283103
0.020000,25.221400,107.234972,0.001849,0.013084,0.363053,371.241619,6.283123
0.020000,25.221864,107.234972,0.002313,0.023199,0.505759,7.135325,6.283158
0.020000,25.240734,107.234973,0.021182,0.943481,46.014076,2275.415851,0.000027
0.020000,25.294708,107.234976,0.075156,2.698694,87.760661,2087.329252,0.000105
0.020000,25.368159,107.234988,0.148608,3.672579,48.694241,-1953.321006,0.000210
0.020000,25.464074,107.235014,0.244522,4.795728,56.157424,373.159163,0.000346
0.020000,25.585430,107.235067,0.365878,6.067785,63.602879,372.272715,0.000514
0.020000,25.735196,107.235159,0.515644,7.488313,71.026381,371.175118,0.000719
0.020000,25.916331,107.235311,0.696779,9.056743,78.421499,369.755884,0.000960
0.020000,26.131779,107.235548,0.912227,10.772407,85.783237,368.086900,0.001238
0.020000,26.384468,107.235901,1.164917,12.634489,93.104102,366.043246,0.001552
0.020000,26.677308,107.236406,1.457758,14.642027,100.376855,363.637643,0.001899
0.020000,27.013186,107.237108,1.793636,16.793903,107.593804,360.847493,0.002276
0.020000,27.394961,107.238055,2.175412,19.088824,114.746066,357.613057,0.002677
0.020000,27.825465,107.239298,2.605919,21.525321,121.824850,353.939202,0.003092
0.020000,28.306011,107.240887,3.086466,24.027388,125.103355,163.925272,0.003511
0.020000,28.836394,107.242859,3.616854,26.519364,124.598787,-25.228378,0.003918
0.020000,29.416393,107.245244,4.196857,29.000189,124.041243,-27.877240,0.004295
0.020000,30.045763,107.248056,4.826234,31.468806,123.430862,-30.519043,0.004626
0.020000,30.724238,107.251289,5.504717,33.924160,122.767689,-33.158639,0.004888
0.020000,31.450059,107.254907,6.230547,36.291503,118.367155,-220.026684,0.005062
0.020000,32.219987,107.258836,7.000485,38.496886,110.269173,-404.899124,0.005124
0.020000,33.030790,107.262972,7.811298,40.540665,102.188919,-404.012682,0.005052
0.020000,33.879247,107.267173,8.659765,42.423368,94.135152,-402.688384,0.004826
0.020000,34.762151,107.271269,9.542679,44.145693,86.116253,-400.944932,0.004424
0.020000,35.676313,107.275055,10.456849,45.708488,78.139745,-398.825418,0.003829
0.020000,36.618562,107.278298,11.399104,47.112738,70.212537,-396.360391,0.003022
0.020000,37.585751,107.280738,12.366295,48.359570,62.341599,-393.546895,0.001989
