dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001083,313.250000,0.001521,0.152130,7.606491,380.324544,6.283104
0.020000,0.001048,313.250000,0.001556,0.001758,-7.518574,-756.253227,6.283106
0.020000,0.000969,313.250000,0.001635,0.003949,0.109525,381.404950,6.283112
0.020000,0.000829,313.250000,0.001775,0.006995,0.152297,2.138608,6.283123
0.020000,0.000612,313.250000,0.001993,0.010864,0.193477,2.058991,6.283139
0.020000,0.000302,313.250000,0.002303,0.015505,0.232050,1.928639,6.283163
0.020000,0.020559,313.250000,0.022559,1.012837,49.866591,2481.727035,0.000009
0.020000,0.117386,313.250003,0.119387,4.841357,191.426010,7077.970965,0.000049
0.020000,0.239949,313.250012,0.241950,6.128149,64.339604,-6354.320324,0.000099
0.020000,0.391284,313.250032,0.393285,7.566786,71.931808,379.610225,0.000159
0.020000,0.574434,313.250067,0.576435,9.157472,79.534316,380.125384,0.000229
0.020000,0.792444,313.250126,0.794445,10.900530,87.152902,380.929330,0.000309
0.020000,1.048371,313.250216,1.050372,12.796341,94.790563,381.883040,0.000397
0.020000,1.345278,313.250349,1.347279,14.845337,102.449766,382.960162,0.000493
0.020000,1.686233,313.250534,1.688234,17.047759,110.121128,383.568089,0.000594
0.020000,2.074321,313.250785,2.076322,19.404383,117.831177,385.502443,0.000697
0.020000,2.512634,313.251113,2.514636,21.915688,125.565261,386.704216,0.000798
0.020000,3.002764,313.251528,3.004765,24.506471,129.539139,198.693875,0.000892
0.020000,3.544792,313.252035,3.546794,27.101441,129.748500,10.468069,0.000974
0.020000,4.138812,313.252633,4.140813,29.700987,129.977306,11.440281,0.001035
0.020000,4.784922,313.253314,4.786925,32.305556,130.228459,12.557654,0.001068
0.020000,5.483233,313.254061,5.485236,34.915579,130.501150,13.634555,0.001065
0.020000,6.233863,313.254846,6.235866,37.531516,130.796870,14.786014,0.001018
0.020000,7.036939,313.255626,7.038943,40.153801,131.114246,15.868781,0.000916
0.020000,7.892596,313.256342,7.894600,42.782875,131.453661,16.970746,0.000749
0.020000,8.800982,313.256917,8.802986,45.419283,131.820410,18.337439,0.000506
0.020000,9.762250,313.257251,9.764254,48.063394,132.205583,19.258648,0.000177
0.020000,10.776564,313.257220,10.778568,50.715709,132.615712,20.506481,6.282932
0.020000,11.844103,313.256668,11.846107,53.376973,133.063214,22.375107,6.282389
0.020000,12.963514,313.255412,12.965519,55.970593,129.681017,-169.109845,6.281720
0.020000,14.131917,313.253239,14.133924,58.420261,122.483376,-359.882058,6.280913
0.020000,15.346425,313.249910,15.348436,60.725600,115.266978,-360.819903,6.279956
0.020000,16.604139,313.245158,16.606160,62.886179,108.028939,-361.901985,6.278837
0.020000,17.902165,313.238690,17.904202,64.902095,100.795785,-361.657673,6.277546
0.020000,19.237586,313.230191,19.239649,66.772381,93.514286,-364.074965,6.276072
0.020000,20.607479,313.219324,20.609586,68.496831,86.222546,-364.586971,6.274407
0.020000,22.008911,313.205733,22.011084,70.074899,78.903363,-365.959166,6.272541
0.020000,23.438941,313.189047,23.441210,71.506325,71.571323,-366.602010,6.270466
0.020000,24.894603,313.168886,24.897013,72.790128,64.190148,-369.058733,6.268176
0.020000,26.372925,313.144862,26.375530,73.925833,56.785224,-370.246206,6.265664
0.020000,27.870909,313.116585,27.873781,74.912558,49.336293,-372.446571,6.262925
0.020000,29.385562,313.083669,29.388791,75.750495,41.896804,-371.974420,6.259956
0.020000,30.913844,313.045739,30.917544,76.437640,34.357253,-376.977576,6.256752
0.020000,32.452710,313.002433,32.457019,76.973774,26.806722,-377.526540,6.253314
0.020000,33.999093,312.953411,34.004179,77.357998,19.211219,-379.775143,6.249640
0.020000,35.549904,312.898364,35.555966,77.589357,11.567913,-382.165288,6.245731
0.020000,37.103606,312.836950,37.110882,77.745771,7.820695,-187.360895,6.241587
0.020000,38.660232,312.768769,38.669000,77.905923,8.007619,9.346159,6.237200
0.020000,40.219813,312.693411,40.230401,78.070044,8.206027,9.920444,6.232566
0.020000,41.782380,312.610451,41.795168,78.238367,8.416168,10.507022,6.227678
0.020000,43.347960,312.519449,43.363391,78.411132,8.638279,11.105540,6.222529
0.020000,44.916579,312.419955,44.935163,78.588584,8.872588,11.715479,6.217112
0.020000,46.488265,312.311498,46.510586,78.771192,9.130385,12.889833,6.211419
0.020000,48.063044,312.193593,48.089773,78.959311,9.405945,13.777994,6.205443
0.020000,49.640922,312.065738,49.672822,79.152494,9.659150,12.660259,6.199175
0.020000,51.221910,311.927414,51.259850,79.351389,9.944782,14.281614,6.192607
0.020000,52.806012,311.778079,52.850975,79.556258,10.243408,14.931285,6.185729
0.020000,54.393249,311.617173,54.446347,79.768588,10.616507,18.654926,6.178531
0.020000,55.983592,311.444115,56.046079,79.986584,10.899795,14.164423,6.171004
0.020000,57.577018,311.258302,57.650302,80.211158,11.228742,16.447359,6.163137
0.020000,59.173532,311.059103,59.259195,80.444642,11.674196,22.272710,6.154919
0.020000,60.773059,310.845872,60.872872,80.683863,11.961013,14.340836,6.146339
0.020000,62.375570,310.617928,62.491513,80.932064,12.410045,22.451574,6.137385
0.020000,63.980980,310.374571,64.115264,81.187534,12.773537,18.174605,6.128045
