dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001083,286.750000,0.001529,0.152941,7.647059,382.352941,6.283104
0.020000,-0.001048,286.750000,0.001565,0.001768,-7.558673,-760.286598,6.283106
0.020000,-0.000968,286.750000,0.001644,0.003970,0.110107,383.439005,6.283112
0.020000,-0.000828,286.750000,0.001785,0.007032,0.153101,2.149686,6.283123
0.020000,-0.000609,286.750000,0.002003,0.010922,0.194485,2.069217,6.283139
0.020000,-0.000298,286.750000,0.002315,0.015586,0.233234,1.937471,6.283163
0.020000,0.021931,286.750000,0.024543,1.111419,54.791621,2727.919328,0.000009
0.020000,0.120350,286.750003,0.122963,4.920979,190.478018,6784.319844,0.000050
0.020000,0.244899,286.750012,0.247511,6.227417,65.321923,-6257.804757,0.000100
0.020000,0.398639,286.750032,0.401252,7.687029,72.980587,382.933193,0.000160
0.020000,0.584630,286.750069,0.587243,9.299556,80.626338,382.287580,0.000231
0.020000,0.805925,286.750129,0.808538,11.064758,88.260084,381.687268,0.000311
0.020000,1.065572,286.750221,1.068185,12.982343,95.879255,380.958591,0.000399
0.020000,1.366611,286.750356,1.369224,15.051931,103.479402,380.007313,0.000496
0.020000,1.712069,286.750545,1.714681,17.272886,111.047757,378.417776,0.000597
0.020000,2.104966,286.750800,2.107578,19.644850,118.598218,377.523035,0.000700
0.020000,2.548308,286.751133,2.550921,22.167118,126.113401,375.759168,0.000801
0.020000,3.043556,286.751554,3.046169,24.762401,129.764112,182.535562,0.000895
0.020000,3.590625,286.752067,3.593238,27.353481,129.553997,-10.505763,0.000976
0.020000,4.189423,286.752671,4.192037,29.939932,129.322572,-11.571254,0.001036
0.020000,4.839849,286.753358,4.842463,32.521298,129.068317,-12.712767,0.001068
0.020000,5.541791,286.754109,5.544406,35.097139,128.792013,-13.815164,0.001064
0.020000,6.295131,286.754894,6.297746,37.667020,128.494060,-14.897664,0.001014
0.020000,7.099740,286.755672,7.102355,40.230465,128.172240,-16.091031,0.000909
0.020000,7.955481,286.756381,7.958096,42.787054,127.829448,-17.139594,0.000739
0.020000,8.860682,286.756944,8.863298,45.260068,123.650735,-208.935650,0.000492
0.020000,9.812150,286.757259,9.814766,47.573405,115.666840,-399.194730,0.000159
0.020000,10.806694,286.757211,10.809310,49.727206,107.690067,-398.838655,6.282915
0.020000,11.841128,286.756662,11.843744,51.721677,99.723527,-398.326992,6.282379
0.020000,12.912270,286.755458,12.914886,53.557141,91.773220,-397.515334,6.281728
0.020000,14.016949,286.753431,14.019567,55.234031,83.844476,-396.437220,6.280954
0.020000,15.152002,286.750395,15.154624,56.752862,75.941546,-395.146512,6.280048
0.020000,16.314275,286.746153,16.316905,58.114047,68.059267,-394.113957,6.279004
0.020000,17.500622,286.740500,17.503266,59.318021,60.198673,-393.029662,6.277815
0.020000,18.707905,286.733220,18.710571,60.365248,52.361389,-391.864226,6.276475
0.020000,19.933005,286.724097,19.935705,61.256717,44.573417,-389.398590,6.274980
0.020000,21.172806,286.712913,21.175556,61.992580,36.793181,-389.011791,6.273326
0.020000,22.424218,286.699454,22.427040,62.574175,29.079747,-385.671712,6.271511
0.020000,23.684145,286.683514,23.687068,63.001416,21.362015,-385.886589,6.269533
0.020000,24.949518,286.664900,24.952578,63.275508,13.704617,-382.869927,6.267392
0.020000,26.217282,286.643432,26.220524,63.397287,6.088932,-380.784223,6.265088
0.020000,27.484400,286.618954,27.487878,63.367696,-1.479539,-378.423565,6.262624
0.020000,28.749327,286.591299,28.753108,63.261473,-5.311117,-191.578913,6.260000
0.020000,30.012016,286.560275,30.016178,63.153513,-5.398030,-4.345656,6.257213
0.020000,31.272416,286.525688,31.277052,63.043701,-5.490577,-4.627325,6.254260
0.020000,32.530470,286.487341,32.535690,62.931923,-5.588917,-4.916999,6.251138
0.020000,33.786119,286.445037,33.792051,62.818058,-5.693220,-5.215170,6.247845
0.020000,35.039297,286.398573,35.046091,62.701985,-5.803666,-5.522302,6.244376
0.020000,36.289936,286.347748,36.297763,62.583576,-5.920443,-5.838826,6.240729
0.020000,37.537962,286.292355,37.547017,62.462701,-6.043745,-6.165124,6.236899
0.020000,38.783294,286.232187,38.793801,62.339226,-6.173776,-6.501524,6.232883
0.020000,40.025847,286.167031,40.038061,62.213011,-6.310741,-6.848282,6.228676
0.020000,41.265530,286.096675,41.279740,62.083914,-6.454853,-7.205573,6.224275
0.020000,42.502247,286.020901,42.518776,61.951788,-6.606322,-7.573467,6.219674
0.020000,43.735893,285.939491,43.755105,61.816480,-6.765361,-7.951916,6.214868
0.020000,44.966359,285.852221,44.988662,61.677837,-6.932175,-8.340728,6.209854
0.020000,46.193527,285.758866,46.219376,61.535698,-7.106966,-8.739545,6.204624
0.020000,47.417273,285.659198,47.447174,61.389899,-7.289922,-9.147815,6.199175
0.020000,48.637465,285.552985,48.671979,61.240275,-7.481218,-9.564761,6.193500
0.020000,49.853961,285.439992,49.893712,61.086655,-7.681005,-9.989348,6.187594
0.020000,51.066615,285.319984,51.112290,60.928866,-7.889409,-10.420243,6.181449
0.020000,52.275280,285.192717,52.327637,60.767359,-8.075396,-9.299331,6.175060
0.020000,53.479786,285.057950,53.539659,60.601087,-8.313589,-11.909631,6.168420
0.020000,54.679952,284.915437,54.748256,60.429876,-8.560534,-12.347281,6.161522
0.020000,55.875592,284.764930,55.953332,60.253800,-8.803791,-12.162851,6.154359
0.020000,57.066534,284.606177,57.154809,60.073823,-8.998878,-9.754341,6.146923
0.020000,58.252557,284.438925,58.352566,59.887870,-9.297657,-14.938929,6.139206
0.020000,59.433439,284.262921,59.546492,59.696318,-9.577599,-13.997137,6.131202
0.020000,60.608988,284.077905,60.736511,59.500953,-9.768227,-9.531398,6.122901
0.020000,61.778934,283.883623,61.922479,59.298389,-10.128200,-17.998617,6.114295
0.020000,62.943052,283.679812,63.104304,59.091254,-10.356738,-11.426898,6.105376
0.020000,64.101074,283.466216,64.281860,58.877781,-10.673676,-15.846930,6.096136
0.020000,65.252738,283.242572,65.455038,58.658922,-10.942923,-13.462329,6.086564
0.020000,66.397755,283.008624,66.623710,58.433592,-11.266503,-16.179012,6.076654
0.020000,67.535849,282.764110,67.787775,58.203219,-11.518639,-12.606781,6.066394
0.020000,68.666695,282.508777,68.947088,57.965670,-11.877473,-17.941692,6.055777
0.020000,69.790002,282.242365,70.101555,57.723370,-12.114977,-11.875230,6.044794
0.020000,70.905435,281.964625,71.251046,57.474534,-12.441802,-16.341239,6.033435
0.020000,72.012652,281.675309,72.395438,57.219621,-12.745676,-15.193721,6.021692
0.020000,73.111319,281.374171,73.534628,56.959470,-13.007524,-13.092362,6.009556
0.020000,74.201088,281.060969,74.668512,56.694182,-13.264410,-12.844323,5.997019
0.020000,75.281587,280.735473,75.796973,56.423098,-13.554227,-14.490836,5.984073
0.020000,76.352450,280.397454,76.919918,56.147216,-13.794094,-11.993348,5.970711
0.020000,77.413304,280.046693,78.037256,55.866924,-14.014602,-11.025405,5.956926
0.020000,78.463773,279.682975,79.148910,55.582691,-14.211626,-9.851214,5.942712
0.020000,79.503475,279.306098,80.254812,55.295078,-14.380678,-8.452586,5.928064
0.020000,80.532031,278.915866,81.354906,55.004739,-14.516926,-6.812421,5.912978
0.020000,81.549060,278.512094,82.449155,54.712434,-14.615235,-4.915414,5.897450
0.020000,82.554186,278.094606,83.537536,54.419030,-14.670212,-2.748870,5.881480
0.020000,83.547035,277.663239,84.620046,54.125505,-14.676284,-0.303607,5.865066
0.020000,84.527245,277.217837,85.696705,53.832949,-14.627783,2.425071,5.848211
0.020000,85.494462,276.758257,86.767556,53.542568,-14.519056,5.436355,5.830918
0.020000,86.448346,276.284366,87.832670,53.255676,-14.344597,8.722920,5.813192
0.020000,87.388570,275.796038,88.892143,52.973692,-14.099198,12.269959,5.795040
0.020000,88.314827,275.293161,89.946106,52.698130,-13.778111,16.054347,5.776473
0.020000,89.226830,274.775626,90.994720,52.430707,-13.371125,20.349323,5.757502
0.020000,90.124311,274.243338,92.038178,52.172878,-12.891453,23.983558,5.738141
0.020000,91.007024,273.696206,93.076704,51.926289,-12.329465,28.099415,5.718409
0.020000,91.874750,273.134147,94.110559,51.692796,-11.674615,32.742496,5.698324
0.020000,92.727294,272.557083,95.140042,51.474126,-10.933515,37.055029,5.677909
0.020000,93.564486,271.964941,96.165480,51.271912,-10.110692,41.141139,5.657189
0.020000,94.386182,271.357652,97.187235,51.087746,-9.208331,45.118061,5.636191
0.020000,95.192261,270.735152,98.205700,50.923237,-8.225438,49.144627,5.614944
0.020000,95.982630,270.097381,99.221296,50.779783,-7.172708,52.636487,5.593481
0.020000,96.757215,269.444283,100.234468,50.658617,-6.058285,55.721181,5.571835
0.020000,97.515957,268.775812,101.245677,50.560456,-4.908064,57.511022,5.550042
0.020000,98.258825,268.091919,102.255411,50.486688,-3.688391,60.983642,5.528136
0.020000,98.985801,267.392568,103.264165,50.437725,-2.448159,62.011602,5.506157
0.020000,99.696880,266.677732,104.272443,50.413898,-1.191349,62.840504,5.484142
0.020000,100.392067,265.947393,105.280749,50.415306,0.070392,63.087069,5.462130
0.020000,101.071380,265.201548,106.289585,50.441794,1.324432,62.701993,5.440157
0.020000,101.734840,264.440209,107.299445,50.492965,2.558560,61.706390,5.418261
0.020000,102.382477,263.663406,108.310808,50.568192,3.761340,60.139000,5.396479
0.020000,103.014324,262.871186,109.324141,50.666641,4.922430,58.054524,5.374845
0.020000,103.630421,262.063619,110.339887,50.787298,6.032854,55.521189,5.353393
0.020000,104.230802,261.240803,111.358456,50.928436,7.056904,51.202509,5.332154
0.020000,104.815502,260.402869,112.380224,51.088386,7.997522,47.030892,5.311158
0.020000,105.384583,259.549938,113.405574,51.267528,8.957086,47.978177,5.290431
0.020000,105.938084,258.682191,114.434821,51.462341,9.740656,39.178525,5.269998
0.020000,106.476049,257.799837,115.468240,51.670939,10.429893,34.461841,5.249881
0.020000,106.998547,256.903076,116.506115,51.893752,11.140661,35.538406,5.230099
0.020000,107.505628,255.992172,117.548649,52.126694,11.647078,25.320836,5.210668
0.020000,107.997358,255.067401,118.596026,52.368853,12.107928,23.042497,5.191605
0.020000,108.473820,254.129034,119.648428,52.620094,12.562065,22.706867,5.172919
0.020000,108.935091,253.177390,120.705971,52.877159,12.853278,14.560665,5.154621
0.020000,109.381257,252.212806,121.768744,53.138646,13.074354,11.053778,5.136717
0.020000,109.812414,251.235632,122.836810,53.403292,13.232273,7.895974,5.119214
0.020000,110.228669,250.246229,123.910209,53.669981,13.334432,5.107936,5.102114
0.020000,110.630139,249.244963,124.988964,53.937749,13.388433,2.700038,5.085418
0.020000,111.016955,248.232204,126.073080,54.205787,13.401900,0.673354,5.069127
0.020000,111.389255,247.208322,127.162549,54.473434,13.382316,-0.979173,5.053238
0.020000,111.747182,246.173711,128.257323,54.738706,13.263642,-5.933703,5.037749
0.020000,112.090874,245.128804,129.357303,54.999004,13.014874,-12.438432,5.022656
0.020000,112.420522,244.073902,130.462511,55.260404,13.069990,2.755826,5.007953
0.020000,112.736264,243.009495,131.572762,55.512538,12.606707,-23.164170,4.993635
0.020000,113.038302,241.935883,132.688050,55.764412,12.593720,-0.649320,4.979696
