dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.665614,315.496805,0.008547,0.854701,42.735043,2136.752137,0.019109
0.020000,14.665743,315.496807,0.008676,0.006451,-42.412468,-4257.375547,0.019102
0.020000,14.740673,315.498238,0.083619,3.747169,187.035871,11472.416981,0.019085
0.020000,14.869353,315.500693,0.212323,6.435197,134.401398,-2631.723660,0.019056
0.020000,15.049526,315.504123,0.392529,9.010294,128.754840,-282.327906,0.019015
0.020000,15.281213,315.508523,0.624257,11.586409,128.805744,2.545179,0.018960
0.020000,15.564439,315.513883,0.907534,14.163832,128.871191,3.272350,0.018890
0.020000,15.899236,315.520194,1.242391,16.742856,128.951189,3.999924,0.018803
0.020000,16.285644,315.527440,1.628867,19.323771,129.045725,4.726771,0.018697
0.020000,16.723705,315.535604,2.067004,21.906867,129.154818,5.454692,0.018569
0.020000,17.213470,315.544663,2.556853,24.492436,129.278453,6.181715,0.018417
0.020000,17.754994,315.554589,3.098468,27.080769,129.416646,6.909642,0.018236
0.020000,18.348340,315.565348,3.691911,29.672157,129.569392,7.637299,0.018025
0.020000,18.993574,315.576901,4.337249,32.266891,129.736693,8.365082,0.017778
0.020000,19.690771,315.589199,5.034554,34.865262,129.918555,9.093093,0.017493
0.020000,20.440010,315.602185,5.783905,37.467562,130.114995,9.822005,0.017164
0.020000,21.241376,315.615791,6.585387,40.074081,130.325981,10.549308,0.016786
0.020000,22.094961,315.629939,7.439089,42.685112,130.551558,11.278849,0.016355
0.020000,23.000862,315.644536,8.345108,45.300947,130.791716,12.007893,0.015864
0.020000,23.959183,315.659477,9.303546,47.921876,131.046450,12.736676,0.015309
0.020000,24.970034,315.674640,10.314510,50.548191,131.315778,13.466427,0.014682
0.020000,26.033528,315.689885,11.378113,53.180185,131.599689,14.195554,0.013978
0.020000,27.149788,315.705054,12.494476,55.818149,131.898199,14.925474,0.013190
0.020000,28.318940,315.719967,13.663724,58.462375,132.211312,15.655659,0.012310
0.020000,29.541118,315.734420,14.885987,61.113155,132.539000,16.384411,0.011330
0.020000,30.816459,315.748185,16.161403,63.770781,132.881272,17.113586,0.010244
0.020000,32.145108,315.761006,17.490113,66.435543,133.238111,17.841962,0.009043
0.020000,33.527214,315.772599,18.872268,69.107733,133.609487,18.568809,0.007719
0.020000,34.962932,315.782645,20.308021,71.787640,133.995367,19.294007,0.006262
