dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,117.499992,255.017078,0.008547,0.854701,42.735043,2136.752137,1.571772
0.020000,117.500000,255.002447,0.023179,0.731589,-6.155588,-2444.531517,1.570575
0.020000,117.500047,255.032127,0.052859,1.484025,37.621808,2188.869799,1.567875
0.020000,117.500301,255.081264,0.101997,2.456864,48.641958,551.007489,1.563357
0.020000,117.501024,255.149365,0.170102,3.405279,47.420751,-61.060364,1.556992
0.020000,117.502571,255.235749,0.256500,4.319872,45.729615,-84.556810,1.548743
0.020000,117.505387,255.339549,0.360338,5.191931,43.602961,-106.332664,1.538559
0.020000,117.509991,255.459735,0.480612,6.013694,41.088139,-125.741128,1.526384
0.020000,117.516968,255.595123,0.616180,6.778391,38.234874,-142.663252,1.512153
0.020000,117.526950,255.744420,0.765810,7.481480,35.154445,-154.021419,1.495795
0.020000,117.540611,255.906260,0.928225,8.120771,31.964564,-159.494054,1.477237
0.020000,117.558650,256.079274,1.102177,8.697624,28.842615,-156.097450,1.456408
0.020000,117.581796,256.262174,1.286536,9.217922,26.014929,-141.384303,1.433244
0.020000,117.610811,256.453862,1.480407,9.693566,23.782205,-111.636211,1.407692
0.020000,117.646530,256.653564,1.683279,10.143572,22.500263,-64.097118,1.379725
0.020000,117.689911,256.860985,1.895188,10.595471,22.594963,4.735018,1.349344
0.020000,117.742134,257.076476,2.116917,11.086424,24.547639,97.633774,1.316593
0.020000,117.804734,257.301186,2.350183,11.663338,28.845719,214.904010,1.281572
0.020000,117.879768,257.537195,2.597832,12.382451,35.955636,355.495842,1.244442
0.020000,117.970019,257.787566,2.863973,13.307053,46.230128,513.724606,1.205439
0.020000,118.079187,258.056320,3.154053,14.503972,59.845943,680.790753,1.164873
0.020000,118.212056,258.348274,3.474820,16.038368,76.719773,843.691537,1.123130
0.020000,118.374571,258.668777,3.834171,17.967562,96.459709,986.996793,1.080663
0.020000,118.573799,259.023337,4.240871,20.334971,118.370468,1095.537929,1.037970
0.020000,118.817750,259.417210,4.704172,23.165083,141.505569,1156.755074,0.995582
0.020000,119.115057,259.855024,5.233391,26.460924,164.792048,1164.323908,0.954031
0.020000,119.474574,260.340482,5.837479,30.204402,187.173942,1119.094742,0.913827
0.020000,119.904930,260.876233,6.524673,34.359691,207.764415,1029.523648,0.875442
0.020000,120.414130,261.463886,7.302246,38.878663,225.948628,909.210629,0.839291
0.020000,121.009238,262.104186,8.176396,43.707507,241.442209,774.679044,0.805728
0.020000,121.696190,262.797302,9.152260,48.793209,254.285094,642.144242,0.775047
0.020000,122.479725,263.543163,10.234036,54.088767,264.777873,524.638967,0.747488
0.020000,123.363440,264.341840,11.425184,59.557427,273.432994,432.756049,0.723247
0.020000,124.349904,265.193900,12.728687,65.175142,280.885761,372.638374,0.702496
0.020000,125.440840,266.100759,14.147325,70.931895,287.837657,347.594795,0.685394
0.020000,126.637304,267.065008,15.683978,76.832635,295.036983,359.966280,0.672104
0.020000,127.565619,267.789475,16.861527,58.877465,-897.758477,-59639.773016,0.637488
0.020000,128.288098,268.293782,17.742607,44.054001,-741.173202,7829.263776,0.580882
0.020000,129.046470,268.760268,18.632965,44.517903,23.195109,38218.415525,0.521877
0.020000,129.849001,269.190017,19.543316,45.517563,49.982977,1339.393406,0.461573
0.020000,130.702736,269.582864,20.483100,46.989158,73.579772,1179.839777,0.401486
0.020000,131.614533,269.938502,21.461798,48.934932,97.288701,1185.446420,0.343134
0.020000,132.592763,270.257110,22.490606,51.440392,125.272991,1399.214495,0.287645
0.020000,133.646830,270.538747,23.581650,54.552198,155.590315,1515.866221,0.235711
0.020000,134.782974,270.782288,24.743603,58.097660,177.273102,1084.139345,0.187829
0.020000,136.004252,270.986234,25.981793,61.909492,190.591579,665.923830,0.144303
0.020000,137.310984,271.149390,27.298672,65.843925,196.721673,306.504719,0.105272
0.020000,138.701441,271.271332,28.694465,69.789658,197.286647,28.248726,0.070750
0.020000,140.172580,271.352637,30.167850,73.669244,193.979290,-165.367891,0.040661
0.020000,141.720716,271.394932,31.716563,77.435672,188.321403,-282.894345,0.014875
0.020000,143.342038,271.400832,33.337896,81.066647,181.548712,-338.634543,6.276424
0.020000,145.032996,271.373826,35.029069,84.558676,174.601451,-347.363056,6.258778
0.020000,146.790548,271.318152,36.787502,87.921646,168.148505,-322.647310,6.244975
0.020000,148.741914,271.235176,38.740632,97.656498,486.742640,15929.706750,6.244993
0.020000,151.521088,271.190909,41.520159,138.976327,2065.991445,78962.440251,0.006365
0.020000,154.293910,271.270267,44.294116,138.697865,-13.923107,-103995.727586,0.050834
0.020000,157.030247,271.469582,47.037702,137.179299,-75.928311,-3100.260201,0.094515
0.020000,159.695099,271.779126,49.720472,134.138499,-152.039995,-3805.584196,0.136644
0.020000,162.261746,272.184682,52.318963,129.924542,-210.697864,-2932.893446,0.176628
0.020000,164.718268,272.671102,54.823179,125.210822,-235.685995,-1249.406553,0.214154
0.020000,167.061561,273.224029,57.230824,120.382233,-241.429463,-287.173413,0.249090
0.020000,169.290788,273.829822,59.540897,115.503665,-243.928374,-124.945513,0.281380
0.020000,171.406959,274.475893,61.753495,110.629893,-243.688591,11.989120,0.311029
0.020000,173.412495,275.150919,63.869585,105.804467,-241.271335,120.862830,0.338093
0.020000,175.310819,275.844907,65.890785,101.060017,-237.222458,202.443839,0.362664
0.020000,177.105998,276.549190,67.819174,96.419450,-232.028361,259.704849,0.384861
0.020000,178.802462,277.256348,69.657124,91.897505,-226.097252,296.555433,0.404821
0.020000,180.404771,277.960105,71.407172,87.502396,-219.755457,317.089772,0.422687
0.020000,181.917457,278.655205,73.071919,83.237349,-213.252355,325.155103,0.438609
0.020000,183.344909,279.337285,74.653960,79.102048,-206.765028,324.366354,0.452736
