dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.998647,173.500000,0.004398,0.439815,21.990741,1099.537037,0.000118
0.020000,65.999128,173.500000,0.004878,0.024008,-20.790324,-2139.053249,0.000076
0.020000,66.007780,173.500000,0.013531,0.432637,20.431426,2061.087500,6.283167
0.020000,66.080062,173.499993,0.085813,3.614107,159.073508,6932.104088,6.283001
0.020000,66.192988,173.499957,0.198739,5.646292,101.609262,-2873.212265,6.282743
0.020000,66.355569,173.499855,0.361320,8.129054,124.138091,1126.441462,6.282373
0.020000,66.576799,173.499620,0.582550,11.061498,146.622209,1124.205884,6.281876
0.020000,66.865646,173.499149,0.871398,14.442379,169.044046,1121.091846,6.281235
0.020000,67.231046,173.498291,1.236798,18.270041,191.383101,1116.952762,6.280440
0.020000,67.677384,173.496853,1.683139,22.317009,202.348377,548.263800,6.279490
0.020000,68.204502,173.494616,2.210262,26.356150,201.957071,-19.565313,6.278399
0.020000,68.812214,173.491336,2.817983,30.386042,201.494576,-23.124747,6.277184
0.020000,69.500304,173.486749,3.506088,34.405260,200.960913,-26.683152,6.275864
0.020000,70.268527,173.480580,4.274335,38.412382,200.356109,-30.240202,6.274458
0.020000,71.116609,173.472550,5.122455,42.405986,199.680184,-33.796272,6.272991
0.020000,72.044246,173.462388,6.050148,46.384651,198.933240,-37.347191,6.271489
0.020000,73.051107,173.449840,7.057087,50.346957,198.115314,-40.896290,6.269980
0.020000,74.136831,173.434682,8.142917,54.291487,197.226488,-44.441279,6.268494
0.020000,75.301029,173.416729,9.307253,58.216825,196.266894,-47.979730,6.267067
0.020000,76.543285,173.395855,10.549685,62.121555,195.236517,-51.518823,6.265732
0.020000,77.863154,173.371998,11.869770,66.004265,194.135488,-55.051473,6.264529
0.020000,79.260168,173.345182,13.267041,69.863539,192.963715,-58.588657,6.263498
0.020000,80.733829,173.315531,14.741000,73.697963,191.721181,-62.126669,6.262683
0.020000,82.283616,173.283282,16.291122,77.506117,190.407720,-65.673067,6.262129
0.020000,83.904582,173.248901,17.912453,81.066559,178.022095,-619.281243,6.261884
0.020000,85.587414,173.213090,19.595666,84.160654,154.704740,-1165.867731,6.261995
0.020000,87.322869,173.176693,21.331502,86.791785,131.556570,-1157.408515,6.262502
0.020000,89.101779,173.140665,23.110777,88.963741,108.597788,-1147.939117,6.263439
0.020000,90.915061,173.106050,24.924390,90.680658,85.845850,-1137.596901,6.264832
0.020000,92.753720,173.073948,26.763329,91.946967,63.315484,-1126.518315,6.266699
0.020000,94.608849,173.045471,28.618676,92.767344,41.018850,-1114.831692,6.269052
0.020000,96.471630,173.021714,30.481609,93.146650,18.965293,-1102.677847,6.271893
0.020000,98.333341,173.003708,32.343407,93.089884,-2.838321,-1090.180671,6.275215
0.020000,100.189639,172.992361,34.199740,92.816660,-13.661183,-541.143102,6.279012
0.020000,102.040505,172.988515,36.050610,92.543468,-13.659591,0.079609,0.000099
0.020000,103.885907,172.993002,37.896017,92.270388,-13.654000,0.279505,0.004846
0.020000,105.725807,173.006646,39.735968,91.997526,-13.643099,0.545091,0.010067
0.020000,107.560155,173.030263,41.570468,91.725018,-13.625414,0.884221,0.015763
0.020000,109.388893,173.064658,43.399529,91.453030,-13.599426,1.299386,0.021931
0.020000,111.211948,173.110628,45.223164,91.181765,-13.563210,1.810836,0.028571
0.020000,113.029242,173.168956,47.041393,90.911465,-13.515032,2.408896,0.035681
0.020000,114.840681,173.240418,48.854242,90.642407,-13.452906,3.106273,0.043259
0.020000,116.646163,173.325773,50.661740,90.374911,-13.374773,3.906687,0.051303
0.020000,118.445573,173.425769,52.463927,90.109341,-13.278502,4.813550,0.059808
0.020000,120.118145,173.535004,54.140062,83.806779,-315.128130,-15092.481431,0.073081
0.020000,121.811022,173.674017,55.838637,84.928737,56.097942,18561.303628,0.090594
0.020000,123.513077,173.842957,57.549055,85.520916,29.608908,-1324.451737,0.107078
0.020000,125.224259,174.040425,59.271594,86.126924,30.300441,34.576677,0.122508
0.020000,126.944538,174.264954,61.006464,86.743489,30.828244,26.390141,0.136866
0.020000,128.673909,174.515013,62.753820,87.367805,31.215780,19.376813,0.150138
0.020000,130.412398,174.789019,64.513769,87.997457,31.482605,13.341250,0.162315
0.020000,132.160064,175.085334,66.286378,88.630443,31.649308,8.335136,0.173392
0.020000,133.917009,175.402280,68.071681,89.265154,31.735551,4.312159,0.183365
0.020000,135.683370,175.738135,69.869688,89.900358,31.760208,1.232833,0.192233
0.020000,137.459329,176.091141,71.680391,90.535152,31.739662,-1.027267,0.199998
0.020000,139.245110,176.459508,73.503770,91.168930,31.688921,-2.537098,0.206660
0.020000,141.040979,176.841414,75.339796,91.801346,31.620786,-3.406702,0.212223
0.020000,142.847239,177.235004,77.188442,92.432289,31.547164,-3.681144,0.216688
