dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.001353,150.500000,0.004398,0.439815,21.990741,1099.537037,0.000118
0.020000,66.000872,150.500000,0.004878,0.024008,-20.790324,-2139.053249,0.000076
0.020000,66.007368,150.500000,0.011374,0.324771,15.038111,1791.421786,6.283167
0.020000,66.075826,150.499993,0.079832,3.422930,154.907973,6993.493053,6.283001
0.020000,66.182808,150.499959,0.186814,5.349078,96.307403,-2930.028493,6.282743
0.020000,66.336894,150.499863,0.340899,7.704279,117.760053,1072.632519,6.282373
0.020000,66.546682,150.499640,0.550688,10.489427,139.257413,1074.868002,6.281876
0.020000,66.820797,150.499193,0.824803,13.705768,160.817051,1077.981918,6.281235
0.020000,67.167895,150.498378,1.171903,17.354958,182.459470,1082.120948,6.280440
0.020000,67.592386,150.497010,1.596396,21.224656,193.484917,551.272312,6.279490
0.020000,68.094425,150.494879,2.098439,25.102181,193.876221,19.565214,6.278399
0.020000,68.674196,150.491750,2.678218,28.988955,194.338699,23.123914,6.277184
0.020000,69.331909,150.487365,3.335946,32.886402,194.872355,26.682799,6.275864
0.020000,70.067804,150.481455,4.071865,36.795945,195.477167,30.240609,6.274458
0.020000,70.882148,150.473745,4.886245,40.719006,196.153072,33.795216,6.272991
0.020000,71.775235,150.463961,5.779386,44.657007,196.900049,37.348883,6.271489
0.020000,72.747386,150.451845,6.751613,48.611367,197.717989,40.896981,6.269980
0.020000,73.798954,150.437164,7.803283,52.583503,198.606806,44.440873,6.268494
0.020000,74.930316,150.419717,8.934780,56.574833,199.566467,47.983037,6.267067
0.020000,76.141881,150.399358,10.146515,60.586769,200.596825,51.517875,6.265732
0.020000,77.434084,150.376000,11.438930,64.620728,201.697927,55.055126,6.264529
0.020000,78.807393,150.349639,12.812492,68.678122,202.869699,58.588604,6.263498
0.020000,80.262306,150.320365,14.267699,72.760367,204.112260,62.128023,6.262683
0.020000,81.799351,150.288381,15.805077,76.868881,205.425728,65.673428,6.262129
0.020000,83.414694,150.254118,17.420783,80.785293,195.820564,-480.258224,6.261884
0.020000,85.100081,150.218254,19.106551,84.288421,175.156389,-1033.208727,6.261995
0.020000,86.847194,150.181612,20.854049,87.374880,154.322976,-1041.670668,6.262502
0.020000,88.647642,150.145149,22.654867,90.040882,133.300122,-1051.142693,6.263439
0.020000,90.492952,150.109924,24.500512,92.282291,112.070404,-1061.485892,6.264832
0.020000,92.374559,150.077073,26.382406,94.094672,90.619060,-1072.567223,6.266699
0.020000,94.283801,150.047768,28.291873,95.473353,68.934068,-1084.249589,6.269052
0.020000,96.211914,150.023181,30.220142,96.413471,47.005886,-1096.409088,6.271893
0.020000,98.150024,150.004438,32.158343,96.910028,24.827881,-1108.900258,6.275215
0.020000,100.093652,149.992561,34.102007,97.183226,13.659853,-558.401427,6.279012
0.020000,102.042775,149.988515,36.051135,97.456387,13.658052,-0.090050,0.000099
0.020000,103.997358,149.993272,38.005724,97.729432,13.652292,-0.287966,0.004846
0.020000,105.957349,150.007812,39.965769,98.002257,13.641232,-0.553014,0.010067
0.020000,107.922681,150.033120,41.931263,98.274725,13.623401,-0.891533,0.015763
0.020000,109.893266,150.070189,43.902197,98.546667,13.597099,-1.315107,0.021931
0.020000,111.868995,150.120015,45.878554,98.817883,13.560790,-1.815475,0.028571
0.020000,113.849738,150.183596,47.860317,99.088132,13.512480,-2.415492,0.035681
0.020000,115.835336,150.261935,49.847460,99.357137,13.450224,-3.112778,0.043259
0.020000,117.825604,150.356033,51.839951,99.624576,13.371966,-3.912910,0.051303
0.020000,119.820327,150.466892,53.837753,99.890088,13.275570,-4.819781,0.059808
0.020000,121.797508,150.596396,55.819170,99.070845,-40.962152,-2711.886108,0.073081
0.020000,123.891838,150.768336,57.920546,105.068800,299.897748,17042.994970,0.090594
0.020000,125.971162,150.974686,60.010084,104.476904,-29.594788,-16474.626762,0.107078
0.020000,128.034894,151.212803,62.087508,103.871194,-30.285481,-34.534652,0.122508
0.020000,130.082627,151.480038,64.152605,103.254869,-30.816239,-26.537933,0.136866
0.020000,132.114120,151.773753,66.205221,102.630789,-31.204005,-19.388283,0.150138
0.020000,134.129276,152.091336,68.245248,102.001362,-31.471381,-13.368786,0.162315
0.020000,136.128125,152.430214,70.272620,101.368582,-31.638974,-8.379689,0.173392
0.020000,138.110807,152.787859,72.287301,100.734052,-31.726525,-4.377521,0.183365
0.020000,140.077555,153.161794,74.289281,100.099015,-31.751853,-1.266431,0.192233
0.020000,142.028676,153.549600,76.278569,99.464371,-31.732162,0.984569,0.199998
0.020000,143.964536,153.948910,78.255183,98.830724,-31.682367,2.489751,0.206660
0.020000,145.885550,154.357417,80.219151,98.198408,-31.615815,3.327580,0.212223
0.020000,147.792163,154.772864,82.170502,97.567551,-31.542822,3.649673,0.216688
0.020000,149.684844,155.193051,84.109264,96.938088,-31.473143,3.483949,0.220059
0.020000,151.564071,155.615825,86.035460,96.309803,-31.414252,2.944537,0.222337
0.020000,153.430325,156.039078,87.949108,95.682373,-31.371499,2.137649,0.223524
0.020000,155.284079,156.460749,89.850216,95.055408,-31.348263,1.161804,0.223620
0.020000,157.125795,156.878814,91.738785,94.428472,-31.346801,0.073107,0.222626
0.020000,158.955912,157.291285,93.614808,93.801128,-31.367228,-1.021351,0.220541
0.020000,160.774845,157.696211,95.478267,93.172975,-31.407635,-2.020342,0.217364
0.020000,162.582445,158.091556,97.328596,92.516451,-32.826177,-70.927104,0.213094
0.020000,164.374393,158.474458,99.160997,91.620031,-44.821014,-599.741861,0.207744
0.020000,166.142835,158.841495,100.967126,90.306473,-65.677926,-1042.845607,0.201355
0.020000,167.880050,159.189602,102.738875,88.587418,-85.952708,-1013.739096,0.193987
0.020000,169.578435,159.516134,104.468364,86.474478,-105.647041,-984.716657,0.185718
0.020000,171.230496,159.818927,106.147945,83.979019,-124.772908,-956.293306,0.176650
0.020000,172.828839,160.096349,107.770185,81.112021,-143.349941,-928.851698,0.166899
0.020000,174.366162,160.347326,109.327861,77.883776,-161.412230,-903.114437,0.156604
0.020000,175.835252,160.571358,110.813934,74.303671,-179.005270,-879.651988,0.145917
0.020000,177.229484,160.768579,112.222046,70.405581,-194.904496,-794.961306,0.135000
