dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,120.009247,174.499996,0.004398,0.439815,21.990741,1099.537037,6.282381
0.020000,120.006821,174.499998,0.006824,0.121317,-15.924876,-1895.780847,6.282592
0.020000,120.001365,174.500000,0.012280,0.272773,7.572799,1174.883766,6.283067
0.020000,120.052138,174.500019,0.063053,2.538633,113.292978,5286.008967,0.000724
0.020000,120.146989,174.500150,0.157903,4.742544,110.195535,-154.872178,0.002037
0.020000,120.283640,174.500557,0.294555,6.832584,104.502003,-284.676578,0.003922
0.020000,120.469763,174.501525,0.480681,9.306294,123.685536,959.176637,0.006477
0.020000,120.713082,174.503505,0.724008,12.166347,143.002639,965.855142,0.009795
0.020000,121.021388,174.507169,1.032336,15.416378,162.501539,974.944987,0.013962
0.020000,121.398745,174.513392,1.409744,18.870413,172.701778,510.011953,0.019006
0.020000,121.845475,174.523203,1.856582,22.341914,173.575042,43.663200,0.024897
0.020000,122.361961,174.537802,2.373274,25.834589,174.633756,52.935714,0.031598
0.020000,122.948639,174.558546,2.960318,29.352225,175.881787,62.401553,0.039065
0.020000,123.606003,174.586944,3.618296,32.898891,177.333273,72.574311,0.047248
0.020000,124.334606,174.624638,4.347873,36.478834,178.997167,83.194692,0.056089
0.020000,125.135052,174.673389,5.149802,40.096477,180.882168,94.250051,0.065522
0.020000,126.008002,174.735059,6.024928,43.756255,182.988882,105.335672,0.075475
0.020000,126.954168,174.811586,6.974183,47.462787,185.326603,116.886059,0.085865
0.020000,127.974316,174.904960,7.998596,51.220653,187.893319,128.335794,0.096604
0.020000,129.069267,175.017196,9.099285,55.034412,190.687923,139.730207,0.107594
0.020000,130.239893,175.150300,10.277453,58.908429,193.700851,150.646390,0.118731
0.020000,131.487123,175.306233,11.534393,62.846996,196.928341,161.374515,0.129903
0.020000,132.811947,175.486872,12.871475,66.854116,200.356041,171.385009,0.140989
0.020000,134.215421,175.693968,14.290147,70.933569,203.972634,180.829626,0.151865
0.020000,135.694646,175.928438,15.787840,74.884639,197.553473,-320.958027,0.162371
0.020000,137.242667,176.190087,17.357816,78.498839,180.710007,-842.173278,0.172328
0.020000,138.852430,176.478104,18.993143,81.766311,163.373631,-866.818844,0.181575
0.020000,140.516781,176.791070,20.686663,84.676002,145.484529,-894.455093,0.189968
0.020000,142.228453,177.126972,22.430983,87.216008,127.000317,-924.210588,0.197386
0.020000,143.980064,177.483247,24.218459,89.373817,107.890443,-955.493707,0.203728
0.020000,145.764097,177.856845,26.041191,91.136599,88.139080,-987.568132,0.208917
0.020000,147.572894,178.244294,27.891018,92.491361,67.738109,-1020.048555,0.212897
0.020000,149.398627,178.641789,29.759521,93.425139,46.688896,-1052.460648,0.215636
0.020000,151.237554,179.046228,31.642397,94.143820,35.934063,-537.741679,0.217125
0.020000,153.090151,179.455352,33.539632,94.861732,35.895590,-1.923637,0.217366
0.020000,154.956924,179.866854,35.451222,95.579505,35.888668,-0.346074,0.216358
0.020000,156.838401,180.278376,37.377178,96.297787,35.914069,1.270022,0.214101
0.020000,158.732245,180.686891,39.314581,96.870131,28.617195,-364.843678,0.210599
0.020000,160.631579,181.088420,41.255893,97.065619,9.774415,-942.138996,0.205875
0.020000,162.527700,181.478757,43.191775,96.794124,-13.574745,-1167.458002,0.199978
0.020000,164.411562,181.853914,45.112629,96.042664,-37.572977,-1199.911601,0.192976
0.020000,166.273746,182.210232,47.008596,94.798361,-62.215164,-1232.109380,0.184961
0.020000,168.104455,182.544483,48.869568,93.048617,-87.487201,-1263.601849,0.176049
0.020000,169.893509,182.853966,50.685194,90.781280,-113.366841,-1293.981979,0.166374
0.020000,171.630366,183.136587,52.444894,87.985012,-139.813426,-1322.329258,0.156091
0.020000,173.304143,183.390922,54.137884,84.649511,-166.775048,-1348.081092,0.145374
0.020000,174.906759,183.616668,55.756322,80.921889,-186.381092,-980.302196,0.134388
0.020000,176.434751,183.814696,57.297093,77.038530,-194.167935,-389.342166,0.123271
0.020000,177.886335,183.986422,58.758799,73.085317,-197.660655,-174.635967,0.112146
0.020000,179.259806,184.133498,60.140123,69.066177,-200.956987,-164.816643,0.101127
0.020000,180.553557,184.257766,61.439827,64.985238,-204.046971,-154.499194,0.090321
0.020000,181.766091,184.361207,62.656766,60.846928,-206.915478,-143.425354,0.079828
0.020000,182.896034,184.445895,63.789878,56.655617,-209.565551,-132.503612,0.069740
0.020000,183.942143,184.513948,64.838198,52.415990,-211.981380,-120.791478,0.060141
0.020000,184.903304,184.567484,65.800849,48.132554,-214.171784,-109.520180,0.051108
0.020000,185.778536,184.608582,66.677046,43.809843,-216.135563,-98.188972,0.042709
0.020000,186.566986,184.639243,67.466092,39.452297,-217.877277,-87.085715,0.035004
0.020000,187.267922,184.661353,68.167376,35.064224,-219.403657,-76.318970,0.028047
0.020000,187.880725,184.676659,68.780370,30.649695,-220.726475,-66.140902,0.021882
0.020000,188.404881,184.686735,69.304623,26.212642,-221.852644,-56.308457,0.016551
0.020000,188.839974,184.692966,69.739760,21.756856,-222.789313,-46.833457,0.012085
0.020000,189.188930,184.696554,70.088735,17.448738,-215.405862,369.172537,0.008476
0.020000,189.459759,184.698469,70.359571,13.541775,-195.348181,1002.884084,0.005660
0.020000,189.662296,184.699401,70.562110,10.126957,-170.740904,1230.363854,0.003544
0.020000,189.806435,184.699803,70.706250,7.207004,-145.997650,1237.162671,0.002034
0.020000,189.902121,184.699950,70.801936,4.784300,-121.135177,1243.123648,0.001029
0.020000,189.959324,184.699991,70.859139,2.860144,-96.207790,1246.369385,0.000428
0.020000,189.988037,184.699999,70.887852,1.435646,-71.224893,1249.144806,0.000126
0.020000,189.998260,184.700000,70.898075,0.511171,-46.223774,1250.055983,0.000018
0.020000,190.000000,184.700000,70.899815,0.086992,-21.208966,1250.740413,6.283185
0.020000,190.000000,184.700000,70.899815,0.000000,-4.349580,842.969296,6.283185
