dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,119.990753,151.500004,0.004398,0.439815,21.990741,1099.537037,6.282381
0.020000,119.993179,151.500002,0.006824,0.121317,-15.924876,-1895.780847,6.282592
0.020000,119.998635,151.500000,0.012280,0.272773,7.572799,1174.883766,6.283067
0.020000,120.068780,151.500025,0.082425,3.507240,161.723350,7707.527570,0.000724
0.020000,120.193837,151.500198,0.207482,6.252871,137.281522,-1222.091412,0.002037
0.020000,120.373851,151.500734,0.387497,9.000746,137.393757,5.611745,0.003922
0.020000,120.618740,151.502008,0.632389,12.244620,162.193707,1239.997474,0.006477
0.020000,120.938365,151.504609,0.952025,15.981787,186.858344,1233.231880,0.009795
0.020000,121.342508,151.509411,1.356197,20.208590,211.340149,1224.090256,0.013962
0.020000,121.835865,151.517546,1.849621,24.671191,223.130055,589.495272,0.019006
0.020000,122.418051,151.530331,2.431947,29.116295,222.255217,-43.741904,0.024897
0.020000,123.088589,151.549283,3.102753,33.540311,221.200785,-52.721591,0.031598
0.020000,123.846901,151.576094,3.861539,37.939292,219.949073,-62.585610,0.039065
0.020000,124.692297,151.612611,4.707723,42.309212,218.495955,-72.655887,0.047248
0.020000,125.623968,151.660807,5.640640,46.645854,216.832101,-83.192679,0.056089
0.020000,126.640982,151.722743,6.659538,50.944871,214.950847,-94.062735,0.065522
0.020000,127.742271,151.800537,7.763571,55.201663,212.839637,-105.560475,0.075475
0.020000,128.926638,151.896321,8.951805,59.411715,210.502589,-116.852389,0.085865
0.020000,130.192755,152.012199,10.223214,63.570434,207.935942,-128.332354,0.096604
0.020000,131.539168,152.150198,11.576680,67.673317,205.144150,-139.589636,0.107594
0.020000,132.964304,152.312227,13.010998,71.715883,202.128282,-150.793376,0.118731
0.020000,134.466490,152.500019,14.524877,75.693944,198.903078,-161.260198,0.129903
0.020000,136.043966,152.715090,16.116946,79.603457,195.475635,-171.372174,0.140989
0.020000,137.694905,152.958683,17.785759,83.440665,191.860423,-180.760562,0.151865
0.020000,139.412790,153.230963,19.525088,86.966463,176.289867,-778.527823,0.162371
0.020000,141.186625,153.530758,21.324079,89.949533,149.153510,-1356.817867,0.172328
0.020000,143.005736,153.856211,23.172074,92.399736,122.510156,-1332.167692,0.181575
0.020000,144.859807,154.204833,25.058636,94.328096,96.418018,-1304.606895,0.189968
0.020000,146.738900,154.573571,26.973566,95.746537,70.922038,-1274.798975,0.197386
0.020000,148.633461,154.958907,28.906917,96.667537,46.050017,-1243.601078,0.203728
0.020000,150.534311,155.356955,30.848996,97.103939,21.820071,-1211.497309,0.208917
0.020000,152.432625,155.763568,32.790370,97.068701,-1.761889,-1179.097967,0.212897
0.020000,154.319911,156.174458,34.721866,96.574802,-24.694925,-1146.651823,0.215636
0.020000,156.192286,156.586250,36.638989,95.856167,-35.931797,-561.843586,0.217125
0.020000,158.050284,156.996566,38.541755,95.138272,-35.894718,1.853939,0.217366
0.020000,159.894420,157.403080,40.430165,94.420488,-35.889202,0.275816,0.216358
0.020000,161.725183,157.803516,42.304208,93.702178,-35.915491,-1.314455,0.214101
0.020000,163.540291,158.195055,44.161066,92.842877,-42.965048,-352.477868,0.210599
0.020000,165.333333,158.574124,45.993739,91.633686,-60.459581,-874.726627,0.205875
0.020000,167.096592,158.937123,47.793976,90.011845,-81.092046,-1031.623264,0.199978
0.020000,168.822505,159.280842,49.553783,87.990317,-101.076387,-999.217045,0.192976
0.020000,170.503643,159.602535,51.265422,85.581994,-120.416150,-966.988139,0.184961
0.020000,172.132700,159.899986,52.921413,82.799519,-139.123764,-935.380719,0.176049
0.020000,173.702483,160.171556,54.514513,79.654998,-157.226028,-905.113204,0.166374
0.020000,175.205903,160.416210,56.037709,76.159816,-174.759109,-876.654046,0.156091
0.020000,176.635970,160.633529,57.484194,72.324261,-191.777757,-850.932367,0.145374
0.020000,177.988379,160.824046,58.849957,68.288127,-201.806704,-501.447380,0.134388
0.020000,179.262816,160.989227,60.135054,64.254841,-201.664307,7.119851,0.123271
0.020000,180.460293,161.130903,61.340882,60.291430,-198.170558,174.687435,0.112146
