dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.000000,149.750000,0.001521,0.152130,7.606491,380.324544,0.000000
0.020000,65.000000,149.750000,0.001521,0.000000,-7.606491,-760.649087,0.000000
0.020000,65.000000,149.750000,0.001521,0.000000,0.000000,380.324544,0.000000
0.020000,65.000000,149.750000,0.001521,0.000000,0.000000,0.000000,0.000000
0.020000,65.008671,149.750000,0.010193,0.433570,21.678499,1083.924949,0.000000
0.020000,65.063438,149.750000,0.064959,2.738337,115.238337,4677.991886,0.000000
0.020000,65.137982,149.750000,0.139503,3.727181,49.442191,-3289.807302,0.000000
0.020000,65.235345,149.750000,0.236866,4.868154,57.048682,380.324544,0.000000
0.020000,65.358570,149.750000,0.360091,6.161258,64.655172,380.324544,0.000000
0.020000,65.510700,149.750000,0.512221,7.606491,72.261663,380.324544,0.000000
0.020000,65.694777,149.750000,0.696298,9.203854,79.868154,380.324544,0.000000
0.020000,65.913844,149.750000,0.915365,10.953347,87.474645,380.324544,0.000000
0.020000,66.170943,149.750000,1.172465,12.854970,95.081136,380.324544,0.000000
0.020000,66.469118,149.750000,1.470639,14.908722,102.687627,380.324544,0.000000
0.020000,66.811410,149.750000,1.812931,17.114604,110.294118,380.324544,0.000000
0.020000,67.200862,149.750000,2.202383,19.472617,117.900609,380.324544,0.000000
0.020000,67.640517,149.750000,2.642039,21.982759,125.507099,380.324544,0.000000
0.020000,68.131897,149.750000,3.133418,24.568966,129.310345,190.162272,0.000000
0.020000,68.675000,149.750000,3.676521,27.155172,129.310345,0.000000,0.000000
0.020000,69.269828,149.750000,4.271349,29.741379,129.310345,0.000000,0.000000
0.020000,69.916379,149.750000,4.917901,32.327586,129.310345,-0.000000,0.000000
0.020000,70.614655,149.750000,5.616176,34.913793,129.310345,0.000000,0.000000
0.020000,71.364655,149.750000,6.366176,37.500000,129.310345,-0.000000,0.000000
0.020000,72.166379,149.750000,7.167901,40.086207,129.310345,0.000000,0.000000
0.020000,73.019828,149.750000,8.021349,42.672414,129.310345,0.000000,0.000000
0.020000,73.925000,149.750000,8.926521,45.258621,129.310345,0.000000,0.000000
0.020000,74.881897,149.750000,9.883418,47.844828,129.310345,-0.000000,0.000000
0.020000,75.890517,149.750000,10.892039,50.431034,129.310345,0.000000,0.000000
0.020000,76.950862,149.750000,11.952383,53.017241,129.310345,-0.000000,0.000000
0.020000,78.061410,149.750000,13.062931,55.527383,125.507099,-190.162272,0.000000
0.020000,79.219118,149.750000,14.220639,57.885396,117.900609,-380.324544,0.000000
0.020000,80.420943,149.750000,15.422465,60.091278,110.294118,-380.324544,0.000000
0.020000,81.663844,149.750000,16.665365,62.145030,102.687627,-380.324544,0.000000
0.020000,82.944777,149.750000,17.946298,64.046653,95.081136,-380.324544,0.000000
0.020000,84.260700,149.750000,19.262221,65.796146,87.474645,-380.324544,0.000000
0.020000,85.608570,149.750000,20.610091,67.393509,79.868154,-380.324544,0.000000
0.020000,86.985345,149.750000,21.986866,68.838742,72.261663,-380.324544,0.000000
0.020000,88.387982,149.750000,23.389503,70.131846,64.655172,-380.324544,0.000000
0.020000,89.813438,149.750000,24.814959,71.272819,57.048682,-380.324544,0.000000
0.020000,91.258671,149.750000,26.260193,72.261663,49.442191,-380.324544,0.000000
0.020000,92.720639,149.750000,27.722160,73.098377,41.835700,-380.324544,0.000000
0.020000,94.196298,149.750000,29.197819,73.782961,34.229209,-380.324544,0.000000
0.020000,95.682606,149.750000,30.684128,74.315416,26.622718,-380.324544,0.000000
0.020000,97.176521,149.750000,32.178043,74.695740,19.016227,-380.324544,0.000000
0.020000,98.675000,149.750000,33.676521,74.923935,11.409736,-380.324544,0.000000
0.020000,100.175000,149.750000,35.176521,75.000000,3.803245,-380.324544,0.000000
0.020000,101.675000,149.750000,36.676521,75.000000,0.000000,-190.162272,0.000000
0.020000,103.175000,149.750000,38.176521,75.000000,0.000000,0.000000,0.000000
0.020000,104.675000,149.750000,39.676521,75.000000,-0.000000,-0.000000,0.000000
0.020000,106.175000,149.750000,41.176521,75.000000,0.000000,0.000000,0.000000
0.020000,107.673555,149.750000,42.675076,74.927738,-3.613083,-180.654158,0.000000
0.020000,109.167698,149.750000,44.169219,74.707150,-11.029412,-370.816430,0.000000
0.020000,110.654386,149.750000,45.655908,74.334432,-18.635903,-380.324544,0.000000
0.020000,112.130578,149.750000,47.132099,73.809584,-26.242394,-380.324544,0.000000
0.020000,113.593230,149.750000,48.594752,73.132606,-33.848884,-380.324544,0.000000
0.020000,115.039300,149.750000,50.040822,72.303499,-41.455375,-380.324544,0.000000
0.020000,116.465745,149.750000,51.467267,71.322262,-49.061866,-380.324544,0.000000
0.020000,117.869523,149.750000,52.871045,70.188895,-56.668357,-380.324544,0.000000
0.020000,119.247591,149.750000,54.249113,68.903398,-64.274848,-380.324544,0.000000
0.020000,120.596907,149.750000,55.598428,67.465771,-71.881339,-380.324544,0.000000
0.020000,121.914427,149.750000,56.915948,65.876014,-79.487830,-380.324544,0.000000
0.020000,123.197110,149.750000,58.198631,64.134128,-87.094320,-380.324544,0.000000
0.020000,124.441912,149.750000,59.443433,62.240112,-94.700811,-380.324544,0.000000
0.020000,125.645791,149.750000,60.647312,60.193966,-102.307302,-380.324544,0.000000
0.020000,126.805705,149.750000,61.807226,57.995690,-109.913793,-380.324544,0.000000
0.020000,127.918611,149.750000,62.920132,55.645284,-117.520284,-380.324544,0.000000
0.020000,128.981466,149.750000,63.982987,53.142748,-125.126775,-380.324544,0.000000
0.020000,129.992672,149.750000,64.994194,50.560345,-129.120183,-199.670385,0.000000
0.020000,130.952155,149.750000,65.953676,47.974138,-129.310345,-9.508114,0.000000
0.020000,131.859914,149.750000,66.861435,45.387931,-129.310345,-0.000000,0.000000
0.020000,132.715948,149.750000,67.717470,42.801724,-129.310345,0.000000,0.000000
0.020000,133.520259,149.750000,68.521780,40.215517,-129.310345,0.000000,0.000000
0.020000,134.272845,149.750000,69.274366,37.629310,-129.310345,0.000000,0.000000
0.020000,134.973707,149.750000,69.975228,35.043103,-129.310345,0.000000,0.000000
0.020000,135.622845,149.750000,70.624366,32.456897,-129.310345,-0.000000,0.000000
0.020000,136.220259,149.750000,71.221780,29.870690,-129.310345,0.000000,0.000000
0.020000,136.765948,149.750000,71.767470,27.284483,-129.310345,0.000000,0.000000
0.020000,137.259914,149.750000,72.261435,24.698276,-129.310345,0.000000,0.000000
0.020000,137.702155,149.750000,72.703676,22.112069,-129.310345,-0.000000,0.000000
0.020000,138.094118,149.750000,73.095639,19.598124,-125.697262,180.654158,0.000000
0.020000,138.438768,149.750000,73.440289,17.232505,-118.280933,370.816430,0.000000
0.020000,138.739148,149.750000,73.740669,15.019016,-110.674442,380.324544,0.000000
0.020000,138.998301,149.750000,73.999823,12.957657,-103.067951,380.324544,0.000000
0.020000,139.219270,149.750000,74.220791,11.048428,-95.461460,380.324544,0.000000
0.020000,139.405096,149.750000,74.406618,9.291329,-87.854970,380.324544,0.000000
0.020000,139.558824,149.750000,74.560345,7.686359,-80.248479,380.324544,0.000000
0.020000,139.683494,149.750000,74.685015,6.233519,-72.641988,380.324544,0.000000
