dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.000000,176.250000,0.001521,0.152130,7.606491,380.324544,6.283185
0.020000,65.000000,176.250000,0.001521,0.000000,-7.606491,-760.649087,6.283185
0.020000,65.000000,176.250000,0.001521,0.000000,0.000000,380.324544,6.283185
0.020000,65.005639,176.250000,0.007160,0.281947,14.097363,704.868154,6.283185
0.020000,65.043671,176.250000,0.045193,1.901623,80.983773,3344.320487,6.283185
0.020000,65.098438,176.250000,0.099959,2.738337,41.835700,-1957.403651,6.283185
0.020000,65.172982,176.250000,0.174503,3.727181,49.442191,380.324544,6.283185
0.020000,65.270345,176.250000,0.271866,4.868154,57.048682,380.324544,6.283185
0.020000,65.393570,176.250000,0.395091,6.161258,64.655172,380.324544,6.283185
0.020000,65.545700,176.250000,0.547221,7.606491,72.261663,380.324544,6.283185
0.020000,65.729777,176.250000,0.731298,9.203854,79.868154,380.324544,6.283185
0.020000,65.948844,176.250000,0.950365,10.953347,87.474645,380.324544,6.283185
0.020000,66.205943,176.250000,1.207465,12.854970,95.081136,380.324544,6.283185
0.020000,66.504118,176.250000,1.505639,14.908722,102.687627,380.324544,6.283185
0.020000,66.846410,176.250000,1.847931,17.114604,110.294118,380.324544,6.283185
0.020000,67.235862,176.250000,2.237383,19.472617,117.900609,380.324544,6.283185
0.020000,67.675517,176.250000,2.677039,21.982759,125.507099,380.324544,6.283185
0.020000,68.166897,176.250000,3.168418,24.568966,129.310345,190.162272,6.283185
0.020000,68.710000,176.250000,3.711521,27.155172,129.310345,0.000000,6.283185
0.020000,69.304828,176.250000,4.306349,29.741379,129.310345,0.000000,6.283185
0.020000,69.951379,176.250000,4.952901,32.327586,129.310345,-0.000000,6.283185
0.020000,70.649655,176.250000,5.651176,34.913793,129.310345,0.000000,6.283185
0.020000,71.399655,176.250000,6.401176,37.500000,129.310345,-0.000000,6.283185
0.020000,72.201379,176.250000,7.202901,40.086207,129.310345,0.000000,6.283185
0.020000,73.054828,176.250000,8.056349,42.672414,129.310345,0.000000,6.283185
0.020000,73.960000,176.250000,8.961521,45.258621,129.310345,-0.000000,0.000000
0.020000,74.916897,176.250000,9.918418,47.844828,129.310345,0.000000,0.000000
0.020000,75.925517,176.250000,10.927039,50.431034,129.310345,-0.000000,0.000000
0.020000,76.985862,176.250000,11.987383,53.017241,129.310345,-0.000000,0.000000
0.020000,78.096410,176.250000,13.097931,55.527383,125.507099,-190.162272,0.000000
0.020000,79.254118,176.250000,14.255639,57.885396,117.900609,-380.324544,0.000000
0.020000,80.455943,176.250000,15.457465,60.091278,110.294118,-380.324544,0.000000
0.020000,81.698844,176.250000,16.700365,62.145030,102.687627,-380.324544,0.000000
0.020000,82.979777,176.250000,17.981298,64.046653,95.081136,-380.324544,0.000000
0.020000,84.295700,176.250000,19.297221,65.796146,87.474645,-380.324544,0.000000
0.020000,85.643570,176.250000,20.645091,67.393509,79.868154,-380.324544,0.000000
0.020000,87.020345,176.250000,22.021866,68.838742,72.261663,-380.324544,0.000000
0.020000,88.422982,176.250000,23.424503,70.131846,64.655172,-380.324544,0.000000
0.020000,89.848438,176.250000,24.849959,71.272819,57.048682,-380.324544,0.000000
0.020000,91.293671,176.250000,26.295193,72.261663,49.442191,-380.324544,0.000000
0.020000,92.755639,176.250000,27.757160,73.098377,41.835700,-380.324544,0.000000
0.020000,94.231298,176.250000,29.232819,73.782961,34.229209,-380.324544,0.000000
0.020000,95.717606,176.250000,30.719128,74.315416,26.622718,-380.324544,0.000000
0.020000,97.211521,176.250000,32.213043,74.695740,19.016227,-380.324544,6.283185
0.020000,98.710000,176.250000,33.711521,74.923935,11.409736,-380.324544,6.283185
0.020000,100.210000,176.250000,35.211521,75.000000,3.803245,-380.324544,6.283185
0.020000,101.710000,176.250000,36.711521,75.000000,0.000000,-190.162272,6.283185
0.020000,103.210000,176.250000,38.211521,75.000000,0.000000,0.000000,6.283185
0.020000,104.710000,176.250000,39.711521,75.000000,-0.000000,-0.000000,6.283185
0.020000,105.928354,176.254839,40.929885,60.918176,-704.091198,-35204.559913,0.010451
0.020000,107.230336,176.278133,42.232076,65.109536,209.567991,45682.959461,0.025379
0.020000,108.528294,176.320917,43.530738,64.933132,-8.820168,-10919.407939,0.040573
0.020000,109.821981,176.383420,44.825935,64.759822,-8.665533,7.731727,0.056030
0.020000,111.111172,176.465860,46.117758,64.591174,-8.432407,11.656304,0.071740
0.020000,112.395647,176.568444,47.406324,64.428283,-8.144534,14.393681,0.087696
0.020000,113.675195,176.691362,48.691761,64.271873,-7.820497,16.201846,0.103888
0.020000,114.949603,176.834793,49.974216,64.122722,-7.457547,18.147506,0.120305
0.020000,116.218676,176.998901,51.253856,63.982013,-7.035470,21.103844,0.136935
0.020000,117.482234,177.183838,52.530876,63.850997,-6.550781,24.234419,0.153763
0.020000,118.740071,177.389734,53.805453,63.728871,-6.106319,22.223110,0.170774
0.020000,119.992046,177.616712,55.077837,63.619173,-5.484867,31.072595,0.187952
0.020000,121.237973,177.864869,56.348237,63.520006,-4.958371,26.324786,0.205279
0.020000,122.477718,178.134293,57.616920,63.434156,-4.292491,33.294013,0.222735
0.020000,123.711145,178.425056,58.884155,63.361768,-3.619422,33.653461,0.240301
0.020000,124.938123,178.737206,60.150216,63.303058,-2.935490,34.196583,0.257956
0.020000,126.158538,179.070779,61.415398,63.259065,-2.199656,36.791718,0.275677
0.020000,127.372288,179.425793,62.680002,63.230227,-1.441871,37.889267,0.293441
0.020000,128.579281,179.802247,63.944340,63.216905,-0.666118,38.787625,0.311226
0.020000,129.779436,180.200123,65.208728,63.219367,0.123076,39.459721,0.329006
0.020000,130.972681,180.619382,66.473485,63.237878,0.925591,40.125732,0.346759
0.020000,132.158957,181.059972,67.738939,63.272666,1.739393,40.690120,0.364460
0.020000,133.338205,181.521815,69.005400,63.323064,2.519901,39.025404,0.382084
0.020000,134.510378,182.004817,70.273185,63.389261,3.309822,39.496022,0.399608
