dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.000000,163.000000,0.001521,0.152130,7.606491,380.324544,0.000000
0.020000,65.000000,163.000000,0.007606,0.456389,15.212982,380.324544,0.000000
0.020000,65.000000,163.000000,0.021298,0.912779,22.819473,380.324544,0.000000
0.020000,65.002338,163.000000,0.045639,1.521298,30.425963,380.324544,0.000000
0.020000,65.040370,163.000000,0.083671,2.281947,38.032454,380.324544,0.000000
0.020000,65.095137,163.000000,0.138438,3.194726,45.638945,380.324544,0.000000
0.020000,65.169680,163.000000,0.212982,4.259635,53.245436,380.324544,0.000000
0.020000,65.267043,163.000000,0.310345,5.476673,60.851927,380.324544,0.000000
0.020000,65.390269,163.000000,0.433570,6.845842,68.458418,380.324544,0.000000
0.020000,65.542398,163.000000,0.585700,8.367140,76.064909,380.324544,0.000000
0.020000,65.726475,163.000000,0.769777,10.040568,83.671400,380.324544,0.000000
0.020000,65.945542,163.000000,0.988844,11.866126,91.277890,380.324544,0.000000
0.020000,66.202642,163.000000,1.245943,13.843813,98.884381,380.324544,0.000000
0.020000,66.500816,163.000000,1.544118,15.973631,106.490872,380.324544,0.000000
0.020000,66.843108,163.000000,1.886410,18.255578,114.097363,380.324544,0.000000
0.020000,67.232561,163.000000,2.275862,20.689655,121.703854,380.324544,0.000000
0.020000,67.672216,163.000000,2.715517,23.275862,129.310345,380.324544,0.000000
0.020000,68.163595,163.000000,3.206897,25.862069,129.310345,0.000000,0.000000
0.020000,68.706699,163.000000,3.750000,28.448276,129.310345,0.000000,0.000000
0.020000,69.301526,163.000000,4.344828,31.034483,129.310345,0.000000,0.000000
0.020000,69.948078,163.000000,4.991379,33.620690,129.310345,-0.000000,0.000000
0.020000,70.646354,163.000000,5.689655,36.206897,129.310345,0.000000,0.000000
0.020000,71.396354,163.000000,6.439655,38.793103,129.310345,-0.000000,0.000000
0.020000,72.198078,163.000000,7.241379,41.379310,129.310345,0.000000,0.000000
0.020000,73.051526,163.000000,8.094828,43.965517,129.310345,-0.000000,0.000000
0.020000,73.956699,163.000000,9.000000,46.551724,129.310345,-0.000000,0.000000
0.020000,74.913595,163.000000,9.956897,49.137931,129.310345,0.000000,0.000000
0.020000,75.922216,163.000000,10.965517,51.724138,129.310345,-0.000000,0.000000
0.020000,76.982561,163.000000,12.025862,54.310345,129.310345,0.000000,0.000000
0.020000,78.093108,163.000000,13.136410,56.744422,121.703854,-380.324544,0.000000
0.020000,79.250816,163.000000,14.294118,59.026369,114.097363,-380.324544,0.000000
0.020000,80.452642,163.000000,15.495943,61.156187,106.490872,-380.324544,0.000000
0.020000,81.695542,163.000000,16.738844,63.133874,98.884381,-380.324544,0.000000
0.020000,82.976475,163.000000,18.019777,64.959432,91.277890,-380.324544,0.000000
0.020000,84.292398,163.000000,19.335700,66.632860,83.671400,-380.324544,0.000000
0.020000,85.640269,163.000000,20.683570,68.154158,76.064909,-380.324544,0.000000
0.020000,87.017043,163.000000,22.060345,69.523327,68.458418,-380.324544,0.000000
0.020000,88.419680,163.000000,23.462982,70.740365,60.851927,-380.324544,0.000000
0.020000,89.845137,163.000000,24.888438,71.805274,53.245436,-380.324544,0.000000
0.020000,91.290370,163.000000,26.333671,72.718053,45.638945,-380.324544,0.000000
0.020000,92.752338,163.000000,27.795639,73.478702,38.032454,-380.324544,0.000000
0.020000,94.227997,163.000000,29.271298,74.087221,30.425963,-380.324544,0.000000
0.020000,95.714305,163.000000,30.757606,74.543611,22.819473,-380.324544,0.000000
0.020000,97.208220,163.000000,32.251521,74.847870,15.212982,-380.324544,0.000000
0.020000,98.706699,163.000000,33.750000,75.000000,7.606491,-380.324544,0.000000
0.020000,100.206699,163.000000,35.250000,75.000000,0.000000,-380.324544,0.000000
0.020000,101.706699,163.000000,36.750000,75.000000,0.000000,0.000000,0.000000
0.020000,103.206699,163.000000,38.250000,75.000000,0.000000,0.000000,0.000000
0.020000,104.706699,163.000000,39.750000,75.000000,0.000000,0.000000,0.000000
0.020000,106.206699,163.000000,41.250000,75.000000,0.000000,0.000000,0.000000
0.020000,107.706699,163.000000,42.750000,75.000000,0.000000,0.000000,0.000000
0.020000,109.002049,163.002217,44.250000,75.000000,0.000000,0.000000,0.006349
0.020000,110.501868,163.022174,45.750000,75.000000,0.000000,0.000000,0.020359
0.020000,112.001315,163.063585,47.250000,75.000000,0.000000,0.000000,0.034964
0.020000,113.499921,163.127352,48.750000,75.000000,0.000000,0.000000,0.050192
0.020000,114.997350,163.214418,50.250000,75.000000,0.000000,0.000000,0.066076
