dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.000000,149.750000,0.001521,0.152130,7.606491,380.324544,0.000000
0.020000,65.000000,149.750000,0.001521,0.000000,-7.606491,-760.649087,0.000000
0.020000,65.000000,149.750000,0.001521,0.000000,0.000000,380.324544,0.000000
0.020000,65.002338,149.750000,0.003859,0.116875,5.843761,292.188026,0.000000
0.020000,65.040370,149.750000,0.041891,1.901623,89.237375,4169.680742,0.000000
0.020000,65.095137,149.750000,0.096658,2.738337,41.835700,-2370.083779,0.000000
0.020000,65.169680,149.750000,0.171202,3.727181,49.442191,380.324544,0.000000
0.020000,65.267043,149.750000,0.268565,4.868154,57.048682,380.324544,0.000000
0.020000,65.390269,149.750000,0.391790,6.161258,64.655172,380.324544,0.000000
0.020000,65.542398,149.750000,0.543920,7.606491,72.261663,380.324544,0.000000
0.020000,65.726475,149.750000,0.727997,9.203854,79.868154,380.324544,0.000000
0.020000,65.945542,149.750000,0.947064,10.953347,87.474645,380.324544,0.000000
0.020000,66.202642,149.750000,1.204163,12.854970,95.081136,380.324544,0.000000
0.020000,66.500816,149.750000,1.502338,14.908722,102.687627,380.324544,0.000000
0.020000,66.843108,149.750000,1.844630,17.114604,110.294118,380.324544,0.000000
0.020000,67.232561,149.750000,2.234082,19.472617,117.900609,380.324544,0.000000
0.020000,67.672216,149.750000,2.673737,21.982759,125.507099,380.324544,0.000000
0.020000,68.163595,149.750000,3.165116,24.568966,129.310345,190.162272,0.000000
0.020000,68.706699,149.750000,3.708220,27.155172,129.310345,0.000000,0.000000
0.020000,69.301526,149.750000,4.303047,29.741379,129.310345,-0.000000,0.000000
0.020000,69.948078,149.750000,4.949599,32.327586,129.310345,0.000000,0.000000
0.020000,70.646354,149.750000,5.647875,34.913793,129.310345,-0.000000,0.000000
0.020000,71.396354,149.750000,6.397875,37.500000,129.310345,-0.000000,0.000000
0.020000,72.198078,149.750000,7.199599,40.086207,129.310345,0.000000,0.000000
0.020000,73.051526,149.750000,8.053047,42.672414,129.310345,-0.000000,0.000000
0.020000,73.956699,149.750000,8.958220,45.258621,129.310345,0.000000,0.000000
0.020000,74.913595,149.750000,9.915116,47.844828,129.310345,0.000000,0.000000
0.020000,75.922216,149.750000,10.923737,50.431034,129.310345,-0.000000,0.000000
0.020000,76.982561,149.750000,11.984082,53.017241,129.310345,0.000000,0.000000
0.020000,78.093108,149.750000,13.094630,55.527383,125.507099,-190.162272,0.000000
0.020000,79.250816,149.750000,14.252338,57.885396,117.900609,-380.324544,0.000000
0.020000,80.452642,149.750000,15.454163,60.091278,110.294118,-380.324544,0.000000
0.020000,81.695542,149.750000,16.697064,62.145030,102.687627,-380.324544,0.000000
0.020000,82.976475,149.750000,17.977997,64.046653,95.081136,-380.324544,0.000000
0.020000,84.292398,149.750000,19.293920,65.796146,87.474645,-380.324544,0.000000
0.020000,85.640269,149.750000,20.641790,67.393509,79.868154,-380.324544,0.000000
0.020000,87.017043,149.750000,22.018565,68.838742,72.261663,-380.324544,0.000000
0.020000,88.419680,149.750000,23.421202,70.131846,64.655172,-380.324544,0.000000
0.020000,89.845137,149.750000,24.846658,71.272819,57.048682,-380.324544,0.000000
0.020000,91.290370,149.750000,26.291891,72.261663,49.442191,-380.324544,0.000000
0.020000,92.752338,149.750000,27.753859,73.098377,41.835700,-380.324544,0.000000
0.020000,94.227997,149.750000,29.229518,73.782961,34.229209,-380.324544,0.000000
0.020000,95.714305,149.750000,30.715826,74.315416,26.622718,-380.324544,0.000000
0.020000,97.208220,149.750000,32.209741,74.695740,19.016227,-380.324544,0.000000
0.020000,98.706699,149.750000,33.708220,74.923935,11.409736,-380.324544,0.000000
0.020000,100.206699,149.750000,35.208220,75.000000,3.803245,-380.324544,0.000000
0.020000,101.706699,149.750000,36.708220,75.000000,0.000000,-190.162272,0.000000
0.020000,103.206699,149.750000,38.208220,75.000000,0.000000,0.000000,0.000000
0.020000,104.706699,149.750000,39.708220,75.000000,0.000000,0.000000,0.000000
0.020000,106.206699,149.750000,41.208220,75.000000,0.000000,0.000000,0.000000
0.020000,107.706699,149.750000,42.708220,75.000000,0.000000,0.000000,0.000000
0.020000,109.086169,149.752484,44.087692,68.973613,-301.319342,-15065.967107,0.006349
0.020000,110.771606,149.774920,45.773278,84.279314,765.285035,53330.218844,0.020359
0.020000,112.464493,149.821683,47.466811,84.676654,19.867022,-37270.900639,0.034964
0.020000,114.164692,149.894038,49.168549,85.086884,20.511486,32.223200,0.050192
0.020000,115.872220,149.993332,50.878962,85.520636,21.687583,58.804855,0.066076
0.020000,117.587011,150.120993,52.598498,85.976816,22.808997,56.070715,0.082646
0.020000,119.308902,150.278533,54.327581,86.454157,23.867051,52.902686,0.099936
0.020000,121.037624,150.467539,56.066605,86.951201,24.852203,49.257577,0.117976
0.020000,122.772788,150.689678,57.815931,87.466279,25.753920,45.085884,0.136797
0.020000,124.514105,150.946723,59.576117,88.009304,27.151252,69.866600,0.156434
0.020000,126.260881,151.240482,61.347422,88.565243,27.796956,32.285172,0.176913
0.020000,128.012460,151.572852,63.130257,89.141740,28.824822,51.393311,0.198262
0.020000,129.767983,151.945782,64.924954,89.734862,29.656138,41.565811,0.220506
0.020000,131.526371,152.361247,66.731757,90.340170,30.265386,30.462384,0.243664
0.020000,133.286332,152.821233,68.550837,90.953965,30.689754,21.218408,0.267751
0.020000,135.046455,153.327743,70.382390,91.577661,31.184784,24.751521,0.292776
0.020000,136.804916,153.882688,72.226339,92.197450,30.989435,-9.767450,0.318738
0.020000,138.559716,154.487912,74.082576,92.811872,30.721108,-13.416354,0.345628
0.020000,140.308571,155.145123,75.950843,93.413333,30.073075,-32.401649,0.373427
0.020000,142.048895,155.855831,77.830693,93.992489,28.957793,-55.764115,0.402101
0.020000,143.777900,156.621332,79.721579,94.544293,27.590194,-68.379937,0.431606
0.020000,145.492419,157.442562,81.622629,95.052513,25.410997,-108.959877,0.461881
0.020000,147.189215,158.320170,83.532947,95.515887,23.168681,-112.115768,0.492853
0.020000,148.864742,159.254328,85.451290,95.917157,20.063526,-155.257792,0.524433
0.020000,150.515401,160.244780,87.376302,96.250605,16.672400,-169.556280,0.556516
0.020000,152.137541,161.290780,89.306445,96.507171,12.828279,-192.206034,0.588987
0.020000,153.727584,162.391099,91.240079,96.681680,8.725440,-205.141989,0.621719
0.020000,155.282010,163.543962,93.175365,96.764316,4.131808,-229.681600,0.654578
0.020000,156.797573,164.747156,95.110464,96.754923,-0.469639,-230.072335,0.687422
0.020000,158.271305,165.998019,97.043478,96.650711,-5.210599,-237.047986,0.720110
0.020000,159.700633,167.293531,98.972553,96.453783,-9.846374,-231.788741,0.752499
0.020000,161.083394,168.630357,100.895866,96.165627,-14.407844,-228.073526,0.784454
0.020000,162.417920,170.004958,102.811718,95.792603,-18.651171,-212.166340,0.815845
0.020000,163.703037,171.413674,104.718549,95.341569,-22.551725,-195.027720,0.846555
0.020000,164.938066,172.852797,106.614959,94.820495,-26.053674,-175.097411,0.876478
0.020000,166.122809,174.318657,108.499731,94.238561,-29.096704,-152.151542,0.905522
0.020000,167.257519,175.807697,110.371843,93.605619,-31.647113,-127.520435,0.933611
