dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.998652,216.250000,0.001508,0.150830,7.541478,377.073906,0.000102
0.020000,25.998834,216.250000,0.001690,0.009100,-7.086460,-731.396931,0.000088
0.020000,25.999244,216.250000,0.002100,0.020483,0.569137,382.779871,0.000057
0.020000,25.999972,216.250000,0.002829,0.036439,0.797812,11.433760,0.000002
0.020000,26.037904,216.249998,0.040761,1.896604,93.008217,4610.520266,6.283101
0.020000,26.093847,216.249990,0.096704,2.797149,45.027279,-2399.046927,6.282977
0.020000,26.169997,216.249968,0.172854,3.807496,50.517350,274.503555,6.282808
0.020000,26.269467,216.249919,0.272324,4.973507,58.300522,389.158614,6.282586
0.020000,26.395374,216.249826,0.398230,6.295331,66.091229,389.535315,6.282304
0.020000,26.550837,216.249662,0.553693,7.773150,73.890924,389.984782,6.281955
0.020000,26.738981,216.249391,0.741837,9.407189,81.701950,390.551281,6.281529
0.020000,26.962935,216.248963,0.965792,11.197726,89.526876,391.246288,6.281019
0.020000,27.225836,216.248314,1.228694,13.145098,97.368569,392.084685,6.280415
0.020000,27.530828,216.247361,1.533688,15.249694,105.229840,393.063523,6.279708
0.020000,27.881065,216.246000,1.883927,17.511980,113.114269,394.221453,6.278887
0.020000,28.279710,216.244098,2.282577,19.932479,121.024938,395.533462,6.277942
0.020000,28.729939,216.241495,2.732813,22.511808,128.966479,397.077046,6.276860
0.020000,29.233381,216.238002,3.236267,25.172692,133.044213,203.886693,6.275632
0.020000,29.790116,216.233413,3.793022,27.837738,133.252290,10.403846,6.274251
0.020000,30.400235,216.227493,4.403169,30.507378,133.481971,11.484067,6.272711
0.020000,31.063834,216.219978,5.066810,33.182060,133.734135,12.608205,6.271004
0.020000,31.781017,216.210568,5.784055,35.862230,134.008489,13.717699,6.269122
0.020000,32.551896,216.198933,6.555022,38.548332,134.305084,14.829763,6.267056
0.020000,33.376589,216.184701,7.379838,41.240811,134.623964,15.943964,6.264796
0.020000,34.255222,216.167463,8.258640,43.940114,134.965156,17.059635,6.262332
0.020000,35.187927,216.146766,9.191574,46.646697,135.329114,18.197899,6.259653
0.020000,36.174838,216.122108,10.178794,49.360989,135.714643,19.276433,6.256747
0.020000,37.216099,216.092941,11.220463,52.083455,136.123269,20.431280,6.253602
0.020000,38.311853,216.058661,12.316753,54.814523,136.553434,21.508248,6.250205
0.020000,39.462249,216.018607,13.467846,57.554640,137.005831,22.619861,6.246543
0.020000,40.667435,215.972058,14.673931,60.304239,137.479942,23.705561,6.242600
0.020000,41.927561,215.918225,15.935206,63.063746,137.975378,24.771818,6.238362
0.020000,43.242773,215.856250,17.251877,65.833580,138.491680,25.815083,6.233814
0.020000,44.613216,215.785202,18.624160,68.614149,139.028423,26.837148,6.228939
0.020000,46.039026,215.704068,20.052277,71.405832,139.584154,27.786552,6.223721
0.020000,47.520332,215.611751,21.536457,74.209007,140.158759,28.730255,6.218142
0.020000,49.057251,215.507066,23.076937,77.024009,140.750090,29.566562,6.212184
0.020000,50.649884,215.388733,24.673960,79.851151,141.357119,30.351416,6.205829
0.020000,52.298312,215.255372,26.327774,82.690704,141.977655,31.026803,6.199058
0.020000,54.001001,215.105644,28.037034,85.462953,138.612446,-168.260447,6.191859
0.020000,55.754785,214.938311,29.798782,88.087444,131.224544,-369.395092,6.184227
0.020000,57.556453,214.752129,31.610045,90.563144,123.785018,-371.976306,6.176160
0.020000,59.402745,214.545861,33.467823,92.888897,116.287646,-374.868608,6.167655
0.020000,61.290345,214.318292,35.369092,95.063427,108.726510,-378.056772,6.158714
0.020000,63.215884,214.068239,37.310799,97.085337,101.095486,-381.551211,6.149339
0.020000,65.175933,213.794568,39.289861,98.953143,93.390319,-385.258377,6.139535
0.020000,67.167008,213.496208,41.303166,100.665246,85.605125,-389.259656,6.129310
0.020000,69.185564,213.172168,43.347566,102.219977,77.736543,-393.429121,6.118673
0.020000,71.227999,212.821550,45.419878,103.615595,69.780933,-397.780490,6.107637
0.020000,73.290659,212.443570,47.516884,104.850314,61.735936,-402.249856,6.096217
0.020000,75.346824,212.040153,49.612250,104.768299,-4.100742,-3291.833894,6.080441
0.020000,77.555040,211.561286,51.871792,112.977097,410.439881,20727.031131,6.059029
0.020000,79.746431,211.038188,54.124752,112.647982,-16.455747,-21344.781391,6.038910
0.020000,81.916852,210.475301,56.366975,112.111193,-26.839469,-519.186080,6.020171
0.020000,84.062678,209.877330,58.594562,111.379332,-36.593017,-487.677438,6.002879
0.020000,86.180773,209.249139,60.803849,110.464328,-45.750233,-457.860763,5.987082
0.020000,88.269999,208.595168,62.993037,109.459418,-50.245479,-224.762342,5.972802
0.020000,90.331066,207.919282,65.162096,108.452966,-50.322600,-3.856033,5.960042
0.020000,92.364849,207.225200,67.311055,107.447942,-50.251200,3.569998,5.948799
0.020000,94.372351,206.516495,69.439981,106.446299,-50.082173,8.451359,5.939068
0.020000,96.354664,205.796601,71.548965,105.449179,-49.855979,11.309708,5.930842
0.020000,98.311661,205.069298,73.636740,104.388787,-53.019593,-158.180697,5.924118
0.020000,100.241851,204.338801,75.700538,103.189883,-59.945229,-346.281826,5.918892
0.020000,102.143680,203.609275,77.737487,101.847437,-67.122292,-358.853157,5.915152
0.020000,104.015682,202.884728,79.744813,100.366326,-74.055550,-346.662883,5.912881
0.020000,105.856450,202.168990,81.719835,98.751074,-80.762571,-335.351068,5.912052
0.020000,107.664605,201.465678,83.659956,97.006041,-87.251645,-324.453676,5.912635
0.020000,109.438768,200.778181,85.562666,95.135502,-93.526968,-313.766151,5.914591
0.020000,111.177545,200.109633,87.425541,93.143769,-99.586661,-302.984664,5.917874
0.020000,112.879512,199.462892,89.246246,91.035247,-105.426081,-291.970993,5.922435
0.020000,114.543202,198.840524,91.022536,88.814480,-111.038356,-280.613767,5.928214
0.020000,116.167099,198.244784,92.752260,86.486226,-116.412681,-268.716237,5.935147
0.020000,117.749637,197.677602,94.433368,84.055399,-121.541392,-256.435560,5.943160
0.020000,119.289203,197.140571,96.063909,81.527043,-126.417776,-243.819163,5.952172
0.020000,120.784134,196.634940,97.642035,78.906309,-131.036716,-230.947021,5.962096
0.020000,122.232730,196.161609,99.166001,76.198291,-135.400863,-218.207362,5.972836
0.020000,123.633255,195.721130,100.634160,73.407969,-139.516110,-205.762350,5.984288
0.020000,124.983947,195.313713,102.044961,70.540033,-143.396808,-194.034876,5.996342
0.020000,126.284146,194.938920,103.398101,67.656990,-144.152165,-37.767860,6.008892
0.020000,127.534438,194.595725,104.694640,64.826950,-141.501996,132.508434,6.021843
0.020000,128.735524,194.282912,105.935792,62.057594,-138.467770,151.711300,6.035105
0.020000,129.888057,193.999150,107.122744,59.347590,-135.500232,148.376908,6.048586
0.020000,130.992656,193.743017,108.256650,56.695299,-132.614567,144.283285,6.062201
0.020000,132.049902,193.513018,109.338624,54.098734,-129.828226,139.317030,6.075864
0.020000,133.060349,193.307607,110.369739,51.555720,-127.150684,133.877095,6.089496
0.020000,134.024522,193.125203,111.351013,49.063712,-124.600391,127.514630,6.103019
0.020000,134.942914,192.964210,112.283410,46.619851,-122.193090,120.365046,6.116360
0.020000,135.816000,192.823030,113.167836,44.221306,-119.927258,113.291621,6.129452
0.020000,136.644220,192.700080,114.005133,41.864839,-117.823326,105.196595,6.142230
0.020000,137.427993,192.593800,114.796078,39.547274,-115.878272,97.252717,6.154637
0.020000,138.167705,192.502668,115.541383,37.265250,-114.101181,88.854537,6.166617
0.020000,138.863719,192.425208,116.241695,35.015568,-112.484114,80.853332,6.178123
0.020000,139.516368,192.359998,116.897593,32.794928,-111.032007,72.605371,6.189111
0.020000,140.125962,192.305678,117.509602,30.600442,-109.724284,65.386149,6.199540
0.020000,140.692778,192.260956,118.078180,28.428877,-108.578245,57.301948,6.209378
0.020000,141.217071,192.224611,118.603731,26.277588,-107.564469,50.688815,6.218592
0.020000,141.699072,192.195502,119.086610,24.143932,-106.682781,44.084377,6.227156
0.020000,142.138984,192.172567,119.527120,22.025506,-105.921314,38.073359,6.235048
0.020000,142.536992,192.154827,119.925523,19.920144,-105.268086,32.661416,6.242247
0.020000,142.893254,192.141390,120.282038,17.825773,-104.718525,27.478019,6.248738
0.020000,143.208969,192.131424,120.597910,15.793585,-101.609416,155.455449,6.254524
0.020000,143.486521,192.124176,120.875558,13.882374,-95.560559,302.442843,6.259637
0.020000,143.728427,192.119020,121.117518,12.098003,-89.218562,317.099869,6.264113
0.020000,143.937185,192.115443,121.326307,10.439463,-82.926971,314.579579,6.267990
0.020000,144.115274,192.113032,121.504412,8.905252,-76.710578,310.819620,6.271307
0.020000,144.265158,192.111461,121.654304,7.494601,-70.532547,308.901572,6.274106
0.020000,144.389292,192.110478,121.778443,6.206931,-64.383513,307.451685,6.276429
0.020000,144.490121,192.109892,121.879273,5.041508,-58.271119,305.619679,6.278319
0.020000,144.570076,192.109563,121.959229,3.997811,-52.184876,304.312179,6.279820
0.020000,144.631590,192.109392,122.020743,3.075683,-46.106356,303.926008,6.280975
0.020000,144.677085,192.109311,122.066238,2.274753,-40.046523,302.991642,6.281830
0.020000,144.708981,192.109277,122.098134,1.594826,-33.996368,302.507764,6.282430
0.020000,144.729700,192.109265,122.118853,1.035921,-27.945212,302.557785,6.282820
0.020000,144.741656,192.109262,122.130809,0.597818,-21.905190,302.001116,6.283045
0.020000,144.747264,192.109262,122.136417,0.280413,-15.870258,301.746599,6.283151
0.020000,144.748939,192.109262,122.138092,0.083732,-9.834014,301.812153,6.283182
0.020000,144.749095,192.109262,122.138248,0.007788,-3.797226,301.839439,0.000000
0.020000,144.749095,192.109262,122.138248,0.000000,-0.389385,170.392022,0.000000
