dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,26.001348,189.750000,0.001508,0.150830,7.541478,377.073906,0.000102
0.020000,26.001166,189.750000,0.001690,0.009100,-7.086460,-731.396931,0.000088
0.020000,26.000756,189.750000,0.002100,0.020483,0.569137,382.779871,0.000057
0.020000,26.000028,189.750000,0.002829,0.036439,0.797812,11.433760,0.000002
0.020000,26.035680,189.749999,0.038481,1.782602,87.308154,4325.517089,6.283101
0.020000,26.088334,189.749991,0.091135,2.632712,42.505493,-2240.133042,6.282977
0.020000,26.159997,189.749970,0.162798,3.583157,47.522220,250.836333,6.282808
0.020000,26.253589,189.749924,0.256390,4.679585,54.821409,364.959453,6.282586
0.020000,26.372026,189.749837,0.374827,5.921863,62.113912,364.625181,6.282304
0.020000,26.518222,189.749682,0.521023,7.309807,69.397196,364.164161,6.281955
0.020000,26.695086,189.749427,0.697887,8.843188,76.669064,363.593417,6.281529
0.020000,26.905520,189.749025,0.908322,10.521729,83.927044,362.898991,6.281019
0.020000,27.152421,189.748415,1.155224,12.345098,91.168444,362.069987,6.280415
0.020000,27.438678,189.747521,1.441482,14.312898,98.390016,361.078606,6.279708
0.020000,27.767169,189.746244,1.769975,16.424673,105.588734,359.935936,6.278887
0.020000,28.140762,189.744463,2.143573,18.679885,112.760597,358.593110,6.277942
0.020000,28.562314,189.742025,2.565131,21.077936,119.902541,357.097196,6.276860
0.020000,29.033207,189.738758,3.036036,23.545251,123.365743,173.160149,6.275632
0.020000,29.553358,189.734470,3.556205,26.008414,123.158186,-10.377856,6.274251
0.020000,30.122671,189.728947,4.125544,28.466975,122.928037,-11.507487,6.272711
0.020000,30.741041,189.721944,4.743954,30.920495,122.676000,-12.601822,6.271004
0.020000,31.408354,189.713189,5.411325,33.368529,122.401692,-13.715418,6.269122
0.020000,32.124485,189.702380,6.127537,35.810630,122.105059,-14.831634,6.267056
0.020000,32.889298,189.689182,6.892464,38.246351,121.786060,-15.949940,6.264796
0.020000,33.702647,189.673225,7.705969,40.675245,121.444670,-17.069518,6.262332
0.020000,34.564372,189.654103,8.567907,43.096871,121.081294,-18.168817,6.259653
0.020000,35.474303,189.631369,9.478122,45.510768,120.694872,-19.321105,6.256747
0.020000,36.432258,189.604536,10.436452,47.916507,120.286933,-20.396935,6.253602
0.020000,37.438038,189.573071,11.442725,50.313632,119.856257,-21.533794,6.250205
0.020000,38.491434,189.536396,12.496759,52.701708,119.403823,-22.621679,6.246543
0.020000,39.592220,189.493880,13.598365,55.080301,118.929651,-23.708640,6.242600
0.020000,40.740152,189.444841,14.747345,57.448983,118.434071,-24.778995,6.238362
0.020000,41.934973,189.388541,15.943491,59.807334,117.917588,-25.824132,6.233814
0.020000,43.176405,189.324182,17.186590,62.154955,117.381026,-26.828094,6.228939
0.020000,44.464151,189.250906,18.476419,64.491447,116.824623,-27.820176,6.223721
0.020000,45.797893,189.167787,19.812748,66.816452,116.250243,-28.719003,6.218142
0.020000,47.177289,189.073834,21.195341,69.129620,115.658403,-29.592000,6.212184
0.020000,48.601975,188.967982,22.623954,71.430645,115.051209,-30.359686,6.205829
0.020000,50.071559,188.849093,24.098339,73.719252,114.430397,-31.040608,6.199058
0.020000,51.584209,188.716080,25.616825,75.924329,110.253832,-208.828227,6.191859
0.020000,53.136668,188.567959,27.176335,77.975500,102.558536,-384.764805,6.184227
0.020000,54.725683,188.403756,28.773811,79.873797,94.914881,-382.182772,6.176160
0.020000,56.347998,188.222515,30.406219,81.620379,87.329085,-379.289778,6.167655
0.020000,58.000364,188.023311,32.070549,83.216523,79.807205,-376.094017,6.158714
0.020000,59.679537,187.805256,33.763822,84.663614,72.354528,-372.633840,6.149339
0.020000,61.382284,187.567517,35.483085,85.963158,64.977208,-368.865986,6.139535
0.020000,63.105381,187.309319,37.225420,87.116738,57.679001,-364.910362,6.129310
0.020000,64.845622,187.029962,38.987940,88.126031,50.464653,-360.717385,6.118673
0.020000,66.599819,186.728831,40.767796,88.992776,43.337225,-356.371403,6.107637
0.020000,68.364806,186.405406,42.562171,89.718759,36.299194,-351.901571,6.096217
0.020000,70.010845,186.082932,44.239500,83.866477,-292.614116,-16445.665511,6.080441
0.020000,71.664512,185.724264,45.931617,84.605842,36.968241,16479.117895,6.059029
0.020000,73.337324,185.324896,47.651441,85.991190,69.267427,1614.959275,6.038910
0.020000,75.027060,184.886617,49.397092,87.282549,64.567920,-234.975363,6.020171
0.020000,76.731452,184.411605,51.166439,88.467334,59.239236,-266.434189,6.002879
0.020000,78.448197,183.902398,52.957110,89.533576,53.312139,-296.354853,5.987082
0.020000,80.176279,183.361427,54.767888,90.538888,50.265567,-152.328615,5.972802
0.020000,81.916023,182.790871,56.598801,91.545658,50.338522,3.647781,5.960042
0.020000,83.667824,182.192985,58.449821,92.551005,50.267325,-3.559882,5.948799
0.020000,85.432156,181.570094,60.320880,93.552923,50.095897,-8.571360,5.939068
0.020000,87.209574,180.924582,62.211885,94.550245,49.866101,-11.489825,5.930842
0.020000,88.999538,180.259333,64.121474,95.479473,46.461422,-170.233930,5.924118
0.020000,90.800191,179.577843,66.046773,96.264959,39.274311,-359.355548,5.918892
0.020000,92.609486,178.883799,67.984619,96.892265,31.365288,-395.451177,5.915152
0.020000,94.425348,178.180974,69.931750,97.356564,23.214971,-407.515820,5.912881
0.020000,96.245652,177.473189,71.884816,97.653302,14.836852,-418.905950,5.912052
0.020000,98.068199,176.764282,73.840378,97.778128,6.241337,-429.775749,5.912635
0.020000,99.890688,176.058065,75.794914,97.726762,-2.568295,-440.481628,5.914591
0.020000,101.710695,175.358295,77.744812,97.494913,-11.592465,-451.208497,5.917874
0.020000,103.525644,174.668636,79.686376,97.078181,-20.836613,-462.207388,5.922435
0.020000,105.332781,173.992624,81.615815,96.471993,-30.309399,-473.639294,5.928214
0.020000,107.129153,173.333631,83.529248,95.671634,-40.017935,-485.426803,5.935147
0.020000,108.911585,172.694831,85.422692,94.672189,-49.972245,-497.715519,5.943160
0.020000,110.676664,172.079163,87.292064,93.468594,-60.179766,-510.376024,5.952172
0.020000,112.420729,171.489295,89.133179,92.055741,-70.642624,-523.142899,5.962096
0.020000,114.139862,170.927595,90.941749,90.428509,-81.361609,-535.949273,5.972836
0.020000,115.829894,170.396092,92.713388,88.581942,-92.328374,-548.338233,5.984288
0.020000,117.486411,169.896456,94.443615,86.511352,-103.529470,-560.054788,5.996342
0.020000,119.106178,169.429573,96.129327,84.285596,-111.287796,-387.916320,6.008892
0.020000,120.687444,168.995556,97.769075,81.987406,-114.909531,-181.086763,6.021843
0.020000,122.228610,168.594197,99.361645,79.628532,-117.943673,-151.707067,6.035105
0.020000,123.728045,168.225050,100.905852,77.210340,-120.909597,-148.296201,6.048586
0.020000,125.184108,167.887442,102.400542,74.734471,-123.793494,-144.194852,6.062201
0.020000,126.595164,167.580494,103.844598,72.202807,-126.583162,-139.483425,6.075864
0.020000,127.959613,167.303136,105.236951,69.617683,-129.256230,-133.653390,6.089496
0.020000,129.275900,167.054134,106.576583,66.981594,-131.804422,-127.409610,6.103019
0.020000,130.542533,166.832110,107.862527,64.297195,-134.219989,-120.778324,6.116360
0.020000,131.758098,166.635563,109.093880,61.567666,-136.476428,-112.821992,6.129452
0.020000,132.921273,166.462899,110.269800,58.795998,-138.583391,-105.348127,6.142230
0.020000,134.030830,166.312451,111.389510,55.985504,-140.524729,-97.066918,6.154637
0.020000,135.085643,166.182507,112.452297,53.139347,-142.307846,-89.155830,6.166617
0.020000,136.084693,166.071328,113.457515,50.260894,-143.922624,-80.738905,6.178123
0.020000,137.027066,165.977175,114.404580,47.353228,-145.383288,-73.033207,6.189111
0.020000,137.911956,165.898327,115.292975,44.419773,-146.672747,-64.472959,6.199540
0.020000,138.738649,165.833103,116.122238,41.463110,-147.833181,-58.021675,6.209378
0.020000,139.506531,165.779876,116.891963,38.486254,-148.842786,-50.480281,6.218592
0.020000,140.215076,165.737087,117.601798,35.491760,-149.724687,-44.095038,6.227156
0.020000,140.863835,165.703264,118.251438,32.482026,-150.486743,-38.102790,6.235048
0.020000,141.452436,165.677030,118.840624,29.459278,-151.137373,-32.531522,6.242247
0.020000,141.980568,165.657112,119.369131,26.425359,-151.695934,-27.928039,6.248738
0.020000,142.449550,165.642308,119.838347,23.460797,-148.228141,173.389663,6.254524
0.020000,142.862561,165.631523,120.251499,20.657581,-140.160794,403.367361,6.259637
0.020000,143.223053,165.623840,120.612073,18.028707,-131.443706,435.854365,6.264113
0.020000,143.534532,165.618502,120.923597,15.576187,-122.625985,440.886080,6.267990
0.020000,143.800519,165.614901,121.189609,13.300614,-113.778624,442.368050,6.271307
0.020000,144.024569,165.612553,121.413671,11.203115,-104.874955,445.183452,6.274106
0.020000,144.210256,165.611083,121.599364,9.284630,-95.924250,447.535245,6.276429
0.020000,144.361163,165.610206,121.750273,7.545488,-86.957100,448.357513,6.278319
0.020000,144.480883,165.609713,121.869994,5.986017,-77.973549,449.177542,6.279820
0.020000,144.573019,165.609457,121.962131,4.606840,-68.958865,450.734196,6.280975
0.020000,144.641180,165.609335,122.030291,3.408041,-59.939967,450.944903,6.281830
0.020000,144.688976,165.609285,122.078087,2.389802,-50.911929,451.401909,6.282430
0.020000,144.720026,165.609267,122.109137,1.552489,-41.865680,452.312451,6.282820
0.020000,144.737945,165.609263,122.127057,0.895990,-32.824942,452.036875,6.283045
0.020000,144.746351,165.609262,122.135463,0.420290,-23.784978,451.998219,6.283151
0.020000,144.748861,165.609262,122.137973,0.125502,-14.739391,452.279315,6.283182
0.020000,144.749095,165.609262,122.138206,0.011673,-5.691481,452.395524,0.000000
0.020000,144.749095,165.609262,122.138206,0.000000,-0.583634,255.392361,0.000000
