dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.994723,309.499999,0.004398,0.439815,21.990741,1099.537037,0.000459
0.020000,32.996178,309.499999,0.005854,0.072779,-18.351807,-2017.127410,0.000332
0.020000,32.999454,309.500000,0.009130,0.163799,4.551035,1145.142122,0.000047
0.020000,33.069062,309.499984,0.078738,3.480392,165.829655,8063.930997,6.282726
0.020000,33.188133,309.499882,0.197808,5.953520,123.656396,-2108.662968,6.281933
0.020000,33.359613,309.499570,0.369289,8.574039,131.025943,368.477372,6.280790
0.020000,33.593058,309.498828,0.602735,11.672302,154.913158,1194.360754,6.279230
0.020000,33.898036,309.497311,0.907716,15.249076,178.838677,1196.275958,6.277187
0.020000,34.284133,309.494494,1.293824,19.305395,202.815942,1198.863223,6.274591
0.020000,34.756193,309.489684,1.765909,23.604223,214.941414,606.273595,6.271402
0.020000,35.314310,309.482051,2.324078,27.908444,215.211048,13.481700,6.267612
0.020000,35.958585,309.470599,2.968454,32.218826,215.519125,15.403863,6.263210
0.020000,36.689130,309.454169,3.699184,36.536514,215.884395,18.263505,6.258182
0.020000,37.506062,309.431426,4.516433,40.862427,216.295651,20.562790,6.252516
0.020000,38.409495,309.400855,5.420382,45.197479,216.752576,22.846275,6.246194
0.020000,39.399535,309.360753,6.411234,49.542588,217.255475,25.144938,6.239199
0.020000,40.476281,309.309221,7.489213,53.898930,217.817069,28.079716,6.231512
0.020000,41.639805,309.244153,8.654555,58.267127,218.409843,29.638686,6.223113
0.020000,42.890153,309.163229,9.907519,62.648178,219.052548,32.135268,6.213978
0.020000,44.227327,309.063903,11.248377,67.042916,219.736902,34.217688,6.204084
0.020000,45.651278,308.943393,12.677418,71.452056,220.456996,36.004700,6.193406
0.020000,47.161886,308.798674,14.194942,75.876197,221.207089,37.504664,6.181918
0.020000,48.758945,308.626460,15.801259,80.315853,221.982772,38.784103,6.169592
0.020000,50.442144,308.423205,17.496686,84.771353,222.775026,39.612740,6.156402
0.020000,52.206255,308.185767,19.276705,89.000909,211.477799,-564.861378,6.142357
0.020000,54.041118,307.911768,21.131913,92.760428,187.975920,-1175.093931,6.127510
0.020000,55.936453,307.599183,23.052851,96.046873,164.322260,-1182.682997,6.111920
0.020000,57.881856,307.246421,25.029979,98.856412,140.476977,-1192.264158,6.095650
0.020000,59.866833,306.852396,27.053686,101.185331,116.445930,-1201.552358,6.078772
0.020000,61.880814,306.416600,29.114277,103.029583,92.212597,-1211.666668,6.061363
0.020000,63.913194,305.939162,31.201983,104.385270,67.784338,-1221.412936,6.043508
0.020000,65.953366,305.420905,33.306952,105.248460,43.159496,-1231.242068,6.025300
0.020000,67.990776,304.863386,35.419264,105.615632,18.358623,-1240.043678,6.006835
0.020000,70.019650,304.267507,37.533834,105.728467,5.641722,-635.845064,5.988174
0.020000,72.038938,303.633082,39.650439,105.830258,5.089584,-27.606873,5.969337
0.020000,74.047571,302.959999,41.768846,105.920335,4.503852,-29.286623,5.950342
0.020000,76.044473,302.248226,43.888807,105.998086,3.887532,-30.816005,5.931212
0.020000,78.028564,301.497811,46.010067,106.062972,3.244304,-32.161382,5.911969
0.020000,79.998770,300.708882,48.132358,106.114541,2.578448,-33.292773,5.892637
0.020000,81.954025,299.881651,50.255406,106.152435,1.894719,-34.186488,5.873238
0.020000,83.893285,299.016410,52.378934,106.176401,1.198288,-34.821520,5.853798
0.020000,85.815529,298.113531,54.502660,106.186295,0.494686,-35.180137,5.834341
0.020000,87.719768,297.173465,56.626301,106.182035,-0.212994,-35.383988,5.814891
0.020000,89.605051,296.196737,58.749575,106.163688,-0.917329,-35.216765,5.795473
0.020000,91.470477,295.183942,60.872206,106.131585,-1.605167,-34.391890,5.776111
0.020000,93.315185,294.135744,62.993920,106.085665,-2.296021,-34.542685,5.756828
0.020000,95.138380,293.052867,65.114454,106.026704,-2.948031,-32.600491,5.737648
0.020000,96.939320,291.936088,67.233552,105.954925,-3.588966,-32.046754,5.718594
0.020000,98.717325,290.786237,69.350970,105.870894,-4.201549,-30.629133,5.699685
0.020000,100.471782,289.604187,71.466476,105.775276,-4.780903,-28.967734,5.680943
0.020000,102.116112,288.452307,73.474123,100.382361,-269.645749,-13243.242273,5.663544
0.020000,103.910736,287.130841,75.702788,111.433244,552.544148,41109.494853,5.633504
0.020000,105.685805,285.738644,77.958688,112.795000,68.087822,-24222.816338,5.602548
0.020000,107.423681,284.285285,80.224182,113.274724,23.986195,-2205.081319,5.570758
0.020000,109.120188,282.771196,82.498078,113.694776,21.002617,-149.178894,5.538235
0.020000,110.771148,281.197386,84.778987,114.045444,17.533395,-173.461113,5.505104
0.020000,112.372426,279.565536,87.065256,114.313453,13.400427,-206.648428,5.471505
0.020000,113.920103,277.877946,89.355073,114.490883,8.871532,-226.444725,5.437599
0.020000,115.410542,276.137575,91.646427,114.567663,3.838961,-251.628553,5.403558
0.020000,116.840570,274.347921,93.937243,114.540825,-1.341868,-259.041441,5.369565
0.020000,118.207524,272.513008,96.225358,114.405760,-6.753286,-270.570932,5.335806
0.020000,119.509377,270.637240,98.508630,114.163562,-12.109873,-267.829315,5.302469
0.020000,120.744786,268.725287,100.784985,113.817789,-17.288651,-258.938933,5.269733
0.020000,121.913108,266.781980,103.052456,113.373521,-22.213400,-246.237425,5.237771
0.020000,123.014419,264.812151,105.309248,112.839619,-26.695082,-224.084099,5.206738
0.020000,124.049469,262.820536,107.553765,112.225836,-30.689147,-199.703239,5.176772
0.020000,125.019632,260.811666,109.784633,111.543424,-34.120633,-171.574322,5.147994
0.020000,125.926829,258.789791,112.000708,110.803717,-36.985325,-143.234587,5.120504
0.020000,126.773450,256.758818,114.201076,110.018442,-39.263781,-113.922827,5.094379
0.020000,127.562263,254.722276,116.385047,109.198520,-40.996095,-86.615670,5.069681
0.020000,128.296323,252.683307,118.552127,108.354029,-42.224557,-61.423131,5.046452
0.020000,128.978898,250.644662,120.702007,107.493963,-43.003267,-38.935499,5.024720
0.020000,129.613393,248.608723,122.834525,106.625905,-43.402920,-19.982621,5.004498
0.020000,130.203286,246.577521,124.949650,105.756266,-43.481951,-3.951573,4.985789
0.020000,130.752083,244.552774,127.047454,104.890169,-43.304858,8.854677,4.968586
0.020000,131.263268,242.535924,129.128077,104.031188,-42.949054,17.790208,4.952878
0.020000,131.740282,240.528163,131.191726,103.182435,-42.437630,25.571186,4.938646
0.020000,132.186493,238.530484,133.238632,102.345297,-41.856911,29.035962,4.925870
0.020000,132.605185,236.543702,135.269053,101.521037,-41.212987,32.196172,4.914529
0.020000,132.999546,234.568495,137.283242,100.709482,-40.577753,31.761732,4.904598
0.020000,133.372666,232.605428,139.281455,99.910615,-39.943376,31.718843,4.896058
0.020000,133.727536,230.654981,141.263921,99.123346,-39.363439,28.996816,4.888886
0.020000,134.067048,228.717576,143.230850,98.346410,-38.846796,25.832183,4.883066
0.020000,134.394001,226.793591,145.182417,97.578378,-38.401596,22.259984,4.878582
0.020000,134.711104,224.883386,147.118765,96.817367,-38.050519,17.553851,4.875421
0.020000,135.020986,222.987313,149.039993,96.061414,-37.797671,12.642380,4.873575
0.020000,135.326196,221.105736,150.946163,95.308485,-37.646435,7.561812,4.873039
0.020000,135.629216,219.239043,152.837291,94.556428,-37.602861,2.178727,4.873810
0.020000,135.932460,217.387651,154.713353,93.803074,-37.667696,-3.241763,4.875892
0.020000,136.238286,215.552027,156.574279,93.046322,-37.837613,-8.495863,4.879289
0.020000,136.548992,213.732685,158.419961,92.284106,-38.110817,-13.660203,4.884013
0.020000,136.866827,211.930204,160.250250,91.514452,-38.482681,-18.593210,4.890074
0.020000,137.193989,210.145225,162.064963,90.735638,-38.940706,-22.901221,4.897490
0.020000,137.532626,208.378461,163.863888,89.946227,-39.470522,-26.490831,4.906279
0.020000,137.884834,206.630700,165.646784,89.144838,-40.069494,-29.948554,4.916461
0.020000,138.252658,204.902799,167.413402,88.330863,-40.698715,-31.461081,4.928059
0.020000,138.638089,203.195691,169.163480,87.503901,-41.348091,-32.468779,4.941094
0.020000,139.043052,201.510377,170.896766,86.664309,-41.979612,-31.576046,4.955590
0.020000,139.469410,199.847916,172.613029,85.813139,-42.558525,-28.945689,4.971565
0.020000,139.918950,198.209418,174.312075,84.952344,-43.039722,-24.059813,4.989038
0.020000,140.366662,196.684678,175.901188,79.455640,-274.835201,-11589.773975,5.007828
0.020000,140.861121,195.123629,177.538674,81.874313,120.933628,19788.441450,5.030652
0.020000,141.387923,193.586147,179.163905,81.261504,-30.640450,-7578.703905,5.054542
0.020000,141.947725,192.073909,180.776431,80.626309,-31.759723,-55.963634,5.079536
0.020000,142.541133,190.588637,182.375857,79.971327,-32.749113,-49.469510,5.105669
0.020000,143.168680,189.132095,183.961837,79.298980,-33.617346,-43.411631,5.132971
0.020000,143.830846,187.706027,185.534139,78.615114,-34.193304,-28.797899,5.161462
0.020000,144.528029,186.312179,187.092624,77.924246,-34.543390,-17.504291,5.191153
0.020000,145.260561,184.952239,188.637306,77.234079,-34.508342,1.752387,5.222045
0.020000,146.028700,183.627831,190.168349,76.552177,-34.095101,20.662026,5.254122
0.020000,146.832647,182.340461,191.686128,75.888937,-33.162013,46.654397,5.287353
0.020000,147.672537,181.091522,193.191207,75.253929,-31.750394,70.580967,5.321688
0.020000,148.548470,179.882244,194.684395,74.659412,-29.725873,101.226045,5.357056
0.020000,149.460510,178.713687,196.166738,74.117182,-27.111511,130.718121,5.393366
0.020000,150.408707,177.586726,197.639531,73.639650,-23.876574,161.746827,5.430507
0.020000,151.393097,176.502057,199.104295,73.238160,-20.074493,190.104048,5.468346
0.020000,152.413713,175.460201,200.562760,72.923271,-15.744466,216.501348,5.506733
0.020000,153.470580,174.461517,202.016836,72.703807,-10.973185,238.564060,5.545501
0.020000,154.563700,173.506232,203.468553,72.585821,-5.899321,253.693193,5.584474
0.020000,155.693043,172.594459,204.920016,72.573185,-0.631788,263.376676,5.623469
0.020000,156.858511,171.726224,206.373339,72.666115,4.646489,263.913817,5.662303
0.020000,158.059915,170.901492,207.830581,72.862131,9.800834,257.717280,5.700796
0.020000,159.296947,170.120178,209.293694,73.155640,14.675406,243.728576,5.738778
0.020000,160.569148,169.382155,210.764467,73.538657,19.150892,223.774300,5.776095
0.020000,161.875894,168.687263,212.244488,74.001033,23.118762,198.393521,5.812607
0.020000,163.216388,168.035295,213.735120,74.531596,26.528158,170.469802,5.848198
0.020000,164.589651,167.425998,215.237483,75.118178,29.329084,140.046268,5.882768
0.020000,165.991545,166.860208,216.749245,75.588090,23.495649,-291.671743,5.916173
0.020000,167.414176,166.339510,218.264173,75.746375,7.914241,-779.070367,5.948224
0.020000,168.848748,165.864790,219.775251,75.553899,-9.623835,-876.903795,5.978767
0.020000,170.285954,165.436152,221.275014,74.988187,-28.285574,-933.086969,6.007684
0.020000,171.716078,165.052973,222.755583,74.028418,-47.988463,-985.144444,6.034897
0.020000,173.129139,164.713969,224.208739,72.657810,-68.530385,-1027.096089,6.060356
0.020000,174.514969,164.417290,225.625970,70.861571,-89.811953,-1064.078414,6.084035
0.020000,175.863324,164.160603,226.998540,68.628484,-111.654357,-1092.120207,6.105930
0.020000,177.163952,163.941193,228.317545,65.950264,-133.911011,-1112.832716,6.126049
0.020000,178.410073,163.755579,229.577414,62.993433,-147.841514,-696.525129,6.144461
0.020000,179.598886,163.599846,230.776385,59.948536,-152.244888,-220.168701,6.161285
0.020000,180.728235,163.470336,231.913135,56.837507,-155.551455,-165.328370,6.176635
0.020000,181.796269,163.363694,232.986480,53.667241,-158.513305,-148.092474,6.190615
0.020000,182.801378,163.276855,233.995333,50.442667,-161.228690,-135.769249,6.203319
0.020000,183.742183,163.207031,234.938726,47.169649,-163.650897,-121.110377,6.214832
0.020000,184.617496,163.151698,235.815786,43.852995,-165.832667,-109.088483,6.225228
0.020000,185.426302,163.108578,236.625740,40.497734,-167.763054,-96.519356,6.234576
0.020000,186.167731,163.075627,237.367901,37.108047,-169.484386,-86.066596,6.242935
0.020000,186.841042,163.051022,238.041662,33.688007,-171.001974,-75.879403,6.250358
0.020000,187.445614,163.033151,238.646498,30.241825,-172.309128,-65.357694,6.256890
0.020000,187.980910,163.020598,239.181941,26.772132,-173.484607,-58.773937,6.262572
0.020000,188.446491,163.012136,239.647598,23.282888,-174.462226,-48.880940,6.267439
0.020000,188.841994,163.006716,240.043139,19.777013,-175.293731,-41.575275,6.271518
0.020000,189.167122,163.003463,240.368283,16.257224,-175.989473,-34.787116,6.274835
0.020000,189.425233,163.001645,240.626401,12.905873,-167.567545,421.096419,6.277446
0.020000,189.623684,163.000704,240.824854,9.922679,-149.159712,920.391665,6.279439
0.020000,189.770263,163.000262,240.971434,7.328985,-129.684701,973.750541,6.280903
0.020000,189.872782,163.000080,241.073953,5.125952,-110.151658,976.652136,6.281923
0.020000,189.939102,163.000018,241.140273,3.316012,-90.496982,982.733822,6.282582
0.020000,189.977093,163.000003,241.178264,1.899516,-70.824801,983.609039,6.282958
0.020000,189.994645,163.000000,241.195816,0.877634,-51.094117,986.534213,6.283132
0.020000,189.999649,163.000000,241.200820,0.250168,-31.373280,986.041837,6.283182
0.020000,190.000000,163.000000,241.201171,0.017563,-11.630234,987.152276,0.000000
0.020000,190.000000,163.000000,241.201171,0.000000,-0.878163,537.603545,0.000000
