dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,33.005277,286.500001,0.004398,0.439815,21.990741,1099.537037,0.000459
0.020000,33.003822,286.500001,0.005854,0.072779,-18.351807,-2017.127410,0.000332
0.020000,33.000546,286.500000,0.009130,0.163799,4.551035,1145.142122,0.000047
0.020000,33.058498,286.499987,0.067082,2.897632,136.691612,6607.028851,6.282726
0.020000,33.159337,286.499900,0.167921,5.041944,107.215626,-1473.799319,6.281933
0.020000,33.304521,286.499636,0.313106,7.259224,110.863979,182.417678,6.280790
0.020000,33.502092,286.499008,0.510677,9.878584,130.967995,1005.200782,6.279230
0.020000,33.760071,286.497725,0.768660,12.899120,151.026825,1002.941530,6.277187
0.020000,34.086455,286.495343,1.095053,16.319643,171.026149,999.966179,6.274591
0.020000,34.485182,286.491281,1.493800,19.937378,180.886724,493.028731,6.271402
0.020000,34.956136,286.484840,1.964798,23.549901,180.626181,-13.027113,6.267612
0.020000,35.499172,286.475188,2.507920,27.156071,180.308475,-15.885321,6.263210
0.020000,36.114117,286.461358,3.123021,30.755057,179.949303,-17.958591,6.258182
0.020000,36.800768,286.442243,3.809938,34.345843,179.539311,-20.499626,6.252516
0.020000,37.558883,286.416590,4.568486,37.927417,179.078708,-23.030130,6.246194
0.020000,38.388179,286.383000,5.398462,41.498792,178.568738,-25.498500,6.239199
0.020000,39.288333,286.339920,6.299646,45.059226,178.021703,-27.351747,6.231512
0.020000,40.258968,286.285640,7.271798,48.607569,177.417140,-30.228153,6.223113
0.020000,41.299652,286.218288,8.314659,52.143059,176.774509,-32.131549,6.213978
0.020000,42.409891,286.135821,9.427957,55.664901,176.092097,-34.120583,6.204084
0.020000,43.589123,286.036025,10.611404,59.172342,175.372051,-36.002306,6.193406
0.020000,44.836705,285.916507,11.864698,62.664720,174.618922,-37.656479,6.181918
0.020000,46.151912,285.774690,13.187529,66.141542,173.841060,-38.893075,6.169592
0.020000,47.533923,285.607810,14.579578,69.602466,173.046208,-39.742591,6.156402
0.020000,48.977896,285.413466,16.036571,72.849658,162.359596,-534.330616,6.142357
0.020000,50.475037,285.189905,17.550312,75.687033,141.868780,-1024.540804,6.127510
0.020000,52.016575,284.935675,19.112674,78.118074,121.552059,-1015.836022,6.111920
0.020000,53.593781,284.649686,20.715598,80.146224,101.407478,-1007.229078,6.095650
0.020000,55.197991,284.331253,22.351107,81.775453,81.461437,-997.302055,6.078772
0.020000,56.820633,283.980144,24.011301,83.009689,61.711815,-987.481068,6.061363
0.020000,58.453251,283.596624,25.688360,83.852978,42.164447,-977.368408,6.043508
0.020000,60.087529,283.181481,27.374542,84.309094,22.805802,-967.932268,6.025300
0.020000,61.715320,282.736058,29.062175,84.381654,3.628004,-958.889883,6.006835
0.020000,63.332396,282.261130,30.747551,84.268768,-5.644284,-463.614418,5.988174
0.020000,64.938339,281.756576,32.430889,84.166919,-5.092473,27.590568,5.969337
0.020000,66.532741,281.222305,34.112425,84.076790,-4.506429,29.302193,5.950342
0.020000,68.115202,280.658259,35.792405,83.998998,-3.889637,30.839576,5.931212
0.020000,69.685335,280.064413,37.471086,83.934078,-3.245999,32.181941,5.911969
0.020000,71.242764,279.440775,39.148736,83.882482,-2.579799,33.309989,5.892637
0.020000,72.787125,278.787388,40.825627,83.844568,-1.895693,34.205274,5.873238
0.020000,74.318067,278.104327,42.502039,83.820596,-1.198606,34.854341,5.853798
0.020000,75.835256,277.391703,44.178254,83.810723,-0.493620,35.249331,5.834341
0.020000,77.338370,276.649659,45.854553,83.814963,0.212007,35.281336,5.814891
0.020000,78.827103,275.878375,47.531218,83.833251,0.914357,35.117481,5.795473
0.020000,80.301167,275.078059,49.208529,83.865534,1.614164,34.990396,5.776111
0.020000,81.760286,274.248957,50.886754,83.911267,2.286661,33.624832,5.756828
0.020000,83.204208,273.391343,52.566162,83.970388,2.956062,33.470051,5.737648
0.020000,84.632690,272.505523,54.247007,84.042232,3.592185,31.806168,5.718594
0.020000,86.045511,271.591834,55.929532,84.126256,4.201224,30.451908,5.699685
0.020000,87.442466,270.650640,57.613969,84.221866,4.780469,28.962270,5.680943
0.020000,88.759015,269.728313,59.221448,80.373933,-192.396658,-9858.856345,5.663544
0.020000,89.997283,268.816480,60.759221,76.888657,-174.263801,906.642853,5.633504
0.020000,91.212171,267.863693,62.303163,77.197101,15.422221,9484.301105,5.602548
0.020000,92.389203,266.879411,63.837508,76.717266,-23.991751,-1970.698624,5.570758
0.020000,93.527681,265.863394,65.363425,76.295847,-21.070965,146.039333,5.538235
0.020000,94.627120,264.815373,66.882344,75.945959,-17.494379,178.829297,5.505104
0.020000,95.687205,263.735079,68.395888,75.677197,-13.438091,202.814395,5.471505
0.020000,96.707824,262.622212,69.905900,75.500578,-8.830950,230.357029,5.437599
0.020000,97.689016,261.476487,71.414351,75.422549,-3.901489,246.473070,5.403558
0.020000,98.630997,260.297603,72.923356,75.450242,1.384691,264.308963,5.369565
0.020000,99.534096,259.085310,74.435057,75.585081,6.741932,267.862082,5.335806
0.020000,100.398763,257.839411,75.951603,75.827304,12.111153,268.461019,5.302469
0.020000,101.225544,256.559795,77.475081,76.173881,17.328862,260.885449,5.269733
0.020000,102.015063,255.246478,79.007446,76.618278,22.219815,244.547671,5.237771
0.020000,102.768027,253.899608,80.550500,77.152664,26.719314,224.974962,5.206738
0.020000,103.485216,252.519493,82.105838,77.766909,30.712235,199.646016,5.176772
0.020000,104.167492,251.106602,83.674838,78.450020,34.155571,172.166835,5.147994
0.020000,104.815802,249.661565,85.258643,79.190215,37.009745,142.708703,5.120504
0.020000,105.431183,248.185159,86.858164,79.976093,39.293888,114.207146,5.094379
0.020000,106.014774,246.678288,88.474097,80.796607,41.025726,86.591883,5.069681
0.020000,106.567813,245.141964,90.106930,81.641649,42.252104,61.318904,5.046452
0.020000,107.091641,243.577274,91.756976,82.502301,43.032587,39.024153,5.024720
0.020000,107.587703,241.985357,93.424392,83.370822,43.426031,19.672210,5.004498
0.020000,108.057540,240.367375,95.109210,84.240911,43.504479,3.922386,4.985789
0.020000,108.502789,238.724489,96.811362,85.107574,43.333115,-8.568213,4.968586
0.020000,108.925170,237.057843,98.530697,85.966756,42.959108,-18.700332,4.952878
0.020000,109.326486,235.368537,100.267018,86.816034,42.463929,-24.758930,4.938646
0.020000,109.708610,233.657624,102.020084,87.653341,41.865353,-29.928809,4.925870
0.020000,110.073482,231.926089,103.789646,88.478057,41.235778,-31.478762,4.914529
0.020000,110.423100,230.174854,105.575439,89.289652,40.579739,-32.801973,4.904598
0.020000,110.759520,228.404763,107.377215,90.088840,39.959439,-31.014992,4.896058
0.020000,111.084847,226.616590,109.194741,90.876305,39.373203,-29.311781,4.888886
0.020000,111.401238,224.811035,111.027807,91.653292,38.849373,-26.191508,4.883066
0.020000,111.710901,222.988729,112.876237,92.421487,38.409726,-21.982365,4.878582
0.020000,112.016092,221.150235,114.739889,93.182596,38.055469,-17.712815,4.875421
0.020000,112.319121,219.296063,116.618660,93.938574,37.798891,-12.828922,4.873575
0.020000,112.622354,217.426666,118.512491,94.691532,37.647924,-7.548318,4.873039
0.020000,112.928219,215.542458,120.421363,95.443593,37.603052,-2.243600,4.873810
0.020000,113.239207,213.643821,122.345301,96.196899,37.665308,3.112790,4.875892
0.020000,113.557884,211.731115,124.284373,96.953608,37.835420,8.505580,4.879289
0.020000,113.886890,209.804692,126.238688,97.715766,38.107900,13.623990,4.884013
0.020000,114.228951,207.864916,128.208394,98.485265,38.474940,18.352012,4.890074
0.020000,114.586883,205.912171,130.193672,99.263892,38.931370,22.821508,4.897490
0.020000,114.963595,203.946885,132.194736,100.053246,39.467700,26.816492,4.906279
0.020000,115.362096,201.969555,134.211823,100.854314,40.053383,29.284153,4.916461
0.020000,115.785492,199.980762,136.245185,101.668097,40.689152,31.788440,4.928059
0.020000,116.236991,197.981207,138.295080,102.494760,41.333170,32.200896,4.941094
0.020000,116.719892,195.971736,140.361760,103.334022,41.963091,31.496042,4.955590
0.020000,117.237578,193.953372,142.445457,104.184819,42.539840,28.837484,4.971565
0.020000,117.793498,191.927353,144.546362,105.045265,43.022309,24.123455,4.989038
0.020000,118.363152,189.987999,146.567649,101.064332,-199.046649,-12103.447900,5.007828
0.020000,119.016175,187.926524,148.730082,108.121664,352.866619,27595.663361,5.030652
0.020000,119.721129,185.869280,150.904757,108.733750,30.604305,-16113.115678,5.054542
0.020000,120.480553,183.817972,153.092128,109.368552,31.740070,56.788274,5.079536
0.020000,121.297021,181.774574,155.292604,110.023783,32.761584,51.075695,5.105669
0.020000,122.173092,179.741393,157.506497,110.694684,33.545036,39.172558,5.132971
0.020000,123.111294,177.721031,159.734071,111.378688,34.200209,32.758667,5.161462
0.020000,124.114038,175.716474,161.975442,112.068553,34.493252,14.652178,5.191153
0.020000,125.183581,173.731061,164.230611,112.758464,34.495548,0.114777,5.222045
0.020000,126.321928,171.768525,166.499396,113.439232,34.038357,-22.859562,5.254122
0.020000,127.530778,169.832949,168.781450,114.102694,33.173118,-43.261917,5.287353
0.020000,128.811398,167.928793,171.076183,114.736629,31.696766,-73.817635,5.321688
0.020000,130.164570,166.060804,173.382794,115.330585,29.697789,-99.948811,5.357056
0.020000,131.590482,164.233974,175.700236,115.872068,27.074136,-131.182692,5.393366
0.020000,133.088671,162.453440,178.027223,116.349375,23.865346,-160.439464,5.430507
0.020000,134.657951,160.724386,180.362232,116.750447,20.053638,-190.585413,5.468346
0.020000,136.296395,159.051908,182.703531,117.064940,15.724654,-216.449224,5.506733
0.020000,138.001332,157.440872,185.049218,117.284380,10.971967,-237.634354,5.545501
0.020000,139.769377,155.895781,187.397258,117.401980,5.880018,-254.597413,5.584474
0.020000,141.596515,154.420634,189.745553,117.414764,0.639193,-262.041281,5.623469
0.020000,143.478187,153.018821,192.091990,117.321842,-4.646077,-264.263496,5.662303
0.020000,145.409424,151.693029,194.434511,117.126068,-9.788744,-257.133329,5.700796
0.020000,147.384989,150.445187,196.771169,116.832850,-14.660860,-243.605823,5.738778
0.020000,149.399518,149.276450,199.100175,116.450318,-19.126614,-223.287703,5.776095
0.020000,151.447659,148.187217,201.419940,115.988257,-23.103065,-198.822539,5.812607
0.020000,153.524205,147.177165,203.729106,115.458320,-26.496844,-169.688952,5.848198
0.020000,155.624195,146.245333,206.026554,114.872400,-29.296006,-139.958116,5.882768
0.020000,157.738503,145.391922,208.306600,114.002299,-43.505033,-710.451305,5.916173
