dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,108.500010,99.984487,0.004398,0.439815,21.990741,1099.537037,1.572145
0.020000,108.500008,99.986403,0.006314,0.095816,-17.199950,-1959.534545,1.571979
0.020000,108.500004,99.990717,0.010629,0.215705,5.994465,1159.720750,1.571604
0.020000,108.500000,99.998395,0.018306,0.383885,8.408979,120.725721,1.570936
0.020000,108.500048,100.105706,0.125618,5.365563,249.083921,12033.747071,1.569890
0.020000,108.500340,100.281423,0.301335,8.785884,171.016069,-3903.392596,1.568378
0.020000,108.501166,100.520739,0.540652,11.965842,158.997874,-600.909731,1.566307
0.020000,108.502996,100.833562,0.853481,15.641439,183.779845,1239.098554,1.563581
0.020000,108.506546,101.229910,1.249845,19.818205,208.838329,1252.924212,1.560094
0.020000,108.512782,101.714931,1.734906,24.253038,221.741642,645.165639,1.555777
0.020000,108.522889,102.289009,2.309073,28.708349,222.765525,51.194138,1.550595
0.020000,108.538312,102.952622,2.972865,33.189600,224.062546,64.851032,1.544505
0.020000,108.560779,103.706245,3.726823,37.697914,225.415735,67.659465,1.537457
0.020000,108.592335,104.550533,4.571700,42.243858,227.297161,94.071300,1.529389
0.020000,108.635372,105.486108,5.508265,46.828235,229.218880,96.085958,1.520231
0.020000,108.692677,106.513725,6.537478,51.460651,231.620794,120.095684,1.509899
0.020000,108.767491,107.634227,7.660475,56.149856,234.460234,141.971988,1.498298
0.020000,108.863559,108.848466,8.878509,60.901686,237.591498,156.563222,1.485316
0.020000,108.985224,110.157387,10.193072,65.728161,241.323752,186.612706,1.470824
0.020000,109.137502,111.561925,11.605840,70.638401,245.512008,209.412807,1.454674
0.020000,109.326213,113.063113,13.118843,75.650175,250.588703,253.834754,1.436695
0.020000,109.558080,114.661801,14.734258,80.770715,256.026998,271.914711,1.416693
0.020000,109.840901,116.358779,16.454642,86.019228,262.425670,319.933624,1.394447
0.020000,110.183713,118.154597,18.282888,91.412272,269.652197,361.326342,1.369704
0.020000,110.595782,120.044248,20.216947,96.702946,264.533672,-255.926243,1.342260
0.020000,111.085949,122.016874,22.249560,101.630655,246.385459,-907.410664,1.311982
0.020000,111.663234,124.060611,24.373264,106.185194,227.726942,-932.925845,1.278752
0.020000,112.336545,126.162341,26.580211,110.347393,208.109956,-980.849297,1.242487
0.020000,113.114302,128.307517,28.862027,114.090796,187.170174,-1046.989083,1.203156
0.020000,114.003820,130.479768,31.209349,117.366067,163.763550,-1170.331201,1.160800
0.020000,115.010705,132.661042,33.611801,120.122600,137.826613,-1296.846849,1.115561
0.020000,116.138001,134.831550,36.057593,122.289620,108.350995,-1473.780903,1.067698
0.020000,117.385373,136.970180,38.533411,123.790885,75.063291,-1664.385223,1.017604
0.020000,118.751666,139.059929,41.030170,124.837976,52.354529,-1135.438099,0.965687
0.020000,120.235772,141.088137,43.543375,125.660215,41.111968,-562.128061,0.912339
0.020000,121.833845,143.041993,46.067536,126.208081,27.393300,-685.933371,0.858037
0.020000,123.539292,144.909353,48.596485,126.447457,11.968793,-771.225370,0.803318
0.020000,125.342972,146.679474,51.123656,126.358526,-4.446539,-820.766572,0.748754
0.020000,127.233740,148.343736,53.642539,125.944134,-20.719636,-813.654883,0.694911
0.020000,129.199115,149.896088,56.147034,125.224762,-35.968595,-762.447935,0.642321
0.020000,131.226089,151.333277,58.631815,124.239045,-49.285847,-665.862600,0.591447
0.020000,133.301870,152.654761,61.092544,123.036440,-60.130221,-542.218715,0.542667
0.020000,135.414493,153.862414,63.525978,121.671733,-68.235393,-405.258569,0.496262
0.020000,137.553245,154.960067,65.929955,120.198815,-73.645887,-270.524721,0.452421
0.020000,139.708918,155.953020,68.303323,118.668427,-76.519379,-143.674578,0.411244
0.020000,141.873823,156.847526,70.645748,117.121247,-77.359012,-41.981660,0.372760
0.020000,144.041780,157.650380,72.957590,115.592101,-76.457281,45.086531,0.336937
0.020000,146.207941,158.368565,75.239704,114.105710,-74.319563,106.885906,0.303700
0.020000,148.368600,159.008990,77.493277,112.678634,-71.353818,148.287248,0.272947
0.020000,150.521050,159.578331,79.719751,111.323720,-67.745691,180.406384,0.244551
0.020000,152.663334,160.082896,81.920653,110.045085,-63.931768,190.696143,0.218381
0.020000,154.794124,160.528583,84.097555,108.845122,-59.998109,196.682915,0.194298
0.020000,156.912582,160.920851,86.252025,107.723476,-56.082328,195.789066,0.172166
0.020000,159.015468,161.264298,88.382772,106.537358,-59.305907,-161.178922,0.151879
0.020000,161.095020,161.562668,90.483620,105.042400,-74.747862,-772.097795,0.133373
0.020000,163.141847,161.819586,92.546508,103.144396,-94.900210,-1007.617368,0.116585
0.020000,165.146895,162.038821,94.563506,100.849923,-114.723640,-991.171514,0.101437
0.020000,167.101437,162.224172,96.526817,98.165511,-134.220611,-974.848531,0.087844
0.020000,168.996959,162.379375,98.428682,95.093261,-153.612512,-969.595082,0.075716
0.020000,170.825161,162.508039,100.261406,91.636214,-172.852369,-961.992853,0.064956
0.020000,172.577856,162.613586,102.017277,87.793526,-192.134363,-964.099674,0.055470
0.020000,174.246985,162.699218,103.688601,83.566189,-211.366862,-961.624943,0.047162
0.020000,175.827187,162.767992,105.270298,79.084882,-224.065363,-634.925056,0.039928
0.020000,177.317728,162.822787,106.761846,74.577394,-225.374415,-65.452612,0.033649
0.020000,178.719741,162.866114,108.164529,70.134133,-222.163045,160.568501,0.028213
0.020000,180.034270,162.900082,109.479496,65.748384,-219.287454,143.779555,0.023521
0.020000,181.262251,162.926457,110.707761,61.413230,-216.757670,126.489186,0.019484
0.020000,182.404537,162.946713,111.850226,57.123244,-214.499292,112.918901,0.016024
0.020000,183.461885,162.962075,112.907686,52.873019,-212.511284,99.400412,0.013072
0.020000,184.434997,162.973559,113.880865,48.658944,-210.703740,90.377188,0.010564
0.020000,185.324488,162.982002,114.770397,44.476574,-209.118495,79.262256,0.008446
0.020000,186.130917,162.988087,115.576848,40.322584,-207.699480,70.950774,0.006668
0.020000,186.854776,162.992372,116.300720,36.193587,-206.449882,62.479877,0.005187
0.020000,187.496505,162.995304,116.942456,32.086786,-205.340055,55.491341,0.003965
0.020000,188.056484,162.997241,117.502439,27.999151,-204.381751,47.915187,0.002967
0.020000,188.535046,162.998468,117.981002,23.928180,-203.548518,41.661676,0.002165
0.020000,188.932471,162.999202,118.378428,19.871264,-202.845791,35.136356,0.001534
0.020000,189.251546,162.999614,118.697503,15.953749,-195.875751,348.501979,0.001052
0.020000,189.499475,162.999829,118.945432,12.396485,-177.863234,900.625867,0.000691
