dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,120.000000,100.000000,0.004398,0.439815,21.990741,1099.537037,1.572145
0.020000,120.000000,100.000000,0.021991,1.319444,43.981481,1099.537037,1.571979
0.020000,120.000000,100.000000,0.061574,2.638889,65.972222,1099.537037,1.571604
0.020000,120.000000,100.000000,0.131944,4.398148,87.962963,1099.537037,1.570936
0.020000,120.000043,100.095284,0.241898,6.597222,109.953704,1099.537037,1.569890
0.020000,120.000306,100.253613,0.400231,9.236111,131.944444,1099.537037,1.568378
0.020000,120.001050,100.469116,0.615741,12.314815,153.935185,1099.537037,1.566307
0.020000,120.002697,100.750587,0.897222,15.833333,175.925926,1099.537037,1.563581
0.020000,120.005887,101.106838,1.253472,19.791667,197.916667,1099.537037,1.560094
0.020000,120.011485,101.542217,1.688889,23.750000,197.916667,-0.000000,1.555777
0.020000,120.020542,102.056711,2.203472,27.708333,197.916667,0.000000,1.550595
0.020000,120.034338,102.650309,2.797222,31.666667,197.916667,-0.000000,1.544505
0.020000,120.054389,103.322911,3.470139,35.625000,197.916667,0.000000,1.537457
0.020000,120.082478,104.074482,4.222222,39.583333,197.916667,0.000000,1.529389
0.020000,120.120673,104.904850,5.053472,43.541667,197.916667,-0.000000,1.520231
0.020000,120.171360,105.813841,5.963889,47.500000,197.916667,0.000000,1.509899
0.020000,120.237282,106.801228,6.953472,51.458333,197.916667,-0.000000,1.498298
0.020000,120.321570,107.866640,8.022222,55.416667,197.916667,0.000000,1.485316
0.020000,120.427804,109.009620,9.170139,59.375000,197.916667,-0.000000,1.470824
0.020000,120.560054,110.229518,10.397222,63.333333,197.916667,0.000000,1.454674
0.020000,120.722965,111.525570,11.703472,67.291667,197.916667,0.000000,1.436695
0.020000,120.921801,112.896623,13.088889,71.250000,197.916667,-0.000000,1.416693
0.020000,121.162544,114.341252,14.553472,75.208333,197.916667,0.000000,1.394447
0.020000,121.451976,115.857585,16.097222,79.166667,197.916667,0.000000,1.369704
0.020000,121.796770,117.438898,17.715741,82.685185,175.925926,-1099.537037,1.342260
0.020000,122.202930,119.073621,19.400231,85.763889,153.935185,-1099.537037,1.311982
0.020000,122.676292,120.749638,21.141898,88.402778,131.944444,-1099.537037,1.278752
0.020000,123.222318,122.454251,22.931944,90.601852,109.953704,-1099.537037,1.242487
0.020000,123.845847,124.174247,24.761574,92.361111,87.962963,-1099.537037,1.203156
0.020000,124.550727,125.895801,26.621991,93.680556,65.972222,-1099.537037,1.160800
0.020000,125.339517,127.604794,28.504398,94.560185,43.981481,-1099.537037,1.115561
0.020000,126.213069,129.286912,30.400000,95.000000,21.990741,-1099.537037,1.067698
0.020000,127.170167,130.928010,32.300000,95.000000,0.000000,-1099.537037,1.017604
0.020000,128.209724,132.518131,34.200000,95.000000,0.000000,0.000000,0.965687
0.020000,129.331548,134.051315,36.100000,95.000000,0.000000,0.000000,0.912339
0.020000,130.534286,135.521865,38.000000,95.000000,0.000000,0.000000,0.858037
0.020000,131.815425,136.924641,39.900000,95.000000,0.000000,0.000000,0.803318
0.020000,133.171324,138.255289,41.800000,95.000000,0.000000,0.000000,0.748754
0.020000,134.597389,139.510465,43.700000,95.000000,0.000000,0.000000,0.694911
0.020000,136.088255,140.687953,45.600000,95.000000,0.000000,0.000000,0.642321
0.020000,137.638063,141.786728,47.500000,95.000000,0.000000,0.000000,0.591447
0.020000,139.240717,142.806914,49.400000,95.000000,0.000000,0.000000,0.542667
0.020000,140.890127,143.749678,51.300000,95.000000,0.000000,0.000000,0.496262
0.020000,142.580406,144.617066,53.200000,95.000000,0.000000,0.000000,0.452421
0.020000,144.306045,145.411843,55.100000,95.000000,0.000000,0.000000,0.411244
0.020000,146.061974,146.137279,57.000000,95.000000,0.000000,0.000000,0.372760
0.020000,147.843651,146.797004,58.900000,95.000000,0.000000,0.000000,0.336937
0.020000,149.647054,147.394847,60.800000,95.000000,0.000000,0.000000,0.303700
0.020000,151.468657,147.934712,62.700000,95.000000,0.000000,0.000000,0.272947
0.020000,153.305443,148.420501,64.600000,95.000000,0.000000,0.000000,0.244551
0.020000,155.154800,148.856026,66.500000,95.000000,0.000000,0.000000,0.218381
0.020000,157.014514,149.244972,68.400000,95.000000,0.000000,0.000000,0.194298
0.020000,158.882720,149.590866,70.300000,95.000000,0.000000,0.000000,0.172166
0.020000,160.755374,149.896681,72.197487,94.748654,-12.567292,-628.364597,0.151879
0.020000,162.624271,150.164800,74.085548,94.057494,-34.558033,-1099.537037,0.133373
0.020000,164.479536,150.397652,75.955388,92.926518,-56.548773,-1099.537037,0.116585
0.020000,166.311421,150.597935,77.798211,91.355728,-78.539514,-1099.537037,0.101437
0.020000,168.110349,150.768514,79.605219,89.345123,-100.530255,-1099.537037,0.087844
0.020000,169.866857,150.912323,81.367617,86.894703,-122.520996,-1099.537037,0.075716
0.020000,171.571630,151.032291,83.076609,84.004468,-144.511736,-1099.537037,0.064956
0.020000,173.215434,151.131274,84.723398,80.674418,-166.502477,-1099.537037,0.055470
0.020000,174.789150,151.212005,86.299188,76.904554,-188.493218,-1099.537037,0.047162
