dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,131.499990,100.015513,0.004398,0.439815,21.990741,1099.537037,1.572145
0.020000,131.499992,100.013597,0.006314,0.095816,-17.199950,-1959.534545,1.571979
0.020000,131.499996,100.009283,0.010629,0.215705,5.994465,1159.720750,1.571604
0.020000,131.500000,100.001605,0.018306,0.383885,8.408979,120.725721,1.570936
0.020000,131.500038,100.084862,0.101563,4.162839,188.947702,9026.936152,1.569890
0.020000,131.500273,100.225802,0.242503,7.047002,144.208142,-2236.978036,1.568378
0.020000,131.500934,100.417493,0.434196,9.584638,126.881798,-866.317163,1.566307
0.020000,131.502398,100.667611,0.684318,12.506101,146.073190,959.569599,1.563581
0.020000,131.505229,100.983766,1.000485,15.808354,165.112623,951.971632,1.560094
0.020000,131.510188,101.369504,1.386255,19.288497,174.007158,444.726761,1.555777
0.020000,131.518196,101.824413,1.841235,22.748998,173.025033,-49.106275,1.550595
0.020000,131.530363,102.347996,2.364959,26.186194,171.859813,-58.260997,1.544505
0.020000,131.547998,102.939577,2.956803,29.592217,170.301156,-77.932859,1.537457
0.020000,131.572620,103.598431,3.616117,32.965676,168.672933,-81.411142,1.529389
0.020000,131.605974,104.323592,4.342044,36.296379,166.535152,-106.889054,1.520231
0.020000,131.650043,105.113958,5.133638,39.579683,164.165230,-118.496107,1.509899
0.020000,131.707073,105.968229,5.989811,42.808660,161.448815,-135.820741,1.498298
0.020000,131.779581,106.884813,6.909258,45.972351,158.184568,-163.212338,1.485316
0.020000,131.870383,107.861852,7.890507,49.062468,154.505869,-183.934924,1.470824
0.020000,131.982606,108.897112,8.931832,52.066244,150.188769,-215.855023,1.454674
0.020000,132.119717,109.988026,10.031328,54.974804,145.427996,-238.038655,1.436695
0.020000,132.285521,111.131446,11.186708,57.768971,139.708370,-285.981317,1.416693
0.020000,132.484186,112.323726,12.395425,60.435873,133.345114,-318.162782,1.394447
0.020000,132.720238,113.560573,13.654597,62.958578,126.135230,-360.494175,1.369704
0.020000,132.997759,114.833547,14.957470,65.143673,109.254739,-844.024591,1.342260
0.020000,133.319911,116.130369,16.293707,66.811824,83.407582,-1292.357834,1.311982
