dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.985023,309.499990,0.004398,0.439815,21.990741,1099.537037,0.001302
0.020000,32.986761,309.499992,0.006136,0.086868,-17.647330,-1981.903547,0.001151
0.020000,32.990668,309.499996,0.010043,0.195356,5.424409,1153.586958,0.000812
0.020000,32.997607,309.500000,0.016982,0.346968,7.580590,107.809043,0.000208
0.020000,33.094101,309.499965,0.113476,4.824714,223.887283,10815.334666,6.282452
0.020000,33.267988,309.499720,0.287363,8.694329,193.480765,-1520.325902,6.281100
0.020000,33.504597,309.499010,0.523973,11.830501,156.808574,-1833.609561,6.279265
0.020000,33.813517,309.497430,0.832897,15.446217,180.785821,1198.862363,6.276878
0.020000,34.204292,309.494378,1.223685,19.539365,204.657394,1193.578639,6.273875
0.020000,34.681597,309.489063,1.701019,23.866719,216.367725,585.516540,6.270230
0.020000,35.245233,309.480554,2.264719,28.184998,215.913924,-22.690044,6.265959
0.020000,35.894959,309.467773,2.914570,32.492571,215.378668,-26.762803,6.261080
0.020000,36.630484,309.449497,3.650323,36.787616,214.752235,-31.321637,6.255616
0.020000,37.451465,309.424377,4.471688,41.068288,214.033600,-35.931742,6.249592
0.020000,38.357504,309.390947,5.378343,45.332756,213.223426,-40.508713,6.243035
0.020000,39.348140,309.347639,6.369926,49.579101,212.317214,-45.310600,6.235977
0.020000,40.422850,309.292800,7.446034,53.805407,211.315311,-50.095156,6.228452
0.020000,41.581045,309.224709,8.606229,58.009772,210.218259,-54.852603,6.220500
0.020000,42.822071,309.141597,9.850034,62.190268,209.024809,-59.672472,6.212162
0.020000,44.145202,309.041667,11.176934,66.344990,207.736101,-64.435412,6.203482
0.020000,45.549651,308.923116,12.586378,70.472175,206.359212,-68.844469,6.194508
0.020000,47.034561,308.784156,14.077775,74.569868,204.884683,-73.726409,6.185292
0.020000,48.599018,308.623041,15.650507,78.636575,203.335362,-77.466081,6.175887
0.020000,50.242053,308.438088,17.303919,82.670605,201.701460,-81.695101,6.166351
0.020000,51.957991,308.228292,19.032635,86.435792,188.259360,-672.104993,6.156768
0.020000,53.736570,307.993567,20.826635,89.700034,163.212130,-1252.361509,6.147245
0.020000,55.567657,307.734292,22.675987,92.467586,138.377598,-1241.726609,6.137880
0.020000,57.441284,307.451304,24.570865,94.743896,113.815472,-1228.106300,6.128764
0.020000,59.347666,307.145887,26.501556,96.534575,89.533931,-1214.077009,6.119975
0.020000,61.277203,306.819733,28.458465,97.845438,65.543175,-1199.537846,6.111584
0.020000,63.220499,306.474914,30.432116,98.682536,41.854916,-1184.412922,6.103649
0.020000,65.168355,306.113828,32.413158,99.052113,18.478828,-1168.804418,6.096219
0.020000,67.111773,305.739154,34.392363,98.960260,-4.592622,-1153.572491,6.089332
0.020000,69.046410,305.352894,36.365183,98.640977,-15.964175,-568.577670,6.082999
0.020000,70.972471,304.956199,38.331671,98.324410,-15.828335,6.792047,6.077217
0.020000,72.890174,304.550202,40.291881,98.010484,-15.696296,6.601919,6.071982
0.020000,74.799752,304.136008,42.245862,97.699079,-15.570244,6.302603,6.067287
0.020000,76.701444,303.714706,44.193663,97.390038,-15.452082,5.908082,6.063131
0.020000,78.595496,303.287360,46.135326,97.083159,-15.343918,5.408202,6.059508
0.020000,80.482157,302.855019,48.070891,96.778240,-15.245990,4.896430,6.056415
0.020000,82.361682,302.418714,50.000392,96.475039,-15.160029,4.298065,6.053850
0.020000,84.234321,301.979460,51.923858,96.173290,-15.087471,3.627894,6.051809
0.020000,86.100325,301.538259,53.841312,95.872713,-15.028815,2.932807,6.050292
0.020000,87.959942,301.096098,55.752772,95.573020,-14.984672,2.207109,6.049295
0.020000,89.813413,300.653956,57.658251,95.273910,-14.955489,1.459174,6.048819
0.020000,91.660976,300.212800,59.557752,94.975079,-14.941550,0.696964,6.048862
0.020000,93.502858,299.773591,61.451277,94.676219,-14.942987,-0.071847,6.049425
0.020000,95.339280,299.337281,63.338817,94.377024,-14.959781,-0.839743,6.050509
0.020000,97.170449,298.904818,65.220361,94.077188,-14.991766,-1.599232,6.052113
0.020000,98.996566,298.477145,67.095889,93.776416,-15.038620,-2.342711,6.054241
0.020000,100.817815,298.055200,68.965377,93.474419,-15.099867,-3.062326,6.056895
0.020000,102.634371,297.639923,70.828796,93.170921,-15.174863,-3.749833,6.060076
0.020000,104.446390,297.232247,72.686109,92.865666,-15.262793,-4.396463,6.063787
0.020000,106.254016,296.833109,74.537277,92.558413,-15.362649,-4.992791,6.068033
0.020000,108.057376,296.443443,76.382256,92.248948,-15.473221,-5.528604,6.072818
0.020000,109.856580,296.064184,78.220998,91.937087,-15.593077,-5.992795,6.078144
0.020000,111.651719,295.696269,80.053452,91.622676,-15.720542,-6.373261,6.084018
0.020000,113.442866,295.340632,81.879564,91.305602,-15.853678,-6.656825,6.090443
0.020000,115.230075,294.998212,83.699280,90.985797,-15.990262,-6.829198,6.097423
