dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,33.000000,298.000000,0.004398,0.439815,21.990741,1099.537037,0.001302
0.020000,33.000000,298.000000,0.021991,1.319444,43.981481,1099.537037,0.001151
0.020000,33.000000,298.000000,0.061574,2.638889,65.972222,1099.537037,0.000812
0.020000,33.000000,298.000000,0.131944,4.398148,87.962963,1099.537037,0.000208
0.020000,33.085668,297.999969,0.241898,6.597222,109.953704,1099.537037,6.282452
0.020000,33.244001,297.999745,0.400231,9.236111,131.944444,1099.537037,6.281100
0.020000,33.459509,297.999098,0.615741,12.314815,153.935185,1099.537037,6.279265
0.020000,33.740987,297.997658,0.897222,15.833333,175.925926,1099.537037,6.276878
0.020000,34.097225,297.994876,1.253472,19.791667,197.916667,1099.537037,6.273875
0.020000,34.532615,297.990028,1.688889,23.750000,197.916667,-0.000000,6.270230
0.020000,35.047139,297.982261,2.203472,27.708333,197.916667,0.000000,6.265959
0.020000,35.640774,297.970582,2.797222,31.666667,197.916667,-0.000000,6.261080
0.020000,36.313482,297.953867,3.470139,35.625000,197.916667,0.000000,6.255616
0.020000,37.065212,297.930866,4.222222,39.583333,197.916667,0.000000,6.249592
0.020000,37.895895,297.900215,5.053472,43.541667,197.916667,-0.000000,6.243035
0.020000,38.805441,297.860451,5.963889,47.500000,197.916667,0.000000,6.235977
0.020000,39.793735,297.810021,6.953472,51.458333,197.916667,-0.000000,6.228452
0.020000,40.860640,297.747296,8.022222,55.416667,197.916667,0.000000,6.220500
0.020000,42.005988,297.670590,9.170139,59.375000,197.916667,-0.000000,6.212162
0.020000,43.229582,297.578176,10.397222,63.333333,197.916667,0.000000,6.203482
0.020000,44.531199,297.468302,11.703472,67.291667,197.916667,0.000000,6.194508
0.020000,45.910583,297.339215,13.088889,71.250000,197.916667,-0.000000,6.185292
0.020000,47.367455,297.189177,14.553472,75.208333,197.916667,0.000000,6.175887
0.020000,48.901511,297.016488,16.097222,79.166667,197.916667,0.000000,6.166351
0.020000,50.508058,296.820063,17.715741,82.685185,175.925926,-1099.537037,6.156768
0.020000,52.178062,296.599663,19.400231,85.763889,153.935185,-1099.537037,6.147245
0.020000,53.902520,296.355481,21.141898,88.402778,131.944444,-1099.537037,6.137880
0.020000,55.672484,296.088147,22.931944,90.601852,109.953704,-1099.537037,6.128764
0.020000,57.479070,295.798713,24.761574,92.361111,87.962963,-1099.537037,6.119975
0.020000,59.313460,295.488638,26.621991,93.680556,65.972222,-1099.537037,6.111584
0.020000,61.166910,295.159757,28.504398,94.560185,43.981481,-1099.537037,6.103649
0.020000,63.030753,294.814241,30.400000,95.000000,21.990741,-1099.537037,6.096219
0.020000,64.896393,294.454559,32.300000,95.000000,0.000000,-1099.537037,6.089332
0.020000,66.759616,294.082553,34.200000,95.000000,0.000000,0.000000,6.082999
0.020000,68.620552,293.699269,36.100000,95.000000,0.000000,0.000000,6.077217
0.020000,70.479349,293.305740,38.000000,95.000000,0.000000,0.000000,6.071982
0.020000,72.336170,292.902987,39.900000,95.000000,0.000000,0.000000,6.067287
0.020000,74.191191,292.492022,41.800000,95.000000,0.000000,0.000000,6.063131
0.020000,76.044600,292.073844,43.700000,95.000000,0.000000,0.000000,6.059508
0.020000,77.896595,291.649446,45.600000,95.000000,0.000000,0.000000,6.056415
0.020000,79.747381,291.219811,47.500000,95.000000,0.000000,0.000000,6.053850
0.020000,81.597174,290.785915,49.400000,95.000000,0.000000,0.000000,6.051809
0.020000,83.446192,290.348729,51.300000,95.000000,0.000000,0.000000,6.050292
0.020000,85.294659,289.909218,53.200000,95.000000,0.000000,0.000000,6.049295
0.020000,87.142803,289.468347,55.100000,95.000000,0.000000,0.000000,6.048819
