dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,33.014977,286.500010,0.004398,0.439815,21.990741,1099.537037,0.001302
0.020000,33.013239,286.500008,0.006136,0.086868,-17.647330,-1981.903547,0.001151
0.020000,33.009332,286.500004,0.010043,0.195356,5.424409,1153.586958,0.000812
0.020000,33.002393,286.500000,0.016982,0.346968,7.580590,107.809043,0.000208
0.020000,33.077235,286.499972,0.091824,3.742120,169.757597,8108.850353,6.282452
0.020000,33.220015,286.499770,0.234604,7.138996,169.843801,4.310200,6.281100
0.020000,33.414421,286.499186,0.429011,9.720345,129.067467,-2038.816691,6.279265
0.020000,33.668457,286.497887,0.683051,12.701964,149.080912,1000.672259,6.276878
0.020000,33.990158,286.495374,1.004762,16.085559,169.179788,1004.943771,6.273875
0.020000,34.383633,286.490993,1.398261,19.674950,179.469502,514.485714,6.270230
0.020000,34.849045,286.483967,1.863726,23.273269,179.915973,22.323545,6.265959
0.020000,35.386589,286.473392,2.401373,26.882355,180.454289,26.915830,6.261080
0.020000,35.996480,286.458237,3.011452,30.503962,181.080365,31.303789,6.255616
0.020000,36.678958,286.437354,3.694251,34.139905,181.797159,35.839682,6.249592
0.020000,37.434286,286.409483,4.450092,37.792078,182.608662,40.575161,6.243035
0.020000,38.262741,286.373264,5.279339,41.462357,183.513916,45.262710,6.235977
0.020000,39.164621,286.327242,6.182392,45.152658,184.515045,50.056451,6.228452
0.020000,40.140235,286.269882,7.159691,48.864921,185.613156,54.905525,6.220500
0.020000,41.189904,286.199583,8.211712,52.601049,186.806425,59.663442,6.212162
0.020000,42.313961,286.114684,9.338970,56.362918,188.093416,64.349544,6.203482
0.020000,43.512746,286.013489,10.542019,60.152438,189.476041,69.131298,6.194508
0.020000,44.786605,285.894274,11.821444,63.971246,190.940358,73.215846,6.185292
0.020000,46.135892,285.755313,13.177868,67.821212,192.498312,77.897666,6.175887
0.020000,47.560968,285.594888,14.611945,71.703861,194.132440,81.706394,6.166351
0.020000,49.058125,285.411833,16.120251,75.415303,185.572131,-428.015425,6.156768
0.020000,50.619555,285.205758,17.695221,78.748481,166.658897,-945.661696,6.147245
0.020000,52.237383,284.976671,19.329189,81.698389,147.495378,-958.175935,6.137880
0.020000,53.903684,284.724990,21.014390,84.260048,128.082980,-970.619906,6.128764
0.020000,55.610475,284.451539,22.742947,86.427843,108.389718,-984.663130,6.119975
0.020000,57.349717,284.157544,24.506862,88.195778,88.396776,-999.647079,6.111584
0.020000,59.113322,283.844600,26.298017,89.557736,68.097866,-1014.945527,6.103649
0.020000,60.893150,283.514655,28.108170,90.507643,47.495361,-1030.125246,6.096219
0.020000,62.681013,283.169964,29.928957,91.039348,26.585270,-1045.504547,6.089332
0.020000,64.472822,282.812213,31.756131,91.358701,15.967644,-530.881291,6.082999
0.020000,66.268634,282.442339,33.589637,91.675330,15.831434,-6.810505,6.077217
0.020000,68.068524,282.061278,35.429423,91.989311,15.699046,-6.619409,6.071982
