dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.987410,309.499993,0.004398,0.439815,21.990741,1099.537037,0.001095
0.020000,32.988626,309.499994,0.005614,0.060789,-18.951306,-2047.102346,0.000989
0.020000,32.991362,309.499997,0.008350,0.136818,3.801461,1137.638378,0.000751
0.020000,32.996230,309.499999,0.013218,0.243380,5.328112,76.332553,0.000328
0.020000,33.059353,309.499990,0.076341,3.156163,145.639144,7015.551602,6.282851
0.020000,33.228665,309.499853,0.245653,8.465613,265.472500,5991.667792,6.281895
0.020000,33.459190,309.499405,0.476179,11.526288,153.033755,-5621.937287,6.280590
0.020000,33.760348,309.498366,0.777338,15.057962,176.583681,1177.496343,6.278879
0.020000,34.141652,309.496309,1.158648,19.065498,200.376833,1189.657565,6.276700
0.020000,34.607879,309.492661,1.624890,23.312071,212.328617,597.589235,6.274019
0.020000,35.159182,309.486727,2.176224,27.566731,212.733034,20.220817,6.270823
0.020000,35.795691,309.477675,2.812798,31.828684,213.097640,18.230319,6.267099
0.020000,36.517575,309.464523,3.534801,36.100151,213.573330,23.784509,6.262831
0.020000,37.324993,309.446140,4.342428,40.381364,214.060660,24.366499,6.258000
0.020000,38.218195,309.421225,5.235978,44.677501,214.806832,37.308594,6.252585
0.020000,39.197341,309.388308,6.215677,48.984953,215.372612,28.288988,6.246560
0.020000,40.262665,309.345728,7.281852,53.308710,216.187832,40.761018,6.239898
0.020000,41.414436,309.291623,8.434893,57.652062,217.167641,48.990431,6.232568
0.020000,42.652891,309.223911,9.675197,62.015221,218.157947,49.515281,6.224535
0.020000,43.978244,309.140273,11.003187,66.399471,219.212504,52.727872,6.215761
0.020000,45.390734,309.038132,12.419365,70.808922,220.472534,63.001487,6.206200
0.020000,46.890600,308.914623,13.924308,75.247118,221.909772,71.861915,6.195806
0.020000,48.478008,308.766573,15.518605,79.714882,223.388229,73.922825,6.184526
0.020000,50.153106,308.590469,17.202935,84.216471,225.079463,84.561732,6.172299
0.020000,51.911244,308.383010,18.973271,88.516797,215.016300,-503.158161,6.159098
0.020000,53.742773,308.141442,20.820661,92.369521,192.636193,-1119.005365,6.144931
0.020000,55.638045,307.863176,22.736251,95.779522,170.500039,-1106.807659,6.129807
0.020000,57.587144,307.545891,24.711006,98.737752,147.911520,-1129.425957,6.113743
0.020000,59.580079,307.187580,26.735896,101.244485,125.336638,-1128.744110,6.096761
0.020000,61.606658,306.786655,28.801753,103.292830,102.417251,-1145.969364,6.078894
0.020000,63.656571,306.342012,30.899335,104.879086,79.312813,-1155.221892,6.060181
0.020000,65.719314,305.853141,33.019218,105.994164,55.753852,-1177.948049,6.040675
0.020000,67.784290,305.320198,35.151858,106.631999,31.891755,-1193.104855,6.020442
