dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,33.012590,286.500007,0.004398,0.439815,21.990741,1099.537037,0.001095
0.020000,33.011374,286.500006,0.005614,0.060789,-18.951306,-2047.102346,0.000989
0.020000,33.008638,286.500003,0.008350,0.136818,3.801461,1137.638378,0.000751
0.020000,33.003770,286.500001,0.013218,0.243380,5.328112,76.332553,0.000328
0.020000,33.051662,286.499991,0.061110,2.394609,107.561433,5111.666028,6.282851
0.020000,33.198998,286.499872,0.208446,7.366787,248.608893,7052.373007,6.281895
0.020000,33.399510,286.499482,0.408958,10.025595,132.940435,-5783.422919,6.280590
0.020000,33.661297,286.498579,0.670746,13.089439,153.192191,1012.587808,6.278879
0.020000,33.992492,286.496793,1.001946,16.559974,173.526751,1016.727989,6.276700
0.020000,34.397048,286.493627,1.406515,20.228450,183.423810,494.852956,6.274019
0.020000,34.874854,286.488485,1.884348,23.891654,183.160171,-13.181925,6.270823
0.020000,35.425726,286.480650,2.435276,27.546398,182.737211,-21.148003,6.267099
0.020000,36.049462,286.469287,3.059116,31.191981,182.279124,-22.904354,6.262831
0.020000,36.745798,286.453434,3.755632,34.825820,181.691995,-29.356454,6.258000
0.020000,37.514487,286.431993,4.524620,38.449414,181.179677,-25.615921,6.252585
0.020000,38.355142,286.403732,5.365750,42.056476,180.353120,-41.327827,6.246560
0.020000,39.267371,286.367273,6.278708,45.647891,179.570706,-39.120691,6.239898
0.020000,40.250743,286.321081,7.263163,49.222787,178.744800,-41.295310,6.232568
0.020000,41.304716,286.263457,8.318710,52.777354,177.728369,-50.821556,6.224535
0.020000,42.428648,286.192534,9.444878,56.308383,176.551475,-58.844700,6.215761
0.020000,43.621827,286.106255,10.641172,59.814698,175.315752,-61.786150,6.206200
0.020000,44.883441,286.002370,11.907057,63.294225,173.976325,-66.971341,6.195806
0.020000,46.212518,285.878420,13.241900,66.742176,172.397543,-78.939123,6.184526
0.020000,47.607952,285.731724,14.645024,70.156213,170.701869,-84.783706,6.172299
0.020000,49.064564,285.559855,16.111740,73.335796,158.979165,-586.135155,6.159098
0.020000,50.573036,285.360907,17.633275,76.076750,137.047660,-1096.575299,6.144931
0.020000,52.124148,285.133184,19.201015,78.386985,115.511770,-1076.794495,6.129807
0.020000,53.708584,284.875276,20.806304,80.264437,93.872602,-1081.958370,6.113743
0.020000,55.317122,284.586094,22.440630,81.716294,72.592847,-1063.987776,6.096761
0.020000,56.940572,284.264940,24.095541,82.745572,51.463887,-1056.447994,6.078894
0.020000,58.569880,283.911551,25.762733,83.359575,30.700177,-1038.185495,6.060181
0.020000,60.196098,283.526160,27.433992,83.562996,10.171036,-1026.457056,6.040675
0.020000,61.810495,283.109530,29.101284,83.364553,-9.922143,-1004.658961,6.020442
0.020000,63.408254,282.661930,30.760554,82.963526,-20.051382,-506.461930,5.999513
0.020000,64.988350,282.182789,32.411699,82.557267,-20.312913,-13.076546,5.977877
0.020000,66.549706,281.671576,34.054615,82.145766,-20.575084,-13.108561,5.955524
0.020000,68.091257,281.127787,35.689267,81.732594,-20.658589,-4.175264,5.932453
0.020000,69.611905,280.550966,37.315640,81.318681,-20.695648,-1.852911,5.908663
0.020000,71.110575,279.940695,38.933800,80.907999,-20.534107,8.077059,5.884159
0.020000,72.586206,279.296598,40.543878,80.503883,-20.205798,16.415425,5.858952
0.020000,74.037765,278.618347,42.146079,80.110049,-19.691692,25.705320,5.833060
0.020000,75.464229,277.905668,43.740666,79.729381,-19.033377,32.915755,5.806507
0.020000,76.864629,277.158334,45.328000,79.366669,-18.135624,44.887640,5.779323
0.020000,78.238048,276.376168,46.908527,79.026348,-17.016035,55.979441,5.751547
0.020000,79.583627,275.559042,48.482781,78.712716,-15.681587,66.722384,5.723226
0.020000,80.900549,274.706888,50.051364,78.429123,-14.179693,75.094717,5.694412
0.020000,82.188099,273.819672,51.614993,78.181470,-12.382632,89.853033,5.665167
0.020000,83.445598,272.897428,53.174428,77.971730,-10.486985,94.782348,5.635558
0.020000,84.672459,271.940230,54.730518,77.804520,-8.360529,106.322793,5.605658
0.020000,85.868161,270.948205,56.284165,77.682335,-6.109242,112.564365,5.575546
0.020000,87.032247,269.921540,57.836304,77.606961,-3.768713,117.026456,5.545302
0.020000,88.164328,268.860476,59.387904,77.580003,-1.347882,121.041556,5.515012
0.020000,89.264076,267.765316,60.939942,77.601919,1.095809,122.184525,5.484759
0.020000,90.331222,266.636424,62.493389,77.672325,3.520313,121.225210,5.454630
0.020000,91.365549,265.474236,64.049189,77.790006,5.884030,118.185874,5.424704
0.020000,92.366893,264.279257,65.608248,77.952963,8.147837,113.190324,5.395062
0.020000,93.335136,263.052063,67.171417,78.158464,10.275056,106.360966,5.365778
0.020000,94.270208,261.793310,68.739479,78.403099,12.231735,97.833934,5.336918
0.020000,95.172086,260.503720,70.313146,78.683329,14.011516,88.989042,5.308546
0.020000,96.040795,259.184088,71.893047,78.995046,15.585851,78.716750,5.280716
0.020000,96.876406,257.835274,73.479723,79.333818,16.938629,67.638893,5.253475
0.020000,97.679031,256.458209,75.073623,79.695006,18.059355,56.036328,5.226862
0.020000,98.448843,255.053855,76.675129,80.075268,19.013143,47.689370,5.200909
0.020000,99.186047,253.623245,78.284512,80.469174,19.695290,34.107360,5.175642
0.020000,99.890907,252.167429,79.901988,80.873780,20.230309,26.750988,5.151079
0.020000,100.563730,250.687487,81.527693,81.285268,20.574388,17.203902,5.127231
