dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.779672,309.497889,0.004398,0.439815,21.990741,1099.537037,0.019160
0.020000,14.783124,309.497955,0.007851,0.172631,-13.359203,-1767.497200,0.019091
0.020000,14.824495,309.498742,0.049229,2.068917,94.814289,5408.674606,0.018935
0.020000,14.898030,309.500124,0.122777,3.677394,80.423879,-719.520488,0.018658
0.020000,15.012894,309.502243,0.237661,5.744187,103.339621,1145.787119,0.018230
0.020000,15.178225,309.505207,0.403019,8.267896,126.185481,1142.292967,0.017619
0.020000,15.403121,309.509077,0.627948,11.246445,148.927443,1137.098133,0.016800
0.020000,15.696621,309.513854,0.921486,14.676937,171.524610,1129.858310,0.015751
0.020000,16.067689,309.519458,1.292597,18.555521,193.929197,1120.229376,0.014459
0.020000,16.520619,309.525659,1.745570,22.648649,204.656394,536.359854,0.012932
0.020000,17.055052,309.532105,2.280041,26.723567,203.745915,-45.523963,0.011203
0.020000,17.670559,309.538413,2.895580,30.776954,202.669347,-53.828397,0.009308
0.020000,18.366644,309.544182,3.591690,34.805485,201.426546,-62.140039,0.007291
0.020000,19.142746,309.549019,4.367807,38.805836,200.017529,-70.450854,0.005201
0.020000,19.998232,309.552553,5.223300,42.774683,198.442359,-78.758518,0.003093
0.020000,20.932405,309.554458,6.157474,46.708707,196.701197,-87.058078,0.001027
0.020000,21.944497,309.554483,7.169566,50.604592,194.794263,-95.346732,6.282255
0.020000,23.033675,309.552471,8.258747,54.459028,192.721783,-103.623983,6.280479
0.020000,24.199042,309.548394,9.424121,58.268707,190.483936,-111.892364,6.278961
0.020000,25.439634,309.542377,10.664727,62.030322,188.080790,-120.157270,6.277785
0.020000,26.754423,309.534730,11.979539,65.740567,185.512247,-128.427180,6.277040
0.020000,28.142318,309.525982,13.367461,69.396128,182.778026,-136.711057,6.276823
0.020000,29.602164,309.516912,14.827335,72.993682,179.877708,-145.015897,6.277232
0.020000,31.132739,309.508581,16.357933,76.529900,176.810886,-153.341067,6.278376
0.020000,32.728432,309.502381,17.953638,79.785271,162.768552,-702.116728,6.280359
0.020000,34.331676,309.500000,19.556884,80.162282,18.850562,-7195.899499,0.000215
0.020000,36.119747,309.492983,21.344968,89.404217,462.096746,22162.309198,6.275229
0.020000,38.014124,309.469410,23.239493,94.726219,266.100098,-9799.832397,6.266144
0.020000,39.958760,309.426618,25.184599,97.255312,126.454667,-6982.271525,6.256101
0.020000,41.945032,309.361971,27.171922,99.366170,105.542882,-1045.589248,6.245065
0.020000,43.964146,309.272915,29.193000,101.053865,84.384751,-1057.906566,6.233006
0.020000,46.007147,309.157044,31.239284,102.314228,63.018134,-1068.330829,6.219902
0.020000,48.064853,309.012186,33.302083,103.139928,41.285033,-1086.655094,6.205744
0.020000,50.132658,308.836043,35.377376,103.764676,31.237411,-502.381101,6.190499
0.020000,52.210594,308.625887,37.465912,104.426786,33.105486,93.403788,6.174103
0.020000,54.298612,308.378780,39.568502,105.129484,35.134877,101.469528,6.156484
0.020000,56.396526,308.091566,41.685985,105.874168,37.234194,104.965877,6.137570
0.020000,58.503996,307.760854,43.819245,106.662988,39.441018,110.341156,6.117283
0.020000,60.620471,307.383017,45.969182,107.496851,41.693133,112.605763,6.095546
0.020000,62.745149,306.954184,48.136704,108.376117,43.963324,113.509567,6.072278
0.020000,64.876916,306.470255,50.322709,109.300254,46.206854,112.176481,6.047404
0.020000,67.014271,305.926919,52.528044,110.266749,48.324747,105.894657,6.020847
0.020000,69.155254,305.319689,54.753473,111.271463,50.235674,95.546373,5.992542
0.020000,71.297369,304.643963,56.999639,112.308280,51.840883,80.260423,5.962434
0.020000,73.437494,303.895103,59.267001,113.368106,52.991272,57.519465,5.930481
0.020000,75.571801,303.068552,61.555767,114.438305,53.509985,25.935648,5.896665
0.020000,77.695696,302.159979,63.865840,115.503635,53.266491,-12.174702,5.860996
0.020000,79.803778,301.165451,66.196740,116.544991,52.067810,-59.934056,5.823515
0.020000,81.889831,300.081644,68.547538,117.539936,49.747223,-116.029355,5.784302
0.020000,83.946880,298.906063,70.916809,118.463541,46.180268,-178.347745,5.743481
0.020000,85.967309,297.637260,73.302599,119.289467,41.296290,-244.198873,5.701223
0.020000,87.943042,296.275034,75.702428,119.991470,35.100146,-309.807217,5.657743
0.020000,89.865806,294.820578,78.113333,120.545267,27.689849,-370.514842,5.613299
0.020000,91.727436,293.276552,80.531945,120.930578,19.265552,-421.214847,5.568185
0.020000,93.520212,291.647060,82.954607,121.133096,10.125891,-456.983062,5.522718
0.020000,95.237152,289.937579,85.377458,121.142567,0.473548,-482.617132,5.477229
0.020000,96.868672,288.158895,87.791081,120.681127,-23.071990,-1177.276905,5.432152
0.020000,98.403846,286.327503,90.180800,119.485975,-59.757598,-1834.280399,5.387996
0.020000,99.834857,284.461250,92.532542,117.587080,-94.944730,-1759.356616,5.345223
0.020000,101.156982,282.578643,94.833026,115.024200,-128.144044,-1659.965703,5.304222
0.020000,102.368353,280.698233,97.069845,111.840960,-159.161952,-1550.895400,5.265306
0.020000,103.469601,278.838082,99.231536,108.084548,-187.820608,-1432.932778,5.228709
0.020000,104.463354,277.015451,101.307477,103.797050,-214.374933,-1327.716294,5.194589
0.020000,105.353748,275.246594,103.287794,99.015837,-239.060624,-1234.284513,5.163039
0.020000,106.145978,273.546635,105.163290,93.774831,-262.050330,-1149.485339,5.134100
0.020000,106.847865,271.924807,106.930484,88.359684,-270.757328,-435.349867,5.107694
0.020000,107.468875,270.384426,108.591335,83.042544,-265.857023,245.015225,5.083654
0.020000,108.017564,268.927989,110.147699,77.818221,-261.216132,232.044543,5.061815
0.020000,108.501650,267.557231,111.601424,72.686224,-256.599837,230.814752,5.042019
0.020000,108.927990,266.273459,112.954138,67.635717,-252.525373,203.723216,5.024122
0.020000,109.302714,265.077467,114.207460,62.666104,-248.480648,202.236266,5.007985
0.020000,109.631207,263.969870,115.362743,57.764160,-245.097165,169.174160,4.993488
0.020000,109.918238,262.950963,116.421307,52.928206,-241.797723,164.972103,4.980518
0.020000,110.167973,262.020946,117.384271,48.148188,-239.000909,139.840686,4.968978
0.020000,110.384048,261.179900,118.252629,43.417909,-236.513947,124.348091,4.958780
0.020000,110.569620,260.427818,119.027268,38.731918,-234.299534,110.720630,4.949848
0.020000,110.727411,259.764622,119.708977,34.085454,-232.323189,98.817252,4.942114
0.020000,110.859720,259.190291,120.298351,29.468682,-230.838601,74.229437,4.935522
0.020000,110.968505,258.704686,120.795992,24.882068,-229.330702,75.394927,4.930025
0.020000,111.055378,258.307651,121.202420,20.321403,-228.033274,64.871401,4.925581
0.020000,111.122670,257.994168,121.523044,16.031219,-214.509212,676.203106,4.922103
0.020000,111.173393,257.754301,121.768215,12.258548,-188.633545,1293.783333,4.919462
0.020000,111.210214,257.578189,121.948135,8.996002,-163.127287,1275.312915,4.917532
0.020000,111.235553,257.455998,122.072926,6.239527,-137.823773,1265.175680,4.916199
0.020000,111.251662,257.377888,122.152679,3.987675,-112.592593,1261.559027,4.915348
0.020000,111.260682,257.334008,122.197478,2.239909,-87.388304,1260.214417,4.914872
0.020000,111.264675,257.314547,122.217344,0.993305,-62.330197,1252.905380,4.914660
0.020000,111.265669,257.309697,122.222295,0.247561,-37.287184,1252.150648,4.914608
0.020000,111.265669,257.309697,122.222295,0.000000,-12.378048,1245.456814,4.914608
