dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.665607,315.496805,0.008547,0.854701,42.735043,2136.752137,0.019109
0.020000,14.665708,315.496807,0.008648,0.005053,-42.482386,-4260.871429,0.019104
0.020000,14.728183,315.498000,0.071134,3.124314,155.963050,9922.271770,0.019090
0.020000,14.856753,315.500453,0.199728,6.429665,165.267554,465.225226,0.019068
0.020000,15.036763,315.503883,0.379771,9.002157,128.624598,-1832.147826,0.019037
0.020000,15.268227,315.508285,0.611276,11.575275,128.655895,1.564848,0.018994
0.020000,15.551160,315.513653,0.894260,14.149198,128.696133,2.011910,0.018941
0.020000,15.885582,315.519977,1.228742,16.724104,128.745312,2.458983,0.018875
0.020000,16.271517,315.527247,1.614746,19.300173,128.803438,2.906257,0.018796
0.020000,16.708992,315.535451,2.052297,21.877583,128.870508,3.353510,0.018702
0.020000,17.198037,315.544571,2.541428,24.456513,128.946510,3.800097,0.018590
0.020000,17.738687,315.554588,3.082171,27.037143,129.031481,4.248548,0.018460
0.020000,18.330980,315.565478,3.674564,29.619650,129.125373,4.694638,0.018308
0.020000,18.974957,315.577214,4.318648,32.204215,129.228227,5.142665,0.018134
0.020000,19.670665,315.589762,5.014468,34.791015,129.340030,5.590155,0.017933
0.020000,20.418151,315.603083,5.762073,37.380231,129.460783,6.037663,0.017704
0.020000,21.217468,315.617132,6.561514,39.972041,129.590488,6.485255,0.017442
0.020000,22.068673,315.631856,7.412846,42.566624,129.729147,6.932939,0.017146
0.020000,22.971826,315.647194,8.316129,45.164159,129.876761,7.380727,0.016812
0.020000,23.926990,315.663076,9.271426,47.764826,130.033359,7.829856,0.016436
0.020000,24.934234,315.679423,10.278802,50.368804,130.198878,8.275966,0.016015
0.020000,25.993627,315.696143,11.338327,52.976272,130.373411,8.726677,0.015544
0.020000,27.105246,315.713135,12.450075,55.587409,130.556873,9.173060,0.015019
0.020000,28.269167,315.730281,13.614123,58.202396,130.749323,9.622536,0.014436
0.020000,29.485474,315.747452,14.830552,60.821411,130.950745,10.071105,0.013790
0.020000,30.754252,315.764502,16.099444,63.444633,131.161138,10.519632,0.013077
0.020000,32.075591,315.781268,17.420889,66.072243,131.380500,10.968112,0.012291
0.020000,33.449583,315.797569,18.794978,68.704420,131.608832,11.416600,0.011428
0.020000,34.876324,315.813204,20.221804,71.341343,131.846145,11.865625,0.010481
0.020000,36.355914,315.827953,21.701468,73.983190,132.092373,12.311409,0.009445
0.020000,37.888457,315.841569,23.234071,76.630142,132.347596,12.761155,0.008315
0.020000,39.474057,315.853785,24.819719,79.282376,132.611698,13.205097,0.007083
0.020000,41.112825,315.864306,26.458520,81.940071,132.884725,13.651364,0.005745
0.020000,42.804871,315.872809,28.150588,84.603403,133.166619,14.094668,0.004294
0.020000,44.550312,315.878943,29.896039,87.272550,133.457336,14.535867,0.002722
0.020000,46.349262,315.882325,31.694993,89.947686,133.756824,14.974415,0.001024
0.020000,48.201842,315.882537,33.547572,92.628987,134.065017,15.409645,6.282377
0.020000,50.108171,315.879128,35.453905,95.316623,134.381830,15.840627,6.280403
0.020000,52.068372,315.871610,37.414120,98.010766,134.707147,16.265842,6.278281
0.020000,54.073844,315.859516,39.419629,100.275412,113.232304,-1073.742144,6.276012
0.020000,56.107225,315.842507,41.453081,101.672611,69.859937,-2168.618328,6.273612
0.020000,58.151092,315.820390,43.497067,102.199336,26.336246,-2176.184582,6.271099
0.020000,60.196705,315.793004,45.542864,102.289825,4.524452,-1090.589680,6.268482
0.020000,62.244046,315.760131,47.590469,102.380235,4.520482,-0.198498,6.265762
0.020000,64.293094,315.721549,49.639880,102.470552,4.515858,-0.231223,6.262938
0.020000,66.343826,315.677037,51.691095,102.560762,4.510496,-0.268060,6.260011
0.020000,68.396218,315.626373,53.744112,102.650848,4.504327,-0.308490,6.256982
0.020000,70.450242,315.569336,55.798928,102.740794,4.497292,-0.351738,6.253850
0.020000,72.505869,315.505705,57.855539,102.830581,4.489327,-0.398246,6.250615
0.020000,74.452090,315.435777,59.803017,97.373862,-272.835932,-13866.262950,6.242777
0.020000,76.637568,315.335726,61.990783,109.388313,600.722526,43677.922915,6.232047
0.020000,78.827701,315.211531,64.184435,109.682596,14.714157,-29300.418454,6.220981
0.020000,81.022391,315.062315,66.384192,109.987845,15.262453,27.414816,6.209565
0.020000,83.221542,314.887155,68.590307,110.305762,15.895856,31.670122,6.197787
0.020000,85.425024,314.685087,70.803035,110.636389,16.531372,31.775799,6.185630
0.020000,87.632672,314.455107,73.022630,110.979746,17.167856,31.824200,6.173080
0.020000,89.844315,314.196160,75.249380,111.337539,17.889636,36.089028,6.160122
0.020000,92.059718,313.907151,77.483555,111.708738,18.559969,33.516634,6.146740
0.020000,94.278597,313.586939,79.725420,112.093250,19.225564,33.279749,6.132918
0.020000,96.500635,313.234337,81.975261,112.492029,19.938979,35.670761,6.118640
0.020000,98.725496,312.848104,84.233397,112.906828,20.739946,40.048328,6.103888
0.020000,100.952718,312.426966,86.500086,113.334430,21.380097,32.007587,6.088648
0.020000,103.181811,311.969597,88.775616,113.776523,22.104626,36.226425,6.072902
0.020000,105.412214,311.474630,91.060280,114.233185,22.833107,36.424039,6.056634
0.020000,107.643294,310.940657,93.354369,114.704466,23.564044,36.546859,6.039828
0.020000,109.874271,310.366248,95.658107,115.186860,24.119713,27.783461,6.022469
0.020000,112.104362,309.749920,97.971798,115.684578,24.885879,38.308299,6.004542
0.020000,114.332584,309.090194,100.295633,116.191762,25.359213,23.666690,5.986035
0.020000,116.557892,308.385560,102.629837,116.710179,25.920864,28.082571,5.966936
0.020000,118.779111,307.634509,104.974595,117.237902,26.386151,23.264340,5.947233
0.020000,120.994922,306.835540,107.330050,117.772748,26.742306,17.807726,5.926919
0.020000,123.203859,305.987181,109.696295,118.312269,26.976047,11.687057,5.905989
0.020000,125.404305,305.088001,112.073370,118.853744,27.073761,4.885723,5.884438
0.020000,127.594538,304.136606,114.461314,119.397171,27.171342,4.879053,5.862268
0.020000,129.772592,303.131719,116.860005,119.934561,26.869491,-15.092573,5.839482
0.020000,131.936412,302.072138,119.269326,120.466067,26.575292,-14.709938,5.816089
0.020000,134.083765,300.956795,121.689061,120.986714,26.032356,-27.146797,5.792101
0.020000,136.212251,299.784783,124.118889,121.491428,25.235719,-39.831847,5.767536
0.020000,138.319343,298.555369,126.558416,121.976345,24.245822,-49.494840,5.742416
0.020000,140.402382,297.268029,129.007150,122.436695,23.017514,-61.415436,5.716770
0.020000,142.458612,295.922461,131.464513,122.868163,21.573368,-72.207294,5.690631
0.020000,144.485166,294.518633,133.929803,123.264490,19.816397,-87.848535,5.664039
0.020000,146.479137,293.056781,136.402237,123.621694,17.860154,-97.812173,5.637038
0.020000,148.437604,291.537418,138.880958,123.936062,15.718412,-107.087071,5.609679
0.020000,150.357635,289.961379,141.364991,124.201634,13.278610,-121.990094,5.582015
0.020000,152.236375,288.329778,143.853321,124.416504,10.743478,-126.756601,5.554106
0.020000,154.071045,286.644049,146.344845,124.576212,7.985433,-137.902284,5.526014
0.020000,155.859009,284.905903,148.838431,124.679271,5.152929,-141.625186,5.497804
0.020000,157.597803,283.117327,151.332906,124.723771,2.224992,-146.396873,5.469544
0.020000,159.285173,281.280553,153.827090,124.709226,-0.727244,-147.611800,5.441300
0.020000,160.919104,279.398035,156.319801,124.635530,-3.684766,-147.876075,5.413140
0.020000,162.497856,277.472398,158.809889,124.504384,-6.557307,-143.627036,5.385130
0.020000,164.019968,275.506423,161.296227,124.316931,-9.372654,-140.767341,5.357335
0.020000,165.484287,273.502977,163.777765,124.076877,-12.002715,-131.503060,5.329814
0.020000,166.889955,271.465008,166.253491,123.786311,-14.528300,-126.279286,5.302625
0.020000,168.236430,269.395458,168.722506,123.450740,-16.778571,-112.513512,5.275820
0.020000,169.523456,267.297271,171.183974,123.073396,-18.867158,-104.429352,5.249446
0.020000,170.751053,265.173341,173.637150,122.658795,-20.730072,-93.145706,5.223546
0.020000,171.919516,263.026463,176.081406,122.212824,-22.298534,-78.423103,5.198156
0.020000,173.029369,260.859333,178.516201,121.739760,-23.653204,-67.733513,5.173307
0.020000,174.081356,258.674517,180.941093,121.244558,-24.760107,-55.345158,5.149025
0.020000,175.076396,256.474452,183.355712,120.730986,-25.678587,-45.923976,5.125329
0.020000,176.015584,254.261401,185.759807,120.204738,-26.312425,-31.691884,5.102234
0.020000,176.900147,252.037457,188.153210,119.670142,-26.729777,-20.867630,5.079752
0.020000,177.731404,249.804595,190.535785,119.128750,-27.069596,-16.990920,5.057887
0.020000,178.510780,247.564580,192.907512,118.586373,-27.118848,-2.462603,5.036643
0.020000,179.239167,245.320900,195.266463,117.947520,-31.942653,-241.190257,5.016034
0.020000,179.914855,243.086526,197.600768,116.715280,-61.612007,-1483.467717,4.996156
0.020000,180.534998,240.882056,199.890805,114.501810,-110.673534,-2453.076339,4.977153
0.020000,181.098642,238.726135,202.119187,111.419111,-154.134934,-2173.069992,4.959136
0.020000,181.608216,236.627494,204.278808,107.981040,-171.903566,-888.431598,4.942118
0.020000,182.068089,234.586909,206.370570,104.588103,-169.646846,112.835963,4.926048
0.020000,182.482329,232.604966,208.395340,101.238528,-167.478709,108.406875,4.910875
0.020000,182.854721,230.682099,210.353935,97.929726,-165.440100,101.930438,4.896553
0.020000,183.188784,228.818561,212.247178,94.662180,-163.377330,103.138501,4.883036
0.020000,183.487782,227.014522,214.075827,91.432434,-161.487276,94.502719,4.870281
0.020000,183.754728,225.270127,215.840529,88.235101,-159.866664,81.030595,4.858247
0.020000,183.992433,223.585333,217.542009,85.073995,-158.055321,90.567118,4.846898
0.020000,184.203482,221.960151,219.180838,81.941430,-156.628209,71.355602,4.836196
0.020000,184.390284,220.394455,220.757638,78.840034,-155.069830,77.918984,4.826110
0.020000,184.555055,218.888149,222.272929,75.764532,-153.775093,64.736824,4.816608
0.020000,184.699856,217.441073,223.727232,72.715136,-152.469779,65.265731,4.807662
0.020000,184.826584,216.053083,225.120995,69.688191,-151.347282,56.124840,4.799244
0.020000,184.936999,214.724015,226.454642,66.682312,-150.293948,52.666686,4.791330
0.020000,185.032730,213.453634,227.728625,63.699166,-149.157269,56.833942,4.783897
0.020000,185.115276,212.241805,228.943262,60.731851,-148.365773,39.574813,4.776923
0.020000,185.186026,211.088306,230.098929,57.783341,-147.425493,47.013984,4.770389
0.020000,185.246261,209.992964,231.195926,54.849840,-146.675064,37.521478,4.764276
0.020000,185.297162,208.955570,232.234567,51.932070,-145.888472,39.329599,4.758569
0.020000,185.339817,207.975944,233.215122,49.027750,-145.216028,33.622173,4.753250
0.020000,185.375226,207.053910,234.137835,46.135668,-144.604091,30.596856,4.748306
0.020000,185.404307,206.189300,235.002934,43.254948,-144.036013,28.403931,4.743725
0.020000,185.427901,205.381955,235.810623,40.384452,-143.524784,25.561423,4.739493
0.020000,185.446776,204.631748,236.561069,37.522266,-143.109306,20.773898,4.735600
0.020000,185.461634,203.938462,237.254513,34.672214,-142.502587,30.335958,4.732037
0.020000,185.473106,203.302035,237.891044,31.826550,-142.283229,10.967924,4.728794
0.020000,185.481766,202.722303,238.470840,28.989807,-141.837118,22.305546,4.725863
0.020000,185.488128,202.199183,238.993999,26.157930,-141.593883,12.161716,4.723237
0.020000,185.492646,201.732532,239.460672,23.333691,-141.211928,19.097779,4.720909
0.020000,185.495724,201.322280,239.870936,20.513159,-141.026594,9.266689,4.718875
0.020000,185.497710,200.968343,240.224879,17.697148,-140.800538,11.302786,4.717128
0.020000,185.498903,200.670642,240.522582,14.885148,-140.599995,10.027169,4.715665
0.020000,185.499551,200.429121,240.764104,12.076108,-140.452003,7.399617,4.714482
0.020000,185.499855,200.243757,240.949468,9.268205,-140.395160,2.842121,4.713576
0.020000,185.499968,200.114495,241.078730,6.463116,-140.254457,7.035174,4.712946
0.020000,185.499996,200.039470,241.153754,3.751214,-135.595080,232.968811,4.712581
0.020000,185.500000,200.007531,241.185693,1.596939,-107.713796,1394.064226,4.712426
0.020000,185.500000,200.000000,241.193225,0.376573,-61.018273,2334.776123,4.712389
0.020000,185.500000,200.000000,241.193225,0.000000,-18.828654,2109.480961,4.712389
