dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,111.159667,252.222982,0.004398,0.439815,21.990741,1099.537037,1.326906
0.020000,111.158343,252.217664,0.009879,0.274027,-8.289366,-1514.005337,1.326429
0.020000,111.159482,252.222203,0.014558,0.233969,-2.002908,314.322890,1.325356
0.020000,111.171282,252.269121,0.062937,2.418966,109.249853,5562.638065,1.323444
0.020000,111.189869,252.342262,0.138403,3.773272,67.715268,-2076.729234,1.320445
0.020000,111.216946,252.447200,0.246778,5.418773,82.275074,727.990286,1.316101
0.020000,111.254398,252.589318,0.393748,7.348484,96.485519,710.522242,1.310141
0.020000,111.304347,252.773681,0.584757,9.550462,110.098895,680.668817,1.302274
0.020000,111.369236,253.004947,0.824955,12.009880,122.970915,643.600976,1.292182
0.020000,111.451076,253.284436,1.116179,14.561230,127.567526,229.830572,1.279644
0.020000,111.551368,253.610192,1.457024,17.042248,124.050884,-175.832103,1.264537
0.020000,111.671874,253.979865,1.845843,19.440909,119.933053,-205.891567,1.246717
0.020000,111.814602,254.390708,2.280772,21.746484,115.278728,-232.716234,1.226023
0.020000,111.981802,254.839590,2.759782,23.950501,110.200872,-253.892834,1.202279
0.020000,112.175960,255.323021,3.280746,26.048176,104.883740,-265.856598,1.175299
0.020000,112.399804,255.837226,3.841560,28.040712,99.626787,-262.847614,1.144900
0.020000,112.656326,256.378235,4.440304,29.937201,94.824466,-240.116083,1.110917
0.020000,112.948844,256.942044,5.075480,31.758783,91.079128,-187.266904,1.073218
0.020000,113.281106,257.524801,5.746302,33.541136,89.117617,-98.075551,1.031736
0.020000,113.657465,258.123018,6.453063,35.338006,89.843486,36.293467,0.986496
0.020000,114.083108,258.733777,7.197508,37.222272,94.213310,218.491202,0.937649
0.020000,114.564334,259.354852,7.983199,39.284570,103.114896,445.079293,0.885507
0.020000,115.108802,259.984684,8.815747,41.627363,117.139680,701.239218,0.830557
0.020000,115.725663,260.622172,9.702825,44.353920,136.327837,959.407821,0.773465
0.020000,116.423476,261.264550,10.651293,47.423410,153.474478,857.332072,0.715212
0.020000,117.208968,261.907216,11.666191,50.744912,166.075108,630.031488,0.656999
0.020000,118.087616,262.545201,12.752031,54.291977,177.353274,563.908332,0.599983
0.020000,119.062634,263.173003,13.911684,57.982636,184.532955,358.984053,0.545179
0.020000,120.134223,263.784775,15.145608,61.696193,185.677834,57.243907,0.493391
0.020000,121.299266,264.374755,16.451518,65.295510,179.965838,-285.599778,0.445184
0.020000,122.551470,264.937763,17.824469,68.647541,167.601563,-618.213757,0.400893
0.020000,123.881854,265.469605,19.257220,71.637583,149.502116,-904.972366,0.360654
0.020000,125.279398,265.967311,20.740743,74.176146,126.928131,-1128.699238,0.324445
0.020000,126.735136,266.430214,22.268307,76.378197,110.102573,-841.277873,0.292065
0.020000,128.243308,266.859483,23.836380,78.403657,101.272997,-441.478843,0.263207
0.020000,129.798545,267.256742,25.441552,80.258603,92.747289,-426.285393,0.237573
0.020000,131.524556,267.663394,27.214820,88.663406,420.240129,16374.642010,0.229850
0.020000,133.370606,268.094720,29.110590,94.788484,306.253925,-5699.310210,0.229482
0.020000,135.234666,268.531132,31.025056,95.723279,46.739737,-12975.709368,0.230740
0.020000,137.116033,268.975710,32.958237,96.659055,46.788781,2.452177,0.233626
0.020000,139.010651,269.430824,34.906750,97.425683,38.331442,-422.866958,0.238133
0.020000,140.909873,269.897714,36.862519,97.788428,18.137213,-1009.711413,0.244231
0.020000,142.803665,270.377081,38.816039,97.675994,-5.621681,-1187.944712,0.251858
0.020000,144.681691,270.869182,40.757468,97.071433,-30.228037,-1230.317788,0.260924
0.020000,146.533348,271.373677,42.676621,95.957659,-55.688735,-1273.034915,0.271308
0.020000,148.347809,271.889492,44.562976,94.317748,-81.995536,-1315.340070,0.282858
0.020000,150.114082,272.414697,46.405681,92.135257,-109.124531,-1356.449733,0.295398
