dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,82.500009,254.982075,0.008547,0.854701,42.735043,2136.752137,1.571821
0.020000,82.500001,254.994710,0.021182,0.631739,-11.148105,-2694.157398,1.571099
0.020000,82.500057,255.085814,0.112286,4.555200,196.173087,10366.059614,1.569471
0.020000,82.500529,255.261709,0.288182,8.794809,211.980434,790.367334,1.566746
0.020000,82.502002,255.508407,0.534884,12.335124,177.015764,-1748.233488,1.562905
0.020000,82.505302,255.826363,0.852857,15.898621,178.174811,57.952363,1.557922
0.020000,82.511520,256.216156,1.242700,19.492156,179.676744,75.096645,1.551762
0.020000,82.522024,256.678495,1.705158,23.122892,181.536823,93.003920,1.544384
0.020000,82.538491,257.214209,2.241125,26.798347,183.772759,111.796800,1.535735
0.020000,82.562930,257.824248,2.851653,30.526421,186.403705,131.547309,1.525756
0.020000,82.597721,258.509673,3.537961,34.315398,189.448825,152.256028,1.514377
0.020000,82.645660,259.271645,4.301439,38.173904,192.925309,173.824185,1.501519
0.020000,82.710002,260.111400,5.143656,42.110817,196.845645,196.016796,1.487091
0.020000,82.794521,261.030223,6.066357,46.135096,201.213942,218.414858,1.470995
0.020000,82.903571,262.029400,7.071468,50.255516,206.021038,240.354772,1.453120
0.020000,83.042152,263.110157,8.161073,54.480279,211.238117,260.853966,1.433346
0.020000,83.215978,264.273590,9.337420,58.817338,216.852968,280.742573,1.411546
0.020000,83.431548,265.520526,10.602853,63.271641,222.715162,293.109701,1.387586
0.020000,83.696198,266.851409,11.959794,67.847040,228.769945,302.739136,1.361326
0.020000,84.018143,268.266069,13.410626,72.541605,234.728231,297.914321,1.332631
0.020000,84.406468,269.763491,14.957580,77.347723,240.305894,278.883106,1.301373
0.020000,84.871088,271.341555,16.602620,82.252007,245.214227,245.416673,1.267439
0.020000,85.422597,272.996659,18.347193,87.228603,248.829785,180.777911,1.230747
0.020000,86.072030,274.723387,20.192010,92.240897,250.614675,89.244505,1.191256
0.020000,86.830480,276.514158,22.136774,97.238186,249.864473,-37.510125,1.148983
0.020000,87.708582,278.358950,24.179890,102.155790,245.880178,-199.214752,1.104019
0.020000,88.715850,280.245164,26.318205,106.915737,237.997391,-394.139362,1.056543
0.020000,89.859932,282.157695,28.546814,111.430446,225.735453,-613.096876,1.006837
