dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,112.858127,251.801394,0.001521,0.152130,7.606491,380.324544,1.326984
0.020000,112.857599,251.799275,0.003705,0.109186,-2.147197,-487.684391,1.326819
0.020000,112.856411,251.794507,0.008620,0.245727,6.827041,448.711880,1.326448
0.020000,112.854556,251.787076,0.016278,0.382946,6.860982,1.697062,1.325788
0.020000,112.860477,251.810705,0.040639,1.218010,41.753194,1744.610611,1.324756
0.020000,112.869037,251.844681,0.075676,1.751876,26.693276,-752.995912,1.323267
0.020000,112.880750,251.890834,0.123292,2.380793,31.445852,237.628782,1.321235
0.020000,112.896157,251.950950,0.185351,3.102932,36.106975,233.056157,1.318571
0.020000,112.915835,252.026773,0.263686,3.916746,40.690669,229.184730,1.315183
0.020000,112.940399,252.119970,0.360065,4.818982,45.111838,221.058429,1.310975
0.020000,112.970522,252.232131,0.476201,5.806795,49.390627,213.939473,1.305847
0.020000,113.006940,252.364739,0.613719,6.875896,53.455068,203.222023,1.299693
0.020000,113.050465,252.519153,0.774150,8.021569,57.283646,191.428935,1.292397
0.020000,113.101998,252.696583,0.958912,9.238095,60.826280,177.131662,1.283838
0.020000,113.162542,252.898061,1.169291,10.518918,64.041161,160.744084,1.273882
0.020000,113.233216,253.124416,1.406422,11.856562,66.882221,142.052961,1.262386
0.020000,113.315266,253.376238,1.671274,13.242604,69.302074,120.992667,1.249194
0.020000,113.409777,253.653004,1.963732,14.622919,69.015730,-14.317190,1.234181
0.020000,113.517647,253.953139,2.282663,15.946544,66.181298,-141.721613,1.217263
0.020000,113.639841,254.274911,2.626856,17.209645,63.155029,-151.313426,1.198347
0.020000,113.777401,254.616451,2.995057,18.410036,60.019539,-156.774533,1.177340
0.020000,113.931439,254.975789,3.386019,19.548116,56.903990,-155.777442,1.154147
0.020000,114.103151,255.350893,3.798558,20.626938,53.941140,-148.142500,1.128679
0.020000,114.293835,255.739730,4.231633,21.653772,51.341667,-129.973632,1.100858
0.020000,114.504926,256.140331,4.684448,22.640720,49.347398,-99.713458,1.070623
0.020000,114.738045,256.550883,5.156568,23.606011,48.264568,-54.141516,1.037941
0.020000,114.995083,256.969812,5.648066,24.574896,48.444251,8.984162,1.002819
0.020000,115.278297,257.395868,6.159665,25.579933,50.251862,90.380541,0.965310
0.020000,115.590426,257.828182,6.692882,26.660848,54.045724,189.693119,0.925529
0.020000,115.934338,258.265710,7.249395,27.825648,58.239993,209.713437,0.883719
0.020000,116.313001,258.707278,7.831088,29.084651,62.950151,235.507923,0.840249
0.020000,116.729886,259.152098,8.440726,30.481897,69.862311,345.607984,0.795560
0.020000,117.188879,259.599574,9.081748,32.051108,78.460537,429.911307,0.750139
0.020000,117.694084,260.049067,9.757970,33.811097,87.999472,476.946749,0.704505
