dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,82.500008,254.982922,0.008547,0.854701,42.735043,2136.752137,1.571772
0.020000,82.500001,255.010201,0.035826,1.363966,25.463277,-863.588297,1.570575
0.020000,82.500196,255.134368,0.159994,6.208366,242.219975,10837.834932,1.567875
0.020000,82.501270,255.341636,0.367265,10.363550,207.759203,-1723.038599,1.563357
0.020000,82.504358,255.632489,0.658133,14.543434,208.994206,61.750139,1.556992
0.020000,82.511082,256.007567,1.033272,18.756953,210.675934,84.086392,1.548743
0.020000,82.523572,256.467657,1.493531,23.012938,212.799273,106.166945,1.538559
0.020000,82.544503,257.013649,2.039924,27.319667,215.336430,126.857838,1.526384
0.020000,82.577134,257.646464,2.673580,31.682768,218.155039,140.930473,1.512153
0.020000,82.625345,258.367007,3.395734,36.107719,221.247559,154.626013,1.495795
0.020000,82.693682,259.176055,4.207663,40.596437,224.435921,159.418096,1.477237
0.020000,82.787382,260.074132,5.110615,45.147624,227.559339,156.170869,1.456408
0.020000,82.912387,261.061350,6.105716,49.755008,230.369176,140.491875,1.433244
0.020000,83.075331,262.137224,7.193860,54.407201,232.609675,112.024960,1.407692
0.020000,83.283484,263.300447,8.375560,59.084996,233.889766,64.004518,1.379725
0.020000,83.544632,264.548632,9.650771,63.760566,233.778478,-5.564402,1.349344
0.020000,83.866895,265.878075,11.018715,68.397209,231.832130,-97.317393,1.316593
0.020000,84.258447,267.283503,12.477667,72.947598,227.519455,-215.633768,1.281572
0.020000,84.727159,268.757913,14.024786,77.355943,220.417288,-355.108348,1.244442
0.020000,85.280159,270.292488,15.655960,81.558710,210.138354,-513.946700,1.205439
0.020000,85.923352,271.876679,17.365743,85.489149,196.521927,-680.821316,1.164873
0.020000,86.660959,273.498466,19.147387,89.082218,179.653448,-843.423959,1.123130
0.020000,87.495122,275.144810,20.992998,92.280520,159.915097,-986.917533,1.080663
0.020000,88.425674,276.802272,22.893815,95.040859,138.016946,-1094.907568,1.037970
0.020000,89.450094,278.457715,24.840589,97.338686,114.891336,-1156.280489,0.995582
0.020000,90.563687,280.099016,26.824010,99.171053,91.618379,-1163.647855,0.954031
0.020000,91.759937,281.715676,28.835130,100.555993,69.247006,-1118.568679,0.913827
0.020000,93.030995,283.299248,30.865718,101.529410,48.670819,-1028.809345,0.875442
0.020000,94.368189,284.843555,32.908504,102.139305,30.494770,-908.802427,0.839291
0.020000,95.762503,286.344697,34.957292,102.439426,15.006047,-774.436167,0.805728
0.020000,97.204943,287.800878,37.006951,102.482937,2.175547,-641.524983,0.775047
0.020000,98.686781,289.212129,39.053282,102.316542,-8.319734,-524.764045,0.747488
0.020000,100.199650,290.579958,41.092823,101.977057,-16.974241,-432.725345,0.723247
0.020000,101.735527,291.907004,43.122594,101.488566,-24.424571,-372.516536,0.702496
0.020000,103.286608,293.196700,45.139812,100.860872,-31.384693,-348.006086,0.685394
0.020000,104.845110,294.452967,47.141595,100.089156,-38.585805,-360.055573,0.672104
0.020000,106.734370,295.915248,49.530647,119.452621,968.173245,50337.952502,0.637488
0.020000,109.081438,297.553041,52.392656,143.100420,1182.389943,10710.834892,0.580882
0.020000,111.598679,299.101240,55.347892,147.761820,233.070025,-47465.995923,0.521877
0.020000,114.261501,300.527373,58.368567,151.033743,163.596142,-3473.694126,0.461573
0.020000,117.025212,301.799713,61.411090,152.126143,54.620004,-5448.806923,0.401486
0.020000,119.839142,302.898177,64.431823,151.036636,-54.475375,-5454.768946,0.343134
0.020000,122.663461,303.819127,67.402501,148.533909,-125.136337,-3533.048095,0.287645
0.020000,125.473119,304.570944,70.311007,145.425287,-155.431085,-1514.737407,0.235711
0.020000,128.247539,305.166705,73.148671,141.883210,-177.103839,-1083.637709,0.187829
0.020000,130.971165,305.622458,75.910165,138.074697,-190.425679,-666.091975,0.144303
0.020000,133.633264,305.955630,78.593032,134.143365,-196.566591,-307.045623,0.105272
0.020000,136.227259,306.183771,81.197040,130.200405,-197.148019,-29.071394,0.070750
0.020000,138.749845,306.323708,83.723504,126.323203,-193.860076,164.397166,0.040661
0.020000,141.200096,306.391059,86.174680,122.558810,-188.219638,282.021885,0.014875
0.020000,143.578668,306.400032,88.553270,118.929460,-181.467497,337.607054,6.276424
0.020000,145.887152,306.363401,90.862044,115.438732,-174.536438,346.552948,6.258778
0.020000,148.127569,306.292605,93.103579,112.076752,-168.098965,321.873646,6.244975
0.020000,150.078335,306.209652,95.056109,97.626479,-722.513657,-27720.734587,6.244993
0.020000,151.298323,306.190201,96.276252,61.007150,-1830.966488,-55422.641554,0.006365
0.020000,152.515495,306.225055,97.493923,60.883532,-6.180854,91239.281697,0.050834
0.020000,153.727153,306.313371,98.708795,60.743616,-6.995806,-40.747612,0.094515
0.020000,154.927424,306.452881,99.917147,60.417583,-16.301672,-465.293286,0.136644
0.020000,156.111861,306.640145,101.116295,59.957447,-23.006798,-335.256306,0.176628
0.020000,157.280052,306.871583,102.307192,59.544835,-20.630608,118.809509,0.214154
0.020000,158.433292,307.143831,103.492131,59.246951,-14.894213,286.819746,0.249090
0.020000,159.571941,307.453385,104.672108,58.998853,-12.404890,124.466146,0.281380
0.020000,160.695620,307.796566,105.847024,58.745788,-12.653212,-12.416112,0.311029
0.020000,161.803404,308.169535,107.015908,58.444211,-15.078884,-121.283598,0.338093
0.020000,162.894005,308.568335,108.177138,58.061469,-19.137080,-202.909792,0.362664
0.020000,163.965926,308.988957,109.328631,57.574670,-24.339955,-260.143738,0.384861
0.020000,165.017571,309.427403,110.468013,56.969107,-30.278169,-296.910732,0.404821
0.020000,166.047329,309.879752,111.592745,56.236584,-36.626143,-317.398654,0.422687
0.020000,167.053626,310.342214,112.700222,55.373853,-43.136545,-325.520146,0.438609
0.020000,168.034958,310.811170,113.787849,54.381338,-49.625768,-324.461144,0.452736
0.020000,168.989901,311.283204,114.853087,53.261898,-55.972001,-317.311657,0.465211
0.020000,169.917119,311.755121,115.893490,52.020157,-62.087029,-305.751363,0.476175
0.020000,170.815358,312.223959,116.906723,50.661672,-67.924238,-291.860485,0.485761
0.020000,171.683440,312.686991,117.890575,49.192612,-73.453027,-276.439438,0.494096
0.020000,172.520255,313.141722,118.842962,47.619336,-78.663788,-260.538035,0.501299
0.020000,173.324753,313.585882,119.761926,45.948216,-83.556018,-244.611487,0.507481
0.020000,174.095933,314.017419,120.645636,44.185480,-88.136762,-229.037195,0.512747
0.020000,174.832840,314.434484,121.492379,42.337164,-92.415840,-213.953934,0.517196
0.020000,175.534557,314.835420,122.300560,40.409044,-96.405993,-199.507617,0.520917
0.020000,176.200203,315.218751,123.068693,38.406618,-100.121267,-185.763720,0.523996
0.020000,176.828932,315.583164,123.795396,36.335161,-103.572862,-172.579749,0.526513
0.020000,177.419931,315.927501,124.479389,34.199683,-106.773916,-160.052714,0.528540
0.020000,177.972420,316.250742,125.119490,32.005032,-109.732558,-147.932084,0.530144
0.020000,178.485654,316.551997,125.714607,29.755846,-112.459262,-136.335193,0.531389
0.020000,178.958928,316.830490,126.263740,27.456627,-114.960971,-125.085475,0.532330
0.020000,179.391576,317.085552,126.765975,25.111777,-117.242509,-114.076894,0.533022
0.020000,179.782977,317.316606,127.220487,22.725581,-119.309777,-103.363390,0.533510
0.020000,180.132558,317.523164,127.626532,20.302273,-121.165424,-92.782361,0.533837
0.020000,180.439797,317.704812,127.983453,17.846024,-122.812441,-82.350843,0.534040
0.020000,180.704229,317.861208,128.290672,15.360978,-124.252314,-71.993642,0.534154
0.020000,180.925447,317.992069,128.547697,12.851252,-125.486297,-61.699149,0.534205
0.020000,181.103105,318.097170,128.754116,10.320948,-126.515163,-51.443312,0.534217
0.020000,181.236925,318.176337,128.909599,7.774162,-127.339314,-41.207549,0.534210
0.020000,181.326693,318.229442,129.013899,5.214985,-127.958876,-30.978073,0.534197
0.020000,181.375738,318.258456,129.070884,2.849242,-118.287119,483.587816,0.534188
0.020000,181.394844,318.269758,129.093082,1.109919,-86.966147,1566.048594,0.534183
0.020000,181.398753,318.272070,129.097624,0.227070,-44.142456,2141.184560,0.534183
0.020000,181.398753,318.272070,129.097624,0.000000,-11.353510,1639.447319,0.534183
