dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,100.000000,255.000000,0.008547,0.854701,42.735043,2136.752137,1.571772
0.020000,100.000001,255.006324,0.042735,2.564103,85.470085,2136.752137,1.570575
0.020000,100.000122,255.083248,0.119658,5.128205,128.205128,2136.752137,1.567875
0.020000,100.000785,255.211450,0.247863,7.692308,128.205128,0.000000,1.563357
0.020000,100.002691,255.390927,0.427350,10.256410,128.205128,0.000000,1.556992
0.020000,100.006827,255.621658,0.658120,12.820513,128.205128,0.000000,1.548743
0.020000,100.014480,255.903603,0.940171,15.384615,128.205128,-0.000000,1.538559
0.020000,100.027247,256.236692,1.273504,17.948718,128.205128,0.000000,1.526384
0.020000,100.047051,256.620793,1.658120,20.512821,128.205128,0.000000,1.512153
0.020000,100.076148,257.055713,2.094017,23.076923,128.205128,-0.000000,1.495795
0.020000,100.117146,257.541157,2.581197,25.641026,128.205128,0.000000,1.477237
0.020000,100.173016,258.076703,3.119658,28.205128,128.205128,-0.000000,1.456408
0.020000,100.247091,258.661762,3.709402,30.769231,128.205128,0.000000,1.433244
0.020000,100.343071,259.295543,4.350427,33.333333,128.205128,-0.000000,1.407692
0.020000,100.465007,259.977006,5.042735,35.897436,128.205128,0.000000,1.379725
0.020000,100.617271,260.704809,5.786325,38.461538,128.205128,-0.000000,1.349344
0.020000,100.804515,261.477275,6.581197,41.025641,128.205128,0.000000,1.316593
0.020000,101.031590,262.292345,7.427350,43.589744,128.205128,-0.000000,1.281572
0.020000,101.303464,263.147554,8.324786,46.153846,128.205128,0.000000,1.244442
0.020000,101.625089,264.040027,9.273504,48.717949,128.205128,0.000000,1.205439
0.020000,102.001270,264.966499,10.273504,51.282051,128.205128,0.000000,1.164873
0.020000,102.436507,265.923370,11.324786,53.846154,128.205128,-0.000000,1.123130
0.020000,102.934846,266.906794,12.427350,56.410256,128.205128,0.000000,1.080663
0.020000,103.499737,267.912804,13.581197,58.974359,128.205128,0.000000,1.037970
0.020000,104.133922,268.937462,14.786325,61.538462,128.205128,-0.000000,0.995582
0.020000,104.839372,269.977020,16.042735,64.102564,128.205128,0.000000,0.954031
0.020000,105.617255,271.028079,17.350427,66.666667,128.205128,-0.000000,0.913827
0.020000,106.467963,272.087740,18.709402,69.230769,128.205128,0.000000,0.875442
0.020000,107.391160,273.153720,20.119658,71.794872,128.205128,-0.000000,0.839291
0.020000,108.385871,274.224441,21.581197,74.358974,128.205128,0.000000,0.805728
0.020000,109.450567,275.299090,23.094017,76.923077,128.205128,-0.000000,0.775047
0.020000,110.583253,276.377646,24.658120,79.487179,128.205128,0.000000,0.747488
0.020000,111.781545,277.460899,26.273504,82.051282,128.205128,0.000000,0.723247
0.020000,113.042716,278.550452,27.940171,84.615385,128.205128,-0.000000,0.702496
0.020000,114.363724,279.648729,29.658120,87.179487,128.205128,0.000000,0.685394
0.020000,115.741207,280.758988,31.427350,89.743590,128.205128,0.000000,0.672104
0.020000,117.149995,281.852362,33.247863,92.307692,128.205128,-0.000000,0.637488
0.020000,118.684768,282.923411,35.119658,94.871795,128.205128,0.000000,0.580882
0.020000,120.322575,283.930754,37.042735,97.435897,128.205128,-0.000000,0.521877
0.020000,122.055251,284.858695,39.008547,99.145299,85.470085,-2136.752137,0.461573
0.020000,123.863974,285.691289,41.000000,100.000000,42.735043,-2136.752137,0.401486
0.020000,125.726837,286.418339,43.000000,100.000000,0.000000,-2136.752137,0.343134
0.020000,127.628112,287.038118,45.000000,100.000000,0.000000,0.000000,0.287645
0.020000,129.559975,287.554845,47.000000,100.000000,0.000000,0.000000,0.235711
0.020000,131.515257,287.974497,49.000000,100.000000,0.000000,0.000000,0.187829
0.020000,133.487709,288.304346,51.000000,100.000000,0.000000,0.000000,0.144303
0.020000,135.472124,288.552510,53.000000,100.000000,0.000000,0.000000,0.105272
0.020000,137.464350,288.727552,55.000000,100.000000,0.000000,0.000000,0.070750
0.020000,139.461213,288.838173,57.000000,100.000000,0.000000,0.000000,0.040661
0.020000,141.460406,288.892996,59.000000,100.000000,0.000000,0.000000,0.014875
0.020000,143.460353,288.900432,61.000000,100.000000,0.000000,0.000000,6.276424
0.020000,145.460074,288.868614,63.000000,100.000000,0.000000,0.000000,6.258778
0.020000,147.459058,288.805379,65.000000,100.000000,0.000000,0.000000,6.244975
