dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,150.500026,199.969868,0.008547,0.854701,42.735043,2136.752137,1.572518
0.020000,150.500004,199.988637,0.027316,0.938466,4.188242,-1927.340025,1.571446
0.020000,150.500077,200.087256,0.125935,4.930952,199.624322,9771.804002,1.569025
0.020000,150.500835,200.286598,0.325279,9.967202,251.812477,2609.407745,1.564960
0.020000,150.503277,200.566846,0.605538,14.012924,202.286100,-2476.318851,1.559202
0.020000,150.508837,200.929150,0.967885,18.117339,205.220782,146.734085,1.551683
0.020000,150.519444,201.374998,1.413858,22.298671,209.066587,192.290275,1.542315
0.020000,150.537587,201.906330,1.945500,26.582082,214.170566,255.198919,1.530984
0.020000,150.566394,202.525293,2.565133,30.981654,219.978575,290.400461,1.517554
0.020000,150.609754,203.234497,3.275661,35.526406,227.237611,362.951813,1.501860
0.020000,150.672447,204.036837,4.080447,40.239285,235.643966,420.317753,1.483711
0.020000,150.760299,204.935429,4.983323,45.143812,245.226344,479.118906,1.462886
0.020000,150.880390,205.933586,5.988679,50.267799,256.199333,548.649405,1.439135
0.020000,151.041256,207.034592,7.101374,55.634759,268.347994,607.433068,1.412181
0.020000,151.253101,208.241359,8.326595,61.261051,281.314588,648.329703,1.381726
0.020000,151.528001,209.556053,9.669722,67.156325,294.763713,672.456271,1.347463
0.020000,151.879998,210.979403,11.135951,73.311471,307.757283,649.678476,1.309094
0.020000,152.325033,212.509844,12.729784,79.691655,319.009227,562.597214,1.266363
0.020000,152.880533,214.142349,14.454213,86.221452,326.489830,374.030159,1.219097
0.020000,153.564554,215.867214,16.309756,92.777164,327.785622,64.789600,1.167266
0.020000,154.394258,217.668817,18.293234,99.173876,319.835573,-397.502463,1.111052
0.020000,155.383762,219.524905,20.396608,105.168699,299.741184,-1004.719441,1.050915
0.020000,156.541547,221.406822,22.606150,110.477116,265.420847,-1716.016863,0.987638
0.020000,157.868023,223.281173,24.902393,114.812151,216.751727,-2433.456000,0.922334
0.020000,159.354024,225.112934,27.261110,117.935838,156.184382,-3028.367264,0.856390
0.020000,160.981024,226.869518,29.655420,119.715479,88.982027,-3360.117719,0.791343
0.020000,162.723205,228.524651,32.058471,120.152595,21.855791,-3356.311841,0.728729
0.020000,164.550847,230.060977,34.446058,119.379336,-38.662948,-3025.936934,0.669931
0.020000,166.433943,231.470760,36.798406,117.617411,-88.096230,-2471.664083,0.616081
0.020000,168.345022,232.754870,39.100831,115.121254,-124.807860,-1835.581518,0.568018
0.020000,170.260646,233.920712,41.343331,112.124964,-149.814505,-1250.332237,0.526313
0.020000,172.161611,234.979902,43.519463,108.806593,-165.918529,-805.201206,0.491333
0.020000,174.032200,235.946204,45.624894,105.271585,-176.750420,-541.594542,0.463327
0.020000,175.858930,236.833967,47.655920,101.551297,-186.014419,-463.199951,0.442504
0.020000,177.629071,237.657015,49.608050,97.606464,-197.241618,-561.359931,0.429122
0.020000,179.329152,238.427854,51.474722,93.333617,-213.642337,-820.035962,0.423553
0.020000,180.943480,239.156949,53.246059,88.566874,-238.337186,-1234.742454,0.426363
0.020000,182.452762,239.851858,54.907634,83.078725,-274.407449,-1803.513158,0.438375
0.020000,183.832919,240.515940,56.439247,76.580653,-324.903607,-2524.807881,0.460743
0.020000,185.049681,241.143804,57.808452,68.460258,-406.019750,-4055.807194,0.494831
0.020000,186.064474,241.720136,58.975484,58.351580,-505.433860,-4970.705496,0.541935
0.020000,186.847479,242.221939,59.905485,46.500078,-592.575130,-4357.063462,0.603069
0.020000,187.388811,242.622713,60.579028,33.677151,-641.146318,-2428.559441,0.678858
0.020000,187.915190,243.095426,61.286511,35.374160,84.850425,36299.837151,0.750069
0.020000,189.880009,244.858392,63.926315,131.990186,4830.801314,237297.544495,0.713500
0.020000,191.801706,246.471971,66.435609,125.464705,-326.274070,-257853.769236,0.684392
0.020000,193.666639,247.958329,68.820402,119.239623,-311.254069,751.000079,0.662402
0.020000,195.458252,249.332635,71.078408,112.900335,-316.964439,-285.518512,0.647255
