dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,168.000000,200.000000,0.008547,0.854701,42.735043,2136.752137,1.572518
0.020000,168.000000,200.000000,0.042735,2.564103,85.470085,2136.752137,1.571446
0.020000,168.000050,200.056256,0.119658,5.128205,128.205128,2136.752137,1.569025
0.020000,168.000537,200.184458,0.247863,7.692308,128.205128,0.000000,1.564960
0.020000,168.002100,200.363945,0.427350,10.256410,128.205128,0.000000,1.559202
0.020000,168.005641,200.594691,0.658120,12.820513,128.205128,0.000000,1.551683
0.020000,168.012347,200.876647,0.940171,15.384615,128.205128,-0.000000,1.542315
0.020000,168.023720,201.209798,1.273504,17.948718,128.205128,0.000000,1.530984
0.020000,168.041596,201.593988,1.658120,20.512821,128.205128,0.000000,1.517554
0.020000,168.068189,202.029066,2.094017,23.076923,128.205128,-0.000000,1.501860
0.020000,168.106129,202.514766,2.581197,25.641026,128.205128,0.000000,1.483711
0.020000,168.158508,203.050661,3.119658,28.205128,128.205128,-0.000000,1.462886
0.020000,168.228931,203.636166,3.709402,30.769231,128.205128,0.000000,1.439135
0.020000,168.321577,204.270446,4.350427,33.333333,128.205128,-0.000000,1.412181
0.020000,168.441240,204.952306,5.042735,35.897436,128.205128,0.000000,1.381726
0.020000,168.593381,205.680127,5.786325,38.461538,128.205128,-0.000000,1.347463
0.020000,168.784141,206.451715,6.581197,41.025641,128.205128,0.000000,1.309094
0.020000,169.020329,207.264171,7.427350,43.589744,128.205128,-0.000000,1.266363
0.020000,169.309334,208.113707,8.324786,46.153846,128.205128,0.000000,1.219097
0.020000,169.658964,208.995535,9.273504,48.717949,128.205128,0.000000,1.167266
0.020000,170.077166,209.903742,10.273504,51.282051,128.205128,0.000000,1.111052
0.020000,170.571627,210.831301,11.324786,53.846154,128.205128,-0.000000,1.050915
0.020000,171.149277,211.770213,12.427350,56.410256,128.205128,0.000000,0.987638
0.020000,171.815763,212.711851,13.581197,58.974359,128.205128,0.000000,0.922334
0.020000,172.574971,213.647482,14.786325,61.538462,128.205128,-0.000000,0.856390
0.020000,173.428744,214.568937,16.042735,64.102564,128.205128,0.000000,0.791343
0.020000,174.376840,215.469277,17.350427,66.666667,128.205128,-0.000000,0.728729
0.020000,175.417161,216.343353,18.709402,69.230769,128.205128,0.000000,0.669931
0.020000,176.546168,217.188152,20.119658,71.794872,128.205128,-0.000000,0.616081
0.020000,177.759363,218.002915,21.581197,74.358974,128.205128,0.000000,0.568018
0.020000,179.051746,218.789070,23.094017,76.923077,128.205128,-0.000000,0.526313
0.020000,180.418144,219.550072,24.658120,79.487179,128.205128,0.000000,0.491333
0.020000,181.853414,220.291218,26.273504,82.051282,128.205128,0.000000,0.463327
0.020000,183.352496,221.019529,27.940171,84.615385,128.205128,-0.000000,0.442504
0.020000,184.910334,221.743712,29.658120,87.179487,128.205128,0.000000,0.429122
0.020000,186.521694,222.474254,31.427350,89.743590,128.205128,0.000000,0.423553
0.020000,188.180824,223.223624,33.247863,92.307692,128.205128,-0.000000,0.426363
0.020000,189.880971,224.006616,35.119658,94.871795,128.205128,0.000000,0.438375
0.020000,191.613660,224.840798,37.042735,97.435897,128.205128,-0.000000,0.460743
0.020000,193.360134,225.742948,39.008547,99.145299,85.470085,-2136.752137,0.494831
0.020000,195.090877,226.727670,41.000000,100.000000,42.735043,-2136.752137,0.541935
0.020000,196.773007,227.808962,43.000000,100.000000,0.000000,-2136.752137,0.603069
0.020000,198.377138,229.002630,45.000000,100.000000,0.000000,0.000000,0.678858
0.020000,199.844748,230.291691,47.000000,100.000000,0.000000,0.000000,0.750069
0.020000,201.333480,231.627066,49.000000,100.000000,0.000000,0.000000,0.713500
0.020000,202.865249,232.912914,51.000000,100.000000,0.000000,0.000000,0.684392
0.020000,204.429355,234.159273,53.000000,100.000000,0.000000,0.000000,0.662402
0.020000,206.010737,235.372153,54.992968,99.296801,-35.159955,-1757.997726,0.647255
0.020000,207.588262,236.552703,56.963325,97.738901,-77.894997,-2136.752137,0.638687
0.020000,209.140265,237.701052,58.893977,95.326300,-120.630040,-2136.752137,0.636333
0.020000,210.651636,238.820642,60.774862,92.762198,-128.205128,-378.754411,0.639754
0.020000,212.115102,239.918683,62.604465,90.198095,-128.205128,0.000000,0.648541
0.020000,213.525374,241.001969,64.382786,87.633992,-128.205128,-0.000000,0.662359
0.020000,214.877746,242.076058,66.109825,85.069890,-128.205128,0.000000,0.680922
0.020000,216.167976,243.145331,67.785581,82.505787,-128.205128,0.000000,0.703972
0.020000,217.392226,244.213023,69.410056,79.941685,-128.205128,-0.000000,0.731245
0.020000,218.547067,245.281235,70.983249,77.377582,-128.205128,0.000000,0.762453
0.020000,219.629521,246.350941,72.505159,74.813480,-128.205128,0.000000,0.797261
0.020000,220.637148,247.422003,73.975788,72.249377,-128.205128,-0.000000,0.835266
0.020000,221.568163,248.493206,75.395135,69.685275,-128.205128,0.000000,0.875991
0.020000,222.421552,249.562336,76.763199,67.121172,-128.205128,-0.000000,0.918885
0.020000,223.197194,250.626295,78.079981,64.557069,-128.205128,0.000000,0.963331
0.020000,223.895936,251.681271,79.345482,61.992967,-128.205128,-0.000000,1.008673
0.020000,224.519624,252.722944,80.559700,59.428864,-128.205128,-0.000000,1.054244
0.020000,225.071065,253.746714,81.722636,56.864762,-128.205128,0.000000,1.099403
0.020000,225.553932,254.747918,82.834291,54.300659,-128.205128,0.000000,1.143565
0.020000,225.972611,255.722046,83.894663,51.736557,-128.205128,-0.000000,1.186228
0.020000,226.332015,256.664886,84.903753,49.172454,-128.205128,0.000000,1.226987
0.020000,226.637389,257.572648,85.861561,46.608351,-128.205128,0.000000,1.265540
