dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,185.499974,200.030132,0.008547,0.854701,42.735043,2136.752137,1.572518
0.020000,185.499996,200.011363,0.027316,0.938466,4.188242,-1927.340025,1.571446
0.020000,185.500022,200.025256,0.041209,0.694634,-12.191576,-818.990897,1.569025
0.020000,185.500239,200.082318,0.098272,2.853131,107.924865,6005.822051,1.564960
0.020000,185.500924,200.161043,0.177000,3.936401,54.163461,-2688.070204,1.559202
0.020000,185.502444,200.260231,0.276199,4.959979,51.178917,-149.227230,1.551683
0.020000,185.505250,200.378296,0.394298,5.904919,47.247003,-196.595674,1.542315
0.020000,185.509853,200.513266,0.529346,6.752413,42.374677,-243.616300,1.530984
0.020000,185.516797,200.662682,0.678924,7.478890,36.323856,-302.541068,1.517554
0.020000,185.526624,200.823636,0.840177,8.062664,29.188725,-356.756565,1.501860
0.020000,185.539812,200.992696,1.009751,8.478682,20.800881,-419.392167,1.483711
0.020000,185.556716,201.165893,1.183771,8.701004,11.116128,-484.237668,1.462886
0.020000,185.577471,201.338746,1.357865,8.704705,0.185026,-546.555082,1.439135
0.020000,185.601898,201.506300,1.527190,8.466272,-11.921657,-605.334140,1.412181
0.020000,185.629379,201.663253,1.686531,7.967043,-24.961453,-651.989800,1.381726
0.020000,185.658761,201.804201,1.830509,7.198878,-38.408256,-672.340184,1.347463
0.020000,185.688284,201.924027,1.953918,6.170473,-51.420213,-650.597859,1.309094
0.020000,185.715625,202.018497,2.052265,4.917371,-62.655140,-561.746322,1.266363
0.020000,185.738134,202.085065,2.122536,3.513532,-70.191941,-376.840061,1.219097
0.020000,185.753374,202.123856,2.164214,2.083872,-71.483007,-64.553269,1.167266
0.020000,185.760074,202.138667,2.180469,0.812795,-63.553843,396.458158,1.111052
0.020000,185.759492,202.137697,2.181601,0.056581,-37.810696,1287.157375,1.050915
0.020000,185.757006,202.133604,2.186390,0.239446,9.143243,2347.696963,0.987638
0.020000,185.763502,202.142529,2.197428,0.551916,15.623527,324.014203,0.922334
0.020000,185.795917,202.182031,2.248528,2.554964,100.152373,4226.442258,0.856390
0.020000,185.876463,202.268357,2.366595,5.903358,167.419731,3363.367900,0.791343
0.020000,186.030474,202.413903,2.578499,10.595192,234.591697,3358.598313,0.728729
0.020000,186.283475,202.625729,2.908468,16.498465,295.163630,3028.596648,0.669931
0.020000,186.658392,202.905543,3.376291,23.391160,344.634772,2473.557130,0.616081
0.020000,187.173704,203.250959,3.996661,31.018498,381.366871,1836.604936,0.568018
0.020000,187.842845,203.657429,4.779583,39.146100,406.380107,1250.661773,0.526313
