dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,150.500010,199.981128,0.008547,0.854701,42.735043,2136.752137,1.571875
0.020000,150.500005,199.986480,0.013900,0.267643,-29.352875,-3604.395864,1.571569
0.020000,150.500000,199.998539,0.025959,0.602942,16.764926,2305.890037,1.570880
0.020000,150.500073,200.137603,0.165023,6.953205,317.513179,15037.412655,1.569728
0.020000,150.500464,200.345487,0.372907,10.394210,172.050222,-7273.147881,1.568106
0.020000,150.501464,200.612996,0.640417,13.375521,149.065567,-1149.232733,1.566006
0.020000,150.503456,200.940397,0.967824,16.370343,149.741071,33.775185,1.563415
0.020000,150.506915,201.327877,1.355321,19.374816,150.223676,24.130283,1.560319
0.020000,150.512418,201.775797,1.803274,22.397668,151.142586,45.945499,1.556699
0.020000,150.520647,202.284531,2.312075,25.440045,152.118840,48.812659,1.552535
0.020000,150.532402,202.854432,2.882096,28.501080,153.051760,46.646036,1.547801
0.020000,150.548608,203.486012,3.513884,31.589398,154.415889,68.206415,1.542468
0.020000,150.570333,204.179817,4.208030,34.707268,155.893528,73.881949,1.536502
0.020000,150.598797,204.936451,4.965199,37.858445,157.558815,83.264351,1.529865
0.020000,150.635396,205.756623,5.786187,41.049405,159.548021,99.460337,1.522512
0.020000,150.681721,206.641091,6.671868,44.284045,161.731983,109.198105,1.514392
0.020000,150.739585,207.590727,7.623265,47.569870,164.291276,127.964640,1.505447
0.020000,150.811054,208.606491,8.641540,50.913753,167.194123,145.142317,1.495612
0.020000,150.898484,209.689440,9.728013,54.323627,170.493717,164.979733,1.484809
0.020000,151.004569,210.840748,10.884197,57.809234,174.280345,189.331386,1.472953
0.020000,151.132392,212.061709,12.111831,61.381696,178.623125,217.139005,1.459945
0.020000,151.285487,213.353710,13.412872,65.052018,183.516058,244.646661,1.445672
0.020000,151.467931,214.718314,14.789617,68.837281,189.263151,287.354645,1.430004
0.020000,151.684414,216.157119,16.244617,72.749981,195.635027,318.593796,1.412794
0.020000,151.940380,217.671893,17.780865,76.812415,203.121687,374.333004,1.393872
0.020000,152.242134,219.264404,19.401713,81.042375,211.498008,418.816028,1.373044
0.020000,152.597034,220.936513,21.111071,85.467908,221.276664,488.932799,1.350090
0.020000,153.013642,222.689917,22.913288,90.110836,232.146402,543.486900,1.324759
0.020000,153.501971,224.526165,24.813359,95.003586,244.637480,624.553935,1.296766
0.020000,154.073690,226.446307,26.816808,100.172450,258.443191,690.285507,1.265796
0.020000,154.742376,228.450635,28.929738,105.646501,273.702572,762.969081,1.231498
0.020000,155.523731,230.538220,31.158757,111.450944,290.222123,825.977563,1.193494
0.020000,156.435718,232.706236,33.510780,117.601156,307.510623,864.425004,1.151391
0.020000,157.498461,234.948963,35.992563,124.089159,324.400131,844.475395,1.104800
0.020000,158.733911,237.256728,38.610218,130.882736,339.678888,763.937808,1.053371
0.020000,160.164942,239.614548,41.368328,137.905476,351.136996,572.905446,0.996843
0.020000,161.813652,242.000643,44.268620,145.014592,355.455796,215.939994,0.935115
0.020000,163.698959,244.385599,47.308751,152.006569,349.598819,-292.848844,0.868320
0.020000,165.833281,246.732196,50.480792,158.602045,329.773834,-991.249250,0.796912
0.020000,168.208367,248.987528,53.756087,163.764750,258.135231,-3581.930171,0.722041
0.020000,170.789156,251.090750,57.085353,166.463304,134.927716,-6160.375736,0.645548
0.020000,173.523922,252.991715,60.415911,166.527905,3.230056,-6584.883038,0.569470
0.020000,176.362390,254.663727,63.710227,164.715823,-90.604123,-4691.708927,0.495466
0.020000,179.264497,256.101105,66.948790,161.928104,-139.385974,-2439.092562,0.424652
0.020000,182.193837,257.308728,70.117288,158.424943,-175.158034,-1788.603004,0.357847
0.020000,185.120310,258.299519,73.206934,154.482261,-197.134087,-1098.802643,0.295553
0.020000,188.021186,259.091456,76.213967,150.351672,-206.529450,-469.768136,0.237984
0.020000,190.880813,259.704823,79.138635,146.233385,-205.914344,30.755301,0.185127
0.020000,193.689501,260.160126,81.983987,142.267612,-198.288638,381.285292,0.136805
