dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,185.499990,200.018872,0.008547,0.854701,42.735043,2136.752137,1.571875
0.020000,185.499995,200.013520,0.013900,0.267643,-29.352875,-3604.395864,1.571569
0.020000,185.500000,200.001461,0.025959,0.602942,16.764926,2305.890037,1.570880
0.020000,185.500053,200.100204,0.124702,4.937184,216.712123,9997.359823,1.569728
0.020000,185.500337,200.251327,0.275825,7.556128,130.947167,-4288.247767,1.568106
0.020000,185.501063,200.445328,0.469827,9.700127,107.199944,-1187.361180,1.566006
0.020000,185.502503,200.682045,0.706548,11.836050,106.796167,-20.188817,1.563415
0.020000,185.504994,200.961166,0.985681,13.956648,106.029917,-38.312497,1.560319
0.020000,185.508940,201.282411,1.306951,16.063462,105.340664,-34.462694,1.556699
0.020000,185.514811,201.645407,1.669994,18.152156,104.434730,-45.296683,1.552535
0.020000,185.523148,202.049652,2.074325,20.216542,103.219271,-60.772950,1.547801
0.020000,185.534565,202.494638,2.519457,22.256639,102.004858,-60.720661,1.542468
0.020000,185.549753,202.979746,3.004803,24.267267,100.531428,-73.671502,1.536502
0.020000,185.569482,203.504246,3.529674,26.243542,98.813732,-85.884767,1.529865
0.020000,185.594605,204.067317,4.093305,28.181556,96.900702,-95.651540,1.522512
0.020000,185.626060,204.667984,4.694796,30.074542,94.649325,-112.568838,1.514392
0.020000,185.664878,205.305142,5.333135,31.916967,92.121253,-126.403609,1.505447
0.020000,185.712177,205.977509,6.007163,33.701385,89.220861,-145.019569,1.495612
0.020000,185.769173,206.683599,6.715550,35.419368,85.899187,-166.083708,1.484809
0.020000,185.837171,207.421708,7.456784,37.061708,82.116954,-189.111676,1.472953
0.020000,185.917573,208.189867,8.229140,38.617785,77.803868,-215.654284,1.459945
0.020000,186.011864,208.985788,9.030626,40.074307,72.826124,-248.887171,1.445672
0.020000,186.121612,209.806861,9.859001,41.418760,67.222621,-280.175177,1.430004
0.020000,186.248440,210.650024,10.711650,42.632461,60.685072,-326.877437,1.412794
0.020000,186.394018,211.511793,11.585628,43.698899,53.321889,-368.159153,1.393872
0.020000,186.560009,212.388109,12.477526,44.594906,44.800349,-426.076981,1.373044
0.020000,186.748043,213.274360,13.383506,45.298975,35.203434,-479.845749,1.350090
0.020000,186.959623,214.165225,14.299151,45.782260,24.164251,-551.959148,1.324759
0.020000,187.196057,215.054705,15.219518,46.018365,11.805282,-617.948473,1.296766
0.020000,187.458329,215.936032,16.139042,45.976169,-2.109818,-695.754996,1.265796
0.020000,187.746967,216.801731,17.051592,45.627485,-17.434212,-766.219693,1.231498
0.020000,188.061898,217.643736,17.950566,44.948698,-33.939315,-825.255180,1.193494
0.020000,188.402310,218.453624,18.829087,43.926066,-51.131621,-859.615277,1.151391
0.020000,188.766562,219.223001,19.680333,42.562305,-68.188052,-852.821565,1.104800
0.020000,189.152259,219.944187,20.498179,40.892279,-83.501297,-765.662233,1.053371
0.020000,189.556585,220.611093,21.278077,38.994943,-94.866779,-568.274117,0.996843
0.020000,189.977006,221.220231,22.018215,37.006860,-99.404151,-226.868606,0.935115
0.020000,190.412524,221.771766,22.720971,35.137832,-93.451416,297.636743,0.868320
0.020000,190.865332,222.270053,23.394265,33.664704,-73.656410,989.750341,0.796912
0.020000,191.340485,222.721483,24.049674,32.770423,-44.714023,1447.119353,0.722041
0.020000,191.846422,223.133791,24.702337,32.633158,-6.863251,1892.538599,0.645548
0.020000,192.395423,223.515174,25.370810,33.423640,39.524082,2319.366607,0.569470
0.020000,193.002846,223.872572,26.075576,35.238291,90.732531,2560.422496,0.495466
0.020000,193.684629,224.209730,26.836171,38.029764,139.573662,2442.056521,0.424652
0.020000,194.452888,224.525872,27.666934,41.538137,175.418649,1792.249347,0.357847
0.020000,195.314725,224.817077,28.576638,45.485243,197.355293,1096.832222,0.295553
0.020000,196.272230,225.077925,29.569039,49.620023,206.739003,469.185490,0.237984
0.020000,197.323293,225.302869,30.643903,53.743217,206.159698,-28.965249,0.185127
0.020000,198.462757,225.487139,31.798171,57.713378,198.508040,-382.582908,0.136805
0.020000,199.683591,225.627190,33.027011,61.442027,186.432473,-603.778340,0.092744
0.020000,200.977866,225.720796,34.324667,64.882793,172.038297,-719.708829,0.052616
0.020000,202.337496,225.766941,35.685080,68.020651,156.892891,-757.270288,0.016072
0.020000,203.754652,225.765609,37.102236,70.857789,141.856904,-751.799336,6.265956
0.020000,205.222084,225.717555,38.570455,73.410965,127.658805,-709.904966,6.235572
0.020000,206.733215,225.624094,40.084473,75.700907,114.497092,-658.085654,6.207804
0.020000,208.282210,225.486914,41.639530,77.752849,102.597094,-594.999871,6.182381
0.020000,209.863934,225.307938,43.231348,79.590894,91.902269,-534.741265,6.159059
0.020000,211.473915,225.089213,44.856119,81.238523,82.381436,-476.041650,6.137619
0.020000,213.108279,224.832828,46.510471,82.717601,73.953924,-421.375578,6.117869
0.020000,214.763689,224.540865,48.191430,84.047968,66.518323,-371.780075,6.099640
0.020000,216.437264,224.215353,49.896368,85.246887,59.945942,-328.619041,6.082780
0.020000,218.126537,223.858245,51.622973,86.330280,54.169670,-288.813582,6.067158
0.020000,219.829364,223.471413,53.369186,87.310649,49.018444,-257.561335,6.052657
0.020000,221.543934,223.056621,55.133216,88.201496,44.542352,-223.804571,6.039174
0.020000,223.192368,222.635418,56.834612,85.069771,-156.586259,-10056.430586,6.025346
0.020000,224.655415,222.226901,58.353623,75.950540,-455.961546,-14968.764321,5.997864
0.020000,226.211674,221.751324,59.980925,81.365134,270.729733,36334.563962,5.976569
0.020000,227.854157,221.216237,61.708371,86.372278,250.357181,-1018.627635,5.960995
0.020000,229.578638,220.629852,63.529822,91.072577,235.014930,-767.112523,5.950793
0.020000,231.383528,220.000791,65.441194,95.568604,224.801340,-510.679511,5.945728
0.020000,233.269727,219.338036,67.440443,99.962405,219.690083,-255.562849,5.945685
0.020000,235.240524,218.651043,69.527546,104.355164,219.637938,-2.607235,5.950663
0.020000,237.301520,217.950009,71.704505,108.847944,224.639018,250.053974,5.960775
0.020000,239.460584,217.246298,73.975356,113.542578,234.731676,504.632928,5.976254
0.020000,241.727798,216.553028,76.346196,118.542001,249.971156,761.973982,5.997447
0.020000,244.115260,215.885884,78.825119,123.946151,270.207489,1011.816665,6.024818
0.020000,246.636658,215.264147,81.422041,129.846078,294.996341,1239.442597,6.058935
0.020000,249.306283,214.711946,84.148178,136.306878,323.040033,1402.184603,6.100440
0.020000,252.137198,214.259578,87.015009,143.341530,351.732569,1434.626761,6.149990
0.020000,255.138057,213.944528,90.032361,150.867583,376.302662,1228.504682,6.208149
0.020000,258.308318,213.811387,93.205416,158.652755,389.258585,647.796152,6.275215
0.020000,261.632128,213.909454,96.530672,166.262829,380.503747,-437.741919,0.067804
0.020000,265.072500,214.286773,99.991673,173.050047,339.360901,-2057.142287,0.151347
0.020000,268.569023,214.980514,103.556354,178.234047,259.199971,-4008.046487,0.240826
0.020000,272.042739,216.006247,107.178347,181.099647,143.280028,-5795.997184,0.333585
0.020000,275.408993,217.351223,110.803347,181.249987,7.516992,-6788.151763,0.426517
0.020000,278.593914,218.976114,114.378818,178.773571,-123.820830,-6566.891100,0.516613
0.020000,281.547007,220.824838,117.862859,174.202025,-228.577287,-5237.822877,0.601476
0.020000,284.245097,222.837409,121.228884,168.301281,-295.037217,-3322.996487,0.679584
0.020000,286.688199,224.960009,124.465268,161.819202,-324.103922,-1453.335242,0.750273
0.020000,288.891815,227.150009,127.572040,155.338553,-324.032475,3.572349,0.813547
0.020000,290.879334,229.376572,130.556635,149.229784,-305.438434,929.702039,0.869831
0.020000,292.676498,231.618853,133.430243,143.680376,-277.470413,1398.401045,0.919769
0.020000,294.308234,233.863620,136.205408,138.758264,-246.105591,1568.241098,0.964077
0.020000,295.709510,235.962430,138.729013,126.180228,-628.901776,-19139.809220,0.998410
0.020000,297.074545,238.160045,141.316063,129.352543,158.615742,39375.875862,1.031963
0.020000,298.391678,240.457584,143.964369,132.415288,153.137242,-273.924983,1.069017
0.020000,299.650277,242.866124,146.681930,135.878041,173.137643,1000.020068,1.110032
0.020000,300.836702,245.397334,149.477396,139.773298,194.762848,1081.260209,1.155500
0.020000,301.933520,248.062742,152.359653,144.112866,216.978422,1110.778737,1.205932
0.020000,302.918737,250.872547,155.337179,148.876270,238.170182,1059.587960,1.261813
0.020000,303.765240,253.833699,158.416949,153.988522,255.612575,872.119661,1.323543
0.020000,304.440805,256.947104,161.602806,159.292836,265.215704,480.156457,1.391341
0.020000,304.907955,260.191634,164.880793,163.899374,230.326939,-1744.438229,1.464842
0.020000,305.131757,263.516965,168.213647,166.642692,137.165899,-4658.052008,1.542836
0.020000,305.091105,266.854818,171.551748,166.905034,13.117063,-6202.441801,1.623460
0.020000,304.784081,270.139465,174.850713,164.948251,-97.839116,-5547.808943,1.704721
0.020000,304.225339,273.318613,178.078587,161.393710,-177.727043,-3994.396344,1.784848
0.020000,303.442802,276.347852,181.207269,156.434118,-247.979627,-3512.629228,1.862232
0.020000,302.473557,279.194075,184.213998,150.336441,-304.883832,-2845.210253,1.935572
0.020000,301.358587,281.837651,187.083085,143.454312,-344.106457,-1961.131228,2.003970
0.020000,300.137952,284.271683,189.806036,136.147553,-365.337967,-1061.575526,2.066942
0.020000,298.847497,286.499402,192.380527,128.724569,-371.149186,-290.560956,2.124356
0.020000,297.517276,288.530920,194.808809,121.414111,-365.522879,281.315368,2.176340
0.020000,296.171299,290.380269,197.096110,114.365031,-352.454010,653.443435,2.223195
0.020000,294.828105,292.063118,199.249282,107.658597,-335.321700,856.615500,2.265313
0.020000,293.501647,293.595251,201.275836,101.327736,-316.543080,938.931031,2.303124
0.020000,292.202243,294.991661,203.183298,95.373083,-297.732627,940.522649,2.337059
0.020000,290.937434,296.266076,204.978814,89.775788,-279.864764,893.393135,2.367526
0.020000,289.712679,297.430787,206.668955,84.507039,-263.437421,821.367158,2.394900
0.020000,288.531905,298.496641,208.259638,79.534149,-248.644543,739.643888,2.419521
0.020000,287.397936,299.473113,209.756095,74.822857,-235.564597,653.997307,2.441688
0.020000,286.312751,300.368476,211.162971,70.343834,-223.951112,580.674233,2.461665
0.020000,285.277785,301.189880,212.484281,66.065453,-213.919075,501.601877,2.479684
0.020000,284.294012,301.943551,213.723566,61.964291,-205.058075,443.049967,2.495945
0.020000,283.362124,302.634872,214.883885,58.015953,-197.416911,382.058226,2.510624
0.020000,282.482596,303.268512,215.967891,54.200287,-190.783297,331.680689,2.523873
0.020000,281.655724,303.848539,216.977916,50.501224,-184.953160,291.506845,2.535824
0.020000,280.881727,304.378466,217.915942,46.901311,-179.995670,247.874517,2.546592
0.020000,280.160707,304.861371,218.783737,43.389738,-175.578632,220.851914,2.556277
0.020000,279.492734,305.299917,219.582805,39.953430,-171.815386,188.162287,2.564964
0.020000,278.877839,305.696419,220.314453,36.582397,-168.551681,163.185246,2.572730
0.020000,278.316021,306.052888,220.979819,33.268271,-165.706266,142.270771,2.579638
0.020000,277.807259,306.371071,221.579884,30.003248,-163.251168,122.754901,2.585746
0.020000,277.351516,306.652475,222.115505,26.781057,-161.109548,107.080976,2.591101
0.020000,276.948781,306.898379,222.587378,23.593689,-159.368422,87.056299,2.595744
0.020000,276.599001,307.109887,222.996135,20.437811,-157.793883,78.726965,2.599711
0.020000,276.302144,307.287921,223.342285,17.307512,-156.514956,63.946357,2.603030
0.020000,276.058191,307.433231,223.626236,14.197534,-155.498869,50.804310,2.605726
0.020000,275.867097,307.546436,223.848344,11.105439,-154.604760,44.705492,2.607818
0.020000,275.728852,307.627999,224.008856,8.025597,-153.992106,30.632695,2.609320
0.020000,275.643442,307.678250,224.107953,4.954846,-153.537560,22.727259,2.610244
0.020000,275.603074,307.701964,224.154771,2.340865,-130.699070,1141.924524,2.610680
0.020000,275.591174,307.708949,224.168569,0.689934,-82.546526,2407.627214,2.610808
