dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,185.500000,200.001966,0.008547,0.854701,42.735043,2136.752137,1.570909
0.020000,185.500000,200.000915,0.009598,0.052569,-40.106585,-4142.081409,1.570849
0.020000,185.500002,200.045949,0.054633,2.251738,109.958439,7503.251234,1.570711
0.020000,185.500027,200.170044,0.178728,6.204736,197.649927,4384.574402,1.570477
0.020000,185.500112,200.343547,0.352230,8.675129,123.519625,-3706.515129,1.570135
0.020000,185.500310,200.566228,0.574912,11.134072,122.947142,-28.624139,1.569672
0.020000,185.500696,200.837789,0.846474,13.578085,122.200653,-37.324434,1.569073
0.020000,185.501367,201.157866,1.166551,16.003873,121.289384,-45.563472,1.568315
0.020000,185.502451,201.526019,1.534705,18.407709,120.191806,-54.878869,1.567375
0.020000,185.504110,201.941740,1.950430,20.786242,118.926688,-63.255908,1.566222
0.020000,185.506545,202.404445,2.413141,23.135546,117.465165,-73.076151,1.564824
0.020000,185.510007,202.913466,2.922174,25.451626,115.804025,-83.057000,1.563142
0.020000,185.514800,203.468051,3.476780,27.730316,113.934496,-93.476474,1.561134
0.020000,185.521294,204.067357,4.076121,29.967052,111.836767,-104.886440,1.558752
0.020000,185.529928,204.710436,4.719258,32.156869,109.490893,-117.293707,1.555943
0.020000,185.541228,205.396233,5.405148,34.294504,106.881757,-130.456816,1.552646
0.020000,185.555810,206.123560,6.132621,36.373613,103.955445,-146.315598,1.548794
0.020000,185.574392,206.891087,6.900373,38.387628,100.700745,-162.734973,1.544314
0.020000,185.597808,207.697321,7.706947,40.328678,97.052474,-182.413536,1.539122
0.020000,185.627016,208.540575,8.550706,42.187989,92.965543,-204.346559,1.533124
0.020000,185.663109,209.418938,9.429811,43.955212,88.361166,-230.218883,1.526216
0.020000,185.707324,210.330240,10.342185,45.618692,83.174015,-259.357525,1.518279
0.020000,185.761052,211.271997,11.285474,47.164455,77.288116,-294.294955,1.509178
0.020000,185.825839,212.241358,12.256997,48.576151,70.584822,-335.164683,1.498759
0.020000,185.903386,213.235029,13.253689,49.834630,62.923943,-383.043958,1.486849
0.020000,185.995544,214.249211,14.272050,50.918031,54.170077,-437.693284,1.473247
0.020000,186.104289,215.279475,15.308037,51.799370,44.066939,-505.156947,1.457721
0.020000,186.231688,216.320683,16.357010,52.448634,32.463205,-580.186653,1.440008
0.020000,186.379840,217.366848,17.413614,52.830175,19.077054,-669.307581,1.419800
0.020000,186.550777,218.411018,18.471683,52.903457,3.664070,-770.649201,1.396746
0.020000,186.746335,219.445165,19.524157,52.623738,-13.985964,-882.501670,1.370442
0.020000,186.967962,220.460119,20.563027,51.943455,-34.014131,-1001.408371,1.340431
0.020000,187.216469,221.445554,21.579314,50.814352,-56.455138,-1122.050363,1.306200
0.020000,187.491743,222.390190,22.563240,49.196341,-80.900568,-1222.271473,1.267189
0.020000,187.792436,223.282193,23.504562,47.066069,-106.513583,-1280.650743,1.222815
0.020000,188.115760,224.110023,24.393291,44.436462,-131.480355,-1248.338625,1.172506
0.020000,188.457556,224.863760,25.220905,41.380701,-152.788068,-1065.385663,1.115776
0.020000,188.812948,225.536984,25.982176,38.063557,-165.857168,-653.454991,1.052324
0.020000,189.177886,226.128930,26.677575,34.769963,-164.679732,58.871833,0.982180
0.020000,189.550150,226.644193,27.313245,31.783500,-149.323139,767.829603,0.906180
0.020000,189.932398,227.094343,27.903794,29.527448,-112.802578,1826.028073,0.826138
0.020000,190.335274,227.497212,28.473542,28.487405,-52.002176,3040.020084,0.744418
0.020000,190.777495,227.872276,29.053398,28.992786,25.269079,3863.562757,0.663277
0.020000,191.282225,228.234929,29.674904,31.075297,104.125546,3942.823344,0.584515
0.020000,191.870922,228.592616,30.363747,34.442147,168.342494,3210.847420,0.509601
0.020000,192.559689,228.945482,31.137642,38.694750,212.630132,2214.381890,0.439547
0.020000,193.357551,229.288620,32.006162,43.426019,236.563453,1196.666035,0.374899
0.020000,194.266635,229.614704,32.971959,48.289848,243.191475,331.401138,0.315811
0.020000,195.283612,229.916132,34.032667,53.035397,237.277447,-295.701432,0.262144
0.020000,196.401437,230.186309,35.182680,57.500631,223.261702,-700.787241,0.213580
0.020000,197.611075,230.420248,36.414731,61.602573,205.097083,-908.230923,0.169703
0.020000,198.902694,230.614625,37.720894,65.308147,185.278690,-990.919651,0.130060
0.020000,200.266561,230.767603,39.093314,68.621000,165.642675,-981.800750,0.094203
0.020000,201.693554,230.878543,40.524614,71.564963,147.198150,-922.226281,0.061708
0.020000,202.927631,230.937014,41.760074,61.773038,-489.596256,-31839.720291,0.019832
0.020000,203.762308,230.925012,42.594838,41.738203,-1001.741743,-25607.274339,6.236441
0.020000,204.689117,230.852176,43.524505,46.483321,237.255886,61949.881418,6.175287
0.020000,205.727211,230.709847,44.572310,52.390252,295.346572,2904.534342,6.120884
0.020000,206.887881,230.490464,45.753532,59.061089,333.541830,1909.762883,6.074102
0.020000,208.176129,230.189560,47.076455,66.146145,354.252810,1035.548990,6.035417
0.020000,209.593089,229.806672,48.544235,73.389026,362.144048,394.561894,6.005008
0.020000,211.138403,229.345371,50.156933,80.634895,362.293451,7.470162,5.982878
0.020000,212.812049,228.812864,51.913251,87.815905,359.050481,-162.148488,5.968954
0.020000,214.615504,228.219537,53.811800,94.927447,355.577081,-173.670014,5.963157
0.020000,216.552301,227.578683,55.851867,102.003361,353.795721,-89.067992,5.965447
0.020000,218.628044,226.906519,58.033728,109.093030,354.483453,34.386600,5.975839
0.020000,220.849927,226.222485,60.358522,116.239706,357.333805,142.517599,5.994401
0.020000,223.225687,225.549764,62.827690,123.458375,360.933432,179.981351,6.021215
0.020000,225.761888,224.915805,65.441923,130.711681,362.665332,86.594979,6.056321
0.020000,228.461455,224.352542,68.199627,137.885173,358.674581,-199.537544,6.099631
0.020000,230.006198,224.048778,69.773953,78.716306,-2958.443338,-165855.895946,6.078674
0.020000,231.671006,223.687851,71.477436,85.174168,322.893078,164066.820823,6.061731
0.020000,233.416502,223.283099,73.269245,89.590456,220.814418,-5103.933018,6.049835
0.020000,235.239274,222.842196,75.144583,93.766895,208.821944,-599.623689,6.042712
0.020000,237.138201,222.373228,77.100563,97.798993,201.604897,-360.852345,6.040196
0.020000,239.114316,221.884725,79.136162,101.779962,199.048430,-127.823362,6.042230
0.020000,241.170704,221.385836,81.252201,105.801954,201.099637,102.560325,6.048861
0.020000,243.312450,220.886615,83.451359,109.957906,207.797573,334.896826,6.060242
0.020000,245.546602,220.398443,85.738224,114.343222,219.265798,573.411223,6.076636
0.020000,247.882105,219.934606,88.119341,119.055870,235.632434,818.331828,6.098417
0.020000,250.329635,219.511060,90.603248,124.195344,256.973657,1067.061146,6.126073
0.020000,252.901152,219.147406,93.200352,129.855169,282.991271,1300.880686,6.160201
0.020000,255.608995,218.868043,95.922567,136.110755,312.779301,1489.401492,6.201481
0.020000,258.464130,218.703384,98.782446,142.993968,344.160651,1569.067524,6.250633
0.020000,261.473148,218.690752,101.791490,150.452206,372.911879,1437.561372,0.025132
0.020000,264.633673,218.874208,104.957336,158.292273,392.003382,954.575182,0.091785
0.020000,267.928398,219.302109,108.279731,166.119776,391.375116,-31.413305,0.167396
0.020000,271.319149,220.021101,111.745873,173.307116,359.366999,-1600.405839,0.251234
0.020000,274.744199,221.066298,115.326851,179.048892,287.088816,-3613.909170,0.341645
0.020000,278.122672,222.450056,118.977723,182.543600,174.735393,-5617.671151,0.436058
0.020000,281.367495,224.154704,122.643061,183.266871,36.163547,-6928.592289,0.531300
0.020000,284.402797,226.134274,126.266837,181.188831,-103.901980,-7003.276373,0.624162
0.020000,287.177792,228.325379,129.802589,176.787602,-220.061462,-5807.974101,0.711984
0.020000,289.671255,230.661609,133.219506,170.845850,-297.087599,-3851.306806,0.793005
0.020000,291.887003,233.084834,136.503035,164.176457,-333.469652,-1819.102670,0.866391
0.020000,293.845116,235.550466,139.651614,157.428927,-337.376471,-195.340941,0.932056
0.020000,295.573496,238.027726,142.672229,151.030761,-319.908309,873.408064,0.990403
0.020000,297.101828,240.497218,145.576397,145.208372,-291.119484,1439.441278,1.042088
0.020000,298.458090,242.947755,148.377214,140.040848,-258.376169,1637.165722,1.087863
0.020000,299.667073,245.373687,151.087709,135.524793,-225.802760,1628.670465,1.128473
0.020000,300.743033,247.761432,153.706681,130.948578,-228.810769,-150.400432,1.167534
0.020000,301.793473,250.393094,156.540242,141.678070,536.474618,38264.269353,1.215181
0.020000,302.743962,253.176317,159.481290,147.052383,268.715662,-13387.947824,1.268976
0.020000,303.566180,256.125845,162.543276,153.099322,302.346934,1681.563634,1.329688
0.020000,304.221761,259.239702,165.725397,159.106002,300.334005,-100.646463,1.397705
0.020000,304.666439,262.489303,169.005281,163.994231,244.411450,-2796.127769,1.472671
0.020000,304.860340,265.824210,172.345821,167.026973,151.637083,-4638.718335,1.553442
0.020000,304.776818,269.185715,175.708363,168.127117,55.007204,-4831.493978,1.638351
0.020000,304.405986,272.514587,179.057827,167.473205,-32.695597,-4385.140052,1.725445
0.020000,303.757237,275.746622,182.354329,164.825084,-132.406057,-4985.522993,1.812442
0.020000,302.859811,278.821373,185.557369,160.152020,-233.653165,-5062.355401,1.897024
0.020000,301.758177,281.691916,188.632043,153.733673,-320.917366,-4363.210018,1.977194
0.020000,300.504035,284.330200,191.553243,146.060007,-383.683291,-3138.296286,2.051516
0.020000,299.148290,286.727011,194.306922,137.683955,-418.802595,-1755.965174,2.119187
0.020000,297.735467,288.888076,196.888834,129.095625,-429.416497,-530.695086,2.179965
0.020000,296.301257,290.828777,199.301981,120.657311,-421.915735,375.038064,2.234025
0.020000,294.872455,292.569365,201.553897,112.595809,-403.075087,942.032435,2.281797
0.020000,293.468181,294.131497,203.654430,105.026649,-378.458006,1230.854034,2.323846
0.020000,292.101545,295.536087,205.614167,97.986847,-351.990067,1323.396965,2.360777
0.020000,290.781204,296.802223,207.443483,91.465836,-326.050579,1296.974401,2.393184
0.020000,289.512664,297.946732,209.152019,85.426792,-301.952186,1204.919647,2.421618
0.020000,288.299253,298.984148,210.748452,79.821658,-280.256695,1084.774550,2.446577
0.020000,287.142831,299.926868,212.240442,74.599472,-261.109293,957.370065,2.468496
0.020000,286.044282,300.785399,213.634675,69.711671,-244.390074,835.960980,2.487760
0.020000,285.003856,301.568613,214.936946,65.113565,-229.905303,724.238556,2.504698
0.020000,284.021392,302.283997,216.152269,60.766129,-217.371776,626.676352,2.519599
0.020000,283.096484,302.937864,217.284963,56.634700,-206.571471,540.015259,2.532707
0.020000,282.228574,303.535549,218.338764,52.690051,-197.232467,466.950181,2.544238
0.020000,281.417024,304.081564,219.316897,48.906670,-189.169042,403.171236,2.554376
0.020000,280.661164,304.579731,220.222157,45.262956,-182.185692,349.167524,2.563279
0.020000,279.960318,305.033292,221.056964,41.740355,-176.130027,302.783212,2.571087
0.020000,279.313828,305.444998,221.823418,38.322707,-170.882440,262.379350,2.577920
0.020000,278.721060,305.817187,222.523345,34.996369,-166.316862,228.278918,2.583881
0.020000,278.181417,306.151846,223.158335,31.749471,-162.344931,198.596540,2.589062
0.020000,277.694351,306.450654,223.729754,28.570950,-158.926048,170.944159,2.593541
0.020000,277.259350,306.715038,224.238796,25.452139,-155.940523,149.276262,2.597386
0.020000,276.875959,306.946192,224.686480,22.384181,-153.397900,127.131133,2.600655
0.020000,276.543768,307.145118,225.073678,19.359898,-151.214148,109.187601,2.603398
0.020000,276.262422,307.312643,225.401123,16.372237,-149.383080,91.553407,2.605657
0.020000,276.031618,307.449439,225.669421,13.414925,-147.865583,75.874852,2.607466
0.020000,275.851102,307.556040,225.879063,10.482094,-146.641573,61.200500,2.608854
0.020000,275.720680,307.632850,226.030422,7.567933,-145.708017,46.677805,2.609842
0.020000,275.640207,307.680157,226.123771,4.667437,-145.024793,34.161181,2.610446
0.020000,275.602243,307.702452,226.167796,2.201294,-123.307191,1085.880122,2.610729
0.020000,275.591092,307.708998,226.180727,0.646537,-77.737808,2278.469128,2.610812
0.020000,275.590143,307.709555,226.181828,0.055027,-29.575514,2408.114709,2.610819
0.020000,275.590143,307.709555,226.181828,0.000000,-2.751354,1341.208026,2.610819
