dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,150.500012,199.979275,0.008547,0.854701,42.735043,2136.752137,1.571981
0.020000,150.500001,199.995645,0.024917,0.818510,-1.809562,-2227.230244,1.571045
0.020000,150.500093,200.100406,0.129678,5.238038,220.976428,11139.299519,1.568935
0.020000,150.500783,200.290465,0.319738,9.503027,213.249422,-386.350296,1.565401
0.020000,150.502887,200.557240,0.586522,13.339170,191.807188,-1072.111714,1.560412
0.020000,150.507575,200.901408,0.930722,17.210000,193.541502,86.715718,1.553931
0.020000,150.516394,201.323849,1.353255,21.126630,195.831490,114.499373,1.545903
0.020000,150.531302,201.825605,1.855232,25.098878,198.612397,139.045369,1.536266
0.020000,150.554712,202.407921,2.438019,29.139348,202.023467,170.553486,1.524942
0.020000,150.589542,203.072150,3.103160,33.257042,205.884727,193.062986,1.511842
0.020000,150.639276,203.819786,3.852449,37.464450,210.370407,224.284019,1.496864
0.020000,150.708034,204.652395,4.687892,41.772132,215.384098,250.684554,1.479893
0.020000,150.800646,205.571532,5.611683,46.189592,220.872971,274.443621,1.460804
0.020000,150.922730,206.578663,6.626186,50.725148,226.777839,295.243441,1.439461
0.020000,151.080775,207.675023,7.733879,55.384640,232.974575,309.836758,1.415723
0.020000,151.282199,208.861445,8.937278,60.169937,239.264878,314.515191,1.389446
0.020000,151.535385,210.138083,10.238780,65.075092,245.257706,299.641367,1.360493
0.020000,151.849673,211.504154,11.640539,70.087948,250.642799,269.254678,1.328741
0.020000,152.235269,212.957556,13.144222,75.184157,254.810484,208.384231,1.294094
0.020000,152.703041,214.494449,14.750724,80.325122,257.048262,111.888906,1.256501
0.020000,153.264169,216.108828,16.459842,85.455888,256.538268,-25.499721,1.215973
0.020000,153.929639,217.792144,18.269925,90.504167,252.413939,-206.216424,1.172605
0.020000,154.709528,219.533018,20.177507,95.379105,243.746928,-433.350539,1.126594
0.020000,155.612197,221.317232,22.177065,99.977888,229.939168,-690.388014,1.078257
0.020000,156.643402,223.128015,24.260888,104.191162,210.663673,-963.774768,1.028033
0.020000,157.805541,224.946747,26.419210,107.916091,186.246469,-1220.860178,0.976482
0.020000,159.097158,226.754008,28.640576,111.068299,157.610375,-1431.804728,0.924257
0.020000,160.512862,228.530883,30.912470,113.594702,126.320162,-1564.510629,0.872076
0.020000,162.043732,230.260291,33.222106,115.481771,94.353431,-1598.336562,0.820668
0.020000,163.678136,231.928106,35.557246,116.757031,63.763010,-1529.521031,0.770734
0.020000,165.402799,233.523884,37.906921,117.483739,36.335408,-1371.380095,0.722901
0.020000,167.203911,235.041119,40.261918,117.749824,13.304264,-1151.557192,0.677695
0.020000,169.068085,236.477050,42.615009,117.654583,-4.762070,-903.316723,0.635531
0.020000,170.983027,237.832165,44.960929,117.295996,-17.929369,-658.364964,0.596708
0.020000,172.937908,239.109540,47.296148,116.760955,-26.752046,-441.133830,0.561428
0.020000,174.923444,240.314155,49.618529,116.119022,-32.096623,-267.228833,0.529814
0.020000,176.931777,241.452278,51.926932,115.420151,-34.943570,-142.347375,0.501931
0.020000,178.956211,242.530963,54.220813,114.694076,-36.303753,-68.009153,0.477808
0.020000,180.990883,243.557687,56.499859,113.952311,-37.088244,-39.224545,0.457465
0.020000,183.021679,244.535970,58.754005,112.707277,-62.251696,-1258.172588,0.440987
0.020000,185.027009,245.466401,60.964672,110.533369,-108.695407,-2322.185550,0.428460
0.020000,187.153963,246.420054,63.295635,116.548139,300.738536,20471.697144,0.407709
0.020000,189.812339,247.490794,66.161546,143.295530,1337.369548,51831.550580,0.358212
0.020000,192.497808,248.422757,69.004133,142.129362,-58.308434,-69783.899079,0.310048
