dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,70.000000,193.500000,0.004281,0.428091,21.404550,1070.227482,0.000000
0.020000,70.000000,193.500000,0.004281,0.000000,-21.404550,-2140.454963,0.000000
0.020000,70.009933,193.500000,0.014214,0.496637,24.831847,2311.819853,0.000000
0.020000,70.078427,193.500000,0.082708,3.424728,146.404550,6078.635110,0.000000
0.020000,70.185450,193.500000,0.189731,5.351137,96.320473,-2504.203814,0.000000
0.020000,70.339563,193.500000,0.343844,7.705638,117.725023,1070.227482,0.000000
0.020000,70.549327,193.500000,0.553608,10.488229,139.129573,1070.227482,0.000000
0.020000,70.823306,193.500000,0.827587,13.698912,160.534122,1070.227482,0.000000
0.020000,71.170059,193.500000,1.174340,17.337685,181.938672,1070.227482,0.000000
0.020000,71.593869,193.500000,1.598150,21.190504,192.640947,535.113741,0.000000
0.020000,72.094736,193.500000,2.099017,25.043323,192.640947,0.000000,0.000000
0.020000,72.672659,193.500000,2.676940,28.896142,192.640947,0.000000,0.000000
0.020000,73.327638,193.500000,3.331919,32.748961,192.640947,-0.000000,0.000000
0.020000,74.059674,193.500000,4.063954,36.601780,192.640947,0.000000,0.000000
0.020000,74.868766,193.500000,4.873046,40.454599,192.640947,0.000000,0.000000
0.020000,75.754914,193.500000,5.759195,44.307418,192.640947,0.000000,0.000000
0.020000,76.718119,193.500000,6.722400,48.160237,192.640947,-0.000000,0.000000
0.020000,77.758380,193.500000,7.762661,52.013056,192.640947,0.000000,0.000000
0.020000,78.875697,193.500000,8.879978,55.865875,192.640947,-0.000000,0.000000
0.020000,80.070071,193.500000,10.074352,59.718693,192.640947,0.000000,0.000000
0.020000,81.341501,193.500000,11.345782,63.571512,192.640947,-0.000000,0.000000
0.020000,82.689988,193.500000,12.694269,67.424331,192.640947,0.000000,0.000000
0.020000,84.111250,193.500000,14.115531,71.063105,181.938672,-535.113741,0.000000
0.020000,85.596726,193.500000,15.601007,74.273787,160.534122,-1070.227482,0.000000
0.020000,87.137853,193.500000,17.142134,77.056379,139.129573,-1070.227482,0.000000
0.020000,88.726071,193.500000,18.730352,79.410879,117.725023,-1070.227482,0.000000
0.020000,90.352817,193.500000,20.357098,81.337289,96.320473,-1070.227482,0.000000
0.020000,92.009529,193.500000,22.013810,82.835607,74.915924,-1070.227482,0.000000
0.020000,93.687646,193.500000,23.691926,83.905835,53.511374,-1070.227482,0.000000
0.020000,95.376567,193.500000,25.380847,84.446051,27.010802,-1325.028595,0.000000
0.020000,97.061411,193.500000,27.065692,84.242210,-10.192045,-1860.142335,0.000000
0.020000,98.729335,193.500000,28.733616,83.396232,-42.298869,-1605.341222,0.000000
0.020000,100.371779,193.500000,30.376060,82.122164,-63.703419,-1070.227482,0.000000
0.020000,101.980179,193.500000,31.984460,80.420005,-85.107968,-1070.227482,0.000000
0.020000,103.545974,193.500000,33.550255,78.289754,-106.512518,-1070.227482,0.000000
0.020000,105.060602,193.500000,35.064883,75.731413,-127.917067,-1070.227482,0.000000
0.020000,106.515502,193.500000,36.519783,72.744981,-149.321617,-1070.227482,0.000000
0.020000,107.902111,193.500000,37.906392,69.330457,-170.726167,-1070.227482,0.000000
0.020000,109.213906,193.500000,39.218187,65.589763,-187.034694,-815.426369,0.000000
0.020000,110.448645,193.500000,40.452926,61.736944,-192.640947,-280.312628,0.000000
0.020000,111.606328,193.500000,41.610608,57.884125,-192.640947,0.000000,0.000000
0.020000,112.686954,193.500000,42.691235,54.031307,-192.640947,0.000000,0.000000
0.020000,113.690523,193.500000,43.694804,50.178488,-192.640947,0.000000,0.000000
0.020000,114.617037,193.500000,44.621318,46.325669,-192.640947,-0.000000,0.000000
0.020000,115.466494,193.500000,45.470775,42.472850,-192.640947,0.000000,0.000000
0.020000,116.238894,193.500000,46.243175,38.620031,-192.640947,0.000000,0.000000
0.020000,116.934239,193.500000,46.938520,34.767212,-192.640947,-0.000000,0.000000
0.020000,117.552526,193.500000,47.556807,30.914393,-192.640947,0.000000,0.000000
0.020000,118.093758,193.500000,48.098039,27.061574,-192.640947,-0.000000,0.000000
0.020000,118.557933,193.500000,48.562214,23.208755,-192.640947,0.000000,0.000000
0.020000,118.945052,193.500000,48.949333,19.355936,-192.640947,0.000000,0.000000
0.020000,119.257153,193.500000,49.261433,15.605038,-187.544924,254.801113,0.000000
0.020000,119.500555,193.500000,49.504836,12.170105,-171.746627,789.914854,0.000000
0.020000,119.683820,193.500000,49.688101,9.163264,-150.342078,1070.227482,0.000000
0.020000,119.815510,193.500000,49.819791,6.584513,-128.937528,1070.227482,0.000000
0.020000,119.904187,193.500000,49.908468,4.433853,-107.532978,1070.227482,0.000000
0.020000,119.958413,193.500000,49.962694,2.711285,-86.128429,1070.227482,0.000000
0.020000,119.986749,193.500000,49.991030,1.416807,-64.723879,1070.227482,0.000000
0.020000,119.997757,193.500000,50.002038,0.550421,-43.319330,1070.227482,0.000000
0.020000,120.000000,193.500000,50.004281,0.112125,-21.914780,1070.227482,0.000000
0.020000,120.000000,193.500000,50.004281,0.000000,-5.606253,815.426369,0.000000
