dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.000000,216.500000,0.004398,0.439815,21.990741,1099.537037,0.000000
0.020000,25.000000,216.500000,0.004398,0.000000,-21.990741,-2199.074074,0.000000
0.020000,25.000000,216.500000,0.004398,0.000000,0.000000,1099.537037,0.000000
0.020000,25.036944,216.500000,0.041343,1.847222,92.361111,4618.055556,0.000000
0.020000,25.146898,216.500000,0.151296,5.497685,182.523148,4508.101852,0.000000
0.020000,25.305231,216.500000,0.309630,7.916667,120.949074,-3078.703704,0.000000
0.020000,25.520741,216.500000,0.525139,10.775463,142.939815,1099.537037,0.000000
0.020000,25.802222,216.500000,0.806620,14.074074,164.930556,1099.537037,0.000000
0.020000,26.158472,216.500000,1.162870,17.812500,186.921296,1099.537037,0.000000
0.020000,26.593889,216.500000,1.598287,21.770833,197.916667,549.768519,0.000000
0.020000,27.108472,216.500000,2.112870,25.729167,197.916667,0.000000,0.000000
0.020000,27.702222,216.500000,2.706620,29.687500,197.916667,-0.000000,0.000000
0.020000,28.375139,216.500000,3.379537,33.645833,197.916667,0.000000,0.000000
0.020000,29.127222,216.500000,4.131620,37.604167,197.916667,0.000000,0.000000
0.020000,29.958472,216.500000,4.962870,41.562500,197.916667,0.000000,0.000000
0.020000,30.868889,216.500000,5.873287,45.520833,197.916667,-0.000000,0.000000
0.020000,31.858472,216.500000,6.862870,49.479167,197.916667,0.000000,0.000000
0.020000,32.927222,216.500000,7.931620,53.437500,197.916667,0.000000,0.000000
0.020000,34.075139,216.500000,9.079537,57.395833,197.916667,-0.000000,0.000000
0.020000,35.302222,216.500000,10.306620,61.354167,197.916667,-0.000000,0.000000
0.020000,36.608472,216.500000,11.612870,65.312500,197.916667,0.000000,0.000000
0.020000,37.993889,216.500000,12.998287,69.270833,197.916667,0.000000,0.000000
0.020000,39.458472,216.500000,14.462870,73.229167,197.916667,-0.000000,0.000000
0.020000,41.002222,216.500000,16.006620,77.187500,197.916667,0.000000,0.000000
0.020000,42.620741,216.500000,17.625139,80.925926,186.921296,-549.768519,0.000000
0.020000,44.305231,216.500000,19.309630,84.224537,164.930556,-1099.537037,0.000000
0.020000,46.046898,216.500000,21.051296,87.083333,142.939815,-1099.537037,0.000000
0.020000,47.836944,216.500000,22.841343,89.502315,120.949074,-1099.537037,0.000000
