dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,120.019189,216.499984,0.004398,0.439815,21.990741,1099.537037,6.281517
0.020000,120.015630,216.499989,0.007956,0.177905,-13.095498,-1754.311916,6.281826
0.020000,120.007618,216.499997,0.015968,0.400613,11.135383,1211.544050,6.282523
0.020000,120.026143,216.500008,0.034493,0.926236,26.281158,757.288716,0.000579
0.020000,120.113709,216.500143,0.122059,4.378307,172.603567,7316.120440,0.002526
0.020000,120.239569,216.500639,0.247921,6.293073,95.738304,-3843.263126,0.005347
0.020000,120.410499,216.501883,0.418855,8.546724,112.682532,847.211379,0.009225
0.020000,120.633003,216.504505,0.641374,11.125950,128.961332,813.940008,0.014351
0.020000,120.913407,216.509450,0.921822,14.022407,144.822852,793.076037,0.020943
0.020000,121.254224,216.517983,1.262745,17.046151,151.187159,318.215313,0.029160
0.020000,121.654219,216.531630,1.662973,20.011392,148.262070,-146.254429,0.039104
0.020000,122.111836,216.552220,2.121053,22.904001,144.630455,-181.580767,0.050899
0.020000,122.625212,216.581900,2.635287,25.711694,140.384637,-212.290888,0.064699
0.020000,123.191992,216.623134,3.203565,28.413868,135.108704,-263.796659,0.080682
0.020000,123.809373,216.678716,3.823443,30.993919,129.002544,-305.308008,0.099061
0.020000,124.474001,216.751761,4.492072,33.431468,121.877450,-356.254664,0.120083
0.020000,125.181939,216.845701,5.206216,35.707201,113.786683,-404.538348,0.144035
0.020000,125.928483,216.964240,5.962112,37.794791,104.379481,-470.360111,0.171236
0.020000,126.708287,217.111335,6.755669,39.677824,94.151648,-511.391677,0.202047
0.020000,127.515279,217.291124,7.582445,41.338836,83.050574,-555.053710,0.236853
0.020000,128.342752,217.507861,8.437832,42.769346,71.525523,-576.252527,0.276053
0.020000,129.183681,217.765892,9.317458,43.981295,60.597470,-546.402626,0.320029
0.020000,130.031060,218.069667,10.217641,45.009143,51.392396,-460.253704,0.369099
0.020000,130.878578,218.423924,11.136219,45.928909,45.988263,-270.206693,0.423453
0.020000,131.719148,218.832927,12.071013,46.739714,40.540255,-272.400392,0.482895
0.020000,132.546319,219.300597,13.021239,47.511263,38.577463,-98.139601,0.546729
0.020000,133.357131,219.832055,13.990704,48.473287,48.101202,476.186983,0.613861
0.020000,134.151538,220.434022,14.987422,49.835889,68.130116,1001.445687,0.682829
0.020000,134.931066,221.114537,16.022200,51.738893,95.150194,1351.003903,0.751928
0.020000,135.697142,221.881775,17.106417,54.210835,123.597075,1422.344035,0.819406
0.020000,136.449763,222.742246,18.249592,57.158762,147.396377,1189.965087,0.883670
0.020000,137.187043,223.699025,19.457486,60.394676,161.795714,719.966855,0.943455
0.020000,137.905604,224.750659,20.731167,63.684079,164.470106,133.719600,0.997903
0.020000,138.603051,225.893765,22.070243,66.953800,163.486082,-49.201204,1.046668
0.020000,139.278602,227.124663,23.474336,70.204660,162.543004,-47.153887,1.089781
0.020000,139.931962,228.438051,24.941261,73.346236,157.078783,-273.211037,1.127432
0.020000,140.563630,229.827789,26.467818,76.327855,149.080946,-399.891874,1.159899
0.020000,141.174995,231.287511,28.050396,79.128913,140.052905,-451.402049,1.187497
0.020000,141.768297,232.811065,29.685397,81.750019,131.055287,-449.880881,1.210537
0.020000,142.346538,234.392785,31.369498,84.205082,122.753166,-415.106030,1.229309
0.020000,142.913375,236.027620,33.099814,86.515768,115.534308,-360.942907,1.244063
0.020000,143.473036,237.711205,34.873984,88.708503,109.636735,-294.878672,1.255004
0.020000,144.030269,239.439839,36.690211,90.811369,105.143291,-224.672197,1.262288
0.020000,144.590311,241.210449,38.547281,92.853492,102.106156,-151.856724,1.266021
0.020000,145.158905,243.020528,40.444564,94.864166,100.533717,-78.621955,1.266257
0.020000,145.742337,244.868050,42.382020,96.872763,100.429850,-5.193374,1.263000
0.020000,146.347507,246.751381,44.360192,98.908623,101.792984,68.156718,1.256202
0.020000,146.982022,248.669160,46.380213,101.001041,104.620920,141.396775,1.245765
0.020000,147.654315,250.620159,48.443796,103.179148,108.905314,214.219697,1.231539
0.020000,148.373779,252.603097,50.553221,105.471232,114.604225,284.945558,1.213326
0.020000,149.150899,254.616400,52.711300,107.903949,121.635849,351.581207,1.190880
0.020000,149.997370,256.657862,54.921295,110.499760,129.790563,407.735716,1.163918
0.020000,150.926152,258.724195,57.186767,113.273636,138.693767,445.160174,1.132130
0.020000,151.607361,260.210802,58.822019,81.762583,-1575.552621,-85712.319385,1.151414
0.020000,152.287492,261.773764,60.526551,85.226607,173.201181,87437.690098,1.168409
0.020000,152.965661,263.396618,62.285405,87.942685,135.803916,-1869.863258,1.180682
0.020000,153.647704,265.075453,64.097495,90.604495,133.090481,-135.671741,1.188326
0.020000,154.340263,266.806656,65.962086,93.229568,131.253639,-91.842090,1.191405
0.020000,155.050785,268.586885,67.878869,95.839135,130.478389,-38.762518,1.189946
0.020000,155.787486,270.412830,69.847829,98.448025,130.444496,-1.694660,1.183936
0.020000,156.557587,272.276817,71.864635,100.840281,119.612786,-541.585503,1.173357
0.020000,157.366810,274.166301,73.920113,102.773894,96.680630,-1146.607786,1.158241
0.020000,158.220451,276.067682,76.004328,104.210779,71.844272,-1241.817912,1.138686
0.020000,159.122794,277.966207,78.106379,105.102546,44.588332,-1362.796976,1.114877
0.020000,160.076425,279.845925,80.214163,105.389176,14.331508,-1512.841204,1.087099
0.020000,161.081503,281.689779,82.314158,104.999778,-19.469881,-1690.069447,1.055764
0.020000,162.135030,283.479900,84.391284,103.856280,-57.174931,-1885.252513,1.021419
0.020000,163.230261,285.198129,86.428891,101.880338,-98.797092,-2081.108043,0.984746
0.020000,164.356467,286.826934,88.409130,99.011965,-143.418655,-2231.078175,0.946547
0.020000,165.502449,288.354700,90.318931,95.490054,-176.095553,-1633.844889,0.907588
0.020000,166.657958,289.776015,92.150689,91.587917,-195.106827,-950.563692,0.868533
0.020000,167.811509,291.087451,93.897270,87.329049,-212.943420,-891.829668,0.830001
0.020000,168.951029,292.287685,95.552283,82.750626,-228.921137,-798.885852,0.792548
0.020000,170.064485,293.377442,97.110280,77.899858,-242.538396,-680.862924,0.756648
0.020000,171.140423,294.359261,98.566855,72.828762,-253.554799,-550.820149,0.722685
0.020000,172.168360,295.237152,99.918650,67.589720,-261.952115,-419.865797,0.690950
0.020000,173.139031,296.016179,101.163272,62.231133,-267.929350,-298.861759,0.661651
0.020000,174.044497,296.702068,102.299191,56.795944,-271.759412,-191.503118,0.634922
0.020000,174.878124,297.300824,103.325565,51.318676,-273.863397,-105.199231,0.610836
0.020000,175.634489,297.818413,104.242073,45.825394,-274.664106,-40.035464,0.589419
