dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,119.980811,193.500016,0.004398,0.439815,21.990741,1099.537037,6.281517
0.020000,119.984370,193.500011,0.007956,0.177905,-13.095498,-1754.311916,6.281826
0.020000,119.992382,193.500003,0.015968,0.400613,11.135383,1211.544050,6.282523
0.020000,120.039453,193.500011,0.063040,2.353557,97.647223,4325.591971,0.000579
0.020000,120.171799,193.500217,0.195386,6.617307,213.187503,5777.014003,0.002526
0.020000,120.362561,193.500967,0.386149,9.538171,146.043201,-3357.215099,0.005347
0.020000,120.622665,193.502862,0.646260,13.005565,173.369695,1366.324688,0.009225
0.020000,120.963069,193.506873,0.986687,17.021345,200.788990,1370.964768,0.014351
0.020000,121.395065,193.514494,1.418751,21.603183,229.091919,1415.146450,0.020943
0.020000,121.924814,193.527761,1.948666,26.495737,244.627678,776.787930,0.029160
0.020000,122.553381,193.549213,2.577599,31.446683,247.547295,145.980862,0.039104
0.020000,123.282016,193.582008,3.306972,36.468633,251.097508,177.510662,0.050899
0.020000,124.112249,193.630022,4.138592,41.581003,255.618531,226.051163,0.064699
0.020000,125.045664,193.697954,5.074476,46.794197,260.659702,252.058522,0.080682
0.020000,126.084052,193.791474,6.117067,52.129527,266.766487,305.339266,0.099061
0.020000,127.229283,193.917392,7.269199,57.606632,273.855241,354.437704,0.120083
0.020000,128.483294,194.083868,8.534212,63.250643,282.200558,417.265826,0.144035
0.020000,129.847694,194.300618,9.915721,69.075436,291.239636,451.953929,0.171236
0.020000,131.323810,194.579203,11.417895,75.108724,301.664428,521.239570,0.202047
0.020000,132.912115,194.933258,13.045184,81.364425,312.785010,556.029137,0.236853
0.020000,134.611643,195.378671,14.802110,87.846304,324.093987,565.448828,0.276053
0.020000,136.419347,195.933688,16.693098,94.549415,335.155511,553.076218,0.320029
0.020000,138.328893,196.618654,18.721779,101.434046,344.231592,453.804049,0.369099
0.020000,140.329520,197.455384,20.890333,108.427679,349.681644,272.502596,0.423453
0.020000,142.399078,198.462873,23.192094,115.088064,333.019254,-833.119531,0.482895
0.020000,144.503929,199.653318,25.610266,120.908583,291.025918,-2099.666794,0.546729
0.020000,146.605776,201.031166,28.123476,125.660525,237.597115,-2671.440113,0.613861
0.020000,148.664314,202.590835,30.706139,129.133116,173.629561,-3198.377704,0.682829
0.020000,150.641181,204.315956,33.329885,131.187339,102.711127,-3545.921731,0.751928
0.020000,152.504171,206.180700,35.965792,131.795330,30.399564,-3615.578145,0.819406
0.020000,154.230416,208.152922,38.586780,131.049413,-37.295849,-3384.770666,0.883670
0.020000,155.807631,210.198148,41.169522,129.137107,-95.615306,-2915.972809,0.943455
0.020000,157.233341,212.283157,43.695371,126.292428,-142.233950,-2330.932238,0.997903
0.020000,158.515540,214.383214,46.155915,123.027199,-163.261450,-1051.374977,1.046668
0.020000,159.668687,216.483026,48.551526,119.780577,-162.331101,46.517456,1.089781
0.020000,160.708171,218.571486,50.884378,116.642557,-156.900980,271.506023,1.127432
0.020000,161.649177,220.640858,53.157656,113.663916,-148.932062,398.445935,1.159899
0.020000,162.506017,222.685913,55.374957,110.865053,-139.943166,449.444781,1.187497
0.020000,163.291824,224.703180,57.539872,108.245775,-130.963888,448.963907,1.210537
0.020000,164.018463,226.690338,59.655717,105.792253,-122.676109,414.388932,1.229309
