dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,119.984401,216.499989,0.004398,0.439815,21.990741,1099.537037,0.001356
0.020000,119.991800,216.499997,0.011797,0.369947,-3.493396,-1274.206854,0.000713
0.020000,120.028542,216.499990,0.048539,1.837107,73.358015,3842.570580,6.282450
0.020000,120.128540,216.499787,0.148537,4.999880,158.138661,4239.032297,6.279874
0.020000,120.284867,216.498954,0.304867,7.816498,140.830858,-865.390156,6.275841
0.020000,120.510140,216.496644,0.530151,11.264215,172.385894,1577.751802,6.270019
0.020000,120.817027,216.491384,0.837084,15.346644,204.121402,1586.775411,6.262069
0.020000,121.218272,216.480818,1.238468,20.069190,236.127312,1600.295495,6.251643
0.020000,121.726611,216.461407,1.747177,25.435462,268.313592,1609.314007,6.238385
0.020000,122.348407,216.428460,2.369845,31.133392,284.896536,829.147192,6.222102
0.020000,123.083451,216.376373,3.106733,36.844402,285.550502,32.698308,6.202770
0.020000,123.931018,216.298515,3.957868,42.556769,285.618342,3.391997,6.180387
0.020000,124.889602,216.187304,4.922881,48.250642,284.693633,-46.235455,6.154985
0.020000,125.956634,216.034350,6.000820,53.896946,282.315189,-118.922212,6.126647
0.020000,127.128185,215.830692,7.189941,59.456066,277.956022,-217.958373,6.095523
0.020000,128.398711,215.567148,8.487513,64.878593,271.126357,-341.483215,6.061852
0.020000,129.760867,215.234782,9.889631,70.105913,261.366002,-488.017779,6.025973
0.020000,131.205474,214.825461,11.391108,75.073840,248.396318,-648.484176,5.988337
0.020000,132.721686,214.332459,12.985457,79.717457,232.180893,-810.771274,5.949508
0.020000,134.297387,213.751027,14.665010,83.977614,213.007841,-958.652603,5.910153
0.020000,135.919792,213.078846,16.421150,87.807000,191.469277,-1076.928203,5.871023
0.020000,137.576198,212.316287,18.244656,91.175320,168.415999,-1152.663898,5.832918
0.020000,139.254751,211.466449,20.126082,94.071309,144.799443,-1180.827780,5.796662
0.020000,140.945127,210.534987,22.056106,96.501192,121.494183,-1165.263008,5.763065
0.020000,142.634527,209.532564,24.020520,98.220712,85.975993,-1775.909472,5.732981
0.020000,144.308976,208.474628,26.001179,99.032939,40.611330,-2268.233173,5.707222
0.020000,145.958237,207.378024,27.981736,99.027831,-0.255410,-2043.336981,5.686446
0.020000,147.575220,206.260259,29.947450,98.285707,-37.106191,-1842.539059,5.671169
0.020000,149.155206,205.138968,31.884883,96.871665,-70.702064,-1679.793672,5.661794
0.020000,150.695025,204.031541,33.781574,94.834546,-101.855955,-1557.694530,5.658640
0.020000,152.192289,202.954831,35.625783,92.210429,-131.205884,-1467.496463,5.661962
0.020000,153.644748,201.924865,37.406363,89.029030,-159.069933,-1393.202448,5.671963
0.020000,155.049815,200.956481,39.112816,85.322616,-185.320715,-1312.539117,5.688791
0.020000,156.407390,200.060847,40.739214,81.319917,-200.134954,-740.711922,5.712579
0.020000,157.719356,199.245804,42.283736,77.226123,-204.689690,-227.736829,5.743485
0.020000,158.995426,198.512675,43.755413,73.583815,-182.115386,1128.715227,5.777247
0.020000,160.811796,197.486253,45.841736,104.316155,1536.617013,85936.619962,5.761043
0.020000,162.572184,196.458390,47.880233,101.924835,-119.566044,-82809.152880,5.748998
0.020000,164.281737,195.437155,49.871587,99.567725,-117.855460,85.529209,5.741054
0.020000,165.945319,194.429968,51.816306,97.235927,-116.589938,63.276130,5.737165
0.020000,167.567381,193.443748,53.714651,94.917265,-115.933077,32.843032,5.737309
0.020000,169.148771,192.486899,55.562989,92.416926,-125.016936,-454.192949,5.741474
0.020000,170.686490,191.569339,57.353659,89.533457,-144.173454,-957.825913,5.749617
0.020000,172.176931,190.700234,59.078987,86.266428,-163.351452,-958.899872,5.761640
0.020000,173.616342,189.887442,60.732024,82.651869,-180.727936,-868.824202,5.777381
0.020000,175.000801,189.137296,62.306650,78.731299,-196.028526,-765.029510,5.796609
0.020000,176.326271,188.454415,63.797689,74.551920,-208.968972,-647.022311,5.819009
0.020000,177.588689,187.841577,65.200996,70.165364,-219.327756,-517.939212,5.844175
0.020000,178.784091,187.299668,66.513494,65.624906,-227.022930,-384.758679,5.871612
0.020000,179.908712,186.827744,67.733119,60.981225,-232.184038,-258.055421,5.900733
0.020000,180.961712,186.422219,68.861507,56.419393,-228.091583,204.622763,5.930960
0.020000,181.945448,186.077498,69.903893,52.119333,-215.003019,654.428202,5.961781
0.020000,182.862655,185.787594,70.865825,48.096605,-201.136384,693.331727,5.992714
0.020000,183.715940,185.546529,71.752509,44.334176,-188.121485,650.744986,6.023306
0.020000,184.507720,185.348492,72.568679,40.808493,-176.284148,591.866843,6.053147
0.020000,185.240154,185.187952,73.318501,37.491097,-165.869769,520.718920,6.081873
0.020000,185.915095,185.059733,74.005513,34.350604,-157.024642,442.256357,6.109178
0.020000,186.534063,184.959054,74.632615,31.355131,-149.773654,362.549424,6.134808
0.020000,187.098241,184.881543,75.202093,28.473901,-144.061497,285.607863,6.158565
0.020000,187.608499,184.823237,75.715671,25.678903,-139.749897,215.579957,6.180299
0.020000,188.065431,184.780575,76.174590,22.945941,-136.648140,155.087880,6.199903
0.020000,188.469404,184.750388,76.579690,20.254973,-134.548368,104.988589,6.217303
0.020000,188.820608,184.729886,76.931492,17.590089,-133.244208,65.207979,6.232453
0.020000,189.119109,184.716655,77.230285,14.939696,-132.519667,36.227091,6.245329
0.020000,189.364886,184.708650,77.476193,12.295390,-132.215291,15.218788,6.255919
0.020000,189.560392,184.704141,77.671751,9.777889,-125.875040,317.012532,6.264331
0.020000,189.711014,184.701788,77.822392,7.532040,-112.292444,679.129816,6.270802
0.020000,189.822574,184.700674,77.933958,5.578283,-97.687854,730.229492,6.275588
0.020000,189.900918,184.700210,78.012302,3.917235,-83.052410,731.772213,6.278945
0.020000,189.951908,184.700049,78.063293,2.549522,-68.385660,733.337484,6.281128
0.020000,189.981421,184.700007,78.092806,1.475657,-53.693264,734.619785,6.282391
0.020000,189.995345,184.700000,78.106730,0.696219,-38.971896,736.068442,6.282986
0.020000,189.999573,184.700000,78.110958,0.211409,-24.240497,736.569943,6.283167
0.020000,190.000000,184.700000,78.111385,0.021326,-9.504134,736.818115,6.283185
0.020000,190.000000,184.700000,78.111385,0.000000,-1.066300,421.891728,6.283185
