dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,120.000000,205.000000,0.004398,0.439815,21.990741,1099.537037,0.001356
0.020000,120.000000,205.000000,0.021991,1.319444,43.981481,1099.537037,0.000713
0.020000,120.020090,204.999993,0.061574,2.638889,65.972222,1099.537037,6.282450
0.020000,120.090459,204.999850,0.131944,4.398148,87.962963,1099.537037,6.279874
0.020000,120.200411,204.999265,0.241898,6.597222,109.953704,1099.537037,6.275841
0.020000,120.358737,204.997641,0.400231,9.236111,131.944444,1099.537037,6.270019
0.020000,120.574212,204.993948,0.615741,12.314815,153.935185,1099.537037,6.262069
0.020000,120.855596,204.986539,0.897222,15.833333,175.925926,1099.537037,6.251643
0.020000,121.211584,204.972945,1.253472,19.791667,197.916667,1099.537037,6.238385
0.020000,121.646385,204.949908,1.688889,23.750000,197.916667,-0.000000,6.222102
0.020000,122.159672,204.913536,2.203472,27.708333,197.916667,0.000000,6.202770
0.020000,122.750919,204.859224,2.797222,31.666667,197.916667,-0.000000,6.180387
0.020000,123.419335,204.781678,3.470139,35.625000,197.916667,0.000000,6.154985
0.020000,124.163784,204.674962,4.222222,39.583333,197.916667,0.000000,6.126647
0.020000,124.982718,204.532596,5.053472,43.541667,197.916667,-0.000000,6.095523
0.020000,125.874114,204.347682,5.963889,47.500000,197.916667,0.000000,6.061852
0.020000,126.835435,204.113098,6.953472,51.458333,197.916667,-0.000000,6.025973
0.020000,127.863635,203.821729,8.022222,55.416667,197.916667,0.000000,5.988337
0.020000,128.955209,203.466749,9.170139,59.375000,197.916667,-0.000000,5.949508
0.020000,130.106321,203.041920,10.397222,63.333333,197.916667,0.000000,5.910153
0.020000,131.312988,202.541894,11.703472,67.291667,197.916667,0.000000,5.871023
0.020000,132.571331,201.962481,13.088889,71.250000,197.916667,-0.000000,5.832918
0.020000,133.877866,201.300865,14.553472,75.208333,197.916667,0.000000,5.796662
0.020000,135.229808,200.555752,16.097222,79.166667,197.916667,0.000000,5.763065
0.020000,136.621620,199.729761,17.715741,82.685185,175.925926,-1099.537037,5.732981
0.020000,138.045586,198.829943,19.400231,85.763889,153.935185,-1099.537037,5.707222
0.020000,139.495835,197.865540,21.141898,88.402778,131.944444,-1099.537037,5.686446
0.020000,140.968254,196.847608,22.931944,90.601852,109.953704,-1099.537037,5.671169
0.020000,142.460289,195.788669,24.761574,92.361111,87.962963,-1099.537037,5.661794
0.020000,143.970647,194.702407,26.621991,93.680556,65.972222,-1099.537037,5.658640
0.020000,145.498936,193.603412,28.504398,94.560185,43.981481,-1099.537037,5.661962
0.020000,147.045254,192.506974,30.400000,95.000000,21.990741,-1099.537037,5.671963
0.020000,148.609736,191.428870,32.300000,95.000000,0.000000,-1099.537037,5.688791
0.020000,150.195756,190.382748,34.200000,95.000000,0.000000,0.000000,5.712579
0.020000,151.809749,189.380382,36.100000,95.000000,0.000000,0.000000,5.743485
0.020000,153.422195,188.453396,38.000000,95.000000,0.000000,0.000000,5.777247
0.020000,155.076304,187.518599,39.900000,95.000000,0.000000,0.000000,5.761043
0.020000,156.717058,186.560537,41.800000,95.000000,0.000000,0.000000,5.748998
0.020000,158.348165,185.586129,43.700000,95.000000,0.000000,0.000000,5.741054
