dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,120.015599,193.500011,0.004398,0.439815,21.990741,1099.537037,0.001356
0.020000,120.008200,193.500003,0.011797,0.369947,-3.493396,-1274.206854,0.000713
0.020000,120.011639,193.499996,0.015236,0.171943,-9.900209,-320.340628,6.282450
0.020000,120.052379,193.499913,0.055976,2.036994,93.252570,5157.638936,6.279874
0.020000,120.115955,193.499575,0.119553,3.178838,57.092210,-1808.018005,6.275841
0.020000,120.207334,193.498638,0.210937,4.569214,69.518790,621.328992,6.270019
0.020000,120.331396,193.496512,0.335017,6.204007,81.739668,611.043912,6.262069
0.020000,120.492919,193.492259,0.496596,8.078947,93.746963,600.364760,6.251643
0.020000,120.696558,193.484484,0.700383,10.189366,105.520943,588.698992,6.238385
0.020000,120.944364,193.471355,0.948537,12.407703,110.916872,269.796440,6.222102
0.020000,121.235893,193.450699,1.240796,14.612952,110.262448,-32.721169,6.202770
0.020000,121.570820,193.419934,1.577134,16.816895,110.197128,-3.265993,6.180387
0.020000,121.949068,193.376051,1.957918,19.039206,111.115568,45.921974,6.154985
0.020000,122.370935,193.315574,2.384098,21.308992,113.489317,118.687432,6.126647
0.020000,122.837250,193.234500,2.857410,23.665565,117.828661,216.967209,6.095523
0.020000,123.349516,193.128217,3.380584,26.158734,124.658434,341.488664,6.061852
0.020000,123.910003,192.991414,3.957525,28.847057,134.416155,487.886064,6.025973
0.020000,124.521796,192.817998,4.593422,31.794811,147.387680,648.576245,5.988337
0.020000,125.188733,192.601039,5.294760,35.066915,163.605200,810.875984,5.949508
0.020000,125.915256,192.332813,6.069215,38.722752,182.791881,959.334056,5.910153
0.020000,126.706183,192.004942,6.925408,42.809642,204.344468,1077.629359,5.871023
0.020000,127.566464,191.608675,7.872567,47.357953,227.415557,1153.554420,5.832918
0.020000,128.500980,191.135281,8.920146,52.378978,251.051249,1181.784623,5.796662
0.020000,129.514488,190.576518,10.077477,57.866540,274.378110,1166.343072,5.763065
0.020000,130.608713,189.926957,11.349977,63.625012,287.923581,677.273541,5.732981
0.020000,131.782197,189.185258,12.738207,69.411475,289.323144,69.978161,5.707222
0.020000,133.033432,188.353056,14.240921,75.135727,286.212623,-155.526088,5.686446
0.020000,134.361287,187.434957,15.855265,80.717169,279.072073,-357.027462,5.671169
0.020000,135.765372,186.438371,17.577078,86.090638,268.673454,-519.930953,5.661794
0.020000,137.246269,185.373273,19.401219,91.207052,255.820725,-642.636465,5.658640
0.020000,138.805582,184.251994,21.321823,96.030237,241.159219,-733.075299,5.661962
0.020000,140.445759,183.089083,23.332431,100.530361,225.006229,-807.649518,5.671963
0.020000,142.169658,181.901258,25.425934,104.675161,207.240006,-888.311120,5.688791
0.020000,143.984122,180.704649,27.599446,108.675593,200.021582,-360.921238,5.712579
0.020000,145.900143,179.514960,29.854772,112.766297,204.535203,225.681078,5.743485
0.020000,147.848964,178.394117,32.102925,112.407682,-17.930746,-11123.297481,5.777247
0.020000,149.340811,177.550945,33.816561,85.681766,-1336.295790,-65918.252178,5.761043
0.020000,150.861931,176.662684,35.578041,88.074018,119.612607,72795.419866,5.748998
0.020000,152.414592,175.735103,37.386677,90.431789,117.888521,-86.204313,5.741054
0.020000,154.001649,174.774212,39.241956,92.763955,116.608323,-64.009908,5.737165
0.020000,155.626540,173.786274,41.143611,95.082743,115.939370,-33.447619,5.737309
0.020000,157.289908,172.779861,43.087746,97.206744,106.200046,-486.966221,5.741474
0.020000,158.988488,171.766391,45.065698,98.897615,84.543575,-1082.823543,5.749617
0.020000,160.717849,170.758082,47.067542,100.092184,59.728465,-1240.755489,5.761640
0.020000,162.472587,169.767384,49.082632,100.754502,33.115897,-1330.628411,5.777381
0.020000,164.245950,168.806699,51.099494,100.843100,4.429884,-1434.300657,5.796609
0.020000,166.029476,167.888035,53.105711,100.310858,-26.612105,-1552.099462,5.819009
0.020000,167.812687,167.022600,55.087835,99.106228,-60.231515,-1680.970491,5.844175
0.020000,169.582899,166.220340,57.031356,97.176049,-96.508911,-1813.869793,5.871612
0.020000,171.325195,165.489439,58.920751,94.469718,-135.316558,-1940.382361,5.900733
0.020000,173.026997,164.834253,60.744318,91.178365,-164.567641,-1462.554166,5.930960
0.020000,174.679754,164.255269,62.495555,87.561846,-180.825957,-812.915764,5.961781
0.020000,176.275358,163.751090,64.168918,83.668180,-194.683304,-692.867391,5.992714
0.020000,177.805775,163.318845,65.759206,79.514363,-207.690855,-650.377530,6.023306
0.020000,179.263375,162.954366,67.261684,75.123915,-219.522402,-591.577330,6.053147
0.020000,180.641186,162.652435,68.672190,70.525287,-229.931412,-520.450514,6.081873
0.020000,181.933082,162.407060,69.987182,65.749611,-238.783794,-442.619078,6.109178
0.020000,183.133887,162.211773,71.203763,60.829040,-246.028532,-362.236949,6.134808
0.020000,184.239388,162.059909,72.319647,55.794190,-251.742506,-285.698672,6.158565
0.020000,185.246296,161.944863,73.333106,50.672949,-256.062078,-215.978592,6.180299
0.020000,186.152150,161.860293,74.242899,45.489657,-259.164591,-155.125685,6.199903
0.020000,186.955199,161.800286,75.048186,40.264383,-261.263667,-104.953756,6.217303
0.020000,187.654263,161.759478,75.748440,35.012696,-262.584391,-66.036241,6.232453
0.020000,188.248615,161.733134,76.343376,29.746782,-263.295669,-35.563862,6.245329
0.020000,188.737846,161.717199,76.832866,24.474521,-263.613042,-15.868660,6.255919
0.020000,189.126773,161.708229,77.221897,19.451532,-251.149452,623.179512,6.264331
0.020000,189.426202,161.703552,77.521362,14.973241,-223.914588,1361.743162,6.270802
0.020000,189.647829,161.701338,77.743000,11.081925,-194.565804,1467.439195,6.275588
0.020000,189.803382,161.700417,77.898556,7.777767,-165.207891,1467.895695,6.278945
0.020000,189.904582,161.700098,77.999757,5.060070,-135.884821,1466.153475,6.281128
0.020000,189.963142,161.700015,78.058316,2.927971,-106.604972,1463.992447,6.282391
0.020000,189.990766,161.700001,78.085941,1.381219,-77.337609,1463.368171,6.282986
0.020000,189.999154,161.700000,78.094328,0.419384,-48.091716,1462.294661,6.283167
0.020000,190.000000,161.700000,78.095175,0.042305,-18.853967,1461.887417,6.283185
0.020000,190.000000,161.700000,78.095175,0.000000,-2.115250,836.935865,6.283185
