dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,189.002578,280.500000,0.004398,0.439815,21.990741,1099.537037,3.141817
0.020000,189.002279,280.500000,0.004697,0.014947,-21.243390,-2161.706536,3.141791
0.020000,189.001606,280.500000,0.005369,0.033619,0.933580,1108.848482,3.141732
0.020000,189.000412,280.500000,0.006564,0.059725,1.305309,18.586465,3.141628
0.020000,188.912880,280.500006,0.094096,4.376591,215.843315,10726.900285,3.141466
0.020000,188.751867,280.500045,0.255109,8.050666,183.703762,-1606.977631,3.141233
0.020000,188.532719,280.500158,0.474257,10.957413,145.337345,-1918.320864,3.140917
0.020000,188.246499,280.500410,0.760477,14.310987,167.678685,1117.067020,3.140505
0.020000,187.884277,280.500899,1.122699,18.111113,190.006322,1116.381832,3.139986
0.020000,187.441599,280.501750,1.565379,22.133968,201.142723,556.820038,3.139354
0.020000,186.918486,280.503115,2.088493,26.155696,201.086394,-2.816440,3.138612
0.020000,186.314968,280.505171,2.692015,30.176118,201.021131,-3.263143,3.137762
0.020000,185.631073,280.508117,3.375916,34.195025,200.945348,-3.789123,3.136807
0.020000,184.866840,280.512179,4.140160,38.212203,200.858868,-4.324026,3.135750
0.020000,184.022308,280.517603,4.984709,42.227471,200.763426,-4.772093,3.134593
0.020000,183.097523,280.524656,5.909521,46.240593,200.656075,-5.367559,3.133342
0.020000,182.092535,280.533625,6.914549,50.251391,200.539933,-5.807116,3.131999
0.020000,181.007400,280.544814,7.999741,54.259641,200.412486,-6.372332,3.130569
0.020000,179.842178,280.558543,9.165044,58.265146,200.275259,-6.861337,3.129057
0.020000,178.596935,280.575146,10.410398,62.267698,200.127598,-7.383053,3.127468
0.020000,177.271741,280.594968,11.735740,66.267083,199.969247,-7.917545,3.125808
0.020000,175.866674,280.618366,13.141002,70.263108,199.801236,-8.400561,3.124082
0.020000,174.381815,280.645699,14.626113,74.255549,199.622047,-8.959450,3.122297
0.020000,172.817250,280.677336,16.190997,78.244206,199.432850,-9.459876,3.120459
0.020000,171.177529,280.713541,17.831119,82.006070,188.093230,-566.980969,3.118581
0.020000,169.471648,280.754434,19.537489,85.318525,165.622728,-1123.525086,3.116678
0.020000,167.708597,280.800063,21.301130,88.182065,143.177009,-1122.285963,3.114767
0.020000,165.897352,280.850396,23.113075,90.597230,120.758228,-1120.939074,3.112863
0.020000,164.046875,280.905328,24.964368,92.564621,98.369557,-1119.433514,3.110980
0.020000,162.166113,280.964674,26.846065,94.084874,76.012673,-1117.844205,3.109129
0.020000,160.264000,281.028175,28.749238,95.158668,53.689680,-1116.149674,3.107323
0.020000,158.349449,281.095500,30.664972,95.786702,31.401708,-1114.398595,3.105573
0.020000,156.431359,281.166250,32.584366,95.969695,9.149671,-1112.601860,3.103886
0.020000,154.514175,281.240139,34.502974,95.930391,-1.965210,-555.744016,3.102268
0.020000,152.597895,281.317032,36.420796,95.891079,-1.965590,-0.019042,3.100718
0.020000,150.682520,281.396798,38.337831,95.851762,-1.965861,-0.013536,3.099237
0.020000,148.768048,281.479301,40.254080,95.812441,-1.966045,-0.009215,3.097824
0.020000,146.854478,281.564408,42.169542,95.773118,-1.966158,-0.005648,3.096479
0.020000,144.941806,281.651987,44.084218,95.733794,-1.966209,-0.002530,3.095203
0.020000,143.030030,281.741905,45.998107,95.694470,-1.966221,-0.000608,3.093996
0.020000,141.119146,281.834028,47.911210,95.655145,-1.966205,0.000820,3.092856
0.020000,139.209151,281.928225,49.823527,95.615824,-1.966074,0.006540,3.091785
0.020000,137.300040,282.024362,51.735057,95.576505,-1.965953,0.006058,3.090782
0.020000,135.391808,282.122308,53.645801,95.537189,-1.965808,0.007245,3.089848
0.020000,133.484451,282.221930,55.555758,95.497876,-1.965646,0.008115,3.088982
0.020000,131.577962,282.323097,57.464930,95.458566,-1.965495,0.007556,3.088185
0.020000,129.672335,282.425676,59.373315,95.419259,-1.965328,0.008340,3.087456
0.020000,127.767566,282.529538,61.280914,95.379957,-1.965104,0.011203,3.086795
0.020000,125.863646,282.634549,63.187727,95.340659,-1.964924,0.008969,3.086202
0.020000,123.960571,282.740580,65.093754,95.301364,-1.964753,0.008571,3.085678
0.020000,122.058332,282.847499,66.998996,95.262072,-1.964593,0.007989,3.085223
0.020000,120.156922,282.955176,68.903451,95.222783,-1.964464,0.006472,3.084835
0.020000,118.256336,283.063479,70.807121,95.183496,-1.964332,0.006598,3.084516
0.020000,116.356564,283.172280,72.710006,95.144212,-1.964201,0.006549,3.084265
0.020000,114.457601,283.281447,74.612104,95.104930,-1.964115,0.004290,3.084083
0.020000,112.559438,283.390850,76.513417,95.065649,-1.964053,0.003102,3.083969
0.020000,110.662069,283.500360,78.413944,95.026368,-1.964016,0.001860,3.083923
0.020000,108.765485,283.609847,80.313686,94.987088,-1.964001,0.000734,3.083945
0.020000,106.869679,283.719181,82.212642,94.947808,-1.964004,-0.000172,3.084036
0.020000,104.974643,283.828233,84.110813,94.908527,-1.964043,-0.001948,3.084195
0.020000,103.080371,283.936874,86.008198,94.869245,-1.964108,-0.003224,3.084422
0.020000,101.186855,284.044975,87.904797,94.829961,-1.964196,-0.004413,3.084718
0.020000,99.294088,284.152407,89.800611,94.790675,-1.964307,-0.005522,3.085082
0.020000,97.402063,284.259041,91.695638,94.751387,-1.964412,-0.005292,3.085515
0.020000,95.510773,284.364748,93.589880,94.712096,-1.964558,-0.007289,3.086015
0.020000,93.620211,284.469400,95.483336,94.672801,-1.964740,-0.009097,3.086584
0.020000,91.730371,284.572869,97.376006,94.633503,-1.964917,-0.008828,3.087222
0.020000,89.841247,284.675026,99.267890,94.594201,-1.965101,-0.009226,3.087927
0.020000,87.952833,284.775744,101.158988,94.554895,-1.965289,-0.009413,3.088701
