dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,189.000000,292.000000,0.004398,0.439815,21.990741,1099.537037,3.141817
0.020000,189.000000,292.000000,0.021991,1.319444,43.981481,1099.537037,3.141791
0.020000,189.000000,292.000000,0.061574,2.638889,65.972222,1099.537037,3.141732
0.020000,189.000000,292.000000,0.131944,4.398148,87.962963,1099.537037,3.141628
0.020000,188.914332,292.000005,0.241898,6.597222,109.953704,1099.537037,3.141466
0.020000,188.755999,292.000044,0.400231,9.236111,131.944444,1099.537037,3.141233
0.020000,188.540490,292.000155,0.615741,12.314815,153.935185,1099.537037,3.140917
0.020000,188.259009,292.000404,0.897222,15.833333,175.925926,1099.537037,3.140505
0.020000,187.902759,292.000884,1.253472,19.791667,197.916667,1099.537037,3.139986
0.020000,187.467343,292.001721,1.688889,23.750000,197.916667,-0.000000,3.139354
0.020000,186.952762,292.003064,2.203472,27.708333,197.916667,0.000000,3.138612
0.020000,186.359015,292.005086,2.797222,31.666667,197.916667,-0.000000,3.137762
0.020000,185.686105,292.007986,3.470139,35.625000,197.916667,0.000000,3.136807
0.020000,184.934032,292.011983,4.222222,39.583333,197.916667,0.000000,3.135750
0.020000,184.102799,292.017321,5.053472,43.541667,197.916667,-0.000000,3.134593
0.020000,183.192409,292.024264,5.963889,47.500000,197.916667,0.000000,3.133342
0.020000,182.202865,292.033095,6.953472,51.458333,197.916667,-0.000000,3.131999
0.020000,181.134172,292.044115,8.022222,55.416667,197.916667,0.000000,3.130569
0.020000,179.986335,292.057639,9.170139,59.375000,197.916667,-0.000000,3.129057
0.020000,178.759361,292.073999,10.397222,63.333333,197.916667,0.000000,3.127468
0.020000,177.453257,292.093536,11.703472,67.291667,197.916667,0.000000,3.125808
0.020000,176.068033,292.116603,13.088889,71.250000,197.916667,-0.000000,3.124082
0.020000,174.603698,292.143559,14.553472,75.208333,197.916667,0.000000,3.122297
0.020000,173.060264,292.174768,16.097222,79.166667,197.916667,0.000000,3.120459
0.020000,171.442140,292.210496,17.715741,82.685185,175.925926,-1099.537037,3.118581
0.020000,169.758133,292.250866,19.400231,85.763889,153.935185,-1099.537037,3.116678
0.020000,168.017050,292.295925,21.141898,88.402778,131.944444,-1099.537037,3.114767
0.020000,166.227694,292.345650,22.931944,90.601852,109.953704,-1099.537037,3.112863
0.020000,164.398871,292.399940,24.761574,92.361111,87.962963,-1099.537037,3.110980
0.020000,162.539380,292.458615,26.621991,93.680556,65.972222,-1099.537037,3.109129
0.020000,160.658021,292.521423,28.504398,94.560185,43.981481,-1099.537037,3.107323
0.020000,158.763590,292.588040,30.400000,95.000000,21.990741,-1099.537037,3.105573
0.020000,156.864881,292.658075,32.300000,95.000000,0.000000,-1099.537037,3.103886
0.020000,154.966291,292.731248,34.200000,95.000000,0.000000,0.000000,3.102268
0.020000,153.067819,292.807427,36.100000,95.000000,0.000000,0.000000,3.100718
0.020000,151.169465,292.886484,38.000000,95.000000,0.000000,0.000000,3.099237
0.020000,149.271227,292.968287,39.900000,95.000000,0.000000,0.000000,3.097824
0.020000,147.373103,293.052708,41.800000,95.000000,0.000000,0.000000,3.096479
0.020000,145.475092,293.139616,43.700000,95.000000,0.000000,0.000000,3.095203
0.020000,143.577190,293.228881,45.600000,95.000000,0.000000,0.000000,3.093996
0.020000,141.679395,293.320373,47.500000,95.000000,0.000000,0.000000,3.092856
0.020000,139.781701,293.413963,49.400000,95.000000,0.000000,0.000000,3.091785
0.020000,137.884106,293.509521,51.300000,95.000000,0.000000,0.000000,3.090782
0.020000,135.986604,293.606916,53.200000,95.000000,0.000000,0.000000,3.089848
0.020000,134.089190,293.706018,55.100000,95.000000,0.000000,0.000000,3.088982
0.020000,132.191859,293.806699,57.000000,95.000000,0.000000,0.000000,3.088185
0.020000,130.294606,293.908828,58.900000,95.000000,0.000000,0.000000,3.087456
0.020000,128.397425,294.012276,60.800000,95.000000,0.000000,0.000000,3.086795
0.020000,126.500308,294.116912,62.700000,95.000000,0.000000,0.000000,3.086202
0.020000,124.603250,294.222608,64.600000,95.000000,0.000000,0.000000,3.085678
0.020000,122.706244,294.329233,66.500000,95.000000,0.000000,0.000000,3.085223
0.020000,120.809284,294.436658,68.400000,95.000000,0.000000,0.000000,3.084835
0.020000,118.912361,294.544752,70.300000,95.000000,0.000000,0.000000,3.084516
0.020000,117.015469,294.653388,72.200000,95.000000,0.000000,0.000000,3.084265
0.020000,115.118601,294.762434,74.100000,95.000000,0.000000,0.000000,3.084083
0.020000,113.221749,294.871762,76.000000,95.000000,0.000000,0.000000,3.083969
0.020000,111.324906,294.981242,77.900000,95.000000,0.000000,0.000000,3.083923
0.020000,109.428064,295.090743,79.800000,95.000000,0.000000,0.000000,3.083945
0.020000,107.531216,295.200138,81.700000,95.000000,0.000000,0.000000,3.084036
0.020000,105.634354,295.309295,83.600000,95.000000,0.000000,0.000000,3.084195
0.020000,103.737471,295.418086,85.500000,95.000000,0.000000,0.000000,3.084422
0.020000,101.840560,295.526381,87.400000,95.000000,0.000000,0.000000,3.084718
0.020000,99.943613,295.634050,89.300000,95.000000,0.000000,0.000000,3.085082
0.020000,98.046624,295.740963,91.200000,95.000000,0.000000,0.000000,3.085515
0.020000,96.149584,295.846992,93.100000,95.000000,0.000000,0.000000,3.086015
0.020000,94.252489,295.952006,95.000000,95.000000,0.000000,0.000000,3.086584
0.020000,92.355330,296.055875,96.900000,95.000000,0.000000,0.000000,3.087222
0.020000,90.458102,296.158470,98.800000,95.000000,0.000000,0.000000,3.087927
0.020000,88.560799,296.259662,100.700000,95.000000,0.000000,0.000000,3.088701
0.020000,86.663414,296.359320,102.600000,95.000000,0.000000,0.000000,3.089544
0.020000,84.765943,296.457315,104.500000,95.000000,0.000000,0.000000,3.090455
0.020000,82.868380,296.553516,106.400000,95.000000,0.000000,0.000000,3.091434
0.020000,80.970721,296.647795,108.300000,95.000000,0.000000,0.000000,3.092482
0.020000,79.072960,296.740020,110.200000,95.000000,0.000000,0.000000,3.093597
0.020000,77.175095,296.830063,112.100000,95.000000,0.000000,0.000000,3.094782
0.020000,75.277122,296.917793,114.000000,95.000000,0.000000,0.000000,3.096035
0.020000,73.379037,297.003080,115.900000,95.000000,0.000000,0.000000,3.097356
0.020000,71.480839,297.085795,117.800000,95.000000,0.000000,0.000000,3.098745
0.020000,69.582524,297.165807,119.700000,95.000000,0.000000,0.000000,3.100203
0.020000,67.684093,297.242987,121.600000,95.000000,0.000000,0.000000,3.101729
0.020000,65.785543,297.317204,123.500000,95.000000,0.000000,0.000000,3.103324
0.020000,63.886875,297.388329,125.400000,95.000000,0.000000,0.000000,3.104987
0.020000,61.991340,297.456117,127.296747,94.674691,-16.265471,-813.273552,3.106716
0.020000,60.106587,297.520204,129.182589,93.909566,-38.256212,-1099.537037,3.108501
0.020000,58.241411,297.580246,131.048731,92.704627,-60.246953,-1099.537037,3.110335
0.020000,56.404612,297.635970,132.886376,91.059873,-82.237693,-1099.537037,3.112205
0.020000,54.604989,297.687176,134.686728,88.975305,-104.228434,-1099.537037,3.114099
0.020000,52.851345,297.733740,136.440990,86.450921,-126.219175,-1099.537037,3.116003
0.020000,51.152485,297.775616,138.140367,83.486723,-148.209915,-1099.537037,3.117903
0.020000,49.517214,297.812831,139.776061,80.082710,-170.200656,-1099.537037,3.119783
0.020000,47.954339,297.845485,141.339277,76.238882,-192.191397,-1099.537037,3.121628
0.020000,46.469415,297.873808,142.824471,72.280549,-197.916667,-286.263485,3.123422
0.020000,45.063598,297.898137,144.230499,68.322215,-197.916667,0.000000,3.125160
0.020000,43.736899,297.918834,145.557360,64.363882,-197.916667,0.000000,3.126834
0.020000,42.489326,297.936250,146.805054,60.405549,-197.916667,-0.000000,3.128438
0.020000,41.320889,297.950731,147.973582,56.447215,-197.916667,0.000000,3.129966
0.020000,40.231593,297.962609,149.062943,52.488882,-197.916667,0.000000,3.131415
0.020000,39.221444,297.972204,150.073137,48.530549,-197.916667,-0.000000,3.132778
0.020000,38.290447,297.979819,151.004165,44.572215,-197.916667,0.000000,3.134051
0.020000,37.438607,297.985743,151.856026,40.613882,-197.916667,-0.000000,3.135230
0.020000,36.665926,297.990242,152.628720,36.655549,-197.916667,0.000000,3.136311
0.020000,35.972406,297.993566,153.322248,32.697215,-197.916667,-0.000000,3.137291
0.020000,35.358050,297.995940,153.936609,28.738882,-197.916667,0.000000,3.138167
0.020000,34.822858,297.997568,154.471803,24.780549,-197.916667,0.000000,3.138935
0.020000,34.366832,297.998630,154.927831,20.822215,-197.916667,-0.000000,3.139594
0.020000,33.989971,297.999280,155.304692,16.863882,-197.916667,0.000000,3.140142
0.020000,33.689024,297.999651,155.605639,13.230858,-181.651196,813.273552,3.140581
0.020000,33.456339,297.999847,155.838324,10.037649,-159.660455,1099.537037,3.140922
0.020000,33.283120,297.999941,156.011543,7.284255,-137.669714,1099.537037,3.141176
0.020000,33.160571,297.999981,156.134093,4.970675,-115.678973,1099.537037,3.141356
0.020000,33.079895,297.999995,156.214768,3.096910,-93.688233,1099.537037,3.141475
0.020000,33.032296,297.999999,156.262367,1.662961,-71.697492,1099.537037,3.141545
0.020000,33.008978,298.000000,156.285685,0.668826,-49.706751,1099.537037,3.141579
0.020000,33.001145,298.000000,156.293518,0.114505,-27.716010,1099.537037,3.141591
0.020000,33.000000,298.000000,156.294663,0.000000,-5.725270,1099.537037,3.141593
0.020000,33.000000,298.000000,156.294663,0.000000,0.000000,286.263485,3.141593
