dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,188.997422,303.500000,0.004398,0.439815,21.990741,1099.537037,3.141817
0.020000,188.997721,303.500000,0.004697,0.014947,-21.243390,-2161.706536,3.141791
0.020000,188.998394,303.500000,0.005369,0.033619,0.933580,1108.848482,3.141732
0.020000,188.999588,303.500000,0.006564,0.059725,1.305309,18.586465,3.141628
0.020000,188.915785,303.500005,0.090367,4.190164,206.521952,10260.832153,3.141466
0.020000,188.760131,303.500043,0.246021,7.782667,179.625141,-1344.840566,3.141233
0.020000,188.548261,303.500153,0.457891,10.593499,140.541638,-1954.175138,3.140917
0.020000,188.271518,303.500397,0.734634,13.837170,162.183523,1082.094240,3.140505
0.020000,187.921241,303.500869,1.084911,17.513875,183.835247,1082.586194,3.139986
0.020000,187.493088,303.501692,1.513066,21.407706,194.691572,542.816253,3.139354
0.020000,186.987037,303.503013,2.019118,25.302632,194.746297,2.736277,3.138612
0.020000,186.403063,303.505002,2.603096,29.198879,194.812338,3.302033,3.137762
0.020000,185.741136,303.507854,3.265029,33.096643,194.888206,3.793404,3.136807
0.020000,185.001224,303.511787,4.004951,36.996119,194.973778,4.278585,3.135750
0.020000,184.183290,303.517040,4.822902,40.897534,195.070786,4.850435,3.134593
0.020000,183.287295,303.523873,5.718923,44.801063,195.176430,5.282202,3.133342
0.020000,182.313195,303.532566,6.693062,48.706939,195.293782,5.867585,3.131999
0.020000,181.260944,303.543416,7.745369,52.615348,195.420457,6.333770,3.130569
0.020000,180.130492,303.556736,8.875899,56.526507,195.557981,6.876161,3.129057
0.020000,178.921787,303.572852,10.084711,60.440623,195.705760,7.388977,3.127468
0.020000,177.634773,303.592103,11.371869,64.357894,195.863584,7.891188,3.125808
0.020000,176.269392,303.614840,12.737440,68.278544,196.032481,8.444836,3.124082
0.020000,174.825581,303.641418,14.181495,72.202764,196.210997,8.925816,3.122297
0.020000,173.303277,303.672200,15.704111,76.130769,196.400280,9.464135,3.120459
0.020000,171.706751,303.707452,17.301026,79.845761,185.749573,-532.535339,3.118581
0.020000,170.044618,303.747297,18.963636,83.130521,164.238013,-1075.577976,3.116678
0.020000,168.325502,303.791788,20.683328,85.984575,142.702693,-1076.766042,3.114767
0.020000,166.558037,303.840905,22.451475,88.407370,121.139775,-1078.145879,3.112863
0.020000,164.750867,303.894551,24.259442,90.398315,99.547247,-1079.626405,3.110980
0.020000,162.912646,303.952555,26.098577,91.956765,77.922471,-1081.238784,3.109129
0.020000,161.052042,304.014671,27.960218,93.082046,56.264075,-1082.919821,3.107323
