dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,131.499996,204.990421,0.004398,0.439815,21.990741,1099.537037,1.569963
0.020000,131.499997,204.991411,0.005389,0.049524,-19.514547,-2075.264372,1.570049
0.020000,131.499998,204.993641,0.007618,0.111467,3.097160,1130.585357,1.570243
0.020000,131.500000,204.997606,0.011584,0.198295,4.341392,62.211566,1.570588
0.020000,131.499988,205.071339,0.085316,3.686629,174.416693,8503.765067,1.571128
0.020000,131.499868,205.238624,0.252601,8.364231,233.880124,2973.171544,1.571906
0.020000,131.499494,205.466360,0.480338,11.386843,151.130566,-4137.477896,1.572969
0.020000,131.498640,205.763865,0.777844,14.875288,174.422288,1164.586080,1.574363
0.020000,131.496963,206.140514,1.154496,18.832636,197.867382,1172.254735,1.576137
0.020000,131.494001,206.601023,1.615016,23.025957,209.666075,589.934617,1.578320
0.020000,131.489198,207.145486,2.159500,27.224219,209.913085,12.350525,1.580920
0.020000,131.481884,207.774010,2.788066,31.428317,210.204871,14.589274,1.583948
0.020000,131.471276,208.486734,3.500869,35.640126,210.590495,19.281202,1.587417
0.020000,131.456465,209.283821,4.298093,39.861215,211.054412,23.195866,1.591341
0.020000,131.436417,210.165393,5.179893,44.090018,211.440154,19.287086,1.595737
0.020000,131.409956,211.131647,6.146510,48.330828,212.040490,30.016794,1.600624
0.020000,131.375761,212.182767,7.198186,52.583813,212.649270,30.439026,1.606023
0.020000,131.332354,213.318943,8.335190,56.850203,213.319504,33.511701,1.611959
0.020000,131.278082,214.540405,9.557858,61.133388,214.159258,41.987690,1.618459
0.020000,131.211111,215.847339,10.866507,65.432432,214.952169,39.645533,1.625553
0.020000,131.129403,217.239994,12.261556,69.752464,216.001612,52.472164,1.633275
0.020000,131.030699,218.718585,13.743438,74.094121,217.082843,54.061538,1.641663
0.020000,130.912502,220.283300,15.312611,78.458642,218.226040,57.159862,1.650758
0.020000,130.772049,221.934343,16.969618,82.850316,219.583736,67.884826,1.660607
0.020000,130.606757,223.667186,18.710326,87.035409,209.254626,-516.455530,1.671234
0.020000,130.414472,225.472533,20.525884,90.777915,187.125321,-1106.465236,1.682631
0.020000,130.193187,227.340967,22.407376,94.074592,164.833860,-1114.573058,1.694790
0.020000,129.941090,229.263003,24.345875,96.924952,142.517956,-1115.795194,1.707702
0.020000,129.656616,231.229093,26.332439,99.328193,120.162066,-1117.794521,1.721349
0.020000,129.338517,233.229518,28.357996,101.277880,97.484352,-1133.885670,1.735711
0.020000,128.985913,235.254501,30.413450,102.772673,74.739681,-1137.233582,1.750760
0.020000,128.598359,237.294154,32.489595,103.807273,51.729979,-1150.485104,1.766461
0.020000,128.175911,239.338489,34.577122,104.376347,28.453691,-1163.814387,1.782769
0.020000,127.718095,241.382167,36.671451,104.716457,17.005521,-572.408474,1.799670
