dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,190.014699,161.700009,0.004398,0.439815,21.990741,1099.537037,3.142871
0.020000,190.010492,161.700005,0.008604,0.210313,-11.475100,-1673.292043,3.142505
0.020000,190.001025,161.700000,0.018072,0.473375,13.153105,1231.410241,3.141682
0.020000,189.918089,161.700056,0.101008,4.146819,183.672181,8525.953802,3.140217
0.020000,189.781737,161.700400,0.237360,6.817602,133.539184,-2506.649838,3.137922
0.020000,189.585276,161.701447,0.433824,9.823197,150.279749,837.028259,3.134606
0.020000,189.317613,161.703924,0.701498,13.383701,178.025168,1387.270946,3.130070
0.020000,188.967608,161.709000,1.051541,17.502125,205.921246,1394.803880,3.124108
0.020000,188.523984,161.718443,1.495265,22.186190,234.203221,1414.098750,3.116501
0.020000,187.980841,161.734622,2.038649,27.169205,249.150752,747.376581,3.107112
0.020000,187.337700,161.760415,2.682307,32.182919,250.685679,76.746335,3.095888
0.020000,186.594082,161.799307,3.426941,37.231693,252.438743,87.653224,3.082768
0.020000,185.749578,161.855424,4.273307,42.318323,254.331503,94.637993,3.067684
0.020000,184.803879,161.933573,5.222230,47.446129,256.390264,102.938029,3.050567
0.020000,183.756898,162.039275,6.274534,52.615178,258.452476,103.110613,3.031343
0.020000,182.608879,162.178780,7.430998,57.823216,260.401884,97.470381,3.009946
0.020000,181.360500,162.359085,8.692330,63.066620,262.170204,88.416015,2.986313
0.020000,180.013077,162.587899,10.059043,68.335643,263.451131,64.046353,2.960400
0.020000,178.568696,162.873596,11.531408,73.618259,264.130810,33.983954,2.932183
0.020000,177.030438,163.225092,13.109314,78.895276,263.850859,-13.997552,2.901671
0.020000,175.402552,163.651676,14.792165,84.142566,262.364516,-74.317166,2.868916
0.020000,173.690607,164.162764,16.578773,89.330381,259.390733,-148.689149,2.834022
0.020000,171.901634,164.767571,18.467215,94.422132,254.587548,-240.159219,2.797155
0.020000,170.044123,165.474736,20.454784,99.378432,247.815013,-338.626777,2.758552
0.020000,168.133081,166.289588,22.532299,103.875734,224.865084,-1147.496450,2.718627
0.020000,166.189146,167.212763,24.684306,107.600352,186.230895,-1931.709424,2.677961
0.020000,164.232465,168.241715,26.895039,110.536656,146.815205,-1970.784547,2.637159
0.020000,162.281932,169.370766,29.148777,112.686898,107.512100,-1965.155227,2.596824
0.020000,160.354522,170.591421,31.430204,114.071372,69.223717,-1914.419161,2.557525
0.020000,158.464798,171.892879,33.724730,114.726267,32.744747,-1823.948469,2.519764
0.020000,156.624663,173.262648,36.018714,114.699226,-1.352076,-1704.841190,2.483964
0.020000,154.843339,174.687187,38.299597,114.044158,-32.753394,-1570.065873,2.450452
0.020000,153.127562,176.152484,40.555918,112.816051,-61.405361,-1432.598335,2.419460
0.020000,151.478173,177.648011,42.782369,111.322549,-74.675100,-663.486993,2.391066
0.020000,149.891221,179.167315,44.979345,109.848792,-73.687819,49.364062,2.365237
0.020000,148.362398,180.704722,47.147505,108.408008,-72.039187,82.431601,2.341915
0.020000,146.887219,182.255260,49.287674,107.008451,-69.977853,103.066715,2.321027
0.020000,145.461151,183.814586,51.400768,105.654689,-67.688116,114.486826,2.302494
0.020000,144.079719,185.378885,53.487725,104.347848,-65.342065,117.302557,2.286235
0.020000,142.738563,186.944789,55.549460,103.086767,-63.054020,114.402249,2.272170
0.020000,141.433489,188.509284,57.586827,101.868337,-60.921531,106.624437,2.260224
0.020000,140.160490,190.069648,59.600595,100.688404,-58.996647,96.244235,2.250330
0.020000,138.915759,191.623373,61.591428,99.541646,-57.337906,82.937030,2.242431
0.020000,137.695692,193.168109,63.559872,98.422203,-55.972122,68.289209,2.236480
0.020000,136.496888,194.701613,65.506348,97.323776,-54.921356,52.538321,2.232438
0.020000,135.316140,196.221705,67.431145,96.239865,-54.195565,36.289509,2.230282
0.020000,134.104069,197.804556,69.424768,99.681139,172.063700,11312.963246,2.216392
0.020000,132.862602,199.480971,71.510819,104.302575,231.071797,2950.404865,2.200212
0.020000,131.654712,201.166554,73.584508,103.684462,-30.905612,-13098.870440,2.185107
0.020000,130.478664,202.859224,75.645629,103.056037,-31.421275,-25.783164,2.171095
0.020000,129.332622,204.557027,77.694031,102.420081,-31.797792,-18.825844,2.158189
0.020000,128.214675,206.258137,79.729610,101.778948,-32.056654,-12.943107,2.146399
0.020000,127.122860,207.960847,81.752301,101.134574,-32.218677,-8.101141,2.135729
0.020000,126.055177,209.663559,83.762071,100.488498,-32.303802,-4.256265,2.126183
0.020000,125.009606,211.364777,85.758909,99.841898,-32.330029,-1.311343,2.117762
0.020000,123.984118,213.063095,87.742822,99.195615,-32.314130,0.794972,2.110465
0.020000,122.976692,214.757187,89.713825,98.550197,-32.270894,2.161771,2.104290
0.020000,121.985318,216.445798,91.671944,97.905937,-32.213032,2.893104,2.099236
0.020000,121.008005,218.127728,93.617202,97.262912,-32.151251,3.089074,2.095301
0.020000,120.042791,219.801828,95.549623,96.621024,-32.094377,2.843667,2.092481
0.020000,119.087745,221.466988,97.469224,95.980052,-32.048584,2.289658,2.090777
0.020000,118.140971,223.122125,99.376017,95.339666,-32.019305,1.463960,2.090186
0.020000,117.200612,224.766181,101.270007,94.699483,-32.009168,0.506881,2.090709
0.020000,116.264850,226.398111,103.151189,94.059100,-32.019155,-0.499381,2.092345
0.020000,115.331913,228.016879,105.019552,93.418136,-32.048210,-1.452740,2.095096
0.020000,114.400073,229.621449,106.875077,92.776256,-32.093982,-2.288583,2.098964
0.020000,113.467648,231.210788,108.717741,92.133225,-32.151547,-2.878265,2.103949
0.020000,112.533007,232.783854,110.547520,91.488939,-32.214312,-3.138240,2.110055
0.020000,111.594568,234.339600,112.364389,90.843465,-32.273708,-2.969807,2.117283
0.020000,110.650803,235.876972,114.168331,90.197083,-32.319098,-2.269484,2.125636
0.020000,109.700236,237.394907,115.959338,89.550323,-32.337982,-0.944248,2.135113
0.020000,108.741450,238.892338,117.737418,88.904005,-32.315898,1.104211,2.145714
0.020000,107.773085,240.368193,119.502603,88.259286,-32.235977,3.996047,2.157436
0.020000,106.793840,241.821404,121.254957,87.617684,-32.080092,7.794290,2.170274
0.020000,105.802479,243.250911,122.994579,86.981114,-31.828480,12.580586,2.184219
0.020000,104.797826,244.655664,124.721617,86.351908,-31.460299,18.409034,2.199257
0.020000,103.778771,246.034640,126.436274,85.732803,-30.955286,25.250671,2.215373
0.020000,102.744269,247.386841,128.138814,85.127008,-30.289709,33.278815,2.232541
0.020000,101.693340,248.711313,129.829576,84.538104,-29.445239,42.223501,2.250734
0.020000,100.625070,250.007146,131.508976,83.970027,-28.403804,52.071771,2.269914
0.020000,99.540158,251.271958,133.175344,83.318393,-32.581737,-208.896641,2.287852
0.020000,98.267073,252.738012,135.117008,97.083202,688.240476,36041.110650,2.284229
0.020000,97.014118,254.188290,137.033568,95.827996,-62.760303,-37550.038985,2.282789
0.020000,95.778069,255.620017,138.925039,94.573540,-62.722831,1.873604,2.283530
0.020000,94.555837,257.030512,140.791412,93.318635,-62.745247,-1.120782,2.286454
0.020000,93.344486,258.417165,142.632655,92.062179,-62.822764,-3.875845,2.291564
0.020000,92.141240,259.777425,144.448724,90.803455,-62.936217,-5.672633,2.298861
0.020000,90.943490,261.108790,146.239573,89.542411,-63.052185,-5.798421,2.308352
0.020000,89.748798,262.408810,148.005172,88.279969,-63.122110,-3.496253,2.320039
0.020000,88.554900,263.675097,149.745538,87.018306,-63.083156,1.947689,2.333918
0.020000,87.359699,264.905334,151.460761,85.761156,-62.857506,11.282531,2.349984
0.020000,86.161261,266.097306,153.151042,84.514065,-62.354521,25.149255,2.368219
0.020000,84.957803,267.248922,154.816735,83.284614,-61.472581,44.096987,2.388591
0.020000,83.747678,268.358252,156.458385,82.082530,-60.104191,68.419503,2.411053
0.020000,82.529351,269.423560,158.076780,80.919712,-58.140878,98.165628,2.435537
0.020000,81.317088,270.433054,159.654329,78.877454,-102.112934,-2198.602811,2.458004
0.020000,80.031856,271.456408,161.297215,82.144297,163.342154,13272.754410,2.480358
0.020000,78.726885,272.448296,162.936358,81.957154,-9.357145,-8634.964950,2.503039
0.020000,77.402356,273.408146,164.572111,81.787680,-8.473672,44.173640,2.526013
0.020000,76.058469,274.335433,166.204867,81.637789,-7.494551,48.956050,2.549249
0.020000,74.695456,275.229672,167.835042,81.508746,-6.452150,52.120071,2.572709
0.020000,73.313566,276.090431,169.463086,81.402179,-5.328380,56.188487,2.596354
0.020000,71.913077,276.917329,171.089471,81.319267,-4.145608,59.138604,2.620143
