dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,190.000000,173.200000,0.004398,0.439815,21.990741,1099.537037,3.142871
0.020000,190.000000,173.200000,0.021991,1.319444,43.981481,1099.537037,3.142505
0.020000,190.000000,173.200000,0.061574,2.638889,65.972222,1099.537037,3.141682
0.020000,189.933914,173.200045,0.131944,4.398148,87.962963,1099.537037,3.140217
0.020000,189.823954,173.200323,0.241898,6.597222,109.953704,1099.537037,3.137922
0.020000,189.665627,173.201166,0.400231,9.236111,131.944444,1099.537037,3.134606
0.020000,189.450123,173.203161,0.615741,12.314815,153.935185,1099.537037,3.130070
0.020000,189.168672,173.207242,0.897222,15.833333,175.925926,1099.537037,3.124108
0.020000,188.812506,173.214823,1.253472,19.791667,197.916667,1099.537037,3.116501
0.020000,188.377286,173.227787,1.688889,23.750000,197.916667,-0.000000,3.107112
0.020000,187.863119,173.248406,2.203472,27.708333,197.916667,0.000000,3.095888
0.020000,187.270181,173.279415,2.797222,31.666667,197.916667,-0.000000,3.082768
0.020000,186.598753,173.324029,3.470139,35.625000,197.916667,0.000000,3.067684
0.020000,185.849234,173.385963,4.222222,39.583333,197.916667,0.000000,3.050567
0.020000,185.022198,173.469455,5.053472,43.541667,197.916667,-0.000000,3.031343
0.020000,184.118449,173.579271,5.963889,47.500000,197.916667,0.000000,3.009946
0.020000,183.139048,173.720720,6.953472,51.458333,197.916667,-0.000000,2.986313
0.020000,182.085413,173.899637,8.022222,55.416667,197.916667,0.000000,2.960400
0.020000,180.959349,174.122364,9.170139,59.375000,197.916667,-0.000000,2.932183
0.020000,179.763144,174.395693,10.397222,63.333333,197.916667,0.000000,2.901671
0.020000,178.499617,174.726792,11.703472,67.291667,197.916667,0.000000,2.868916
0.020000,177.172164,175.123090,13.088889,71.250000,197.916667,-0.000000,2.834022
0.020000,175.784804,175.592125,14.553472,75.208333,197.916667,0.000000,2.797155
0.020000,174.342164,176.141359,16.097222,79.166667,197.916667,0.000000,2.758552
0.020000,172.853445,176.776158,17.715741,82.685185,175.925926,-1099.537037,2.718627
0.020000,171.331943,177.498756,19.400231,85.763889,153.935185,-1099.537037,2.677961
0.020000,169.790553,178.309369,21.141898,88.402778,131.944444,-1099.537037,2.637159
0.020000,168.241461,179.206111,22.931944,90.601852,109.953704,-1099.537037,2.596824
0.020000,166.695875,180.185026,24.761574,92.361111,87.962963,-1099.537037,2.557525
0.020000,165.163804,181.240249,26.621991,93.680556,65.972222,-1099.537037,2.519764
0.020000,163.653940,182.364255,28.504398,94.560185,43.981481,-1099.537037,2.483964
