dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,189.985301,184.699991,0.004398,0.439815,21.990741,1099.537037,3.142871
0.020000,189.989508,184.699995,0.008604,0.210313,-11.475100,-1673.292043,3.142505
0.020000,189.998975,184.700000,0.018072,0.473375,13.153105,1231.410241,3.141682
0.020000,189.949739,184.700035,0.067308,2.461819,99.422215,4313.455506,3.140217
0.020000,189.866171,184.700245,0.150876,4.178400,85.829059,-679.657808,3.137922
0.020000,189.745978,184.700886,0.271071,6.009714,91.565702,286.832179,3.134606
0.020000,189.582632,184.702397,0.434424,8.167650,107.896797,816.554755,3.130070
0.020000,189.369737,184.705484,0.647342,10.645896,123.912284,800.774327,3.124108
0.020000,189.101027,184.711203,0.916112,13.438524,139.631412,785.956381,3.116501
0.020000,188.773731,184.720951,1.243554,16.372081,146.677846,352.321736,3.107112
0.020000,188.388538,184.736397,1.629056,19.275094,145.150641,-76.360281,3.095888
0.020000,187.946279,184.759524,2.071919,22.143185,143.404557,-87.304201,3.082768
0.020000,187.447929,184.792634,2.571368,24.972446,141.463022,-97.076720,3.067684
0.020000,186.894589,184.838353,3.126593,27.761252,139.440303,-101.135956,3.050567
0.020000,186.287499,184.899635,3.736769,30.508769,137.375866,-103.221854,3.031343
0.020000,185.628020,184.979762,4.401097,33.216446,135.383844,-99.601104,3.009946
0.020000,184.917597,185.082356,5.118890,35.889648,133.660121,-86.186137,2.986313
0.020000,184.157749,185.211376,5.889614,38.536162,132.325708,-66.720647,2.960400
0.020000,183.350002,185.371132,6.713007,41.169685,131.676131,-32.478863,2.932183
0.020000,182.495850,185.566293,7.589172,43.808227,131.927108,12.548857,2.901671
0.020000,181.596683,185.801907,8.518696,46.476221,133.399672,73.628184,2.868916
0.020000,180.653720,186.083417,9.502782,49.204307,136.404306,150.231693,2.834022
0.020000,179.667975,186.416680,10.543339,52.027851,141.177217,238.645584,2.797155
0.020000,178.640204,186.807982,11.643080,54.987030,147.958957,339.086979,2.758552
0.020000,177.573810,187.262729,12.802386,57.965293,148.913151,47.709704,2.718627
0.020000,176.474741,187.784748,14.019127,60.837050,143.587811,-266.266991,2.677961
0.020000,175.348640,188.377023,15.291484,63.617852,139.040119,-227.384625,2.637159
0.020000,174.200990,189.041456,16.617595,66.305545,134.384666,-232.772632,2.596824
0.020000,173.037228,189.778630,17.995190,68.879769,128.711177,-283.674445,2.557525
0.020000,171.862809,190.587619,19.421277,71.304321,121.227597,-374.179017,2.519764
0.020000,170.683218,191.465863,20.891905,73.531422,111.355080,-493.625854,2.483964
0.020000,169.503913,192.409138,22.402047,75.507105,98.784121,-628.547947,2.450452
0.020000,168.330251,193.411633,23.945575,77.176372,83.463390,-766.036520,2.419460
0.020000,167.164718,194.468603,25.518996,78.671062,74.734461,-436.446451,2.391066
0.020000,166.006949,195.577169,27.121914,80.145906,73.742217,-49.612244,2.365237
0.020000,164.856428,196.734287,28.753668,81.587720,72.090719,-82.574892,2.341915
0.020000,163.712447,197.936832,30.413429,82.988032,70.015603,-103.755775,2.321027
0.020000,162.574093,199.181669,32.100281,84.342585,67.727629,-114.398727,2.302494
0.020000,161.440242,200.465708,33.813282,85.650075,65.374520,-117.655431,2.286235
0.020000,160.309563,201.785945,35.551517,86.911740,63.083240,-114.563981,2.272170
0.020000,159.180525,203.139483,37.314127,88.130504,60.938177,-107.253156,2.260224
0.020000,158.051400,204.523552,39.100344,89.310828,59.016202,-96.098787,2.250330
0.020000,156.920280,205.935508,40.909501,90.457883,57.352746,-83.172791,2.242431
0.020000,155.785078,207.372830,42.741052,91.577547,55.983193,-68.477617,2.236480
0.020000,154.643534,208.833111,44.594574,92.676091,54.927206,-52.799393,2.232438
0.020000,153.493216,210.314041,46.469776,93.760112,54.201055,-36.307522,2.230282
0.020000,152.475119,211.643072,48.143947,83.708536,-502.578785,-27838.992011,2.216392
0.020000,151.455149,213.020439,49.857854,85.695356,99.340978,30095.988148,2.200212
0.020000,150.449646,214.423645,51.584129,86.313726,30.918539,-3421.121951,2.185107
