dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,189.986461,161.700008,0.004398,0.439815,21.990741,1099.537037,3.140415
0.020000,189.988697,161.700006,0.006634,0.111807,-16.400385,-1919.556276,3.140610
0.020000,189.993731,161.700002,0.011669,0.251711,6.995202,1169.779340,3.141048
0.020000,189.981559,161.699998,0.023840,0.608597,17.844306,542.455198,3.141827
0.020000,189.885644,161.699917,0.119755,4.795742,209.357231,9575.646269,3.143048
0.020000,189.747610,161.699594,0.257789,6.901709,105.298365,-5202.943321,3.144813
0.020000,189.559911,161.698763,0.445491,9.385081,124.168606,943.512032,3.147231
0.020000,189.315065,161.696993,0.690344,12.242622,142.877048,935.422112,3.150416
0.020000,189.005664,161.693635,0.999762,15.470932,161.415470,926.921118,3.154489
0.020000,188.628299,161.687819,1.377173,18.870520,169.979419,428.197460,3.159533
0.020000,188.183468,161.678495,1.822101,22.246413,168.794643,-59.238797,3.165589
0.020000,187.671773,161.664398,2.333990,25.594447,167.401727,-69.645811,3.172708
0.020000,187.094010,161.644042,2.912111,28.906082,165.581704,-91.001167,3.180949
0.020000,186.451064,161.615701,3.555682,32.178511,163.621486,-98.010878,3.190385
0.020000,185.744066,161.577401,4.263716,35.401733,161.161067,-123.020965,3.201099
0.020000,184.974326,161.526900,5.035111,38.569728,158.399785,-138.064119,3.213188
0.020000,184.143423,161.461676,5.868571,41.672988,155.162982,-161.840128,3.226764
0.020000,183.253240,161.378908,6.762593,44.701096,151.405426,-187.877825,3.241957
0.020000,182.305973,161.275461,7.715492,47.644961,147.193252,-210.608702,3.258914
0.020000,181.304235,161.147873,8.725322,50.491523,142.328087,-243.258215,3.277804
0.020000,180.251116,160.992347,9.789863,53.227061,136.776890,-277.559877,3.298819
0.020000,179.150180,160.804736,10.906671,55.840361,130.664995,-305.594734,3.322175
0.020000,178.005651,160.580565,12.072946,58.313780,123.670952,-349.702132,3.348113
0.020000,176.822379,160.315029,13.285646,60.634989,116.060446,-380.525294,3.376896
0.020000,175.609188,160.003917,14.538093,62.622346,99.367857,-834.629491,3.408722
0.020000,174.378418,159.644125,15.820375,64.114084,74.586898,-1239.047915,3.443692
0.020000,173.142330,159.233186,17.122982,65.130351,50.813339,-1188.677968,3.481864
0.020000,171.912721,158.769358,18.437164,65.709101,28.937491,-1093.792397,3.523235
0.020000,170.700697,158.251724,19.755097,65.896645,9.377219,-978.013597,3.567721
0.020000,169.516276,157.680193,21.070201,65.755239,-7.070320,-822.376943,3.615129
