dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,190.000000,173.200000,0.004398,0.439815,21.990741,1099.537037,3.140415
0.020000,190.000000,173.200000,0.021991,1.319444,43.981481,1099.537037,3.140610
0.020000,190.000000,173.200000,0.061574,2.638889,65.972222,1099.537037,3.141048
0.020000,189.978867,173.199998,0.131944,4.398148,87.962963,1099.537037,3.141827
0.020000,189.868913,173.199905,0.241898,6.597222,109.953704,1099.537037,3.143048
0.020000,189.710574,173.199535,0.400231,9.236111,131.944444,1099.537037,3.144813
0.020000,189.495066,173.198580,0.615741,12.314815,153.935185,1099.537037,3.147231
0.020000,189.213602,173.196546,0.897222,15.833333,175.925926,1099.537037,3.150416
0.020000,188.857364,173.192679,1.253472,19.791667,197.916667,1099.537037,3.154489
0.020000,188.422000,173.185968,1.688889,23.750000,197.916667,-0.000000,3.159533
0.020000,187.907540,173.175184,2.203472,27.708333,197.916667,0.000000,3.165589
0.020000,187.314008,173.158832,2.797222,31.666667,197.916667,-0.000000,3.172708
0.020000,186.641526,173.135137,3.470139,35.625000,197.916667,0.000000,3.180949
0.020000,185.890171,173.102015,4.222222,39.583333,197.916667,0.000000,3.190385
0.020000,185.060145,173.057046,5.053472,43.541667,197.916667,-0.000000,3.201099
0.020000,184.151683,172.997439,5.963889,47.500000,197.916667,0.000000,3.213188
0.020000,183.165134,172.919989,6.953472,51.458333,197.916667,-0.000000,3.226764
0.020000,182.100992,172.821037,8.022222,55.416667,197.916667,0.000000,3.241957
0.020000,180.959874,172.696408,9.170139,59.375000,197.916667,-0.000000,3.258914
0.020000,179.742641,172.541355,10.397222,63.333333,197.916667,0.000000,3.277804
0.020000,178.450449,172.350498,11.703472,67.291667,197.916667,0.000000,3.298819
0.020000,177.084746,172.117737,13.088889,71.250000,197.916667,-0.000000,3.322175
0.020000,175.647518,171.836196,14.553472,75.208333,197.916667,0.000000,3.348113
0.020000,174.141296,171.498133,16.097222,79.166667,197.916667,0.000000,3.376896
0.020000,172.573602,171.096041,17.715741,82.685185,175.925926,-1099.537037,3.408722
0.020000,170.956875,170.623335,19.400231,85.763889,153.935185,-1099.537037,3.443692
0.020000,169.304289,170.073825,21.141898,88.402778,131.944444,-1099.537037,3.481864
0.020000,167.629596,169.441980,22.931944,90.601852,109.953704,-1099.537037,3.523235
0.020000,165.947186,168.723311,24.761574,92.361111,87.962963,-1099.537037,3.567721
0.020000,164.271861,167.914748,26.621991,93.680556,65.972222,-1099.537037,3.615129
0.020000,162.618610,167.015046,28.504398,94.560185,43.981481,-1099.537037,3.665139
0.020000,161.002241,166.025175,30.400000,95.000000,21.990741,-1099.537037,3.717300
0.020000,159.436945,164.948618,32.300000,95.000000,0.000000,-1099.537037,3.771027
0.020000,157.932352,163.788748,34.200000,95.000000,0.000000,0.000000,3.825755
0.020000,156.493824,162.547895,36.100000,95.000000,0.000000,0.000000,3.880980
0.020000,155.126016,161.229495,38.000000,95.000000,0.000000,0.000000,3.936168
0.020000,153.832673,159.837964,39.900000,95.000000,0.000000,0.000000,3.990784
0.020000,152.616487,158.378504,41.800000,95.000000,0.000000,0.000000,4.044325
0.020000,151.479037,156.856865,43.700000,95.000000,0.000000,0.000000,4.096348
0.020000,150.420797,155.279092,45.600000,95.000000,0.000000,0.000000,4.146486
0.020000,149.441222,153.651289,47.500000,95.000000,0.000000,0.000000,4.194462
0.020000,148.538885,151.979418,49.400000,95.000000,0.000000,0.000000,4.240084
