dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,33.000258,286.500000,0.004398,0.439815,21.990741,1099.537037,0.000022
0.020000,33.000202,286.500000,0.004454,0.002801,-21.850715,-2192.072805,0.000018
0.020000,33.000072,286.500000,0.004584,0.006482,0.184060,1101.738790,0.000006
0.020000,33.048750,286.500000,0.053261,2.433879,121.369859,6059.289930,6.283170
0.020000,33.158293,286.499996,0.162804,5.477131,152.162587,1539.636376,6.283135
0.020000,33.315966,286.499984,0.320478,7.883684,120.327671,-1591.745796,6.283077
0.020000,33.530449,286.499951,0.534960,10.724139,142.022737,1084.753306,6.282988
0.020000,33.810366,286.499877,0.814878,13.995860,163.586059,1078.166116,6.282852
0.020000,34.164273,286.499725,1.168785,17.695357,184.974868,1069.440438,6.282648
0.020000,34.596275,286.499430,1.600787,21.600103,195.237284,513.120822,6.282351
0.020000,35.106040,286.498902,2.110552,25.488252,194.407465,-41.490953,6.281932
0.020000,35.693174,286.498002,2.697687,29.356750,193.424865,-49.129997,6.281357
0.020000,36.357222,286.496539,3.361737,33.202484,192.286706,-56.907971,6.280586
0.020000,37.097664,286.494250,4.102182,37.022282,190.989923,-64.839122,6.279574
0.020000,37.913915,286.490784,4.918440,40.812887,189.530260,-72.983182,6.278271
0.020000,38.805319,286.485684,5.809858,44.570927,187.901980,-81.413981,6.276619
0.020000,39.771149,286.478368,6.775716,48.292878,186.097565,-90.220778,6.274555
0.020000,40.810599,286.468105,7.815217,51.975026,184.107378,-99.509355,6.272012
0.020000,41.922777,286.453991,8.927485,55.613412,181.919322,-109.402772,6.268912
0.020000,43.106699,286.434922,10.111560,59.203782,179.518491,-120.041565,6.265172
0.020000,44.361274,286.409571,11.366391,62.741519,176.886829,-131.583065,6.260701
0.020000,45.685288,286.376351,12.690822,66.221576,174.002843,-144.199328,6.255398
0.020000,47.077394,286.333389,14.083590,69.638403,170.841386,-158.072844,6.249154
0.020000,48.536079,286.278489,15.543309,72.985924,167.376059,-173.266371,6.241847
0.020000,50.055531,286.209303,17.064335,76.051310,153.269275,-705.339177,6.233370
0.020000,51.625751,286.123487,18.636898,78.628137,128.841329,-1221.397285,6.223637
0.020000,53.236762,286.018644,20.251317,80.720938,104.640066,-1210.063190,6.212573
0.020000,54.878628,285.892396,21.898029,82.335629,80.734562,-1195.275187,6.200110
0.020000,56.541475,285.742464,23.567622,83.479634,57.200232,-1176.716489,6.186195
0.020000,58.215515,285.566761,25.250858,84.161792,34.107915,-1154.615869,6.170789
0.020000,59.891099,285.363483,26.938727,84.393474,11.584107,-1126.190401,6.153875
0.020000,61.558753,285.131215,28.622479,84.187591,-10.294162,-1093.913428,6.135455
0.020000,63.209252,284.869023,30.293673,83.559723,-31.393411,-1054.962470,6.115561
0.020000,64.837423,284.575838,31.948031,82.717864,-42.092937,-534.976299,6.094204
0.020000,66.441946,284.250152,33.585274,81.862145,-42.785954,-34.650825,6.071359
0.020000,68.021483,283.890540,35.205230,80.997815,-43.216517,-21.528140,6.047010
0.020000,69.574708,283.495667,36.807863,80.131657,-43.307862,-4.567281,6.021156
0.020000,71.100340,283.064298,38.393306,79.272163,-42.974726,16.656820,5.993808
0.020000,72.597169,282.595301,39.961891,78.429216,-42.147358,41.368412,5.964994
0.020000,74.064101,282.087646,41.514180,77.614470,-40.737300,70.502857,5.934763
0.020000,75.500184,281.540408,43.050996,76.840813,-38.682832,102.723442,5.903188
0.020000,76.904638,280.952754,44.573438,76.122086,-35.936334,137.324890,5.870363
0.020000,78.276871,280.323936,46.082887,75.472464,-32.481107,172.761320,5.836408
0.020000,79.616494,279.653281,47.581008,74.906034,-28.321489,207.980912,5.801469
0.020000,80.923304,278.940185,49.069719,74.435542,-23.524598,239.844543,5.765711
0.020000,82.197278,278.184107,50.551158,74.071941,-18.180090,267.225437,5.729322
0.020000,83.438536,277.384574,52.027632,73.823700,-12.412013,288.403825,5.692501
0.020000,84.647305,276.541192,53.501543,73.695593,-6.405378,300.331737,5.655457
0.020000,85.823882,275.653667,54.975326,73.689110,-0.324158,304.060996,5.618402
0.020000,86.968589,274.721828,56.451361,73.801754,5.632235,297.819663,5.581543
0.020000,88.081746,273.745657,57.931910,74.027472,11.285904,282.683448,5.545077
0.020000,89.163644,272.725314,59.419056,74.357278,16.490262,260.217924,5.509183
0.020000,90.214522,271.661175,60.914628,74.778627,21.067477,228.860731,5.474022
0.020000,91.234597,270.553809,62.420222,75.279695,25.053407,199.296524,5.439732
0.020000,92.224034,269.404025,63.937123,75.845038,28.267111,160.685200,5.406426
0.020000,93.182990,268.212830,65.466353,76.461505,30.823365,127.812696,5.374191
0.020000,94.111610,266.981436,67.008645,77.114590,32.654250,91.544214,5.343091
0.020000,95.010057,265.711219,68.564491,77.792312,33.886105,61.592751,5.313170
0.020000,95.878519,264.403705,70.134147,78.482791,34.523955,31.892533,5.284449
0.020000,96.653490,263.156457,71.602550,73.420171,-253.131014,-14382.748451,5.251836
0.020000,97.409513,261.844031,73.117157,75.730338,115.508379,18431.969614,5.218330
0.020000,98.125889,260.499306,74.640797,76.182003,22.583231,-4646.257355,5.185609
0.020000,98.803541,259.122010,76.175774,76.748867,28.343192,287.998031,5.153873
0.020000,99.443494,257.712036,77.724183,77.420421,33.577730,261.726876,5.123305
0.020000,100.046880,256.269452,79.287872,78.184439,38.200883,231.157677,5.094066
0.020000,100.614946,254.794518,80.868419,79.027347,42.145374,197.224566,5.066292
0.020000,101.149064,253.287675,82.467123,79.935243,45.394813,162.471933,5.040096
0.020000,101.650738,251.749528,84.085015,80.894593,47.967500,128.634322,5.015568
0.020000,102.121618,250.180820,85.722871,81.892794,49.910044,97.127221,4.992776
0.020000,102.563496,248.582402,87.381243,82.918567,51.288649,68.930230,4.971768
0.020000,102.978312,246.955199,89.060487,83.962234,52.183371,44.736138,4.952574
0.020000,103.368153,245.300176,90.760804,85.015828,52.679717,24.817292,4.935212
0.020000,103.735241,243.618310,92.482265,86.073050,52.861093,9.068816,4.919688
0.020000,104.081933,241.910561,94.224850,87.129239,52.809421,-2.583643,4.906001
0.020000,104.410712,240.177855,95.988473,88.181166,52.596374,-10.652306,4.894143
0.020000,104.724180,238.421064,97.773011,89.226888,52.286110,-15.513204,4.884104
0.020000,105.025051,236.641001,99.578322,90.265554,51.933303,-17.640367,4.875870
0.020000,105.316150,234.838410,101.404266,91.297211,51.582833,-17.523499,4.869431
0.020000,105.600405,233.013969,103.250719,92.322635,51.271215,-15.580890,4.864775
0.020000,105.880853,231.168291,105.117581,93.343137,51.025077,-12.306903,4.861894
0.020000,106.160635,229.301937,107.004790,94.360412,50.863740,-8.066850,4.860781
0.020000,106.443000,227.415424,108.912317,95.376391,50.798966,-3.238718,4.861436
0.020000,106.731311,225.509243,110.840179,96.393095,50.835204,1.811915,4.863859
0.020000,107.029047,223.583877,112.788429,97.412491,50.969815,6.730551,4.868054
0.020000,107.339804,221.639831,114.757156,98.436351,51.192993,11.158874,4.874031
0.020000,107.667306,219.677653,116.746478,99.466101,51.487487,14.724705,4.881798
0.020000,108.015396,217.697969,118.756532,100.502664,51.828161,17.033725,4.891369
0.020000,108.349985,215.890312,120.594893,91.918081,-429.229160,-24052.866082,4.894720
0.020000,108.655869,214.167886,122.344269,87.468816,-222.463263,10338.294869,4.881623
0.020000,108.939972,212.438294,124.097039,87.638489,8.483644,11547.345350,4.868822
0.020000,109.202707,210.701741,125.853355,87.815788,8.864969,19.066248,4.856329
0.020000,109.444510,208.958428,127.613358,88.000128,9.216995,17.601296,4.844156
0.020000,109.665842,207.208552,129.377176,88.190923,9.539761,16.138330,4.832315
0.020000,109.867185,205.452303,131.144929,88.387627,9.835172,14.770532,4.820816
0.020000,110.049042,203.689868,132.916721,88.589619,10.099629,13.222839,4.809668
0.020000,110.211937,201.921427,134.692648,88.796350,10.336553,11.846193,4.798880
0.020000,110.356410,200.147154,136.472794,89.007309,10.547943,10.569529,4.788459
0.020000,110.483021,198.367211,138.257234,89.221990,10.734062,9.305924,4.778411
0.020000,110.592344,196.581756,140.046033,89.439944,10.897664,8.180115,4.768742
0.020000,110.684969,194.790937,141.839246,89.660654,11.035512,6.892391,4.759456
0.020000,110.761499,192.994892,143.636921,89.883739,11.154249,5.936858,4.750559
0.020000,110.822550,191.193750,145.439097,90.108817,11.253927,4.983915,4.742053
0.020000,110.868749,189.387630,147.245808,90.335538,11.336007,4.103961,4.733941
